Unfunny,Somewhat funny,Funny,Caption
0,0,0,
52,32,16,So, how have you been doing since the split?
24,0,2,I thought we worked through your wish that I slip on you.
16,1,0,Michael, you're bruising! I need you to tell me what's wrong.
22,5,2,For how long have you felt that you are really a vegetable?
20,2,2,Sometimes a penis is just a penis.
19,1,1,When did these anxieties about vegans begin?
21,3,1,Working with Chaquita was great. Now it's nothing but slapstick.
35,21,6,Look I don't say this to patients often, but you really are bananas.
18,1,1,I want to split with Sundae.
24,3,3,So he decided to split with you on Sunday over another banana?
30,20,3,Yes, I can see how you feel empty inside.
17,1,0,Just because you made that guy slip doesn't make you any less appealing. They were laughing with you, not at you.
18,1,0,After twenty five years of marriage we split. Just like that. Can you believe it doc? Now my life is so empty. I just can't seem to hold it together.
29,8,4,When did you first have these feelings of emptiness?
22,2,2,It seems my last patient left their banana peel on my chair.
21,4,1,Well, it depends. Did you want to make her fall?
36,11,1,Tell me more about how you caused your father's demise.
24,3,3,...and then there was the time my own Freuder –ahem– father, slipped on me!
20,3,1,How did you feel when he slipped?
16,2,0,I scream! You've deserted yourself!
30,14,4,Tell me more about feeling empty inside.
21,5,1,I agree feelings of emptiness can be consistent with narcissistic personality disorder, but perhaps we've overlooked something.
26,3,0,Don't blame yourself. In three days she would have moved on anyway.
37,20,7,You still blame yourself for the split?
20,4,0,But then you laughed anyway.
17,3,1,So when you yelled back, 'Eat my lunch, Buddy!' what did you expect?
21,5,1,ah Banana Ana Fo Fana, 'tis time for your fee fi fo fana
18,4,0,If she can't see your appeal, that's her problem.
16,1,0,Mr Peele, it appears you have a severe case of Flooraphobia
24,6,1,So you've made some slip ups... Tell me more.
23,4,2,And you say he abandoned you at a condom demonstration?
27,10,3,I do apologize, sir. I missed breakfast.
18,4,0,Another Freudian slip on a banana peel!
24,9,2,Well, it was a very difficult split
24,3,0,I've noticed you often use the phrase, "I slipped up on that one." Why do you think you do that?
19,5,0,...and you say I'm appealing?
36,9,4,Are you here from Costa Rica LEGALLY?
16,1,0,You know we discussed this before. The operation was not going to solve all your problems.
28,6,2,Don't slip on your way out.
13,0,0,Are you sure you requested a Jungian analysis?
26,5,3,How do you peel about this?
13,1,0,Sometimes I just feel I'm slipping.
20,0,0,If you really want to be of use, I suggest you get yourself into a brown bag with your unripe friend avocado!!
20,5,0,So I hear you saying that you feel you pose a substantial threat of physical harm to others.
18,4,0,I know I'm better than that couch potato
32,12,5,Yours is the clearest case of an unresolved edible complex I have encountered in years.
19,4,1,How long have you been peeling this way?
22,2,2,So, your mother was your first victim?
18,1,0,Women don't find me apeeling.
35,13,6,You can't keep blaming yourself for other people's slip-ups.
16,1,0,So, when did you start to feel that you were beginning to slip?
22,1,3,Our relationship is just fruitless.
32,15,5,And how did this tremendous fear of monkeys begin?
15,1,0,Do you mean emotionally walked all over?
38,4,1,Now..., you say you were referred to me by an existing patient?
18,3,0,You've got to stop trying to give people the slip.
27,4,0,Now, about this feeling that you're tripping up everyone ...
21,5,1,How long has it been since the banana split?
19,2,0,I appreciate the offer, but it's a slippery slope.
22,3,2,Lets get past the fact that you are garbage, and move on to relationships.
16,1,0,They always blame me for Freudian slips.
23,12,0,Doctor, there's something that's been eating away at me.
16,2,0,Yes, I do find you appealing.
25,9,1,But I feel like a vegetable.
17,1,0,I lack appeal.
27,9,2,I feel like I got nothing left inside.
18,3,0,Despite the anti-immigrant sentiment in the country, you must come to grips with the fact that your mother was a plantain.
15,0,0,I'm waiting for the day someone slips on me and says, 'sorry, banana peel, I didn't notice you were rotting there.'
21,1,1,I'm starting to think I have abandonment issues.
23,3,2,The split has been so hard on the kids that they're considering a foster home.
15,0,0,Now, let's pretend that I'm a therapist and that you're a bana - oops, you are, a banana peel.
16,0,0,Please kiss me. I desperately want to turn into a prince.
19,1,1,"Continual denial is bringing you right back to that slippery slope".
27,6,3,You weren't abandoned. You were picked.
21,6,1,So tell me how you are peeling today.
20,7,0,So how long were you and this 'Chiquita' engaged?
21,3,1,Surely, it was a Freudian slip.
45,26,12,You do realize in a couple of days none of this will matter.
24,7,1,My future feels like a slippery slope
18,3,0,No one would be falling all over you if you weren't so slippery.
28,6,4,So what do think’s causing all these slip-ups?
30,8,3,Does Mrs. Peel know about the slip-and-fall lawsuits?
23,5,1,In order to peel away the layers of your problems I'd suggest group...I mean bunch...therapy.
26,2,3,So, how did you feel when someone stepped on you, slipped and fell?
21,8,0,So you feel like you're heading down a slippery slope.
17,2,0,Yes, I can treat you for an irrational fear of hurting someone.
18,2,0,You appear to be a very slippery fellow.
15,0,0,Interesting ... now can you tell me WHY the duck is sitting on your head?
21,1,2,Yes, I agree, perhaps you should have seen it coming, but honestly, it happens every single day.
29,10,3,What makes you think he just wanted you for your body?
40,6,2,So you have abandonment issues
30,11,4,I don't think a banana can "go bananas".
25,2,1,I'm proud of you for sharing your peelings.
29,0,0,you are not a shrinking violet are you?
27,4,4,I was once the top banana, then I split.
22,7,1,It is sad you lost Grandma, but there are millions of other Nanas out there.
18,2,0,How does it make you feel to be the source of so many Freudian slips?
20,0,1,It's not your fault that Donald Trump is going to be the Republican nominee for President.
15,0,0,It just just took a shrink to minimize the fruit of my existence
15,0,0,It is natural to feel like garbage after being fired. But on the positive side, being a rainmaker for a slip and fall lawyer is not exactly honorable work.
16,0,0,Tell me more about this recurring nightmare that starts with someone asking, “Is that a banana in your pocket…”
27,9,3,I was top banana until I lost my wife on a Sundae.
20,7,0,Look, it's a slippery slope, but we can go there if you need to...
21,4,1,I only get laughs when people step on me.
28,10,4,Which is the bigger issue: feeling dangerous or empty?
22,4,1,Sometimes everyone feels a little empty.
21,2,2,Your parents were in a split when you were younger?
18,0,1,I'm feeling bruised and empty, just like the rest of the bunch.
15,0,0,So you're telling me that everyone says you bring them down, but you call them all clowns.
20,7,0,It's not so much that I feel empty inside, it's that I feel used.
22,6,1,Don't worry, you'll get stepped on one day.
43,23,10,I think we can rule out low potassium as the cause of your depression.
27,8,3,Note to self: this one is completely bananas.
25,5,1,I'm sorry, I slipped up.
16,1,0,Would you prefer women didn't find you appealing?
25,6,3,Sounds like separation anxiety.
22,3,1,Nobody's used that gag for years. Get over it!
24,5,2,I'm referring you out. I don't treat fruits.
