,caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
0,"We had a good run, Ted, but I simply don’t have the counter space.",161,41,0.06427145999737405,1,1.813664596273292,49,4235,71,659
1,You're really nice; I just don't have the counter space.,145,34,0.06747429940891574,2,1.7517241379310344,41,4757,70,659
2,Remember when your rubber seal broke? I'm pregnant.,149,36,0.06727714639213943,3,1.7516778523489933,40,2795,73,659
3,What turns you off?,145,40,0.07177238283103064,4,1.7448275862068965,28,463,77,659
4,"Just so you know, I’m also dating Mr. Coffee.",147,34,0.06799458727570945,5,1.6938775510204083,34,5964,79,659
5,Why do you have to process everything little thing I say?,154,32,0.0645284783872767,6,1.6688311688311688,39,286,83,659
6,So where exactly is Hamilton Beach?,149,35,0.0684165296980061,7,1.6644295302013423,29,6149,85,659
7,Mother says I'd date anyone with a pulse.,146,28,0.0646763661197922,8,1.6643835616438356,41,4704,77,659
8,Just give me a minute to process this.,144,27,0.0648645145597492,9,1.6527777777777777,40,2185,77,659
9,"George, I have something to tell you.  I've met a toaster.",159,32,0.06317903308935693,10,1.6477987421383649,39,4887,88,659
10,"So, how long have you identified as transblender?",169,30,0.058959891775052606,11,1.6449704142011834,49,6324,90,659
11,"Actually, I have a very good reason for thinking the baby's yours.""",143,33,0.06975749413746074,12,1.6433566433566433,26,4752,84,659
12,It's my own fault. I did say I'd date anyone with a pulse.,162,35,0.06412050849564313,13,1.6419753086419753,34,5641,93,659
13,I'll wait a moment while you process that.,155,31,0.06399876345143793,14,1.6387096774193548,37,2191,87,659
14,Why do you have to process everything?,155,33,0.06529483964629866,15,1.6387096774193548,33,3402,89,659
15,"Please do not use that speed with me, Wendell.",152,28,0.06300075941692311,16,1.638157894736842,41,5308,83,659
16,"Must we process everything, Doug?",140,25,0.06508016582756453,17,1.6357142857142857,39,3971,76,659
17,You have some spinach stuck in your blades.,126,23,0.06910142038204298,18,1.6349206349206349,34,2144,69,659
18,"Honey, use your indoor speed",145,29,0.06624420245250028,19,1.6344827586206896,34,636,82,659
19,Don’t look at me.  I told you to save the instructions.,154,28,0.06253963827702047,20,1.6233766233766234,40,6268,86,659
20,"Well, I did say I'd go for any man with a pulse...",140,27,0.06683865399080753,21,1.6214285714285714,33,2196,80,659
21,So... no attachments?,133,26,0.06894198024868745,22,1.6165413533834587,30,113,77,659
22,So glad they had a table by the outlet.,159,29,0.06168735173253885,23,1.6163522012578617,40,2533,90,659
23,The last guy I dated was a pot head.,158,33,0.06457814254640278,24,1.6139240506329113,31,5413,94,659
24,"Is that a no, or are you still processing?",137,24,0.06572920165368087,25,1.6131386861313868,36,4811,77,659
25,It's very hard for me to avoid pushing your buttons.,142,26,0.06542286289090268,26,1.6126760563380282,35,6076,81,659
26,I'm at the point where I'll date anyone with a pulse.,144,28,0.06619230354118003,27,1.6111111111111112,32,3917,84,659
27,I don’t think anyone will notice you’re not wearing a tie.,135,23,0.06574512010576974,28,1.6074074074074074,36,4883,76,659
28,Please tell me you still have your third wish left.,174,30,0.058107237937629105,29,1.603448275862069,45,3746,99,659
29,I can see you need a minute to process that.,146,29,0.06626513217779631,30,1.6027397260273972,30,411,87,659
30,"Well, it's just really hard not to push your buttons.",171,31,0.05951271694988951,31,1.6023391812865497,41,4365,99,659
31,"I’ve done speed dating, but this is my first mixer.",153,30,0.06447631736231474,32,1.6013071895424837,32,2634,91,659
32,I can't believe your ancestors were Shakers.,149,26,0.06311310066918846,33,1.5973154362416107,37,722,86,659
33,"Oh, when you said you lived in Hamilton Beach, I thought you meant in Queens.",176,33,0.05931370336878276,34,1.5965909090909092,39,3546,104,659
34,"I'm sorry I don't turn you on anymore, John.",146,26,0.06416408989499993,35,1.595890410958904,35,4654,85,659
35,At this point I am just looking for a man with a pulse,133,25,0.06837434152724874,36,1.593984962406015,29,53,79,659
36,"I'm leaving, John. I realize it may take you some time to process this.",123,20,0.06814051069800714,37,1.5934959349593496,33,5518,70,659
37,"I'm sorry, this is just a lot to process.",172,27,0.05698569443186816,38,1.5930232558139534,48,1370,97,659
38,"For goodness sake, Marvin, must you always mince my words?",166,27,0.05868190657681546,39,1.5843373493975903,43,1542,96,659
39,I saw the way you looked at that pepper mill.,170,26,0.057001004144625646,40,1.5823529411764705,47,6214,97,659
40,This is just a lot to process.,160,27,0.060443769674407545,41,1.58125,39,5522,94,659
41,"Before we eat, let us puree.",142,22,0.06267434471427114,42,1.5774647887323943,38,313,82,659
42,The guy you were expecting will be along in a minute. I'm just here to break the ice.,137,23,0.0652986563980956,43,1.5766423357664234,33,6690,81,659
43,"It's ok, it's nice to finally meet a man with a pulse",134,21,0.06476467910602338,44,1.5746268656716418,35,3607,78,659
44,"So, what’s spinning around in that head of yours?",169,27,0.057943726826548456,45,1.5739644970414202,43,6818,99,659
45,It's just that in your photos you looked more like a Cuisinart.,176,22,0.05315982173586903,46,1.5738636363636365,57,5938,97,659
46,Sometimes I wish I couldn't see everything that is going on in your head.,136,20,0.06317002762470797,47,1.5735294117647058,38,5092,78,659
47,"I thought you said ""slender"".",143,25,0.06469097113379638,48,1.5734265734265733,32,4978,86,659
48,Are you going to answer my question or are you still processing?,164,29,0.06058531380723682,49,1.5731707317073171,36,1820,99,659
49,"To be honest, when I heard this was a mixer, I was expecting something else.",138,26,0.06735680114644173,50,1.5724637681159421,27,4018,85,659
50,Well I don't like when you push my buttons either.,141,20,0.061478709042666946,51,1.5673758865248226,40,4736,81,659
51,"So,""Oster,"" is that a family name?",152,23,0.06025900631208598,52,1.5657894736842106,40,6429,89,659
52,You've given me a lot to process.,145,26,0.06478212313085908,53,1.5655172413793104,30,4299,89,659
53,"Chop, blend, liquify, purée - how about “think?” Do you have a “think” button?",145,21,0.060973734298275135,54,1.5655172413793104,40,4490,84,659
54,Take your time. I know it's a lot to process.,156,23,0.05906599131465074,55,1.564102564102564,42,3091,91,659
55,So...what turns you on?,156,24,0.05976206418725168,56,1.564102564102564,40,5218,92,659
56,I’ve never met someone transblender before.,144,24,0.06365483206864696,57,1.5625,33,678,87,659
57,"Truthfully John, you’re not my first appliance.",148,25,0.06303761338708763,58,1.5608108108108107,33,1798,90,659
58,I just think I should be seeing other appliances.,138,19,0.06172707058662578,59,1.5579710144927537,39,1234,80,659
59,I'll give you a minute to process that.,165,28,0.059780032330605797,60,1.5575757575757576,36,5539,101,659
60,I see you're still processing everything.,131,21,0.06606132966405642,61,1.5572519083969465,31,6306,79,659
