target_id,score,precision,count,rank,caption,funny,unfunny,somewhat_funny,contest
23,2.3387580299785866,0.006076648529812949,14010,1,Is the salmon fresh?,6826,2097,5087,679
4202,2.1093242733106834,0.006385565892568342,13245,2,"So, I take it the salmon is wild-caught?",4399,2964,5882,679
937,2.0379365212293776,0.007199853274277967,11941,3,Thanks for checking on the salmon. How's the lamb?,3938,3490,4513,679
5190,1.9534591194968554,0.011944808487886423,4770,4,"I was pretty sure I  said  ""a cold beer"".",1517,1739,1514,679
4843,1.9520393358052555,0.0067670929525923814,12406,5,"Okay,  since you’ve gone to the trouble , I’ll have the fresh-caught salmon!",3251,3853,5302,679
3669,1.9505179523282712,0.008081801621239327,9943,6,Well don't put it on the menu if you can't catch one.,2996,3489,3458,679
1473,1.9058376202191902,0.00832928181623156,8942,7,Is it too late to cancel the salmon?,2392,3234,3316,679
3508,1.8607470511140236,0.009742148928461179,6104,8,"Okay, I'll just have the farm-raised then.",1402,2252,2450,679
5448,1.8091369206180075,0.009225965884159613,7508,9,I said I wanted a wheat beer not a wet bear!,1819,3252,2437,679
3405,1.807517429524098,0.009164247219761229,6598,10,I assume the salmon is the catch of the day?,1315,2585,2698,679
310,1.7932609937178754,0.009116668243440222,7004,11,River to table?,1465,2914,2625,679
4166,1.7873768085552526,0.010698065376168603,4769,12,"Well, if you can't get the salmon, how about the trout?",902,1916,1951,679
4814,1.772931907709623,0.009094816996375795,7108,13,"I asked to see who cooked it, not who caught it.",1474,3094,2540,679
2103,1.7599504687776402,0.01007511079198473,5653,14,I’ll have the wild-caught salmon. Or what’s left of it.,1106,2463,2084,679
3611,1.7410012412081093,0.016122412828425532,2417,15,Listen. I didn’t know it was your salmon when I ordered it.,527,1153,737,679
3584,1.7388680815647108,0.011266526223297782,4806,16,"The fresh salmon was great.  I'd like the  honey ""en comb"" for dessert.",1002,2257,1547,679
5031,1.7360864416814683,0.008909292771655565,6756,17,‘“Today’s catch it is then.”,1160,2951,2645,679
3382,1.7263708513708513,0.00988687438853534,5544,18,So you can personally confirm the salmon was wild-caught?,951,2468,2125,679
3552,1.6999732834624632,0.012039091112724321,3743,19,"I see the special is salmon, is it fresh?",622,1745,1376,679
4759,1.6986970684039089,0.012011470449456765,3684,20,"You've convinced me, it is wild-caught.",591,1701,1392,679
3768,1.686195995785037,0.010959543969495973,4745,21,I'd like to change my order if it's not too much trouble...I'll have the steak instead of the wild caught salmon...,841,2330,1574,679
4003,1.6830643095055087,0.01247723457463321,3903,22,"Don't look at me, I voted for Al Gore.",763,2000,1140,679
5468,1.6745027124773961,0.02325322573870672,1106,23,I'll have what you're having.,209,569,328,679
5307,1.6568516421291053,0.014812568295967655,2649,24,... and an Eskimo Pie for dessert.,471,1380,798,679
154,1.6558951965065503,0.022042308572304194,1145,25,I suppose getting a dry martini is out of the question.,189,583,373,679
2246,1.6372282608695652,0.0161335824024418,2208,26,It's always 'climate change'. It's never 'Sorry I'm late'.,379,1180,649,679
3094,1.6258161727774987,0.017303057121189652,1991,27,"When you said you were ""wet and wild""  on your profile, I was imagining something else.",360,1105,526,679
1901,1.6176575293698825,0.013722778483559819,2809,28,I asked for a beer. BEER.,411,1485,913,679
5484,1.611035236274242,0.011876914022209039,3661,29,"*I see here the salmon is wild-caught, but is it locally sourced?",510,1934,1217,679
1431,1.61003861003861,0.01766635314352704,1813,30,"Is this a typo, or do you really offer Seal Parmigiana?",297,1004,512,679
4631,1.6093686354378818,0.014938215638903322,2455,31,"The salmon was exceptionally fresh. For dessert, I'd like some  mousse, that's m-o-u-s-s-e.",380,1339,736,679
3113,1.603001017293998,0.011415689255492896,3932,32,Would it be too much trouble to send the salmon back?,541,2105,1286,679
