caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
Someone came to school with humans. Now we’ve all got them.,12496,5475,0.006647088665090206,1,2.2577624839948784,4767,15,2254,672
It didn’t really bother me until they discovered fire.,10539,3854,0.007277539870756087,2,2.1505835468260748,4418,5518,2267,672
"As a previous partner, I thought I’d let you know.",9683,3803,0.007980723715608151,3,2.1468553134359185,3493,4690,2387,672
"Ice didn't work, so I'm trying acupuncture.",10485,3543,0.007298372334789907,4,2.1059608965188366,4502,4042,2440,672
"Don't get too close, I have sapiens.",8982,3070,0.008130642212588125,5,2.0826096637719886,3580,3534,2332,672
The doctor says they’ll be gone in a few million years.,7763,2651,0.008767602247821263,6,2.079479582635579,3071,3966,2041,672
Watch what happens when I sneeze.,9036,3066,0.008352904284196829,7,2.0457060646303673,3314,1897,2656,672
"So instead of spraying, you waited and they just killed each other?",8397,2798,0.008667237684270218,8,2.0342979635584135,3087,1532,2512,672
We never had this problem with the gatherers.,8486,2600,0.008354583589055695,9,2.019443789771388,3447,2440,2439,672
"My doctor said if you don’t get rid of them, they evolve into something much worse.",8172,2490,0.00856032075102407,10,2.0105237395986295,3275,3253,2407,672
It's hard to believe we'll go extinct before these idiots.,6726,2212,0.00981036909276458,11,2.0101100208147487,2368,81,2146,672
"I was skeptical too, but my lumbar pain? Almost gone.",5489,1431,0.010221654914984585,12,1.9449808708325742,2325,4288,1733,672
This is priceless. They're arguing over who actually captured me.,4297,1231,0.012104014012106996,13,1.9399581103095183,1577,2351,1489,672
"It's not the heat, it's the humanity.",6994,2079,0.009671708161232544,14,1.9356591364026308,2380,2764,2535,672
"The bad news is, I got humans. The good news is, they tend to get rid of themselves.",6533,1703,0.009458973192142155,15,1.9323434869125975,2685,4654,2145,672
They're just humans. How much harm could they possibly do?,6453,1670,0.009660364791608705,16,1.9064001239733457,2508,162,2275,672
"Sometimes I yell ‘Oh, you got me!’ just to boost their spirits.",5765,1462,0.010178222888457707,17,1.8992194275802254,2255,4426,2048,672
"I need your help getting some people off my back.""",1811,461,0.018239422298731486,18,1.8961899503036996,701,1163,649,672
The doctor calls it mandruff.,5679,1521,0.010531163975206582,19,1.8939954217291777,2032,3,2126,672
These little pricks are getting on my nerves,6551,1810,0.009994084876723848,20,1.883987177530148,2167,1903,2574,672
"Lie down in caves, get up with cave men.",2841,719,0.014689859335663236,21,1.8785638859556495,1058,2275,1064,672
"You should get tested, too.",5888,1372,0.009889361083448957,22,1.8736413043478262,2396,795,2120,672
"Let me get this straight... 
WE die out and THEY end up ruling the world?",5988,1534,0.010213805891248434,23,1.870741482965932,2145,3576,2309,672
They said they'd paint a picture of me on the cave wall if I gave them a ride.,2266,522,0.016025398746875176,24,1.8592233009708738,903,4489,841,672
This human problem has reached mammoth proportions.,4875,1251,0.011448452005413874,25,1.8527179487179488,1655,1137,1969,672
Can you believe I caught another case of nit-wits?,4953,1281,0.011462541631087016,26,1.8409045023218251,1602,1023,2070,672
My doctor says only call if they develop fire.,3211,702,0.0133699497901534,27,1.8368109623170352,1283,3633,1226,672
I picked up seven - I wasn't sure how many the recipe called for.,3327,751,0.013446273268893211,28,1.8154493537721672,1209,2966,1367,672
They are driving me to the brink of extinction.,4446,936,0.011504350628595374,29,1.7876743139901035,1630,198,1880,672
Looks like I got hominids again. God I hate summer.,4157,838,0.011707506050137357,30,1.7873466442145778,1594,5265,1725,672
Dinner's on me.,1843,383,0.017871216276476958,31,1.7780792186652197,668,5367,792,672
The planet is infested with them!,4660,900,0.010994658331627027,32,1.7695278969957082,1785,2113,1975,672
"Ooooh, look at me. I've been captured!",3267,646,0.013267488093683314,33,1.7621671258034894,1187,4509,1434,672
I feel like I'm carrying around a lot of aggression.,3947,762,0.01204778070979429,34,1.7517101596148974,1440,818,1745,672
Twice a week for one hour. I am telling you I have never felt better.,4470,784,0.010958320917849835,35,1.751454138702461,1779,2308,1905,672
My therapist says I let people walk all over me.,3039,592,0.013834813659065606,36,1.7397170121750576,1063,4133,1384,672
