,caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
0,I wish you’d come in when it was just a chip on your shoulder.,141,41,0.07161766200570112,1,1.8368794326241136,36,4474,64,650
1,The good news? You’re not delusional.,139,29,0.06789799224932092,2,1.6762589928057554,36,4112,74,650
2,You were better off with a chip on your shoulder.,142,28,0.06595562461689165,3,1.676056338028169,40,275,74,650
3,"I treat depression and obsession, but not compression.",148,30,0.06530263426865965,4,1.6689189189189189,39,3920,79,650
4,Tell me about your first crush.,124,19,0.06611495823572588,5,1.6370967741935485,40,2871,64,650
5,I could begin with the obvious--but why don't you go first?,142,23,0.06279768641902439,6,1.6338028169014085,44,3670,75,650
6,Last week it was a monkey on your back.,147,24,0.061873367010009,7,1.6326530612244898,45,3463,77,650
7,"So, the last thing you remember was a roadrunner and a coyote?",132,25,0.06836149763775158,8,1.628787878787879,33,3801,74,650
8,And you think this is the cause of your erectile dysfunction?,125,22,0.06889355979077551,9,1.616,33,3279,70,650
9,"Well, let's start with the obvious.",155,25,0.06105947308774889,10,1.6064516129032258,42,3419,87,650
10,"Well, usually when someone tells me that, it's a metaphor.",137,21,0.06332498816063795,11,1.6058394160583942,41,5767,75,650
11,This could be the main reason for your erectile dysfunction.,139,26,0.06666044051520421,12,1.60431654676259,31,3317,81,650
12,"I'm just here to give you the tools, you'll have to do the heavy lifting.",156,22,0.05800622252029698,13,1.6025641025641026,50,1838,84,650
13,Your time's almost up.  Are you sure there isn't anything else you want to get off your chest?,118,17,0.06716440712823232,14,1.6016949152542372,37,6081,64,650
14,No wonder you're unable to have an erection.,151,29,0.06454377705456774,15,1.596026490066225,32,7213,90,650
15,Otherwise OK?,136,25,0.06713777697402536,16,1.5955882352941178,31,6296,80,650
16,"On the plus side, you’re using the word ‘literally’ correctly.",120,22,0.07149448406112974,17,1.5916666666666666,27,548,71,650
17,What's your gut feeling?,122,19,0.06762474697191313,18,1.5901639344262295,34,6493,69,650
18,Let's begin our session with some deep breathing.,136,22,0.06473558438909481,19,1.588235294117647,35,6134,78,650
19,can you feel the pea now?,145,25,0.06386813439911743,20,1.5862068965517242,35,1294,85,650
20,You're in luck. My next patient thinks he's Superman.,127,20,0.06655497287719665,21,1.5826771653543308,34,7327,73,650
21,The good news is that this problem is not in your head.,141,19,0.060524579789892737,22,1.5815602836879432,44,3348,78,650
22,"Now, imagine it's Styrofoam.",150,23,0.06077059220509121,23,1.58,41,750,86,650
23,I mean besides that.,151,22,0.059754528100352575,24,1.576158940397351,43,413,86,650
24,...and suddenly it hit me.,139,23,0.06456257639768553,25,1.5755395683453237,34,6529,81,650
25,"""You know, for the first time in my career I think the problem might not be your mother""",136,19,0.062301845303592174,26,1.5735294117647058,40,4640,77,650
26,You might be more comfortable if you take off your shoes.,143,21,0.061570687191841014,27,1.5734265734265733,40,4528,82,650
27,"It's $200 for the session, plus $2,000 for the forklift.",150,25,0.06228078633102218,28,1.5733333333333333,36,3924,89,650
28,"Thus far, this is the only effective treatment we've found for erections lasting longer than 4-hours.",131,25,0.06941626786574803,29,1.5725190839694656,25,4571,81,650
29,I see you've gained weight but it's good that you've got a handle on it.,152,31,0.06574371012023789,30,1.5723684210526316,25,7293,96,650
30,Seems to me that you're the underlying issue.,140,18,0.06009828977603121,31,1.5714285714285714,44,819,78,650
31,"Ask yourself, does it spark joy?",137,29,0.07011278746932842,32,1.5693430656934306,20,251,88,650
32,You ripped off the ankle bracelet - what did you expect?,130,21,0.0663724529383932,33,1.5692307692307692,32,1376,77,650
33,The first step is acceptance.,132,19,0.06380014283337342,34,1.5681818181818181,37,7112,76,650
34,Why do you think you can't get an erection?,125,21,0.06847274004326288,35,1.568,29,2854,75,650
35,Can you think of anything concrete that might be causing your anxiety?,155,27,0.0620953459865465,36,1.5677419354838709,34,2038,93,650
36,I think I know the cause of your erectile dysfunction.,138,21,0.06336630376036764,37,1.565217391304348,36,917,81,650
37,Any other pressing matters to discuss?,140,17,0.05929589803444791,38,1.5642857142857143,45,3952,78,650
38,"If you upgrade to Premium Care, I can get that removed.",140,21,0.06266660366883524,39,1.5642857142857143,37,5085,81,650
39,I can't help you if you don't tell me what's wrong.,133,23,0.06695657810407085,40,1.5639097744360901,29,5555,81,650
40,"So, what brings you in today?",162,24,0.05804720190769783,41,1.5617283950617284,43,4929,95,650
41,You seem obsessed with your weight.,141,27,0.06704713695667584,42,1.5602836879432624,25,1464,89,650
42,And how long since your last erection?,134,21,0.0648809533093393,43,1.5597014925373134,33,1698,80,650
43,"You can't change the fact that it's there, but you CAN change your reaction to it.",143,15,0.056684016034753495,44,1.5594405594405594,50,6620,78,650
44,First I applaud your proper use of “literally”.,126,21,0.06719368409052927,45,1.5555555555555556,27,483,78,650
45,Any other symptoms?,135,17,0.06100926233195492,46,1.5555555555555556,41,4630,77,650
46,We'll pick this up next week.,137,18,0.061223839524365914,47,1.5547445255474452,39,2957,79,650
47,"No, in this instance I agree - it’s not all in your head.",157,21,0.05743361665108058,48,1.5541401273885351,45,1462,91,650
48,Take an anvil and call me in the morning.,132,24,0.06828455005012983,49,1.553030303030303,25,4074,83,650
49,I can't help you if you wont tell me what's bothering you.,132,20,0.06480847237462826,50,1.553030303030303,33,6942,79,650
