,rank,caption,score,precision,count,unfunny,somewhat_funny,funny
0,1,"""I'll catch it"", was the last I heard.",1.7956600361663653,0.034904914666469535,553.0,254.0,158.0,141.0
1,2,Yours is perfectly adequate.,1.7908309455587392,0.04175317821515303,349.0,150.0,122.0,77.0
2,3,It looked a lot smaller online.,1.7292993630573248,0.04303158091333745,314.0,145.0,109.0,60.0
3,4,"Well, where do you think these little balls come from?",1.6828571428571428,0.022631764372617342,1400.0,794.0,256.0,350.0
4,5,If size didn't matter we'd all be swimming.,1.6764705882352942,0.053975325100303104,204.0,104.0,62.0,38.0
5,6,It was only a dollar more..,1.6764091858037578,0.034646627754169566,479.0,240.0,154.0,85.0
6,7,You should see his water noodle.,1.6732673267326732,0.053089293359529915,202.0,101.0,66.0,35.0
7,8,"This ""mine is bigger than yours"" thing between you and your brother has got to stop, Harry.",1.6696914700544463,0.03329181062231607,551.0,289.0,155.0,107.0
8,9,"No chance of us getting them mixed up, I initialed mine.",1.6649305555555556,0.031389500095584034,576.0,292.0,185.0,99.0
9,10,Costco. Why?,1.664351851851852,0.03666712209683107,432.0,222.0,133.0,77.0
10,11,It keeps blowing over from Mar-a-Lago. You'd think they would build a wall.,1.6566523605150214,0.051349299611014115,233.0,125.0,63.0,45.0
11,12,Not Freudian. Trumpian.,1.6363636363636365,0.05806591007608841,187.0,105.0,45.0,37.0
12,13,"He has a bigger house, a bigger car, and now a bigger ball - need I go on?",1.6344086021505375,0.02703994086864254,930.0,548.0,174.0,208.0
13,14,"The car, the house--it's always a competition with him.",1.6313823163138232,0.027608751430360148,803.0,448.0,203.0,152.0
14,15,With a coupon it cost the same as the small one.,1.619047619047619,0.05776559259274334,168.0,91.0,50.0,27.0
15,16,Just be patient. He goes back to Washington Sunday night and takes his ball with him.,1.6129032258064515,0.04896051335035232,248.0,140.0,64.0,44.0
16,17,It's right there on the label: May expand when wet.,1.6125,0.04104221200354825,320.0,172.0,100.0,48.0
17,18,"They've appeared out of nowhere , in pools all over the world.",1.6083231334149326,0.027622255522081588,817.0,477.0,183.0,157.0
18,19,Thats the last time I send you to Costco,1.6082949308755758,0.03584172798027696,434.0,239.0,126.0,69.0
19,20,"In this neighborhood, size is everything.",1.6025641025641026,0.06345412310153335,156.0,92.0,34.0,30.0
20,21,You really blew that out of proportion didn't you?,1.6021505376344083,0.0561682457740294,186.0,106.0,48.0,32.0
21,22,That's inflation for you.,1.59846547314578,0.03780652841705368,391.0,219.0,110.0,62.0
22,23,That is not what B.Y.O.B. meant on the invitation.,1.595959595959596,0.051055808455138935,198.0,107.0,64.0,27.0
23,24,"THEIR BEACHBALL IS OUT OF ORDER. Ours goes pink, yellow, green, blue.",1.584518167456556,0.0325449291129225,633.0,398.0,100.0,135.0
24,25,Are we in The New Yorker or one of those annoying adult coloring books?,1.5790378006872852,0.030563331111858938,582.0,332.0,163.0,87.0
25,26,Wait until you see the size of the seal.,1.5757575757575757,0.04165580728614951,297.0,166.0,91.0,40.0
26,27,"All I heard was, ""It's gonna be the biggest beach ball. The best. The greatest. Amazing. Yuge! Believ---OOF.""",1.5736196319018405,0.04049401505943037,326.0,186.0,93.0,47.0
27,28,I guess my 'fat fingered vulgarian' joke really pissed him off.,1.5674157303370786,0.036686523376996856,534.0,357.0,51.0,126.0
28,29,"If my neighbor asks for his ball back, just fucking give it to him.",1.5665399239543727,0.03646378298191443,526.0,347.0,60.0,119.0
29,30,Of course your Gay Pride is just as big as Ed's.,1.5664335664335665,0.06320461423080645,143.0,85.0,35.0,23.0
30,31,Last one on is a rotten egg.,1.5659655831739965,0.0353147389352538,523.0,333.0,84.0,106.0
31,32,"But don't you see! The proper order is red, yellow, green!",1.5557894736842106,0.034838645162319805,475.0,289.0,108.0,78.0
32,33,I only came here to drink anyways.,1.55119825708061,0.03500169143348948,459.0,278.0,109.0,72.0
33,34,It's what you do with it that counts.,1.545945945945946,0.051947800864644136,185.0,107.0,55.0,23.0
34,35,"He had to have a bigger car than me, a bigger house than me. I tell you Helene, it never ends!",1.5377128953771289,0.03837583338491548,411.0,263.0,75.0,73.0
