,target_id,mean,precision,count,score,caption,contest
0,4621,1.8258641724278162,0.006741756073133745,12295,1.8258641724278162,"About to land now, call you when I'm on the ground.",626
1,1863,1.8235876288659794,0.006929914379003901,12125,1.8235876288659794,"No, I can’t hold on.",626
2,225,1.8219501899535668,0.00695565389482733,11845,1.8219501899535668,"Test driving a new mustang, what are you up to?",626
3,326,1.8188833841463414,0.007666667044219805,10496,1.8188833841463414,Turns out this IS my first rodeo.,626
4,1069,1.8110167374469148,0.00863179930195408,8006,1.8110167374469148,Hi Hon. Can you meet me at the hospital in about ten minutes?,626
5,598,1.8098280485881053,0.006969384672302104,12678,1.8098280485881053,"No, I said I'm getting BUCKED, with a B.",626
6,3600,1.7946192649531587,0.008109888720386624,8326,1.7946192649531587,I'm in the air right now; let me call you back after I land.,626
7,3315,1.780895058732162,0.007866979380219241,10301,1.780895058732162,"You’re absolutely right, dear – the rattlesnake ringer tone was not a good idea!",626
8,762,1.7710690493814105,0.007619216861957392,9457,1.7710690493814105,"On second thought, let's add the accident coverage.",626
9,5833,1.7682829888712241,0.015589816511957106,2516,1.7682829888712241,"No, I said 'bucked', though on second thought you may be right.",626
10,1701,1.7586404430017186,0.010651319735476703,5237,1.7586404430017186,"Hang on, I think I'm being dropped by my carrier.",626
11,5839,1.7518030340711266,0.0084420396658461,8042,1.7518030340711266,"Hi, I’d like to add a rider to my insurance policy.",626
12,2363,1.7451842275371687,0.00907319425771697,7735,1.7451842275371687,This is so relaxing after working in the White House.,626
13,2802,1.7406931964056482,0.009084007961358293,7011,1.7406931964056482,"Siri, what’s the safest way to fall from a horse?",626
14,2144,1.7314685314685314,0.009605733808356571,7150,1.7314685314685314,Fire that idiot in purchasing. Get me a CHEVY Bronco and for Heaven's sake CANCEL MY WIFE'S JAGUAR!!,626
15,4764,1.7266430660304757,0.009381489505681467,6497,1.7266430660304757,Yeah! Ironically this was the last item on my bucket list.,626
16,2418,1.7069377990430623,0.012867029908903385,3344,1.7069377990430623,And how would you suggest I hold my horses?,626
17,2978,1.7068783068783069,0.008993339529084605,6615,1.7068783068783069,And you say my coverage is effective immediately?” ... “Excellent.,626
18,3960,1.680583646344987,0.008890665426213735,6922,1.680583646344987,"The Uber only said ""Brown Bronco""!!",626
19,5825,1.673964297743348,0.013281404049625325,2969,1.673964297743348,Pre-existing conditions? Not yet.,626
20,5460,1.669887854927225,0.009051546509690023,8382,1.669887854927225,Hold on!--it's just a dead zone.,626
21,4257,1.668598233995585,0.011698876145329154,3624,1.668598233995585,I should be landing shortly,626
22,3418,1.6494957754156445,0.012230958808095764,3669,1.6494957754156445,You now have my unbridled attention.,626
23,5318,1.6460637605725439,0.013042581558036314,3074,1.6460637605725439,"No, seriously, I really DO need to see a man about a horse.",626
24,421,1.6279882309672673,0.009975922760451736,5438,1.6279882309672673,"Well actually, it is my first rodeo!",626
25,4173,1.6253634533661374,0.01121455247369863,4471,1.6253634533661374,Sorry. Butt dial.,626
26,4833,1.6246808510638298,0.010133602010781404,4700,1.6246808510638298,Let me get back to you -- things are kind of up in the air right now.,626
27,5782,1.596676737160121,0.027764292736586548,662,1.596676737160121,Hang on a sec. I have to take this fall.,626
