,caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
0,How do you respond to allegations that you're bipolar?,166,53,0.06653666664478528,1,1.8975903614457832,43,385,70,656
1,The poles show you’re in trouble.,140,34,0.068157365822999,2,1.8,44,2117,62,656
2,I'm sure voters have noticed that you're completely in the dark half the time.,121,25,0.06991494567612866,3,1.7768595041322315,44,4906,52,656
3,I guarantee in twelve hours we'll see a completely different side of my opponent.,147,35,0.06692803151566025,4,1.7687074829931972,43,1941,69,656
4,"Ask yourself, are you better off now than you were four billion years ago?",163,36,0.0618888675622726,5,1.7668711656441718,53,4425,74,656
5,"Oh, sure. But in 12 hours, you'll take the opposite position.",150,31,0.0642422707508882,6,1.72,46,5120,73,656
6,I guarantee in twelve hours my opponent will be on the other side of the issue.,147,32,0.06632862133480881,7,1.7074829931972788,40,2732,75,656
7,That wasn’t your position this morning.,128,27,0.07046612155083692,8,1.703125,36,5113,65,656
8,"My opponent, on the other hand, tends to be all over the map.",142,28,0.06553029848817939,9,1.6971830985915493,43,4891,71,656
9,"There you go again; constantly changing your position""",130,24,0.06718299207469837,10,1.6923076923076923,42,4439,64,656
10,"Ask yourself, are you better off than you were 4.54 billion years ago?",162,30,0.06033430765730498,11,1.6851851851851851,51,4873,81,656
11,Spin. Spin. Spin. That's all we ever get from you.,139,26,0.06541094339081946,12,1.683453237410072,43,1740,70,656
12,Spin and more spin!  That's all we get from you.,139,30,0.06852480699351321,13,1.683453237410072,35,3375,74,656
13,"Everything doesn’t revolve around you, you know!",136,23,0.06423875751793785,14,1.6764705882352942,46,3534,67,656
14,"Wait, if you're here, then where are we?",156,33,0.0644140488470638,15,1.6730769230769231,39,18,84,656
15,"And finally, can you really trust my opponent whose position changes EVERY SINGLE DAY?",160,32,0.06262565984035817,16,1.6625,42,4856,86,656
16,Twelve hours from now my opponent will do a complete about-face.,141,29,0.067394547621019,17,1.6595744680851063,35,5151,77,656
17,And yet just a few hours ago you held a totally different position!,129,22,0.06662834665763986,18,1.6511627906976745,40,3672,67,656
18,Don't be fooled by her 4.5 billion years of experience.,154,26,0.06078767941477272,19,1.6493506493506493,48,4979,80,656
19,Please let me finish. Not everything revolves around you!,128,24,0.06890403623445876,20,1.6484375,35,1417,69,656
20,I know for a fact Russia is behind this.,145,28,0.06531021940619192,21,1.6482758620689655,38,1663,79,656
21,"No offense, but half the time , you’re in the dark!",162,30,0.06096646550840762,22,1.6481481481481481,45,4710,87,656
22,We've had enough of your spin.,144,24,0.06269394926371503,23,1.6458333333333333,45,5131,75,656
23,Clearly Russia is behind you!,156,32,0.06427602667677129,24,1.641025641025641,36,1430,88,656
24,"In the past 12 hours, my opponent has made a complete about-face.",156,28,0.06174103341973509,25,1.6346153846153846,43,197,85,656
25,Spin! All we get from you is spin!,133,22,0.06533793553742236,26,1.631578947368421,40,4487,71,656
26,Make no mistake—in just half a day his position will have changed 180 degrees!,149,26,0.06270187299058422,27,1.6308724832214765,42,2220,81,656
27,My opponent changes his position every day,157,28,0.06147954240157222,28,1.6305732484076434,43,1340,86,656
28,And can we trust a candidate that does a 180 twice a day?,137,26,0.06715025101890053,29,1.6277372262773722,34,227,77,656
29,My opponent’s position changes every day!,147,30,0.0663286213348088,30,1.6258503401360545,32,5103,85,656
30,"All my opponent ever does is spin, spin, spin.”",132,23,0.06675650582448084,31,1.621212121212121,36,5183,73,656
31,"Folks, we need stability—not a revolution every 24 hours.",142,28,0.06684552550404414,32,1.619718309859155,32,3875,82,656
32,"With all due respect, I am the one with the degree in global studies.",137,21,0.06323212260523063,33,1.6131386861313868,42,177,74,656
33,Wait... If you're here then where am I?,147,29,0.0657912278165731,34,1.6122448979591837,32,1545,86,656
34,I don't care how many millions of years it took. Your 5 minutes are up.,147,22,0.060631426973174155,35,1.6122448979591837,46,2926,79,656
35,"Oh, I get it - the whole world's right and I'm wrong.",141,30,0.06883974727585844,36,1.6099290780141844,26,5022,85,656
36,Really? You held the exact opposite position just six months ago!,133,23,0.06651376844548071,37,1.6090225563909775,35,1835,75,656
37,You are bipolar and tempestuous.,147,28,0.06515704570282578,38,1.6054421768707483,33,2371,86,656
38,"I've got many, many continents. More continents than you can even imagine. The best continents.",148,25,0.06268188453688887,39,1.6013513513513513,39,3294,84,656
39,Even your own poles show you losing.,140,27,0.0670935289267436,40,1.6,30,61,83,656
40,"Spin, spin and more spin!  Stop that!",169,26,0.05712142863842085,41,1.5976331360946745,49,3801,94,656
41,Please let me finish. Your last turn felt like it took all day.,134,25,0.06792977536065668,42,1.5970149253731343,30,1944,79,656
42,If you're here then what am I standing on?,119,22,0.07192326828359705,43,1.596638655462185,27,3135,70,656
43,"And another thing, you think the sun rises and sets around you!",156,26,0.0608587879626141,44,1.5961538461538463,41,841,89,656
44,You're in trouble at the poles!,146,30,0.06704419197224971,45,1.595890410958904,27,3968,89,656
45,"Just as we seemed to finding some common ground, you rotate right back to the same position you held 24 hours ago!",136,24,0.06632155483054006,46,1.5955882352941178,33,4035,79,656
46,"Unfortunately, Wind and Fire will be unable to join us tonight.",157,27,0.061259184909781356,47,1.5923566878980893,39,3000,91,656
47,"Just in the last day, my opponent has rotated 360 degrees.",152,24,0.06075169821204878,48,1.5921052631578947,42,239,86,656
48,"Yes, but can you act locally?",152,21,0.05856068398188176,49,1.5921052631578947,48,2233,83,656
49,"Rest assured, by the time this debate is over, my opponent will have changed positions yet again.",146,25,0.06349246149481828,50,1.5890410958904109,36,419,85,656
50,The only thing we have to fear is sphere itself.,158,28,0.061643058916025846,51,1.5886075949367089,37,403,93,656
51,"Yes, ladies and gentlemen, it is me against the world.",148,26,0.06354792854009406,52,1.587837837837838,35,3999,87,656
52,"First you spend millions of years making fossil fuels, now you say we can't use them?",142,25,0.06495886509997924,53,1.5845070422535212,33,2915,84,656
53,"There you go again, thinking everything revolves around you!",158,23,0.058340614823778,54,1.5822784810126582,46,3081,89,656
54,"Unlike my opponent, I don’t believe everything revolves around me.",141,26,0.06612446307456206,55,1.5815602836879432,30,1028,85,656
55,Are you better off than you were four billion years ago?,141,20,0.061355862648461,56,1.5815602836879432,42,1578,79,656
56,My opponent believes the sun rises and sets on her.,129,24,0.06934221187137538,57,1.5813953488372092,27,2132,78,656
57,Not quite. But you're getting warmer.,149,23,0.061113977110237735,58,1.5771812080536913,40,162,86,656
58,"Look, if you are who you say you are then what am I standing on?",149,26,0.06330088753668685,59,1.5771812080536913,34,3704,89,656
59,Don't be intimidated by the gravity of my opponent.,132,22,0.06640117049510202,60,1.5757575757575757,32,625,78,656
60,Nothing but spin.,141,24,0.06463524227846833,61,1.574468085106383,33,407,84,656
61,Enough with the spin.,157,24,0.059396924014618886,62,1.5732484076433122,42,4803,91,656
62,Are we really considering electing someone who will be over five billion years old at the time they take office?,131,18,0.06321819010170393,63,1.5725190839694656,39,3785,74,656
63,This debate doesn't revolve around you.,147,21,0.06028540822211101,64,1.5714285714285714,42,2936,84,656
64,"There you go again, promising the moon.",156,19,0.056145989759018494,65,1.5705128205128205,51,4329,86,656
65,"It’s always about you, isn’t it?",135,19,0.06268432475956667,66,1.5703703703703704,39,4555,77,656
66,It's all spin.,134,18,0.06217521261429326,67,1.5671641791044777,40,2974,76,656
67,My opponent relies too heavily on poles.,158,29,0.06248988908220956,68,1.5632911392405062,31,3551,98,656
68,"I knew Venus. Venus was a friend of mine. And you, sir, are no Venus.",153,25,0.061395076887901225,69,1.5620915032679739,36,2343,92,656
69,My opponent here is a master of spin.,132,17,0.062020844993368074,70,1.5606060606060606,40,2268,75,656
70,My opponent spins everything.,154,23,0.059698911374240445,71,1.5584415584415585,40,683,91,656
71,The earth has an announcement to make: it's bi-polar.,129,23,0.06864815989945158,72,1.558139534883721,26,4769,80,656
72,She keeps going around and around and never gets to her point.,135,21,0.06453187869838803,73,1.5555555555555556,33,4603,81,656
73,"Half of each and every day, my opponent is operating in the dark.",155,27,0.062177991925104585,74,1.5548387096774194,32,3221,96,656
74,"Sure, my opponent claims she can provide clean air, clean water, enough food for everyone - but how is she going to pay for it?",139,23,0.06471923262104218,75,1.5539568345323742,31,2033,85,656
75,My opponent has been spinning in circles. If we follow her we'll just end up in the same spot next year!,159,22,0.05758162518376936,76,1.5534591194968554,44,3575,93,656
76,It appears my opponent is getting heated.,132,21,0.06569473732755836,77,1.553030303030303,31,450,80,656
77,You can spin all you want,123,19,0.06751748040523976,78,1.5528455284552845,30,2697,74,656
78,Save the Earth? Now who's the narcissist?,152,22,0.05961818920563723,79,1.5526315789473684,40,4214,90,656
79,"So, if you are here, what are we all standing on?",134,21,0.06492933943979436,80,1.5522388059701493,32,3921,81,656
80,"As always, my opponent is going around in circles.",118,16,0.06657692528650852,81,1.5508474576271187,33,1618,69,656
81,"Yeah, and I guess you think the sun revolves around you!",138,19,0.06177362309877572,82,1.5507246376811594,38,981,81,656
82,Is my opponent going to reach a point or continue to go around in circles?,158,21,0.057176622828314275,83,1.5506329113924051,45,2341,92,656
83,And the moon is gonna pay for it.,129,22,0.06780869006558488,84,1.550387596899225,27,5158,80,656
84,I don't think you understand the gravity of the situation!,160,24,0.058680458641826354,85,1.55,40,427,96,656
85,It is common knowledge that my opponent is a master of spin,171,27,0.057564216210803376,86,1.5497076023391814,40,3840,104,656
86,I'm afraid your time's almost up.,153,22,0.05933728178107348,87,1.5490196078431373,40,3807,91,656
87,It is almost impossible to overstate the gravity of my opponent’s position.,133,22,0.06619751080456611,88,1.5488721804511278,29,851,82,656
88,Can you be a bit more Pacific?,146,20,0.059981253393859145,89,1.547945205479452,40,3073,86,656
