,rank,caption,score,precision,count,unfunny,somewhat_funny,funny
0,1,"I went ahead and fixed the bagel setting, too. So with parts and labor, that actually comes out to two wishes.",1.9718353450943982,0.013134671832398104,3231.0,947.0,1428.0,856.0
1,2,"OK, your crumb tray is cleaned and the coffee is brewing. You have one left.",1.9493807215939687,0.012371078538173713,3714.0,1154.0,1594.0,966.0
2,3,It was the only way I could get into the country.,1.9180006533812481,0.014599345223475746,3061.0,1134.0,1044.0,883.0
3,4,"you have three wishes, as long as they're light, medium and dark..",1.909873417721519,0.01210564455470152,3950.0,1337.0,1632.0,981.0
4,5,Toasted sesame is way different than open sesame and you know it.,1.865709156193896,0.015056861452474419,2785.0,1091.0,977.0,717.0
5,6,"Thanks, kid, I've been in there since your parents' wedding.",1.8480565371024733,0.015541024450919328,2547.0,1006.0,922.0,619.0
6,7,"Listen, if you want to talk to my supervisor, rub the coffee maker.",1.8193430656934304,0.014443272860871537,2740.0,1075.0,1085.0,580.0
7,8,"Toast, Master?",1.8117897727272727,0.020800488053866004,1408.0,586.0,501.0,321.0
8,9,"Thanks, Master! For awhile there, I thought I was toast!",1.807486631016043,0.01707998441752641,2057.0,853.0,747.0,457.0
9,10,"Rub all you like, kid. All you're gonna get is toast.",1.8042117245304496,0.012719834006731054,3514.0,1410.0,1382.0,722.0
10,11,World peace? When you so obviously need a blender?,1.7982944011865036,0.01478888085424879,2697.0,1122.0,997.0,578.0
11,12,"Hi, I'm the genie with the light brown hair. You may adjust the setting if you want it darker.",1.7787481804949057,0.029651972001035632,687.0,300.0,239.0,148.0
12,13,Could you please rub the coffee pot? I need to talk to my wife.,1.778014486578611,0.016100672403993096,2347.0,1032.0,804.0,511.0
13,14,"Oh, a Hamilton seat!! I thought you said a Hamilton-Beach.",1.7721984078383344,0.019652097742496568,1633.0,743.0,519.0,371.0
14,15,"Sorry, kid, if I could make America great, I wouldn't be living in a toaster.",1.7541218637992833,0.021037700956452483,1395.0,644.0,450.0,301.0
15,16,"The lamp was great, but the toaster has internet.",1.7532573289902282,0.015218662592544513,2456.0,1076.0,910.0,470.0
16,17,"Make a different wish, your bagel is really stuck.",1.75,0.014738844712115215,2652.0,1178.0,959.0,515.0
17,18,"I know it's not customary, but the last guy rubbed me the wrong way.",1.7221163012392755,0.016258734650880086,2098.0,954.0,773.0,371.0
18,19,It wasn't plugged in. You have two more wishes.,1.7160148975791434,0.016203077208280903,2148.0,997.0,764.0,387.0
19,20,Your first wish is a Pop Tart?,1.6910569105691058,0.01996114029831723,1353.0,638.0,495.0,220.0
20,21,Two wishes remaining. Maybe aim a little higher than 'fix the toaster?',1.684387241186346,0.017216357812810598,1787.0,844.0,663.0,280.0
21,22,"This place is way better, has two skylights and an elevator.",1.673960612691466,0.024790344974101597,914.0,454.0,304.0,156.0
22,23,Next time disable your pop-up blocker.,1.6730103806228374,0.022036920181885602,1156.0,575.0,384.0,197.0
23,24,I've been updated to work across multiple devices,1.667590027700831,0.03702032949983758,361.0,169.0,143.0,49.0
24,25,You get 3 slices...,1.6593851132686084,0.02143889644694817,1236.0,633.0,391.0,212.0
25,26,I can fix the toaster but I still say you'd be better off wishing for a new one.,1.6555555555555554,0.020807980913548938,1170.0,567.0,439.0,164.0
26,27,"Yeah, but it's a dry heat.",1.6535796766743651,0.024402617259515525,866.0,425.0,316.0,125.0
27,28,I would have been here sooner but I had to find a way around the Travel Ban.,1.6531332744924978,0.02245468715878213,1133.0,588.0,350.0,195.0
28,29,"With this travel ban, it was the only way I could get into the country.",1.6492985971943888,0.02391885520924513,998.0,521.0,306.0,171.0
29,30,Rub me the wrong way and you're toast,1.6463768115942028,0.02313051670172371,1035.0,534.0,333.0,168.0
30,31,Take three more. I couldn't get all the crumbs out either.,1.6345291479820627,0.024236529204718225,892.0,456.0,306.0,130.0
31,32,"An edible gluten-free bread loaf? I'm a genie, not a miracle worker.",1.6323024054982818,0.043222536587024386,291.0,152.0,94.0,45.0
32,33,"What can I say, kid? It's roomier and has central heating and an elevator.",1.6296296296296295,0.02616892145061049,837.0,452.0,243.0,142.0
33,34,"Yes, I can fit into the coffeemaker too. But that will be number two and I think you're missing the point here.",1.6271820448877805,0.026157097448675917,802.0,425.0,251.0,126.0
34,35,"You know, it's really pretty easy to make it yourself.",1.6260762607626076,0.02570886168887886,813.0,427.0,263.0,123.0
35,36,That was the old days. Now you get three apps.,1.6171662125340602,0.02634516512262735,734.0,381.0,253.0,100.0
36,37,"Yes kid, living in a toaster does have it's ups and downs.",1.6168741355463347,0.026582838631309308,723.0,376.0,248.0,99.0
37,38,Listen carefully; the options have changed.,1.6108663729809105,0.026770856084741404,681.0,350.0,246.0,85.0
38,39,"OK, your 'Hot Pockets' will never again be cold in the middle. What's wish number two?",1.607033639143731,0.027373776199278155,654.0,339.0,233.0,82.0
39,40,I found this a better way to get into the country!,1.6058282208588956,0.028289945363034287,652.0,349.0,211.0,92.0
40,41,Your knish is my command.,1.6041009463722398,0.028746169877125763,634.0,341.0,203.0,90.0
41,42,"""Light,"" ""Medium,"" and ""Dark"" are the only 3 wishes I'm allowed to grant.",1.6037735849056605,0.028678228758501977,636.0,342.0,204.0,90.0
42,43,I am your toastmaster.,1.6016129032258064,0.02996508065082557,620.0,345.0,177.0,98.0
43,44,Don't rub the coffee pot. I can't stand that guy.,1.595890410958904,0.030878323766395238,584.0,328.0,164.0,92.0
44,45,Toast is easy. The last guy wished to be president.,1.5952813067150635,0.032936256645321696,551.0,321.0,132.0,98.0
45,46,Hi! I'm your genie with the light brown toast.,1.5951557093425606,0.03094032037300905,578.0,324.0,164.0,90.0
46,47,A bagel and coffee is two wishes,1.5944540727902947,0.02939132411618145,577.0,308.0,195.0,74.0
47,48,"Gotta keep moving around; I may be magic, but I'm not documented.",1.5925925925925926,0.031124533818731693,567.0,318.0,162.0,87.0
48,49,Your knish is my command.,1.5919811320754718,0.03537289770708009,424.0,234.0,129.0,61.0
49,50,"Thanks kid, I was nearly toast.",1.5906642728904847,0.031468184146386684,557.0,314.0,157.0,86.0
50,51,You have no idea how few people think to rub a toaster.,1.5894160583941606,0.0294861976460446,548.0,289.0,195.0,64.0
51,52,"We don't do slang. You ask for bread, you get bread.",1.5833333333333333,0.03254216493925681,516.0,293.0,145.0,78.0
52,53,"You can ask him, but fair trade, shade grown, and dark roast are going to count as three separate wishes.",1.5828460038986354,0.03052453765431612,513.0,274.0,179.0,60.0
53,54,"Let me get this straight. It's world peace, the girl of your dreams, and a tall Colombian roast?",1.581532416502947,0.03133371355926508,509.0,278.0,166.0,65.0
54,55,No way! That magic lamp is the FIRST place the ICE agents will look!,1.5810276679841897,0.032576631228144096,506.0,286.0,146.0,74.0
55,56,I ate your pop-tarts so you get an extra wish.,1.579476861167002,0.03166115188856041,497.0,272.0,162.0,63.0
56,57,"It's fixed, but I suggest that you not waste any more wishes on appliances.",1.5764462809917354,0.032450592354870245,484.0,269.0,151.0,64.0
57,58,If you were 600 years old you'd need some help popping out of things too.,1.5726495726495726,0.03317440800556197,468.0,263.0,142.0,63.0
58,59,No one uses lamps anymore. We're all connected to the Internet of Things.,1.5721271393643033,0.035653434870618735,409.0,231.0,122.0,56.0
59,60,Coffee first. Then we'll talk wishes.,1.5701754385964912,0.03239629432643466,456.0,249.0,154.0,53.0
60,61,"whatever you do, don't rub the coffee maker.",1.5701754385964912,0.03370868190834859,456.0,258.0,136.0,62.0
61,62,"You know, it'll just pop out when it's ready. You don't need me to keep checking.",1.5699208443271768,0.03669419306857788,379.0,213.0,116.0,50.0
62,63,"Actually you only get one wish, but I could throw in a free toaster.",1.5698689956331875,0.032440019848494525,458.0,251.0,153.0,54.0
63,64,"Thank you, master. I like it much better. It has electric heating, a skylight, and 2 rooms instead of one.",1.5679287305122491,0.03382749920274284,449.0,254.0,135.0,60.0
64,65,"For New York, that's a lot of space!",1.5616113744075828,0.033206097843711806,422.0,231.0,145.0,46.0
65,66,You've used two wishes and you still have a studio apartment?,1.5602836879432624,0.044860987860371966,282.0,169.0,68.0,45.0
66,67,I'm the pleasant one. The coffee genie is somewhat bitter.,1.5585365853658537,0.035311679025488686,410.0,235.0,121.0,54.0
67,68,Toast? One of your three wishes is toast?,1.5585365853658537,0.03428343707670616,410.0,229.0,133.0,48.0
68,69,"Yes, well I winter in the toaster",1.5532994923857868,0.034600939033225336,394.0,220.0,130.0,44.0
69,70,"Sorry, even I can't make gluten free bread taste good.",1.5532994923857868,0.03798205409998643,394.0,239.0,92.0,63.0
70,71,Do you mind condemning me to the coffee pot instead? I've never had a room with a view.,1.5526992287917738,0.03586741089851122,389.0,223.0,117.0,49.0
71,72,I'm outta here. Tell your parents Hide' N Seek was the third wish.,1.5518134715025906,0.038603553925525634,386.0,236.0,87.0,63.0
72,73,Asking for gluten free toast counts as two wishes.,1.5515463917525774,0.03612621172775946,388.0,224.0,114.0,50.0
73,74,It's part of the extended warranty,1.5506493506493506,0.035015296756063095,385.0,216.0,126.0,43.0
74,75,We transitioned to small appliances years ago.,1.55,0.034962832647154836,380.0,212.0,127.0,41.0
75,76,"I don't care if you have another wish left. You wanted Trump, you got him. I'm outta here.",1.5481283422459893,0.03904143937314363,374.0,229.0,85.0,60.0
76,77,"Sorry, but I burnt your first wish.",1.545945945945946,0.03628130114407745,370.0,212.0,114.0,44.0
77,78,"I've fixed the coffee-maker and the toaster, but couldn't this third wish have something to do with, say, world peace or the end of hunger?",1.5452054794520549,0.03561296431603229,365.0,205.0,121.0,39.0
78,79,"Gluten free, non fat, AND delicious? I'm a genie, not a miracle worker.",1.543956043956044,0.03932119201602028,364.0,223.0,84.0,57.0
79,80,Toaster Genie's not a bad gig-- it's a big improvement over Diaper Genie.,1.5421348314606742,0.03693083417850016,356.0,205.0,109.0,42.0
80,81,It was just some crumbs stuck in the release. What's your second one?,1.5410764872521243,0.03886160033518117,353.0,212.0,91.0,50.0
81,82,"Well you see, Jimmy, this makes me feel modern and relevant and it scares the crap out of the cat.",1.5395894428152492,0.039480360072848254,341.0,205.0,88.0,48.0
82,83,"Per the latest executive order, we're only allowed into the country if we live in American-made appliances.",1.5393586005830904,0.039086924373768976,343.0,205.0,91.0,47.0
