target_id,score,precision,count,rank,caption,funny,unfunny,somewhat_funny,contest
3687,2.3420620763467714,0.006410872248849624,14015,1,"Publicly, we're still saying there are no side effects.",7260,2474,4279,683
1327,2.113099448295374,0.00661925139226328,14138,2,You all remember Phil — we used to hang out under his bed.,5273,3677,5187,683
4082,2.03836356619066,0.007092515660484291,12955,3,This is a good point to stop the meeting; I see that lunch has arrived.,4479,3981,4492,683
4290,2.03266289893617,0.00737394155777927,12032,4,"Suddenly,  Jeff realized he should have posted his resume on other sites besides monster.com",4147,3761,4123,683
3608,2.010890190578335,0.007002986206473916,12121,5,Dr. Smith here will explain what went wrong with the clinical trial.,3675,3550,4896,683
5568,1.9623213858066577,0.007012492942295252,12527,6,"Do we need to discuss diversity, or are we good?",3632,4104,4790,683
4765,1.944514501891551,0.007372719268405914,11895,7,"Good, Human Resources is here.",3537,4203,4154,683
4978,1.9334055675945991,0.007662731663888118,11998,8,Apparently we’re the only people willing to work in the White House during Trump’s second term.,3862,4667,3469,683
2965,1.9295619432454771,0.0077445553978362025,10889,9,He’s an attorney. Of course he’s cold-blooded.,3199,3969,3721,683
5541,1.9225006140997298,0.008740708150934052,8142,10,"He brings a fresh perspective, and frankly, we need his opposable thumbs.",2241,2872,3029,683
2442,1.8821937578928378,0.01064971273525777,5543,11,"Love your Halloween costume, Ed.
Creepy. Take a seat.",1454,2107,1982,683
1136,1.8814117647058823,0.012602864652113632,4250,12,Let’s open with the pronouns each of us feel comfortable with,1212,1716,1322,683
2385,1.8777163176610037,0.007748799012213312,10124,13,"Everyone I would like you to meet Andy, our diversity hire.",2538,3779,3806,683
4222,1.8669950738916257,0.015542496815532847,2436,14,"Mr. Morris is here to discuss why there's a problem with the facial identification software.""",576,900,960,683
4681,1.8570205479452055,0.012072317472637878,4672,15,"I know you're skeptical, but he claims he can cure our reptile dysfunction.",1304,1972,1396,683
539,1.8415417558886509,0.00877110628194036,8873,16,Didn't we order Chinese?,2444,3855,2574,683
4922,1.8403141361256545,0.04003364986606062,382,17,Welcome Bob to the team. He'll be with us until about lunchtime.,91,152,139,683
423,1.8354220855994325,0.008879611941119516,8458,18,The ambassador from earth says they will not try to colonize Mars if we provide dirt on Joe Biden.,2243,3638,2577,683
40,1.8336179903216625,0.009199854581418655,7026,19,Don't you guys remember Timmy?  We all used to hide under his bed.,1609,2783,2633,683
4114,1.8308868501529052,0.010023886854482926,6540,20,"Obviously, half of you received a placebo.",1689,2795,2056,683
5626,1.8290802764486975,0.01260791252601573,3762,21,"Now let's not make the same mistake we did last week.  This is our waiter.  He's not our lunch, he gets our lunch",858,1501,1403,683
5462,1.8163292311763928,0.009181003996789344,7557,22,So the board still has no women?,1844,3234,2478,683
5016,1.8160488033786955,0.009636436539295126,6393,23,Take it easy now. We all looked like that on our first day.,1426,2608,2359,683
4999,1.815034965034965,0.01474254207546059,2860,24,"You know what they say, if you aren’t at the table, you’re on the menu.",673,1202,985,683
