target_id,score,precision,count,rank,caption,funny,unfunny,somewhat_funny,contest
518,2.042043714325491,0.00847950518287788,7183,1,Stay calm. I think it just wants to be squeezed.,2012,1710,3461,684
4157,1.972568073691669,0.007887862921729886,9879,2,"Honey, behind you.",2903,3183,3786,684
172,1.9394636693512701,0.0073947819733853806,11299,3,The waffle shirts were a bad idea.,3167,3861,4262,684
1316,1.937392094502499,0.007524756083038562,11005,4,"My survival instinct is telling me to play dead, but my OCD says wipe the spout.",3110,3814,4070,684
3955,1.9203495630461922,0.008915483388466927,8010,5,Now do you believe me about the chocolate moose?,2256,2894,2860,684
3407,1.8566640378548895,0.007631030562134641,10144,6,Anyone find a little yellow cap?,2379,3839,3914,684
2831,1.8158861340679522,0.008012924780610473,8712,7,Forget what they said. Run! He's slower than molasses.,1785,3394,3523,684
119,1.8096403978576894,0.006827943080313502,13070,8,Don’t worry. Honey doesn’t go bad.,2980,5469,4606,684
312,1.8015115354017501,0.00802196249772758,10056,9,There must be a Costco nearby.,2457,4455,3133,684
145,1.79004329004329,0.008298790913668991,8778,10,"Careful, these guys can be viscous.",1930,3781,3059,684
791,1.7859246791500105,0.007891821570556205,9506,11,"Uh-oh, Drizzly Bear.",2016,4051,3425,684
744,1.778268551236749,0.012571143178512153,3396,12,I think the situation is about to get sticky.,618,1371,1407,684
990,1.77003300330033,0.008841918325963408,7575,13,Now I know we ate the wrong mushrooms.,1571,3314,2689,684
1063,1.7151188219857123,0.00916754522662117,6859,14,Oh no. I have it’s little one in my back pack.,1280,3236,2338,684
3746,1.6804660726525018,0.008686728487765971,7295,15,"Oh no, we're toast!",1220,3557,2511,684
2542,1.665264928511354,0.02076009872831306,1189,16,"Sure, he LOOKS sweet...",172,570,447,684
398,1.6630434782608696,0.010263411430582823,5060,17,They told me high fructose corn syrup was the real killer.,786,2493,1781,684
338,1.6620333598093726,0.010400469636725362,5036,18,"Which one of you keeps calling my name?""",808,2510,1718,684
2442,1.6501712328767124,0.009214485928170379,5840,19,"Shhhh, we’ll be ok, I don’t see any smaller bottles with her.",785,2829,2226,684
604,1.6441704520873892,0.010976984699079406,4623,20,Endangered AND made of plastic - I don't know how to process this.,759,2405,1459,684
279,1.6397069816116012,0.008777536071719216,6689,21,"Well, this is a sticky situation.",959,3378,2341,684
1409,1.6323060573857597,0.013333643790006155,2823,22,Just give me your biscuits and no one gets hurt.,380,1418,1025,684
1517,1.6321162151550843,0.014040142482662027,2547,23,"Sorry, not you -- I was talking to my husband.",343,1280,924,684
1397,1.6312224856078563,0.009198423577614976,5906,24,"What do you think, use the bear spray or get the biscuits?",791,2971,2144,684
2137,1.6192368839427662,0.010487521174834561,5032,25,The privatization of national parks is even creepier than I thought it could be.,799,2715,1518,684
3958,1.6123492875411034,0.013856038549489674,2737,26,It's Smokey's brother Sticky.,394,1455,888,684
1114,1.611309949892627,0.011059449103295696,4191,27,DON’T ...MOVE-—it’s a drizzly.,576,2205,1410,684
2793,1.6027397260273972,0.018670376274630016,1387,28,I don’t think it wants to hurt us... it just wants a squeeze.,169,720,498,684
4026,1.5931246793227296,0.011898805548370148,3898,29,You think I’m scary? Wait until you see Mrs. Butterworth!,605,2191,1102,684
2271,1.5902068604346689,0.01157532591666839,3819,30,They’re so cute when you bring them home. You never think about what they’ll be like fully grown.,515,2080,1224,684
2349,1.5887658876588766,0.013715179371958494,2439,31,"Don't make any  sudden moves, and eventually he'll crystallize.",264,1267,908,684
1966,1.5792525773195876,0.018026921398977113,1552,32,Don't run.  Just drop and play bread.,202,855,495,684
2726,1.5768115942028986,0.01363287798774889,2415,33,"He seems friendly, even sweet.",247,1269,899,684
2475,1.5744349181605612,0.013214218008109655,2566,34,"Don’t worry. It runs, but very slowly.",261,1353,952,684
