caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
"Armstrong? No, though I do get mistaken for Lance a lot.",9080,3082,0.008387053422117855,1,2.0365638766519822,3241,800,2757,671
It’s the swimming portion that I am most concerned with.,9649,3010,0.007839391203762333,2,2.028500362731889,3896,351,2742,671
I think you misunderstood 'ironman competition'.,8886,2601,0.008054016044829665,3,2.0082151699302275,3752,3641,2532,671
"Whew, I'm a lot rustier than I thought.",8527,2311,0.008095152784173311,4,1.9819397208865954,3748,2754,2468,671
"It started as a crusade, now it's just a commute.",7977,2198,0.00856412184716132,5,1.962015795411809,3271,2131,2508,671
I always said I'd take up cycling when I hit the middle ages.,7255,2028,0.00900993997831355,6,1.9615437629221226,2902,2692,2325,671
"I said, '""Wear your Under Armour.""",3655,963,0.012950946539155333,7,1.905061559507524,1382,3659,1310,671
You won't believe how many people want to shoot the messenger.,6991,1749,0.009272802042871255,8,1.8797024746102131,2640,1666,2602,671
"Costume party?  No, substitute teacher, seventh grade.",7220,1887,0.009311336484477711,9,1.878808864265928,2563,2686,2770,671
It’s just until I can afford health insurance.,4800,1153,0.011106240503344343,10,1.8695833333333334,1865,289,1782,671
Anyone wearing spandex shouldn’t judge anyone’s else’s fashion choices.,6457,1449,0.009619514998012767,11,1.817717206132879,2381,3423,2627,671
It’s honestly more comfortable than the seat.”,5725,1236,0.01008288371873952,12,1.8033187772925765,2112,688,2377,671
"It's your first Ironman, right?",4209,817,0.01139489306823773,13,1.8030411023996198,1746,1008,1646,671
Well the helmet would look stupid without the rest of it.,3240,661,0.01326420687701505,14,1.7969135802469136,1260,1616,1319,671
"It started with wearing a helmet like everyone else. Then I scraped my knee, so I started wearing knee pads, then it sort of snowballed",5504,1193,0.010390656855885794,15,1.793422965116279,1975,1289,2336,671
First time biking in New York City?,5097,1010,0.01046159301916056,16,1.786541102609378,1978,3284,2109,671
It even comes with knight vision.,3030,609,0.013858532189639505,17,1.765016501650165,1100,3717,1321,671
Water bottle? No that's WD-40.,1906,354,0.01702809551910222,18,1.762854144805876,746,1116,806,671
Stay clear of magnet schools.,2520,554,0.015733490130052784,19,1.7571428571428571,800,3109,1166,671
You said we were doing a century.  I picked the 13th.,3328,678,0.013384323692900886,20,1.7478966346153846,1133,3691,1517,671
"No, no! The coach suggested UNDER armor.",6179,1182,0.009594120252843633,21,1.742029454604305,2210,3117,2787,671
Surely you joust.,3503,702,0.013047860150211874,22,1.7336568655438196,1166,157,1635,671
"Normally, I wouldn't send a knight out on a bike like this.",4302,901,0.011999107082972173,23,1.7164109716410971,1276,1830,2125,671
I’m putting metal to the pedal.,2303,416,0.015689246514401727,24,1.7112462006079028,806,2923,1081,671
All attempts to pass me are feudal.”,3271,587,0.013123247879154976,25,1.7095689391623357,1145,1224,1539,671
Don’t ask. It was Amazon prime day.,3719,680,0.012475818863504075,26,1.6902393116429149,1206,1393,1833,671
This part isn't nearly as bad as the swim.,3524,545,0.012092351245867591,27,1.6872871736662882,1316,3460,1663,671
"The bike?  It’s a $15,000 carbon fibre kit that weighs 3.4 pounds. Why?",3595,662,0.01270344970331084,28,1.686230876216968,1136,3627,1795,671
I'm Medieval Knievel,3042,551,0.013792439882574462,29,1.6837606837606838,978,2661,1513,671
Laundry day.,1923,319,0.016917057921055818,30,1.6781071242849714,666,887,938,671
I just thought I was too old for Lycra and too young to die.,2142,359,0.01615775440954207,31,1.661998132586368,700,2860,1083,671
I'm in the middle age division.,1964,274,0.016012260085614228,32,1.660386965376782,749,2125,941,671
"It's New York, Mom.  Every day's a battle.",3836,596,0.011762951201358262,33,1.6569343065693432,1321,593,1919,671
"Laugh all you like, but I’ll get into the Met for free today!",1739,263,0.017440241707658753,34,1.6543990799309949,612,3339,864,671
"On thy left, fair maiden.",2392,388,0.015084085830454093,35,1.6525919732441472,778,1960,1225,671
"Dress for the job you want, not the job you have.",2284,350,0.015305881221061218,36,1.6471103327495622,778,1813,1156,671
It’s cheaper than health insurance,507,75,0.03220615311953492,37,1.6449704142011834,177,3220,255,671
Do you know where there's a White Castle around here?,2148,314,0.015542792004691927,38,1.6396648044692737,743,2998,1091,671
"Honey, I said NIGHT ride.",1450,198,0.018672338197586253,39,1.6337931034482758,523,3562,729,671
Do you know how expensive it is to keep a steed in Manhattan?,718,109,0.027390176326060247,40,1.6253481894150419,231,2484,378,671
Out for your knightly ride?,2579,369,0.014230091465015578,41,1.618844513377278,858,1017,1352,671
I'm between insurance plans.,1961,281,0.016327820526090466,42,1.6185619581845998,651,395,1029,671
I really want to be like Lance. A lot.,1413,210,0.019432232857968572,43,1.6185421089879688,454,764,749,671
Did you see a lion and scarecrow back there?,1579,231,0.018310877486339555,44,1.616212792906903,511,2575,837,671
This is not what I meant when I told you to bring protection,1479,215,0.01889367016795108,45,1.614604462474645,479,2148,785,671
"It burns calories, protects me against falls, and I get terrific reception on my cell phone.",1582,219,0.018041838740516507,46,1.6106194690265487,528,3245,835,671
Let me guess: You’re a Knight in riding armor?,1951,279,0.016181493057759004,47,1.6002050230650948,603,2085,1069,671
Right now?  I'm putting my metal to the pedal.,2331,312,0.01470042449150689,48,1.595023595023595,759,1598,1260,671
"Not sure why, but my sponsor said all my clothes had to be under armor.",2116,325,0.016057294312337198,49,1.5949905482041589,607,1895,1184,671
It’s SPF 150.,1682,231,0.017515812975132782,50,1.5945303210463733,538,2538,913,671
I used to race with Lance a lot.,1898,288,0.016964098828498086,51,1.5869336143308745,538,1853,1072,671
I work at the White House.,1334,206,0.020338728502982073,52,1.5862068965517242,370,1182,758,671
Lycra makes me chafe.,1626,210,0.017556751491345588,53,1.58610086100861,533,1126,883,671
"Honestly the armor is not so bad, it's the chastity belt that's the killer.",1137,166,0.02169720290854176,54,1.584872471416007,333,2466,638,671
It's my first Ironman.,1827,226,0.01620440433372937,55,1.5801860974274768,601,3442,999,671
"At least when they door me, I have the satisfaction of scratching their paint.",1274,173,0.020133590126267312,56,1.5745682888540031,386,199,715,671
"Oh, you meant a night ride.",1716,245,0.017583479574540133,57,1.5728438228438228,493,284,978,671
Obviously you have never ridden in this part of the city.,1641,213,0.01753864830302713,58,1.5716026812918953,512,1422,916,671
Are you sure your therapist wasn't using a metaphor?,991,120,0.022181953708439346,59,1.5711402623612514,326,1048,545,671
My therapist said I need to get off my high horse.,1262,167,0.02012531379605994,60,1.5625990491283677,376,1880,719,671
Everyone just assumes I have a good reason.,1015,129,0.0222145612253869,61,1.561576354679803,312,721,574,671
And my pants leg STILL gets caught in the gear!,1242,169,0.02043833302189116,62,1.5611916264090178,359,827,714,671
The horse is on backorder.,1235,138,0.01951477528877133,63,1.5595141700404858,415,2595,682,671
"Well, you said you wanted a knight out on the town.",358,44,0.0371494466388219,64,1.5558659217877095,111,2836,203,671
My mom is kind of overprotective.,1182,129,0.019850038439490354,65,1.5541455160744502,397,2032,656,671
My worst stage of a triathlon?  Probably swimming.,1251,139,0.019378266283193696,66,1.5531574740207834,414,2638,698,671
"If you see a dragon on a scooter,
let me know.",1011,134,0.022544058436370612,67,1.5420375865479723,280,1273,597,671
"Shirley, you joust?",1038,152,0.022845624585648455,68,1.5404624277456647,257,2392,629,671
Do you have any WD-40?,1068,128,0.021387646584958127,69,1.5402621722846441,321,1622,619,671
My wife took the horse today,1019,129,0.02219946177457287,70,1.5387634936211974,291,0,599,671
You said to wear protection.,1014,115,0.02166206321834277,71,1.5384615384615385,316,628,583,671
I wanted to be like Lance... a lot.,965,116,0.022525604441389825,72,1.5357512953367876,285,2420,564,671
"You have no idea what the Iron Man competition actually is, do you?",743,78,0.02486572399687744,73,1.5343203230148048,241,2349,424,671
"I'll admit, when I pre-ordered Tesla's ""eco-friendly armored vehicle"" for $70,000, I was sort of expecting a car...",622,86,0.02909504306896072,74,1.5289389067524115,157,933,379,671
It’s protection against the slings and arrows of outrageous fortune.,799,98,0.02490006412211182,75,1.5231539424280351,222,3505,479,671
"What, you’ve never lost a bet?",660,76,0.02698244529576056,76,1.5227272727272727,193,1206,391,671
The worst part is going to the rest room at Starbucks.,766,90,0.025172386780003452,77,1.5156657963446476,215,298,461,671
My wife says I’m having a middle age crisis.,740,83,0.02533073264676745,78,1.5121621621621621,213,3592,444,671
"You said on your profile ⁠— ""looking for a knight in shining armor.""",742,83,0.02528041265660477,79,1.5121293800539084,214,3338,445,671
Do you switch to chain mail in hotter weather?,715,77,0.025527339810625615,80,1.5104895104895104,211,713,427,671
Make fun all you want; you have no idea how high my deductible is.,725,96,0.026663458418720455,81,1.5103448275862068,178,2939,451,671
"Can't talk now, I'm on a crusade!",693,74,0.02588153050601414,82,1.505050505050505,202,2219,417,671
You wanna know what looks weird?  Those stretchy black pants.,678,68,0.025798056555866023,83,1.5044247787610618,206,3168,404,671
Navigating traffic and jaywalkers was a lot more fun before the police took away my lance.,520,58,0.030190855018348683,84,1.5038461538461538,146,3041,316,671
"It's laundry day, okay?",667,71,0.025976289789814373,85,1.502248875562219,190,3759,406,671
"I think I'm lost, is this not the cartoon with the dragon from last week?",668,89,0.02782642776608044,86,1.501497005988024,157,1877,422,671
Going out for bagels doesn’t qualify as a quest.,657,71,0.026656502975726266,87,1.5007610350076104,187,536,399,671
Spandex makes my butt look big.,630,74,0.027765716281538233,88,1.4984126984126984,166,2551,390,671
It's an easier way to get buns of steel.,608,63,0.027445742099346263,89,1.4983552631578947,177,3515,368,671
History is cyclical.,640,70,0.027084179744809322,90,1.496875,178,2182,392,671
The dragon was in last week's cartoon.,632,76,0.0278806692711382,91,1.4968354430379747,162,3081,394,671
My kingdom for a horse!,625,74,0.027930316219165228,92,1.496,162,785,389,671
I hate delivering for Round Table Pizza.,623,70,0.026916147978401337,93,1.4959871589085072,164,346,389,671
Aren’t you taking this Iron Man thing a little too seriously?,598,69,0.028375896329873855,94,1.491638795986622,156,3447,373,671
"Joan of Arc, what’s yours?",559,63,0.029181525874355133,95,1.4847942754919499,145,1367,351,671
