,target_id,mean,precision,count,score,caption,contest
0,244,1.8569324249677777,0.010684918079327215,5431,1.8569324249677777,"Son, your Mom and I want you back in the picture.",605
1,3245,1.8556179775280899,0.011203686108611716,5340,1.8556179775280899,"Whatever you do, don’t take the stairs near the Escher painting!",605
2,3318,1.8524392692230476,0.011406780040560931,4981,1.8524392692230476,The Demoiselles d’Avignon are out to lunch. We’re the McMurrays of Hackensack.,605
3,3795,1.8107351818875603,0.012487843752267056,3931,1.8107351818875603,Imitating life. What are YOU doing?,605
4,1416,1.806136680613668,0.02088247744813307,1434,1.806136680613668,It's creepy how his eyes are following us.,605
5,2879,1.7861038653070904,0.01207687740017899,4217,1.7861038653070904,"Well you're no masterpiece yourself, pal.",605
6,611,1.7781781781781782,0.011198419374340513,4995,1.7781781781781782,"It says ""Man Looking Stupid"". What does yours say?",605
7,3469,1.76,0.020693260978397212,1300,1.76,We kinda got drawn into it.,605
8,1651,1.7540638745458021,0.010989891729445795,5229,1.7540638745458021,"Due to NEA budget cuts, the painting you would have seen here will be described by my wife, Ethel, her sister, Irene, and myself.",605
9,3523,1.746470812666921,0.010560707739087393,5242,1.746470812666921,"We're life, imitating art.",605
10,394,1.7401926239135541,0.012172826962122319,4257,1.7401926239135541,"Hey look, it's Art.",605
11,2785,1.722053769961593,0.011015246240883436,4947,1.722053769961593,"Well, you're no masterpiece yourself.",605
12,1391,1.7142563681183238,0.010747171942286964,4868,1.7142563681183238,We don't get it either.,605
13,3533,1.7132067328441951,0.011729653484345235,4634,1.7132067328441951,"You’re better off over there, in this reality Trump is president.",605
14,1581,1.7107698779974758,0.011311852324906885,4754,1.7107698779974758,"Whatever you do, don't take the behind-the-scenes tour!",605
15,493,1.705416920267803,0.011130520783290972,4929,1.705416920267803,We're in the lower floor of IKEA....where are you?,605
16,1480,1.6935079409306213,0.0125890664504253,3589,1.6935079409306213,It really captures the desperation and hopelessness of middle age.,605
17,2723,1.6806573395514102,0.01146078466817955,4503,1.6806573395514102,Three against one says you're the painting.,605
18,2903,1.6700733752620545,0.012513534686264342,3816,1.6700733752620545,We're just enjoying our 15 minutes of frame.,605
19,3492,1.66433050534858,0.014157424628839165,2711,1.66433050534858,Most visitors find that this picture speaks to them.,605
20,1146,1.661959898333804,0.012575559767821029,3541,1.661959898333804,Really? Ours is also titled 'The Museum Visitor!',605
21,1934,1.6537070524412296,0.013003942038999737,3318,1.6537070524412296,Notice how his eyes seem to follow you.,605
22,3213,1.6507256721389483,0.011843458414866496,4203,1.6507256721389483,"Yeah, well, from our side it say's ""Coat Check.""",605
23,3499,1.6492837958818263,0.011150292372964509,4468,1.6492837958818263,Oh yeah? Well you're no masterpiece either.,605
24,2590,1.647226173541963,0.012404443950642524,3515,1.647226173541963,"Finally, something that speaks to me.",605
25,109,1.6464864864864865,0.017409793796825723,1850,1.6464864864864865,Notice how the eyes seem to follow you around the room.,605
26,847,1.6463980463980463,0.012108453724902745,4095,1.6463980463980463,"Hey look, it's Art.",605
27,3173,1.6439263097294186,0.012908884632096374,3474,1.6439263097294186,"Well, what did you expect for five dollars? This is Mona...and Lisa is right behind me.",605
28,3747,1.632919254658385,0.013294971621538509,3220,1.632919254658385,And here we have an excellent example of 'Expressionlessism'.,605
29,1452,1.628367234744365,0.01241550664589399,3638,1.628367234744365,"Oh, yeah? Well, we don't get you either.",605
30,3041,1.6240794108229266,0.013066568042124848,3123,1.6240794108229266,It’s disturbing how his eyes seem to follow you around the room.,605
