,caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
0,Meet Trump's nominee for the Centers for Disease Control.,160,38,0.06551493840406208,1,1.70625,37,5858,85,653
1,"Mike, Barbara--I'd like to introduce you to President Trump's new pick to head the Centers for Disease Control.",188,43,0.05989199873647565,2,1.6914893617021276,44,4475,101,653
2,So are you are just in town for the summer?,159,31,0.06202328245132011,3,1.679245283018868,46,353,82,653
3,"Oh, perfect - we're WASPs!",163,37,0.06457477754759394,4,1.6687116564417177,35,1780,91,653
4,So you're the bug that's been going around.,192,35,0.05550880973099317,5,1.6614583333333333,57,5172,100,653
5,I told you I was dating a blood sucking parasite.  You just assumed it was a lawyer.,159,28,0.06050725087901626,6,1.6540880503144655,48,5397,83,653
6,Where we disagree is that exposed skin implies consent.,160,30,0.06155735679917251,7,1.65,44,5741,86,653
7,We met camping,178,26,0.05424359898827478,8,1.646067415730337,63,572,89,653
8,"Tell them what happened in the lab, Harry.",163,28,0.059551001139308925,9,1.638036809815951,48,388,87,653
9,The females bite. The males drink.,172,31,0.058867669474322364,10,1.6337209302325582,47,2146,94,653
10,"""Hope you don't mind my crashing the party, I saw the porch light on.""",155,29,0.06276638569927606,11,1.632258064516129,40,520,86,653
11,"So, long story short, one night I left the porch light on and we’ve been in love ever since.",159,27,0.06030417107103383,12,1.6226415094339623,45,3182,87,653
12,"He wasn’t invited, but I left the light on.",175,30,0.057691943195225255,13,1.6171428571428572,48,3392,97,653
13,Bob identifies as a mosquito.,161,29,0.06108625393123322,14,1.6149068322981366,41,4996,91,653
14,"Thanks to Bob, the only thing my husband got in the divorce was malaria.""",154,26,0.06132930888226491,15,1.6103896103896105,42,2404,86,653
15,Let me introduce you to a host,170,33,0.060911431552758896,16,1.6058823529411765,37,5482,100,653
16,Crazy story - we met when Steve hit my windshield.,190,29,0.05365886887471722,17,1.605263157894737,57,909,104,653
17,Can I get you a glass of standing water?,174,32,0.059239620498875586,18,1.603448275862069,41,5817,101,653
18,"Bill, please explain to the Dorfmans why you find that blue light they put up so offensive.",181,30,0.05632469558536381,19,1.6022099447513811,49,2359,102,653
19,"I'm sorry. I ordered a mojito, not a mosquito.",179,27,0.0551870115513262,20,1.5977653631284916,53,4563,99,653
20,A couple of these and he’ll be flying into light bulbs.,196,30,0.05295016151071826,21,1.596938775510204,57,3327,109,653
21,There’s a hole in your screen door,176,29,0.057082178896567116,22,1.5965909090909092,47,2305,100,653
22,"He just was so persistent. The first night, I couldn't keep him off me!",185,28,0.05441127556750559,23,1.5891891891891892,53,891,104,653
23,"Paula and Jim are work friends, and Dave here just came through the hole in the screen door.",158,22,0.05758569945762531,24,1.5886075949367089,49,446,87,653
24,And I'm sure you remember Joe from our camping trip last summer.,170,22,0.05444926319091882,25,1.588235294117647,56,5626,92,653
25,Excuse me while I go and shut the screen door.,173,26,0.05621558769657585,26,1.583815028901734,49,5960,98,653
26,"No, I asked for a Large Mojito.",189,38,0.05859120307195058,27,1.582010582010582,34,917,117,653
27,Poor thing's homeless now that Trump's draining the swamp,148,24,0.062146972092278305,28,1.5810810810810811,38,2695,86,653
28,Are you just here for the summer?,154,16,0.05433618166265052,29,1.577922077922078,57,3150,81,653
29,"What a coincidence—Bob and Mary summer upstate, too!",165,26,0.05840420052900317,30,1.5757575757575757,43,4540,96,653
30,"I'm sorry, but I can never remember which disease it is that you transmit.",179,23,0.05306849588641854,31,1.5754189944134078,57,4574,99,653
31,He says he likes wine but prefers standing water.,169,27,0.057943726826548456,32,1.5739644970414202,43,5323,99,653
32,I'm sorry!  I just have an inexplicable urge to slap you.,183,32,0.05714280792214711,33,1.5737704918032787,41,4154,110,653
33,And Henry here is a real parasite. I’m kidding — he's an attorney.,190,29,0.05393675480219218,34,1.5736842105263158,51,1064,110,653
34,And this is Fred; he’s renting our pond for the summer.,157,19,0.05585425673803094,35,1.5732484076433122,52,408,86,653
35,"So, are you here just for the season?",168,18,0.05243665545347105,36,1.5714285714285714,60,2202,90,653
36,I was walking through the park and he just wouldn’t leave me alone...anyway it’ll be three years in March.,182,21,0.051263978821407145,37,1.5714285714285714,62,3384,99,653
37,And one of his latest projects just completely went viral.,182,26,0.05414387651505129,38,1.5714285714285714,52,4091,104,653
38,Allow me to introduce you to my divorce attorney.,186,31,0.055917331623240765,39,1.5698924731182795,44,4049,111,653
39,I guess we're all hosts at this party.,185,32,0.056692370171359543,40,1.5675675675675675,41,4416,112,653
40,So what are your plans now that they've drained the swamp?,173,31,0.05925716087387442,41,1.5664739884393064,36,414,106,653
41,Devin and I went to the same summer camp.,175,29,0.05759101762266389,42,1.5657142857142856,41,5750,105,653
42,Who are you drinking?,168,27,0.05827569413059768,43,1.5654761904761905,41,5805,100,653
43,Who would have thought an 8th grade science fair project could go so wrong?,170,22,0.05464444937357658,44,1.5647058823529412,52,2909,96,653
44,"Honey, you remember Mary and Neil from the barbecue last summer.",188,27,0.05339589805866334,45,1.5638297872340425,52,340,109,653
45,The Nussbaums?  O negative and AB positive.  Why do you ask?,174,27,0.05670878160632018,46,1.5632183908045978,44,4485,103,653
46,"I brushed him off for most of the summer but then,one day,I just gave in.",185,24,0.0524194685173893,47,1.5621621621621622,56,1480,105,653
47,He says you're both excellent hosts.,157,25,0.06017122637584306,48,1.5605095541401275,38,1398,94,653
48,You have a lot in common. John and Kate are tax attorneys.,152,25,0.06173225041811748,49,1.5592105263157894,35,416,92,653
49,"Well, just who IS your type, Roger?",186,21,0.05052743100050069,50,1.5591397849462365,62,966,103,653
50,And of course you know Bill and Amy from their work at the CDC.,174,24,0.05495973948082789,51,1.5574712643678161,49,3584,101,653
51,"And you both remember Melvin, from when Bob left the screen door open.",176,27,0.05624385050997933,52,1.5568181818181819,44,4325,105,653
52,Bob has a different view on draining the swamp.,176,21,0.05269976611227108,53,1.5511363636363635,55,5710,100,653
53,Apologies again about the citronella candle.,180,24,0.053595144169828766,54,1.55,51,2311,105,653
54,"Yes dear, I realize you’re trapped in a grotesque Kafkaesque nightmare that’s oppressing you with a profound dread of the utter meaninglessness of human existence--but you’re still our designated driver.",171,28,0.05815873483466195,55,1.5497076023391814,38,5774,105,653
55,"Since Harold and I met,
I'm feeling loved, cherished, and slightly anemic.",162,21,0.05610663132244777,56,1.5493827160493827,47,2435,94,653
56,"Yes, Frank does have a tendency to suck the life out of a party.",184,26,0.053827096688082006,57,1.548913043478261,49,367,109,653
57,"Lawyer? No, I meant I'm literally a bloodsucker.",164,27,0.05949113233360094,58,1.548780487804878,36,2569,101,653
58,Nonsense! You two have a lot in common; you're a lawyer and she's a blood-sucking parasite.,170,28,0.05844115190260721,59,1.5470588235294118,37,5161,105,653
59,"Allow me to introduce my husband and his girlfriend —
Bob, Sheila: my attorney.",187,31,0.05581674539834095,60,1.5454545454545454,40,4639,116,653
60,"Yes, I suppose we do all suck in our own way.",156,18,0.05557649496163586,61,1.544871794871795,49,5620,89,653
61,"First he stole my blood, then he stole my heart.",171,24,0.05577149206226871,62,1.543859649122807,45,1821,102,653
62,And Bob has kindly volunteered to run the blood drive this year.,194,25,0.05120473278204448,63,1.541237113402062,55,3389,114,653
63,So it's fair to say I'm not the only host here tonight.,167,24,0.056818789076779015,64,1.5389221556886228,42,5746,101,653
64,Now I remember! We were at summer camp together.,167,25,0.057450149338746044,65,1.5389221556886228,40,5852,102,653
65,Won't you stay for a bite?,156,24,0.05990384864320162,66,1.5384615384615385,36,3601,96,653
66,"For tonight’s tasting we have Josh and Emily from the Bronx, a delightful pairing of AB- and O+ with just a hint of anti-depressants.”",182,28,0.055434647090736235,67,1.5384615384615385,42,5301,112,653
67,This is Doug. He’s from that old tire in your yard.,177,19,0.05130903887530724,68,1.536723163841808,57,2483,101,653
68,"Our chemistry is good, but he does get under my skin.",142,18,0.05968482785896582,69,1.5352112676056338,40,264,84,653
69,"and then I said,Kafka,schmafka...",159,24,0.05903711778599718,70,1.5345911949685536,37,4834,98,653
70,"Personally, I'm glad he didn't drain the swamp.",174,28,0.057433048220060956,71,1.5344827586206897,37,3518,109,653
71,"And this is Bob, my divorce lawyer.",146,22,0.06159920706447845,72,1.5342465753424657,34,342,90,653
72,"That’s why Zika, here, is against draining the swamp.",163,23,0.05725565603826504,73,1.5337423312883436,41,1464,99,653
73,Will you be staying for a bite?,182,18,0.04967937934659306,74,1.532967032967033,61,5284,103,653
74,This is Victor. He's a vector.,182,25,0.05378689531408479,75,1.532967032967033,47,5949,110,653
75,"I’m sorry to dissappoint you but I asked for a mojito, not mosquito.",167,25,0.057472703870533784,76,1.532934131736527,39,4118,103,653
76,And then we realized that I was his type!,167,20,0.054243777115227376,77,1.532934131736527,49,4759,98,653
77,"Meet Bob and Jen, the two AB positives I was raving about earlier.",166,23,0.05647210039524653,78,1.5301204819277108,42,1639,101,653
78,Meet Buzz. His family has been coming to the Hamptons every summer for two centuries.,168,18,0.052676844627825396,79,1.5297619047619047,53,3888,97,653
79,I do hope you'll interpret my role as 'host' figuratively.,136,18,0.061694638127655965,80,1.5294117647058822,36,1291,82,653
80,"Carl, I’d like you to meet Henry and Tina; they’re the 0-positives I was telling you about.",153,19,0.057210424218566154,81,1.5294117647058822,43,2780,91,653
81,The swamp has been very good to him during this administration.,170,25,0.056696670073039225,82,1.5294117647058822,40,5168,105,653
82,"Oh, no, I said ""mojito.""",187,27,0.05377696880679897,83,1.5294117647058822,45,5573,115,653
83,I'd like you two to meet Harry. He's way better than that leech I was dating last year.,138,20,0.06272491866987064,84,1.5289855072463767,33,323,85,653
84,"He is sort of a pest, but I love him.",174,23,0.0544834959119878,85,1.528735632183908,46,4222,105,653
85,"Everyone, this is Herb.  Our kids attended summer camp together.",142,20,0.06136142477393905,86,1.528169014084507,35,5486,87,653
86,So apparently the swamp isn't drained.,178,23,0.05355381286992251,87,1.5280898876404494,48,5930,107,653
87,"So, I picked up this bug while traveling...",161,21,0.056462838739134776,88,1.5279503105590062,43,455,97,653
88,I think we can all agree that politics and rolled-up newspapers are off limits tonight.,184,23,0.05223222517489367,89,1.5271739130434783,51,129,110,653
89,He has a way of getting under your skin.,184,18,0.04930743037826974,90,1.5271739130434783,61,3903,105,653
90,Can I get you something more stagnant?,184,26,0.05391099090583034,91,1.5271739130434783,45,5306,113,653
91,"No matter what, do not let his glass go empty.",192,27,0.052705436082586515,92,1.5260416666666667,47,429,118,653
92,I'd like to introduce you to my emotional support animal.,173,27,0.05713418146834719,93,1.5260115606936415,37,703,109,653
93,"Bob and Linda, I'd like you to meet my divorce attorney.",154,22,0.05913536237256479,94,1.525974025974026,37,5269,95,653
94,I told them I really don't like mojitos. What did you think I said?,151,25,0.06221406972042711,95,1.5231788079470199,29,3249,97,653
95,At first I thought he was a prick.,174,30,0.05861104843716848,96,1.5229885057471264,31,3677,113,653
96,"I believe you've met the Jensens, didn't you give them malaria last summer?",176,27,0.05638143832820778,97,1.5227272727272727,38,4502,111,653
97,Congratulations on your appointment as head of the President's Special Commission on Draining the Swamp,178,29,0.05701311722817916,98,1.5224719101123596,35,5421,114,653
98,I’m B negative. Why?,157,20,0.05685564787692043,99,1.5222929936305734,42,235,95,653
99,We met while camping.,161,19,0.055088125701486024,100,1.5217391304347827,46,923,96,653
100,"So, Dale, Sandy tells me you grew up in a stagnant pond.",171,23,0.055231433698795775,101,1.5204678362573099,43,505,105,653
101,"I think you'll like Keith and Sheila, they're both O Positive.",150,16,0.055739888078848034,102,1.52,46,363,88,653
102,We met in the Peace Corps.,181,21,0.051729546612111016,103,1.5193370165745856,52,480,108,653
103,And how long did you work for Monsanto?,181,23,0.05290293660189984,104,1.5193370165745856,48,4175,110,653
104,"Jim, these are the anti-vaxers I told you about.",187,26,0.053265643672905656,105,1.518716577540107,45,4663,116,653
105,I believe you’ve bit the Murphys...,193,25,0.051475038935951484,106,1.5181347150259068,50,1593,118,653
106,We locked eyes through the screen door and I just knew I had to let him in.,193,22,0.04987747522692107,107,1.5181347150259068,56,4830,115,653
107,O-negative.  Why?,172,18,0.05180926033670916,108,1.5174418604651163,53,4001,101,653
108,Now tell us why you prefer some of us over others.,186,28,0.054565364875315714,109,1.5161290322580645,40,4134,118,653
109,Of course you can join us. We won't bite.,186,19,0.049540642860848486,110,1.5161290322580645,58,4144,109,653
110,"This is Harry, but talk fast. His life expectancy won’t make it past dessert.",165,16,0.05201487976179692,111,1.5151515151515151,53,1152,96,653
111,I’m AB Negative. Why do you ask?,171,20,0.05334154035551523,112,1.5146198830409356,48,53,103,653
112,"No, I said large Mojito.",173,24,0.05536600311921592,113,1.5144508670520231,41,5363,108,653
113,"Single donor, O-neg, recent vintage -- I think you'll like it.",175,23,0.05427966434181669,114,1.5142857142857142,44,3995,108,653
114,I'd like to introduce you to your hosts.,175,24,0.05488135754563726,115,1.5142857142857142,42,5426,109,653
115,"Guys, he’s kidding. It’s just Merlot.",185,24,0.05260996993937202,116,1.5135135135135136,47,2629,114,653
116,"Margaret, here, had 92 children yesterday.",150,19,0.05811095355603491,117,1.5133333333333334,39,6061,92,653
117,We first met at summer camp.,193,28,0.05303240217640462,118,1.5129533678756477,43,5107,122,653
