caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
Lunch is on me.,13815,8401,0.005494423308427344,1,2.523344191096634,4233,82,1180,665
Dinner's on ME.,10308,4431,0.0074764545396988,2,2.2304035700426854,3816,94,2057,665
He’s telling his friends it’s not deep. So be patient.,10875,4249,0.007450915749643517,3,2.1519080459770117,4018,166,2607,665
Dinner’s on me tonight.,5999,2241,0.010020775845136996,4,2.128354725787631,2287,4075,1471,665
"I didn't know what you were serving, so I brought white.",8130,2927,0.008906826798103036,5,2.0656826568265685,2796,5452,2407,665
A back massage and then dinner. What's not to like?,9990,3358,0.007881708469495477,6,2.0457457457457457,3716,2011,2914,665
"Fresh? Sir, I assure you these were walking on land this morning.",6374,2137,0.009984555521631801,7,2.034044556008786,2317,4524,1920,665
I brought dinner.,8902,2718,0.008065983223785,8,2.0277465738036398,3703,3081,2480,665
It's carryout.,6440,1869,0.009646407212538307,9,1.9809006211180125,2579,3153,1992,665
It’s like a good wine. You let it breathe before consuming it.,8052,2403,0.008801875009880495,10,1.9711872826626926,3011,4780,2638,665
Off Coney Island. There's thousands of them.,5547,1565,0.01043883929239022,11,1.9581755904092302,2185,4082,1797,665
"I’m letting him sunburn a bit more, I prefer extra crispy.",7988,2236,0.008666949257333037,12,1.954431647471207,3143,1095,2609,665
Eat a guy and you'll be full. Use him as bait and we'll all be full.,7578,2215,0.009186869485582078,13,1.9403536553180258,2693,4057,2670,665
"I used to feel sorry for them, but this one is wearing a MAGA hat.",4488,1448,0.0126058595952043,14,1.9269162210338682,1264,1287,1776,665
Once I gave him a name I didn’t have the heart to eat him.,7188,1893,0.009147317799377776,15,1.9162493043962159,2795,5253,2500,665
Lucky for him this is the last thing on his bucket list.,6879,1890,0.00950446356368836,16,1.914813199592964,2496,3155,2490,665
You want the other half?,5306,1377,0.010672356045286447,17,1.9059555220505089,2053,3637,1876,665
"I swear, it is like the universe does not want me to stay vegan.",4674,1270,0.011629404605628852,18,1.9017971758664955,1675,22,1729,665
"He has a name, Dad. It's Greg. And I love him.",5725,1576,0.010689833031343453,19,1.8758078602620087,1852,4149,2297,665
He' s my emotional support animal.,5673,1497,0.010593268670700104,20,1.8677948175568482,1914,5968,2260,665
"When I get hungry, or he realizes I'm not a dolphin, whichever comes first!",2926,728,0.014507583504845063,21,1.8632946001367054,1070,91,1128,665
"If you liked our food delivery service, please give me 5 stars.",6102,1519,0.009970524065576214,22,1.8626679777122255,2205,4474,2377,665
He’s paying an arm and a leg for the ride.,3776,964,0.012937171078114536,23,1.8588453389830508,1315,160,1497,665
I was told we had to bring our own lunch.,6596,1410,0.009161748064384042,24,1.844906003638569,2742,2878,2443,665
I got us a politician. There is no backbone !,790,217,0.029431076245604645,25,1.840506329113924,230,4399,343,665
