caption,unfunny,somewhat_funny,funny,count,contest,target_id
Earl of Cowlick. And you are?,131,58,47,236,639,1296
I'm supposed to call my doctor if it lasts more than 4 hours.,139,53,47,239,639,2907
"So, you're in a tower with no doors; I have a beanstalk growing out of my head. We both lied on our profiles. You wanna go out or not?",145,62,45,252,639,2328
We have to move fast.  The king's men are combing the area!,130,48,37,215,639,1920
The last princess I rescued was in a well.,132,42,39,213,639,555
"Ok, fine, we can make the story about you!",143,79,31,253,639,23
I knew one day my prince would comb.,142,51,38,231,639,425
"Ok, fine. Maybe it’s not as thick as I described but your profile wasn’t exactly clear on your living situation either.",153,55,40,248,639,4512
The guy took my cow and said to plant the magic beans -- but I had't eaten all day.,159,48,43,250,639,3693
"Well, then, let yours down and we can tie the knot here.",137,54,33,224,639,4340
I'm the Hair apparent,142,61,31,234,639,157
"It only does this with you, honest.",138,40,35,213,639,548
"The Grimm brothers will be here any minute, so we have to get our story straight.",152,67,31,250,639,3542
You spent all those years growing this out when you could have built a ladder in days?,175,63,40,278,639,3933
"...or, I could come up?",152,47,37,236,639,2527
Thank goodness! The last guy who came by couldn't get it up.,160,52,37,249,639,3908
Now let me see yours.,146,70,26,242,639,4080
Or you could just take the stairs.,165,59,36,260,639,1760
I call it hairway to Heaven.,166,62,35,263,639,1705
I’m your hairy godfather,148,40,36,224,639,4336
I'm pretty sure we're doing this wrong.,166,48,39,253,639,1500
"Jack said if it lasts for more than five hours, I should call my physician.",163,53,36,252,639,2319
Rogaine and Viagra. Why do you ask?,158,45,37,240,639,4294
My ex lived in a well.,128,51,25,204,639,3009
So many fairy tales get it wrong.,138,48,29,215,639,61
If this lasts more than four hours I'll have to see my doctor.,140,42,31,213,639,2750
"This really isn't necessary, there's a staircase in the back",148,61,27,236,639,2981
"Rapunzel, Rapunzel, lower your expectations!",166,45,38,249,639,496
I thought it made me look presidential.,148,49,29,226,639,3412
"I've used the new viagra pomade, but we've only got four hours to get you down.",142,53,27,222,639,3152
"It is I, Manbunzel.",165,39,39,243,639,845
Fine. Let’s try it your way.,153,56,29,238,639,4193
And yet I can't grow a beard.,137,50,26,213,639,3812
"Rapunzel, Rapunzel, what should I do if this lasts more than four hours?",162,51,33,246,639,4523
I'm not sure you understand the gravity of the situation.,157,52,31,240,639,2091
"Rapunzel, let down your expectations.",153,54,29,236,639,227
"In my mind, this was always Plan B.",136,53,24,213,639,4532
Rapunzel: the  first draft.,142,60,23,225,639,4295
I don't think you appreciate the gravity of the situation.,155,54,29,238,639,2671
It always stiffens up when I'm near you.,176,55,35,266,639,2100
It’s been four hours. Should I seek medical attention?,176,45,38,259,639,4181
Think of it as Plan B.,160,68,25,253,639,3157
Why is everything always a competition with you?,151,65,23,239,639,1173
"No seriously, let down my hair.",167,58,30,255,639,176
"Post haste my princess, I can not keep it up much longer.",136,54,22,212,639,4061
"Well, that took 30 years but my feet are finally on the ground. You can let go now.",157,51,29,237,639,882
This might work better if we switched places.,136,50,23,209,639,2537
