caption,unfunny,somewhat_funny,funny,count,contest
I'll never let go.,244.0,49.0,1175.0,1468.0,555
I had the tailor over for lunch.,461.0,254.0,479.0,1194.0,555
You're the one who said I wasn't eating enough fiber.,316.0,119.0,260.0,695.0,555
"So I stick the head up a few times, the lifeguard runs in, bingo!",161.0,60.0,76.0,297.0,555
You're both dummies!,159.0,62.0,74.0,295.0,555
... one giant leap for a mannequin.,146.0,74.0,61.0,281.0,555
I miss the screaming.,146.0,74.0,61.0,281.0,555
I call it 'A Farewell to Arms'.,146.0,52.0,62.0,260.0,555
I miss all the screaming and thrashing.,131.0,76.0,47.0,254.0,555
"The dressmaker, however, was delicious.",115.0,63.0,33.0,211.0,555
"Fake news, fake people....what's going on up there?",121.0,46.0,39.0,206.0,555
"Nooo. I said I wanted a ""man again"".",119.0,33.0,38.0,190.0,555
"Yeah, but half an hour later, you want another one.",105.0,61.0,24.0,190.0,555
"It's not bad, but all things being equal I'd rather have gotten Steve Bannon.",123.0,24.0,42.0,189.0,555
I'm in the placebo group.,114.0,37.0,34.0,185.0,555
It was this or kale.,109.0,45.0,29.0,183.0,555
It needs a little dressing.,107.0,48.0,27.0,182.0,555
You do realize that’s just empty calories.,105.0,52.0,25.0,182.0,555
I see two dummies.,108.0,46.0,28.0,182.0,555
It needs some dressing,109.0,43.0,29.0,181.0,555
Just admit it. You need glasses.,106.0,49.0,26.0,181.0,555
The hardest part for me was getting into the department store.,105.0,49.0,25.0,179.0,555
It was this or kale.,108.0,42.0,28.0,178.0,555
Needs dressing.,112.0,33.0,32.0,177.0,555
They make great lifeguard bait.,107.0,39.0,28.0,174.0,555
"Jeez Charlie, I think they got you in the placebo group!",102.0,47.0,23.0,172.0,555
I'll thrash it around just beyond the breakers and when the lifeguard comes out you nab him.,106.0,38.0,27.0,171.0,555
"I tell you, Steve, it was a frenzy. Everything was at least half off.",105.0,40.0,26.0,171.0,555
It's not the same without the flailing.,104.0,40.0,25.0,169.0,555
"It doesn't quite have the same texture, but it's the ethical choice.",99.0,49.0,20.0,168.0,555
"It's like a person, but without the bitter aftertaste.",104.0,39.0,25.0,168.0,555
I try not to eat anything with a face.,105.0,40.0,25.0,170.0,555
I poke it through the surface. Shake it a bit. And bingo! Lifeguard for supper.,105.0,32.0,27.0,164.0,555
It's true. People have no taste.,99.0,44.0,21.0,164.0,555
It's Farewell to Arms and Legs.,109.0,27.0,30.0,166.0,555
It looked better in the window.,98.0,49.0,19.0,166.0,555
I think I got the placebo.,99.0,43.0,21.0,163.0,555
"You got it all wrong. I didn't mean ""go eat dummy."" I meant, ""Go eat... Dummy!""",97.0,50.0,18.0,165.0,555
"They're less fattening, but I do miss the screaming.",95.0,31.0,23.0,149.0,555
"I'll thrash around with it near the beach, you yell out ""Won't some meaty lifeguard save me?""",104.0,30.0,26.0,160.0,555
I liked it better when I saw it in the window.,96.0,46.0,18.0,160.0,555
I have no taste for fashion.,95.0,47.0,17.0,159.0,555
"No, I said I wanted to eat 'a man again.'",103.0,31.0,25.0,159.0,555
Is there someone stuck in my teeth?,103.0,31.0,25.0,159.0,555
Don't worry. It's armless.,101.0,38.0,22.0,161.0,555
"""It needs dressing…."".",101.0,31.0,24.0,156.0,555
I miss the struggle.,94.0,44.0,17.0,155.0,555
It just needs dressing.,99.0,34.0,22.0,155.0,555
"I said bring home take out, dummy, not dummy takeout!",100.0,32.0,23.0,155.0,555
I don't know how long I can do this Meatless Monday thing.,95.0,45.0,17.0,157.0,555
Macy's went under.,95.0,41.0,18.0,154.0,555
"This new diet is working, but I miss the thrashing and screaming at mealtime.",98.0,35.0,21.0,154.0,555
I hate Meatless Monday.,100.0,31.0,23.0,154.0,555
It's a lifeguard lure.,100.0,31.0,23.0,154.0,555
Do I have someone stuck in my teeth?,99.0,33.0,22.0,154.0,555
This completes your training. Tomorrow we'll head for the beach.,99.0,35.0,21.0,155.0,555
"No, thanks ... I'm a leg man.",97.0,36.0,20.0,153.0,555
I saw it in the window and I couldn't resist,98.0,34.0,21.0,153.0,555
I saw it in the window and I just had to have it.,99.0,32.0,22.0,153.0,555
I think we should eat other people,100.0,30.0,23.0,153.0,555
"It keeps up our reputation, but no one gets hurt.",98.0,34.0,21.0,153.0,555
I faint at the sight of blood.,96.0,37.0,19.0,152.0,555
You're right. I need glasses.,96.0,37.0,19.0,152.0,555
"First, fake news. Now this.",95.0,41.0,17.0,153.0,555
"What can I say, I have a taste for fashion.",98.0,32.0,21.0,151.0,555
Can you believe someone was throwing this out?,97.0,34.0,20.0,151.0,555
I saw it in the window and had to have it.,93.0,38.0,17.0,148.0,555
I'm doing Meatless Mondays.,97.0,30.0,21.0,148.0,555
"You never listen! I said,I wanted a man again, not a Mannequin!",100.0,23.0,24.0,147.0,555
"There you go again, choosing form over substance.",97.0,29.0,21.0,147.0,555
Don't worry. It's armless.,96.0,31.0,20.0,147.0,555
I Can't Believe It's Not People!,95.0,33.0,19.0,147.0,555
With this one you get to choose the dressing,95.0,33.0,19.0,147.0,555
I don't eat anything with a face.,97.0,29.0,21.0,147.0,555
It was a bait and switch scam.,91.0,41.0,15.0,147.0,555
I'd look much less stupid if the swim suit were still on.,93.0,36.0,17.0,146.0,555
I've developed a taste for fashion.,92.0,37.0,16.0,145.0,555
Let's just say the tailor won't be coming.,94.0,33.0,18.0,145.0,555
I'm pro-life.,94.0,35.0,17.0,146.0,555
I just got tired of all the yelling and screaming,95.0,30.0,19.0,144.0,555
Now keep in mind the real thing squirms a lot.,93.0,34.0,17.0,144.0,555
Do I haf fomefing in my teef?,94.0,32.0,18.0,144.0,555
You said you wanted it without dressing.,93.0,33.0,17.0,143.0,555
Have you ever heard of bait and switch?,92.0,35.0,16.0,143.0,555
"Fake news, Fake people. Where will it end?",93.0,33.0,17.0,143.0,555
It's nice to have a break from all the struggle and screaming.,95.0,29.0,19.0,143.0,555
I ate the tailor. This is a souvenir.,97.0,25.0,21.0,143.0,555
My doctor says that this will help me quit.,92.0,32.0,17.0,141.0,555
"This one has a slight woody, yet full bodied taste.",87.0,44.0,11.0,142.0,555
I think this one's stale.,89.0,40.0,13.0,142.0,555
Somehow 'mannequin-eater' just doesn't have the same panache.,89.0,37.0,14.0,140.0,555
It cost me an arm and a leg.,91.0,33.0,16.0,140.0,555
Just practicing for spring break.,93.0,29.0,18.0,140.0,555
It looked a lot better in the window than it tastes....,90.0,35.0,15.0,140.0,555
"To be honest, it could use some dressing.",93.0,29.0,18.0,140.0,555
Spielberg reduced the budget.,93.0,28.0,18.0,139.0,555
Do I have something stuck in my teeth?,91.0,32.0,16.0,139.0,555
"It's bait. I'll thrash this around on the surface, and you yell ""Help! Help! I can't swim!"", OK?",96.0,22.0,21.0,139.0,555
"It's OK, I guess. but I miss the screaming.",93.0,30.0,17.0,140.0,555
"No, you misunderstood. I said ""I bet you can't eat a man again.""",94.0,25.0,19.0,138.0,555
Never thought I'd fall for the old bait and switch.,90.0,33.0,15.0,138.0,555
I think I'm mannequin depressive.,90.0,33.0,15.0,138.0,555
I got it at the Great White Sale.,92.0,28.0,17.0,137.0,555
You've got something between your teeth.,91.0,30.0,16.0,137.0,555
"It has lots of insoluble fiber, without all the screaming.",94.0,24.0,19.0,137.0,555
It just needs a little dressing,87.0,38.0,12.0,137.0,555
"Of course, I miss the taste, blood curdling screams and thrashing around, but my cholesterol is way down.""",95.0,22.0,20.0,137.0,555
Do I have something in my teeth?,89.0,34.0,14.0,137.0,555
"First the fake crab, now this?",90.0,32.0,15.0,137.0,555
It never tastes as good as it looks.,91.0,30.0,16.0,137.0,555
They say it helps you kick the habit.,92.0,28.0,17.0,137.0,555
I can't stand the sight of blood.,90.0,32.0,15.0,137.0,555
Usually they put up more of a struggle,90.0,31.0,15.0,136.0,555
I saw it in the window and I just had to have it.,90.0,28.0,16.0,134.0,555
"Just can't swim past a garage sale, can you?",90.0,28.0,16.0,134.0,555
I can't tell you. I've never had chicken.,90.0,28.0,16.0,134.0,555
It takes the edge off but it doesn't stop the cravings.,89.0,29.0,15.0,133.0,555
I saw it in the window and I couldn't resist,88.0,31.0,14.0,133.0,555
I attacked because she wasn't armed.,95.0,17.0,21.0,133.0,555
It just needs dressing.,89.0,29.0,15.0,133.0,555
This is the last meal I will order online.,90.0,27.0,16.0,133.0,555
I just saw it in the window and HAD to have it.,91.0,25.0,17.0,133.0,555
It's supposed to help me quit.,90.0,26.0,16.0,132.0,555
The department store went under.,89.0,28.0,15.0,132.0,555
I went window shopping,87.0,32.0,13.0,132.0,555
Only dummies swim in shark infested waters.,91.0,24.0,17.0,132.0,555
I went window shopping,85.0,38.0,10.0,133.0,555
I know it's just empty calories,83.0,39.0,9.0,131.0,555
How do you think this would look in me?,89.0,26.0,15.0,130.0,555
They pulled the old bait-and-switch on me.,87.0,30.0,13.0,130.0,555
"Its a dummy, dummy.",90.0,24.0,16.0,130.0,555
It cost me an arm and a leg.,86.0,32.0,12.0,130.0,555
Turns out the billowing red stream was just taffeta.,89.0,26.0,15.0,130.0,555
I can't wait until Lent is over.,89.0,26.0,15.0,130.0,555
I wondered why there wasn't much of a frenzy.,87.0,30.0,13.0,130.0,555
Definitely not like chicken.,89.0,26.0,15.0,130.0,555
"You know, these healthy choices are tasteless.",86.0,29.0,13.0,128.0,555
I've learned I have no taste for fashion.,85.0,31.0,12.0,128.0,555
It's the old bait and switch.,85.0,31.0,12.0,128.0,555
"You know I’m automatically attracted to the human form — I just start biting them. It’s like a magnet. I just bite. I don’t even wait. And when you're a shark, they let you do it.",89.0,23.0,16.0,128.0,555
It's a lot like imitation crab.,85.0,31.0,12.0,128.0,555
"I don't care what the ads say, you can taste the difference",86.0,29.0,13.0,128.0,555
Just practicing. I'm spending the summer at Cape Cod.,84.0,33.0,11.0,128.0,555
I always had a taste for fashion.,84.0,33.0,11.0,128.0,555
One of you is a dummy.,90.0,21.0,17.0,128.0,555
Mannequin-eater doesn't have the same ring.,87.0,27.0,14.0,128.0,555
"As a matter of fact I did just read ""Shark Attack for Dummies."" Why?",87.0,27.0,14.0,128.0,555
I found thousands of these leftover from Trump's inauguration.,94.0,13.0,21.0,128.0,555
"First, I'd like to thank the Academy.",88.0,25.0,15.0,128.0,555
One of you is a dummy...the other's a mannequin.,89.0,23.0,16.0,128.0,555
Needs dressing.,88.0,25.0,15.0,128.0,555
I'd like to thank the Academy . . .,85.0,31.0,12.0,128.0,555
"What I said was, 'Go get a MAN AGAIN!'",91.0,18.0,18.0,127.0,555
It could use a little dressing.,87.0,26.0,14.0,127.0,555
"NO, STUPID, THE BOOK IS CALLED ""SHARK ATTACKS FOR DUMMIES"".",91.0,18.0,18.0,127.0,555
