caption,unfunny,somewhat_funny,funny,count,contest
Row v. Wave,855.0,733.0,810.0,2398.0,551
We shall overcomb.,787.0,673.0,637.0,2097.0,551
Row v. Wave,742.0,522.0,590.0,1854.0,551
"I don't know what's worse, the undertow or the combover",551.0,593.0,404.0,1548.0,551
"Don't worry, the polls show it will miss us.",347.0,250.0,264.0,861.0,551
"Ladies and gentlemen, if you look to your right, you’ll see a gift of friendship from the people of France; straight ahead, a gift of friendship from the people of Russia",559.0,494.0,406.0,1459.0,551
You've got it all wrong. We're emigrating.,447.0,455.0,292.0,1194.0,551
Mayday! We've been hit by a raging tycoon!,539.0,456.0,362.0,1357.0,551
To think this started as a Twitter storm.,415.0,371.0,266.0,1052.0,551
We shall overcomb.,528.0,384.0,349.0,1261.0,551
Did you just say there will be hell toupee?,475.0,406.0,295.0,1176.0,551
"I'm the perfect storm..the best storm, everybody tells me that.",370.0,285.0,224.0,879.0,551
Don't worry --if you're not a 10 it won't touch you.,392.0,296.0,213.0,901.0,551
"Huge wave, really terrific. But such tiny hands.",293.0,208.0,151.0,652.0,551
Unpresidented weather we're having.,340.0,240.0,168.0,748.0,551
Attention Everyone! Small hands on deck!,346.0,225.0,173.0,744.0,551
"All together now! 'Rue, rue, rue your vote . . .'",352.0,185.0,182.0,719.0,551
"'In retrospect, maybe the Cruz ship was a safer bet.'",312.0,255.0,139.0,706.0,551
It's a great wave. The best wave. No wave has ever been better.,290.0,236.0,120.0,646.0,551
The scariest part is how shallow it is!,306.0,188.0,138.0,632.0,551
"Everybody, lean left!",293.0,188.0,127.0,608.0,551
Relax ... it's just Alec Baldwin.,286.0,148.0,123.0,557.0,551
Don't sweat it -- he switches direction every two seconds.,244.0,191.0,84.0,519.0,551
I was expecting a wall.,177.0,95.0,69.0,341.0,551
Small hands on deck!,263.0,111.0,106.0,480.0,551
Hell AND high water?!,251.0,135.0,94.0,480.0,551
"Woe, woe, woe your vote...",251.0,108.0,98.0,457.0,551
"Ha ha ha, good one. Now do Putin riding on a seahorse!",228.0,149.0,74.0,451.0,551
There will be hell toupee!,238.0,116.0,86.0,440.0,551
Small hands on deck!,225.0,99.0,82.0,406.0,551
Something tells me this wave is going to touch us inappropriately.,230.0,117.0,79.0,426.0,551
Everyone take a deep breath and hold it for four years!,219.0,121.0,70.0,410.0,551
It's a foam over.,221.0,104.0,73.0,398.0,551
Thar he bloviates!,222.0,95.0,75.0,392.0,551
We're about to experience extreme wetting!,222.0,98.0,74.0,394.0,551
Quick! Tweet something to distract him.,219.0,99.0,72.0,390.0,551
Have we huddled masses arrived at a bad time?,218.0,100.0,71.0,389.0,551
Don't worry. It's only Alec Baldwin.,210.0,105.0,64.0,379.0,551
That's a surprise. All the forecasts said we'd be seeing Hillary.,193.0,133.0,48.0,374.0,551
"I thought ""tweeting up a storm"" was just a saying.",198.0,122.0,53.0,373.0,551
It's OK—we're Russian.,207.0,96.0,63.0,366.0,551
"Hold on, everyone. Hell AND high water are coming.",207.0,93.0,63.0,363.0,551
"Oh for heaven's sake, Ruthie, you're seeing him everywhere now.",197.0,108.0,54.0,359.0,551
The storm suddenly appeared out of thin hair.,199.0,104.0,56.0,359.0,551
Ok stay calm! Take a deep breath and hold it for four years!,204.0,94.0,61.0,359.0,551
"Whatever you do, don't mention the little hands.",201.0,99.0,58.0,358.0,551
Quick - compliment him on something!,199.0,95.0,57.0,351.0,551
Quick everyone. Shout out compliments.,199.0,98.0,56.0,353.0,551
"On second thought, let's yearn to be free somewhere else.",188.0,100.0,50.0,338.0,551
"Hold on, everyone. We've got hell AND high water coming.",196.0,91.0,55.0,342.0,551
It looks just like Alec Baldwin!,192.0,95.0,52.0,339.0,551
I knew there'd be hell toupee.,205.0,64.0,66.0,335.0,551
"Be careful, These waves usually come in gropes.",183.0,109.0,43.0,335.0,551
How did we not see this coming?,191.0,89.0,52.0,332.0,551
Tycoon season is early this year!,188.0,88.0,50.0,326.0,551
"Hold on, everyone. We've got hell AND high water coming.",187.0,89.0,49.0,325.0,551
"But we're trying to leave the country, not enter it.",192.0,79.0,54.0,325.0,551
