caption,unfunny,somewhat_funny,funny,count,contest
The truth is you came from a box of free kittens.,2163.0,2189.0,2250.0,6602.0,579
Get over yourself... it was ONE mouse!,1185.0,1597.0,1195.0,3977.0,579
Our estate planner wants to know if you would like your inheritance in a lump sum or spread out over nine lives.,1066.0,1582.0,1056.0,3704.0,579
"He does know the dog got more votes, right?",1495.0,1745.0,1380.0,4620.0,579
It doesn't mean you won't still be royalty. It just means there will be no heir.,705.0,674.0,631.0,2010.0,579
The taxidermist really captured his personality.,1560.0,1474.0,1381.0,4415.0,579
"You see, ""reigning"" cats and dogs can have two different meanings ...",553.0,725.0,466.0,1744.0,579
We're sorry we didn't think about your line of succession before we...you know.,871.0,938.0,696.0,2505.0,579
"No, your majesty, eating the canaries was not what we meant when we asked you to stop the tweeting.",1605.0,1474.0,1151.0,4230.0,579
he just got his resuslts from ancestry.com,1240.0,1382.0,819.0,3441.0,579
"Whatever, he still shits in a box.",1653.0,1210.0,1067.0,3930.0,579
"After legalizing catnip, nothing else seems important to him",1483.0,1570.0,882.0,3935.0,579
"A royal heir? Nice try, but you're still getting neutered.",1529.0,1559.0,880.0,3968.0,579
"This is a bit awkward, Sire, but the parakeet is missing.",1424.0,1498.0,802.0,3724.0,579
Why is it always the orange ones with delusions of grandeur?,1442.0,1106.0,804.0,3352.0,579
"We're just saying, it might be tough to rule the world when you sleep for 12 hours a day",1275.0,1331.0,610.0,3216.0,579
"Even if he's deposed, I'm sure he'll land on his feet.",1242.0,1225.0,588.0,3055.0,579
"I know the Egyptians used to worship them, but you're from the Bronx.",549.0,526.0,249.0,1324.0,579
YOU'RE the one who wanted to call him Donald!,1308.0,865.0,647.0,2820.0,579
Maybe children would be easier.,952.0,768.0,441.0,2161.0,579
He's overcompensating for his tiny claws.,1283.0,905.0,610.0,2798.0,579
"I wanted a rescue, but all they had was an exile.",631.0,419.0,291.0,1341.0,579
"Ok, I'll say it--the emperor has no claws.",1168.0,953.0,501.0,2622.0,579
We'd prefer you 'think' inside the box.,935.0,596.0,418.0,1949.0,579
"Sorry, but we had to remove your family jewels.",1154.0,795.0,468.0,2417.0,579
We never should have let him watch the Lion King.,1151.0,874.0,434.0,2459.0,579
"No, we're not changing the name of your litter box to Mar-a-Gato.",619.0,382.0,250.0,1251.0,579
Let’s go back to dry food.,109.0,75.0,42.0,226.0,579
"I know you don't want to move, but do you think you could just check that you're not sitting on the remote?",851.0,645.0,302.0,1798.0,579
He clawed his way to the top.,943.0,679.0,333.0,1955.0,579
