caption,unfunny,somewhat_funny,funny,count,contest
"Given Mr Tell's declining accuracy with his bow and arrow, we're lucky the guys don't use Apples.",82.0,151.0,69.0,302.0,544
"Where exactly is Bethlehem, NY? Hmmm. Off the top of my head … 42°36'N 73°50'W in Albany County.",80.0,142.0,60.0,282.0,544
I liked it better when they were just little voices inside our heads.,98.0,81.0,74.0,253.0,544
I liked it better when the voices were inside my head.,81.0,40.0,41.0,162.0,544
It wouldn't be so bad if their printers weren't in our pants.,81.0,29.0,39.0,149.0,544
Are you thinking what I'm thinking?,89.0,12.0,47.0,148.0,544
Have your person contact my person.,87.0,7.0,44.0,138.0,544
I live in constant fear he will hit ctrl+alt+del,69.0,37.0,26.0,132.0,544
Don't you miss the days when we thought about sex?,67.0,41.0,24.0,132.0,544
Are you thinking what I'm thinking?,81.0,11.0,38.0,130.0,544
Have your guy call my guy.,84.0,5.0,41.0,130.0,544
Are you thinking what I'm thinking?,82.0,8.0,39.0,129.0,544
Does your guy wear pants?,73.0,26.0,30.0,129.0,544
Are you thinking what I’m thinking?,79.0,14.0,36.0,129.0,544
I'll have my person contact your person.,81.0,10.0,38.0,129.0,544
I'll have my people call your people,78.0,15.0,35.0,128.0,544
Are you thinking what I'm thinking?,77.0,14.0,34.0,125.0,544
"Remember when the only things on our minds were sex, drugs, and rock and roll?",64.0,40.0,21.0,125.0,544
Funny...I was just thinking the same thing...,78.0,12.0,34.0,124.0,544
I'll have my guy call your guy.,79.0,9.0,35.0,123.0,544
"Hey, Are you thinking what I'm thinking?",79.0,9.0,35.0,123.0,544
Are you thinking what I'm thinking?,75.0,17.0,31.0,123.0,544
I'll have my people email your people,79.0,7.0,35.0,121.0,544
Are you thinking what I'm thinking?,77.0,11.0,33.0,121.0,544
Are you thinking what I'm thinking?,79.0,7.0,35.0,121.0,544
Are you thinking what I'm thinking?,77.0,11.0,33.0,121.0,544
Are you thinking what I'm thinking?,75.0,15.0,31.0,121.0,544
Are you thinking what I'm thinking?,74.0,17.0,30.0,121.0,544
Are you thinking what I'm thinking?,76.0,13.0,32.0,121.0,544
Are you thinking what I'm thinking?,77.0,11.0,33.0,121.0,544
I'll have my guy call your guy.,76.0,12.0,32.0,120.0,544
I'll have my people call your people.,77.0,10.0,33.0,120.0,544
The New Yorker must be testing its new Caption Selection system,70.0,23.0,26.0,119.0,544
Are you thinking what I'm thinking?,78.0,5.0,34.0,117.0,544
I'll have my guy call your guy.,78.0,5.0,34.0,117.0,544
Are you thinking what I'm thinking?,75.0,10.0,31.0,116.0,544
My people will talk to your people,74.0,12.0,30.0,116.0,544
Are you thinking what I'm thinking you're thinking I'm thinking?,76.0,7.0,32.0,115.0,544
"""Have your man call my man"".",73.0,13.0,29.0,115.0,544
Have your people call my people.,72.0,15.0,28.0,115.0,544
Are you thinking what I'm thinking?,75.0,9.0,31.0,115.0,544
"I can’t get work off my mind, either.",66.0,26.0,22.0,114.0,544
I work under Jerry in Accounting. You?,67.0,27.0,22.0,116.0,544
Have your guy call my guy.,75.0,6.0,31.0,112.0,544
Have your people call my people.,76.0,4.0,32.0,112.0,544
Have your people call my people.,74.0,8.0,30.0,112.0,544
Have your little person contact my little person.,73.0,9.0,29.0,111.0,544
I'll have my guy call your guy,74.0,9.0,29.0,112.0,544
Accounting says we have too much overhead,63.0,27.0,19.0,109.0,544
Are you thinking what I'm thinking?,66.0,21.0,22.0,109.0,544
We have way too much overhead.,61.0,30.0,17.0,108.0,544
Are you thinking what I'm thinking?,72.0,8.0,28.0,108.0,544
I should have asked more questions when they offered me a 'Department Head.',62.0,28.0,18.0,108.0,544
"You know, before email and internet, all we had were little balloons floating in the air with words inside them",55.0,41.0,11.0,107.0,544
Are you thinking what I'm thinking?,72.0,7.0,28.0,107.0,544
when I turn around check if he's playing solitaire again,62.0,27.0,18.0,107.0,544
Are you thinking what I'm thinking?,73.0,8.0,28.0,109.0,544
Are you thinking what I'm thinking?,72.0,6.0,28.0,106.0,544
Are you thinking what I'm thinking?,73.0,4.0,29.0,106.0,544
I hate working under the new guy.,68.0,20.0,22.0,110.0,544
Have your person contact my person,70.0,9.0,26.0,105.0,544
"My thoughts, exactly",72.0,5.0,28.0,105.0,544
Are you thinking what I'm thinking?,68.0,13.0,24.0,105.0,544
I'll have my guy call your guy.,71.0,6.0,27.0,104.0,544
Are you thinking what I'm thinking?,70.0,8.0,26.0,104.0,544
Are you thinking what I'm thinking?,68.0,11.0,24.0,103.0,544
Are you thinking what I'm thinking?,67.0,13.0,23.0,103.0,544
I'll have my people talk to your people.,71.0,5.0,27.0,103.0,544
Have your guy call my guy and we'll set something up.,66.0,15.0,22.0,103.0,544
Are you thinkin' what I'm thinkin'?,68.0,11.0,24.0,103.0,544
Have your guy call my guy.,67.0,13.0,23.0,103.0,544
Are you thinking what I'm thinking?,70.0,6.0,26.0,102.0,544
"""Are you thinking what I'm thinking?",69.0,8.0,25.0,102.0,544
Are you thinking what I'm thinking?,68.0,10.0,24.0,102.0,544
I'll have my guy call your guy.,66.0,14.0,22.0,102.0,544
Are you thinking what I'm thinking?,70.0,6.0,26.0,102.0,544
Are you thinking what I'm thinking?,70.0,6.0,26.0,102.0,544
Don't you hate those guys in the head office?,61.0,24.0,17.0,102.0,544
Are you thinking what I'm thinking?,70.0,6.0,26.0,102.0,544
