caption,unfunny,somewhat_funny,funny,count,contest
I think I like the French maid outfit better.,1171.0,1198.0,840.0,3209.0,556
Making fission chips?,1145.0,615.0,859.0,2619.0,556
So...how did your first husband die?,509.0,418.0,236.0,1163.0,556
"So, not tonight?",473.0,343.0,211.0,1027.0,556
"Making fission chips again, I see.",512.0,238.0,252.0,1002.0,556
Your first husband died how?,467.0,270.0,212.0,949.0,556
Next time I'll bring the protection.,463.0,157.0,219.0,839.0,556
Remember when you used to meet me at the door in Saran Wrap?,413.0,252.0,170.0,835.0,556
"For heaven's sake, it's just gluten.",309.0,170.0,131.0,610.0,556
Like you've never farted.,447.0,186.0,203.0,836.0,556
"No, in fact it makes you look weightless.",394.0,238.0,156.0,788.0,556
"Honey, I've told you a thousand times: the mother ship is not coming back to get you.",405.0,95.0,189.0,689.0,556
Looks like a recipe for disaster.,377.0,216.0,145.0,738.0,556
Will you come out if I turn off the news?,362.0,176.0,145.0,683.0,556
Whipping up something special for my mother?,382.0,186.0,152.0,720.0,556
"Houston, we have an omelette.",358.0,233.0,128.0,719.0,556
"I misunderstood the ""well-suited as homemaker"", profile.",380.0,169.0,152.0,701.0,556
"In fairness, I only suck some of the air out of the room.",338.0,204.0,116.0,658.0,556
"Honey, I'm having an affair.",362.0,137.0,142.0,641.0,556
Fear of frying?,324.0,184.0,108.0,616.0,556
"Okay, I get it. You need some space.",320.0,190.0,104.0,614.0,556
Are you sure it calls for mustard gas?,332.0,156.0,117.0,605.0,556
What happened to the French maid outfit?,307.0,205.0,92.0,604.0,556
"Houston, we have an omelette.",316.0,171.0,103.0,590.0,556
I’m just whipping up a little something for your mother.,346.0,103.0,134.0,583.0,556
"Dinner will be ready in 10, 9, 8, 7, 6............",302.0,177.0,92.0,571.0,556
I still think you should have just gotten a flu shot.,285.0,199.0,77.0,561.0,556
One of your Mothers recipes?,308.0,146.0,101.0,555.0,556
I specialized in eggs at the NASA Culinary Institute.,311.0,123.0,106.0,540.0,556
Are you sure the recipe said mustard gas?,302.0,129.0,99.0,530.0,556
I liked it better when you said you have a headache.,275.0,150.0,76.0,501.0,556
Gastronaut?,282.0,132.0,84.0,498.0,556
Looks like a recipe for disaster.,275.0,138.0,78.0,491.0,556
What's for launch?,282.0,124.0,85.0,491.0,556
"None for me, thanks.",277.0,129.0,81.0,487.0,556
"A simple ""not tonight, dear"" would have sufficed...",266.0,150.0,70.0,486.0,556
Are you sure it calls for mustard gas?,279.0,123.0,83.0,485.0,556
"Martha, Congress isnt repealing the Clean Air Act until next week.",274.0,128.0,79.0,481.0,556
Eggs quarantine? My favorite.,276.0,122.0,81.0,479.0,556
Shall I set the periodic table?,283.0,111.0,87.0,481.0,556
"When I said let's leave after the inauguration, I was thinking more like Canada.",270.0,130.0,76.0,476.0,556
Fine. I take it back. Cooking dinner is rocket science.,256.0,143.0,64.0,463.0,556
I assume this is my last supper?,271.0,105.0,80.0,456.0,556
"Dammit, Karen—just get the flu shot!",229.0,178.0,40.0,447.0,556
"When you said you didn't want to breathe the same air as me, I thought you were moving out.",259.0,109.0,71.0,439.0,556
"You'd tell me if you weren't happy, right?",251.0,127.0,62.0,440.0,556
"So, this is your plan for the next four years?",254.0,111.0,68.0,433.0,556
Running out to the store was a lot easier when we still had an EPA.,256.0,109.0,69.0,434.0,556
It's like we're not even on the same planet.,252.0,114.0,65.0,431.0,556
"So, exactly what goes into a Three Mile Island omelet?",250.0,111.0,65.0,426.0,556
Exactly what did you mean when you said 'bring protection'?,246.0,118.0,60.0,424.0,556
We had meth on Tuesday.,238.0,126.0,54.0,418.0,556
Is that a recipe for disaster?,248.0,106.0,64.0,418.0,556
Has there been a case where someone caught the bird flu cooking eggs?,151.0,51.0,43.0,245.0,556
Preparing a satellite dish?,247.0,103.0,64.0,414.0,556
I suppose you want your space?,239.0,114.0,57.0,410.0,556
"You know that ""Nuke for five minutes"" means to microwave, right?",241.0,113.0,58.0,412.0,556
Is it true I suck all the oxygen out of the room?,237.0,115.0,55.0,407.0,556
I might skip dinner.,234.0,117.0,53.0,404.0,556
I was thinking more along the lines of French maid.,224.0,137.0,42.0,403.0,556
Another of your mother's recipes tonight?,232.0,113.0,52.0,397.0,556
You seem distant.,239.0,95.0,60.0,394.0,556
So the cat can stay?,243.0,77.0,65.0,385.0,556
You look hot in that outfit.,224.0,97.0,50.0,371.0,556
I am just saying that cooking together was more romantic before you started reading the labels.,229.0,90.0,54.0,373.0,556
"So, hey, I've been meaning to ask you a little more about your late husband. . .",218.0,108.0,44.0,370.0,556
Did you remember to wash your hands?,238.0,67.0,64.0,369.0,556
You made your point. You can leave out the garlic.,223.0,93.0,50.0,366.0,556
"You were serious when you said ""I don't even want to breathe the same air as you""",214.0,105.0,42.0,361.0,556
Sometimes it just feels like we're living on different planets.,218.0,92.0,47.0,357.0,556
You should have just gotten a flu shot,199.0,128.0,28.0,355.0,556
"What are you making, eggs quarantine?",216.0,89.0,46.0,351.0,556
You seem a little distant.,213.0,95.0,43.0,351.0,556
Sometimes it's like we're from different planets.,215.0,78.0,47.0,340.0,556
I see you are using your mother's recipe.,212.0,76.0,46.0,334.0,556
Something looks different. Did you get a haircut?,208.0,87.0,41.0,336.0,556
I miss the EPA too,208.0,79.0,43.0,330.0,556
You seem distant lately.,203.0,88.0,38.0,329.0,556
You seem a little distant.,207.0,80.0,42.0,329.0,556
"Martha, you cannot catch the bird flu from frying eggs.",183.0,121.0,19.0,323.0,556
I see you've found a recipe for disaster.,205.0,74.0,42.0,321.0,556
I feel like you're not telling me something.,198.0,88.0,34.0,320.0,556
I can't help but notice that the atmosphere between us has changed.,206.0,69.0,43.0,318.0,556
Cooking is not rocket science.,197.0,87.0,34.0,318.0,556
"So, what's the half-life on dinner?",201.0,76.0,39.0,316.0,556
I know you're under a lot of pressure.,201.0,76.0,39.0,316.0,556
Will you at least let me try to explain why I voted for him.,202.0,74.0,40.0,316.0,556
What would you say to some tang before dinner?,211.0,54.0,49.0,314.0,556
You could've just gotten a flu shot.,187.0,102.0,25.0,314.0,556
I guess you're not in the mood.,198.0,80.0,36.0,314.0,556
"Okay, you've made your point. I changed the cat litter.",202.0,69.0,41.0,312.0,556
Do you mind telling me where you found this recipe?,191.0,91.0,30.0,312.0,556
I love what you've done with your air.,201.0,72.0,39.0,312.0,556
You need space. I get it.,200.0,68.0,40.0,308.0,556
Then quit serving beans.,203.0,62.0,43.0,308.0,556
"I'm sorry, Barbara. I like it! It just took me by surprise. I was thinking cheerleader, or a French maid.",192.0,83.0,32.0,307.0,556
I get it. You need space.,194.0,76.0,34.0,304.0,556
How's that media deprivation suit working out?,197.0,67.0,38.0,302.0,556
A simple 'I have a headache' would suffice.,180.0,101.0,21.0,302.0,556
