caption,unfunny,somewhat_funny,funny,count,contest,target_id
I wear the pants but my wife controls them.,92,28,42,162,638,4419
"I wear the pants, but my wife has the remote.",86,38,31,155,638,5015
Nothing you buy on a 2 am informercial is ever a good idea.,87,50,27,164,638,2355
"To be honest, I’m kind of flying by the seat of my pants.",100,55,28,183,638,4828
Seriously? You've never tried a pair of hoveralls?,96,37,30,163,638,3197
"This is Otto, the other is Hannah — they’re palindrones.",99,35,30,164,638,4270
The puppy wasn't attracting the type of women I'm interested in.,95,42,26,163,638,5093
It’s not so bad. I had helicopter parents.,97,41,26,164,638,482
And that’s when I just decided to fly by the seat of my pants!,95,44,24,163,638,5392
My wife forgave me for the affair.  With conditions.,117,36,34,187,638,4056
"I'm Adam, your Lift driver.",105,28,31,164,638,2390
We didn't understand cargo pants at first either.,80,36,19,135,638,188
"Hi, I’m your Uber ride.  Grab my hand.",89,32,23,144,638,1819
This is much better.  I used to fly by the seat of my pants.,97,41,23,161,638,4908
"In hind sight, I should have agreed to an ankle monitor.",101,39,25,165,638,2230
YOU can wait for the walk sign.,100,50,21,171,638,617
Always wanted to fly by the seat of my pants.,104,40,25,169,638,1489
I like to fly by the seat of my pants.,97,35,24,156,638,130
The only danger is if they see a squirrel.,103,44,23,170,638,1666
My wife has the remote,97,37,23,157,638,2673
I see yours are still analog.,105,49,22,176,638,3074
"No - I can't fly yet, but I can hit a high C.",92,37,21,150,638,2875
First time in the Bay Area?,104,47,22,173,638,3276
I've got them set between low-rider and full wedgie.,99,31,25,155,638,1617
I’d wait for the next upgrade. There’s a wedgie issue.,113,43,26,182,638,2615
My wife is at the controls . . . long story.,101,39,23,163,638,1463
The only problem with them is if there's a strong gust of wind my voice goes up an octave.,101,35,24,160,638,3289
SkyMall. Why do you ask?,111,36,27,174,638,2173
The good news is that I get uptown in 10 minutes. The bad news is that I land with one hell of a wedgie.,93,41,19,153,638,3490
It was either this or an ankle monitor.,95,28,23,146,638,4553
Mr. Smith? I’m your Uber ride.,102,36,22,160,638,4131
It's called upward mobility.,107,43,22,172,638,5075
Turns out you don't have to put on your pants one leg at a time.,113,46,23,182,638,2566
"Alexa, hold up my pants!",105,34,24,163,638,4922
You must be the fellow who ordered a friend on Amazon.,100,42,19,161,638,5115
It’s the convenience of suspenders without the ridiculous look.,98,34,21,153,638,1395
Ask me where I keep the remote.,91,42,16,149,638,3115
The judge said it was either this or the ankle bracelet.,113,36,25,174,638,4673
"Hi, I'm Steve from Amazon Cloud Services.",95,40,17,152,638,4915
I'm flying by the seat of my pants.,106,44,19,169,638,1856
"Well, I guess I’m going to take off.",107,36,22,165,638,5219
Actually my wife has the controls.,99,43,17,159,638,2897
Well I'm off.  My Lyft is here.,100,41,18,159,638,5188
Amazon sent me. Your book is backordered.,103,32,22,157,638,570
You're experiencing what is known as 'disbelief of suspension'.,92,36,17,145,638,4238
"Yeah, I had helicopter parents, why",108,42,20,170,638,3536
They're my emotional support drones.,124,42,25,191,638,3533
I said I BARELY NOTICE THEM ANYMORE!,99,36,19,154,638,2301
"All I said was: ""Hey Alexa I need a lift,"" and this happens...",104,36,20,160,638,2553
They keep dropping me off at Amazon.,109,26,25,160,638,3560
"At first it was just a joke, but then I got the Department of Defense contract.",100,44,16,160,638,4438
You act like you've never seen a pair of chastity drones before.,103,35,20,158,638,2381
"As you probably guessed, I'm single.",110,38,21,169,638,2502
I lost the car in the divorce.,117,50,19,186,638,3386
I hope I have been ordered by a nice family,97,31,18,146,638,752
It's just until the sexual assault charges are dropped.,115,36,23,174,638,4706
They're great until your kid steals the controller.,112,39,21,172,638,3304
"The battery life is pretty short, and that’s led to a couple of embarrassing incidents.”",119,48,20,187,638,5095
"One leg at a time, that's how.",120,40,23,183,638,4430
Guess who just put his pants on TWO legs at a time?,101,46,15,162,638,5302
No lines ... no tickets ... just fly by the seat of your pants.,103,39,18,160,638,257
Yes I'm single. Why do you ask?,108,37,20,165,638,773
"Plus, with the turbo option, I can go up a full octave.",123,30,27,180,638,942
Best part? I can use Tesla charging stations.,105,40,18,163,638,1680
It’s not so much about holding up my pants as it’s about attracting venture capitalists.,94,39,15,148,638,1388
They're controlled by a joystick in my pants.,108,31,22,161,638,1317
"Alexa, fix my wedgie.",106,32,21,159,638,4313
It's the hot new fashion...hoveralls,94,31,17,142,638,1273
Gotta go.  My Lift is here.”,111,39,20,170,638,5186
It's better than flying by the seat of my pants!,101,33,19,153,638,270
They're just for technical support,83,37,12,132,638,3709
"OK, you have the remote, right?",103,37,18,158,638,1871
"And now, when people say, ""He puts his pants on just like you and me,"" you'll know just how wrong they are.",95,30,18,143,638,1824
"Ya, you get a wedgie.  But I can be in Hoboken in five minutes.",104,34,18,156,638,2815
I prefer to fly by the seat of my pants.,114,49,17,180,638,2086
"You also get an owner’s manual, a pack of adult diapers and a barf bag.",98,32,18,148,638,1786
"Hi, I'm the drinking buddy you ordered from Amazon Prime.",122,35,24,181,638,623
They're my suspenders of disbelief.,103,33,19,155,638,746
I'm here for your Amazon return.,110,36,20,166,638,1609
"Sure, but once he builds that wall, these babies will sell like hot tamales.",114,36,21,171,638,3321
I admit it can be a little embarrassing when the batteries get low.,115,45,18,178,638,4793
"Hi!  I'm Joe, the personal assistant you ordered from Amazon.",99,40,15,154,638,4823
Of course my wife has the remote control.,110,35,20,165,638,5299
AirUber.  Where to?,105,42,16,163,638,2513
I place an order on Amazon and - Pow! - these babies deliver ME to my stuff!,116,31,23,170,638,1770
The balloons looked ridiculous.,108,38,18,164,638,133
Are you the one who called Amazon Customer Support?,113,28,23,164,638,922
"Why, yes, I am Mr. Fancypants.",118,32,23,173,638,643
My wife got the bra version.,114,37,20,171,638,1647
I have a mini one to do my zipper.,124,28,26,178,638,3799
"Hi, i’m Your Lyft driver.",119,38,21,178,638,3974
"Wow, you're still using analog suspenders?",107,45,15,167,638,238
I’ve been sent here to see if there is anything we can do to stop you from dropping your Amazon Prime.,115,37,20,172,638,2391
The only thing I don't like about them is I have to call the FAA every time I want to take off  my pants.,112,40,18,170,638,4650
yeah...product of helicopter parents,113,38,19,170,638,5161
"No one thought the iPhone would catch on, either!",96,41,13,150,638,3336
I have a patent suspending.,107,33,19,159,638,1366
"Unfortunately, I left the remote in my other pants.",124,41,21,186,638,1852
"Sir, your Lyft has arrived.",125,39,22,186,638,3608
The hip-hop setting is eight inches lower.,100,30,18,148,638,904
"By design, I fly by the seat of my pants!",98,34,16,148,638,4514
"Look, they put my pants on one leg at a time just like everybody else.",112,34,20,166,638,1342
"When you go low, I go high.",107,44,15,166,638,3515
I only have to wear them until my wife trusts me again.,109,23,23,155,638,668
"Honestly, I feel 20 pounds lighter.",119,45,18,182,638,4432
"With the Drone-penders 2.0, there's no chance of getting caught with your pants down.",110,43,16,169,638,453
"You ordered a handshake on Amazon, correct?! Here it is!",139,46,23,208,638,5288
"I know it looks weird, but I haven't been mugged  once since I put them on.",106,42,15,163,638,1257
Amazon needs a clarification on your order.,134,36,25,195,638,3931
