caption,unfunny,somewhat_funny,funny,count,contest,target_id
Like it would have killed you to ask him for directions.,139,78,51,268,646,5749
"Oh, shit! What if your sister-in-law is also right about God?",155,73,55,283,646,5536
"Don’t bring a camera, you said.  Just enjoy the experience, you said.",172,68,61,301,646,6069
He just walked by like he thinks we don't exist.,137,67,45,249,646,17
He asked that we please wait while he gets his camera or his friends will never believe him.,142,64,47,253,646,326
"Oh, so first he doesn't exist and now he's flirting with me?",154,74,49,277,646,3275
He said it’s not him but he gets asked that all the time.,145,79,43,267,646,1062
"Unplug"" you said. ""Leave the phones in the car"" you said",168,73,54,295,646,4070
He doesn’t believe in us either.,143,64,43,250,646,4523
He walked past me like I  didn’t exist.,148,67,44,259,646,3395
He said he didn't believe in us either.,137,61,41,239,646,2053
"Once and for all, Bob, stop following us. It’s over.",158,71,47,276,646,163
He wants us to wait here while he gets his camera. He doesn't think think anyone will believe him.,152,76,43,271,646,5243
He asked for us to wait here while he gets his camera.,158,70,47,275,646,3100
He says we're only allowed to take blurry photos.,167,69,51,287,646,1456
He acted like we don't even exist.,155,72,44,271,646,3010
"Oh, he says he doesn't believe in you either.",142,84,34,260,646,895
I believe you owe me a dollar.,150,73,40,263,646,3085
"Before you meet my family, there's something I need to tell you.",173,80,47,300,646,1731
He said that he doesn't believe in us either.,162,68,45,275,646,5527
"Yeah, he saw us, but they'll never believe him",164,74,44,282,646,1344
He said he doesn’t believe in us either.,156,66,43,265,646,406
He says he never really believed in us either.,157,69,42,268,646,5124
He's a lot less blurry in person.,147,79,35,261,646,539
"Would it kill you to, just once, ask someone for directions?",171,74,46,291,646,5186
"""Leave the phone in the car,""  you said!
""There'll be no time for photos,"" you said!",155,60,43,258,646,321
He said  he always believed we existed.,151,76,36,263,646,4593
I think we should start seeing other species.,157,87,35,279,646,2230
He can't believe we're real. He's going to get a camera.,158,71,40,269,646,2639
We went on one date! How was I supposed to know we would run into him here?,144,56,39,239,646,1331
Still think we should have left our phones in the car Mr. Be In The Moment?,160,62,43,265,646,1970
He’s leaving. Apparently he’s late for a summit meeting.,165,84,38,287,646,4824
He said he's not surprised; he's questioned his own existence his whole life.,152,55,41,248,646,262
"'We'll leave our smartphones in the car,' you said. 'Let's really be in the moment this time,' you said.",158,62,41,261,646,2887
He's really let himself go since the impeachment. In fact I wasn't sure it was really him till he grabbed my ass,176,52,50,278,646,2873
"He said if anyone asks, we haven’t seen him.",142,68,32,242,646,3178
He’s less blurry in person.,149,69,34,252,646,1
He was going to come down until I told him who the president is.,160,37,48,245,646,5802
"He said, due to the government shutdown, the rest rooms are closed.",173,52,48,273,646,5424
"He asked us to wait here while he got his camera.  He said if he doesn't take our picture, his friends won't believe we exist.",173,73,41,287,646,4854
He ignored us like we didn't even exist.,165,63,41,269,646,5095
"Sure, Rich, and Santa Claus is right behind you. Now can we please get back to talking about what happened last night?",166,83,35,284,646,4821
"He says the real abomination is your cargo pants.""",171,83,36,290,646,3904
He said there’s no such thing as human beings and no one will believe he saw us.,151,62,35,248,646,2696
"The difference is, he, unlike you, is evolving.",155,63,36,254,646,1940
"It's 2019. We don't use the word ""abominable"" anymore.",148,70,31,249,646,2506
"If we could just stop arguing, we might actually see something interesting!",163,57,40,260,646,5172
That guy? He’s a legend around here.,166,79,34,279,646,5428
"All I said was ""I've seen bigger"".",168,68,38,274,646,566
He's going to try 'outdoorsy' instead of 'abominable' in his dating profile,161,82,31,274,646,6033
"Sorry, but I was cold, he's covered in fur. It just happened.",166,74,35,275,646,2175
"Unlike you, I'm fine with asking a local for directions.",164,80,32,276,646,1447
"As soon as he's out of the way, can you take my picture ?",166,57,40,263,646,1011
He's a legend around here.,160,72,33,265,646,104
Just man up and ask him for directions,164,67,36,267,646,2011
"No! I will not ""look behind me"", and stop trying to change the subject.",169,57,41,267,646,4262
I hate it when you won't ask locals for directions.,180,59,44,283,646,643
"Nice try, but I'm not falling for ""made you look"" again!",181,57,45,283,646,768
First person we see in days and you STILL won't ask for directions!,156,68,32,256,646,2627
"He’s mature, ruggedly handsome, and not lost.  Owen, this is goodbye.",156,77,29,262,646,4718
Don't bother. He's lost too.,162,71,33,266,646,1159
"Let’s leave our phones home,” you said",171,62,39,272,646,1698
He doesn't believe in you either.,171,62,39,272,646,2644
I obviously made my decision! Please stop following us!,175,57,42,274,646,567
He says he might have the right charger.,182,76,38,296,646,4859
You and your 'let's experience the hike and not bring a camera',162,67,34,263,646,5732
I’m not falling for that “he’s right behind you” trick.,166,65,36,267,646,5497
"No, Craig, I don’t believe Bigfoot is over my left shoulder. I believe you have commitment issues.",147,56,32,235,646,2317
"Can't you just ask for directions, he's clearly a local.",183,63,42,288,646,5724
"Oh, like we don’t run into your exes every time we go grocery shopping.",166,63,36,265,646,4346
He doesn't think we're real.,181,63,41,285,646,3157
"He said he was ready to go public, but with the government shutdown, no one at the Smithsonian picked up the phone.",168,55,39,262,646,2922
"He said, ""I exist. Get over it.",163,74,31,268,646,1694
"SERIOUSLY, he whistled at me, and you do NOTHING?",169,62,37,268,646,5600
"He said it’s always been on his bucket list, too.",167,77,31,275,646,5576
He said he'll come back down after the 2020 election.,177,63,39,279,646,1714
You never look at ME like that.,127,59,23,209,646,1713
Climate change has everyone relocating.,156,52,35,243,646,3089
"Let's get back to nature"", you said. ""Leave the cell phones in the cabin"", you said",158,54,35,247,646,4328
"I trust him, he's a local.",171,70,34,275,646,5914
He doesn't believe we exist,175,71,35,281,646,1786
He saw me but said his friends would never believe him.,165,57,36,258,646,1221
"Well, Mr. Know-It-All, it looks like that wasn't fresh grizzly bear scat we've been seeing on the trail today.",167,59,36,262,646,4600
‘He said that he had never actually believed that we existed before now.’,176,70,35,281,646,2917
"He says since 2016, he doesn't feel all that abominable.",171,56,38,265,646,2634
"For once, can you just admit I was right?",163,57,35,255,646,5607
I don't see why people think being blind takes away from the hiking experience. We aren't missing a thing!,158,58,33,249,646,4031
"No, it is his brother Abysmal.",152,61,30,243,646,641
He says it's not us..he can't get cell service either.,174,73,33,280,646,1096
I told you getting a guide off the internet was risky.,163,74,29,266,646,5665
No problem!  He doesn't believe in us either.,160,71,29,260,646,3751
Jason has really changed since being on the paleo diet.,152,53,32,237,646,4251
He’s the new Secretary of the Interior.,176,63,36,275,646,4391
He’s having a wall built and he says we’re paying for it.,183,46,44,273,646,599
The Big Foot is not actually his most notable feature.,172,65,34,271,646,3434
He says we don't exist.,171,61,35,267,646,1748
"...aloof, a bit abrupt, but certainly not abominable.",163,62,32,257,646,467
That was awkward.,163,62,32,257,646,3096
"I swear, if you say, ""Are we there yeti?"" one more time....",166,50,37,253,646,1843
That reminds me; did you call your Mother?,146,54,29,229,646,396
He  says he's going to a summit meeting.,166,76,28,270,646,1570
Nobody will believe him when he says he saw us.,169,55,36,260,646,3507
I thought YOU were bringing the camera.,171,68,32,271,646,1593
I refuse to have this conversation every time we run into one of my ex boyfriends!,174,56,37,267,646,2152
No. I was water bottles. You were camera.,198,61,43,302,646,2784
All the brochure said was “Expert Guide.”,191,75,36,302,646,5391
He’s blurrier in pictures.,170,58,35,263,646,5571
You’re supposed to say ‘Snowperson’.,196,62,42,300,646,3159
"Balding, orange hair, small paws, thinks he's the King of the mountain . . . . I'm sure it's him.",189,73,36,298,646,1160
"I'm sorry, Todd.  But he just seems better prepared for what's ahead.",148,66,25,239,646,2364
"No, I told YOU to bring the camera!",172,68,32,272,646,480
This is not what I expected when they said we'd have a native tour guide.,174,96,23,293,646,4204
Seriously! Why is it so hard for you men to ask for directions?!,164,63,31,258,646,1522
