caption,unfunny,somewhat_funny,funny,count,contest
Hey! My eyes are down here.,81.0,47.0,45.0,173.0,526
"It autocorrected to ""hula"".",73.0,31.0,39.0,143.0,526
"Excuse me, Miss, my eyes are down here.",69.0,44.0,34.0,147.0,526
Good Samaritan? I was a GREAT Samaritan.,65.0,57.0,29.0,151.0,526
My eyes are down here.,77.0,33.0,38.0,148.0,526
"Next time, wash it in cold water.",72.0,41.0,31.0,144.0,526
"I was cleaning the kitchen, without being asked, and that's all I remember.",71.0,34.0,31.0,136.0,526
It was autocorrected to 'hula.',82.0,20.0,39.0,141.0,526
It's only dangerous if it lasts longer than 4 hours.,66.0,40.0,25.0,131.0,526
"If it last longer than 4 hours, I'm supposed to contact my theologian right away.",64.0,43.0,23.0,130.0,526
You didn't see the bonus questions at the end?,68.0,28.0,27.0,123.0,526
If it lasts more than 4 hours I'm supposed to call a doctor.,66.0,38.0,23.0,127.0,526
Excuse me. My eyes are down here!,66.0,25.0,26.0,117.0,526
"Pleased to meet you, obviously.",63.0,37.0,21.0,121.0,526
Actually it's kind of embarrassing. I almost wish I hadn't cured cancer.,66.0,22.0,26.0,114.0,526
"What I actually said before I died was "" I hope St Peter gives me a big hello!""",58.0,41.0,17.0,116.0,526
It's not funny. I've been dunked on twice today.,61.0,27.0,22.0,110.0,526
I let my mother-in-law move in with us.,64.0,31.0,22.0,117.0,526
I taught my mother how to use a computer.,59.0,28.0,20.0,107.0,526
"If I hold my head just right, I can pick up basic cable.",54.0,37.0,15.0,106.0,526
I once won The New Yorker caption contest.,64.0,28.0,22.0,114.0,526
"Thanks, I've been working out.",54.0,39.0,14.0,107.0,526
"Actually, I do think I'm too good for you.",57.0,32.0,17.0,106.0,526
Remember all those times you said I was wrong?,75.0,27.0,26.0,128.0,526
"Still, I'd gladly give it up to have genitals again.",63.0,19.0,22.0,104.0,526
It's God's little joke with us atheists.,60.0,28.0,18.0,106.0,526
It's a little cumbersome but I get great Wi-Fi.,55.0,34.0,14.0,103.0,526
"Ironically, it's for being so humble.",56.0,28.0,16.0,100.0,526
My face is down here.,63.0,18.0,21.0,102.0,526
It seems to happen when I'm spiritually aroused.,56.0,32.0,14.0,102.0,526
If it lasts more than 4 hours I am calling the doctor.,53.0,31.0,13.0,97.0,526
A disappointing reward for a life of abstinence.,54.0,32.0,13.0,99.0,526
"My eyes are down here, Missy.",60.0,18.0,19.0,97.0,526
I'm just glad to see you.,56.0,26.0,15.0,97.0,526
"As a matter of fact, I am holier than thou.",58.0,28.0,15.0,101.0,526
I won the 'Holier Than Thou' contest.,56.0,24.0,15.0,95.0,526
I'm the guy who always left the toilet seat down.,58.0,23.0,16.0,97.0,526
"Well, yeah . . . as a matter of fact I am holier than thou.",55.0,31.0,12.0,98.0,526
I liked God on Facebook.,53.0,28.0,12.0,93.0,526
"Yes, I am happy to see you. Why do you ask?",58.0,21.0,16.0,95.0,526
I won the cartoon caption contest.,53.0,21.0,14.0,88.0,526
they thought it would be funny because I fell down a manhole,58.0,26.0,14.0,98.0,526
The downside is that I didn't have much fun.,52.0,28.0,11.0,91.0,526
I took out the trash AND made the bed.,57.0,21.0,15.0,93.0,526
Sometimes I regret being the virgin Larry.,55.0,18.0,15.0,88.0,526
I'm just happy to see you.,54.0,25.0,12.0,91.0,526
