caption,unfunny,somewhat_funny,funny,count,contest
We never should have applauded.,110.0,110.0,65.0,285.0,546
What's happening on your side?,117.0,85.0,67.0,269.0,546
"If we hadn't eaten Ted, he really would have enjoyed this.",117.0,77.0,66.0,260.0,546
"Well, I like it more than their ""ship on the horizon"" gag.",117.0,69.0,65.0,251.0,546
OK. We have two wishes left.,108.0,85.0,56.0,249.0,546
"l knew they were smart, but sarcastic?",110.0,59.0,55.0,224.0,546
Apparently their sense of irony is also highly evolved.,106.0,67.0,51.0,224.0,546
Very nice. Now do a boat.,100.0,77.0,45.0,222.0,546
I wish we'd brought food instead of LSD.,106.0,52.0,50.0,208.0,546
They're at it again. It's like they wait for you to go behind the tree.,105.0,50.0,49.0,204.0,546
"There's smart, and then there's smartass.",103.0,58.0,46.0,207.0,546
Oh sure they're smart. It's the sarcasm I can't stand.,94.0,61.0,37.0,192.0,546
I knew they were smart. I didn't know they were sarcastic.,96.0,54.0,39.0,189.0,546
Remember how you said we were done talking unless one of three things happened?,94.0,55.0,37.0,186.0,546
"That was great guys, now do a rescue boat.",91.0,60.0,34.0,185.0,546
"They've captured the look, but not the mood.",85.0,70.0,28.0,183.0,546
"Yes, it's art. But is it relevant?",92.0,53.0,35.0,180.0,546
"Ironically, they have a very dry sense of humor.",75.0,40.0,29.0,144.0,546
I'm thinking now I probably should have just trained them to get help.,86.0,46.0,32.0,164.0,546
"Almost there, but they haven't quite captured the melancholy.",89.0,51.0,32.0,172.0,546
It wasn't funny yesterday and it's not funny today.,91.0,47.0,34.0,172.0,546
"Okay, that's pretty good. Now try ""boat.""",86.0,56.0,29.0,171.0,546
"Martin... very slowly, pass me your iPhone.",91.0,45.0,34.0,170.0,546
"I'm gonna do a split, just to mess with them.",87.0,53.0,30.0,170.0,546
Let's have sex and see what they do.,90.0,45.0,33.0,168.0,546
"I'd always heard they were smart, but I never knew they were smart asses.",86.0,53.0,29.0,168.0,546
The one playing you is creeping me out,84.0,57.0,27.0,168.0,546
"I don't care if it's the sincerest form of flattery, it's still obnoxious.",82.0,45.0,29.0,156.0,546
"Impressive. Now, make a boat.",84.0,56.0,27.0,167.0,546
"On the twenty-third day, Orson realized that the dolphins were not, in fact, trying to help.",85.0,52.0,28.0,165.0,546
"Irony and sarcasm, sure signs of advanced intelligence.",91.0,39.0,34.0,164.0,546
It turns out the universal language isn't music. It's sarcasm.,88.0,45.0,31.0,164.0,546
"The heartless bastards probably did this to Amelia Earhart, too.",96.0,29.0,39.0,164.0,546
It's not as impressive as it was 3 months ago.,83.0,54.0,25.0,162.0,546
I found seven of the differences -- but you say there are ten?,88.0,44.0,30.0,162.0,546
"""Let's train the dolphins,"" you said. ""It'll be fun,"" you said.",88.0,43.0,30.0,161.0,546
"Excellent. Now, try ""S.O.S.""",90.0,39.0,32.0,161.0,546
Remember when I said I didn't think it could get any worse?,79.0,57.0,21.0,157.0,546
"Well, it takes my mind off the election.",86.0,41.0,28.0,155.0,546
"This proves it, mimes are annoying in any language.",87.0,39.0,29.0,155.0,546
"Well done. Now, can you form the letters SOS?",88.0,37.0,30.0,155.0,546
I'll believe they're intelligent when I see something original.,87.0,39.0,29.0,155.0,546
I changed my mind. They are the kind you eat.,88.0,36.0,30.0,154.0,546
I have never hated performance art as much as I do right now.,86.0,40.0,28.0,154.0,546
I knew they were intelligent. I didn't know they were cruel.,86.0,40.0,28.0,154.0,546
"Sure they're smart, but I could do without the sarcasm.",81.0,49.0,23.0,153.0,546
We're not the only ones who are bored.,79.0,53.0,21.0,153.0,546
"When they form a lifeboat, let me know.",80.0,50.0,22.0,152.0,546
"In hindsight, we probably should have trained them to form a boat",80.0,50.0,22.0,152.0,546
But is it art?,79.0,51.0,21.0,151.0,546
"Although their intelligence is often documented, dolphins are less renowned for their satire.",79.0,51.0,21.0,151.0,546
Great form! Now do a raft.,81.0,47.0,23.0,151.0,546
I think they closed another Sea World.,85.0,38.0,27.0,150.0,546
How about we catch dinner after the show?,83.0,42.0,25.0,150.0,546
There's a fine line between playfulness and mockery.,81.0,46.0,23.0,150.0,546
Now if we could only get them to imitate a boat.,77.0,39.0,23.0,139.0,546
That little one has you absolutely nailed.,83.0,40.0,25.0,148.0,546
Choreography: ten. Empathy: zero.,79.0,48.0,21.0,148.0,546
I'll bet they get rescued before we do.,85.0,36.0,27.0,148.0,546
"Well, that's the last of the acid.",85.0,35.0,27.0,147.0,546
"Ok! Simon says ""make a boat"".",83.0,38.0,25.0,146.0,546
Now I really wish I had my phone.,82.0,40.0,24.0,146.0,546
Just stay on your side. You wasted your damn wish on the Dolphin Cheerleaders.,82.0,40.0,24.0,146.0,546
It’s a deal. You bring help and we promise to get you an audition.,82.0,40.0,24.0,146.0,546
"Simon says ""make a raft"".",79.0,46.0,21.0,146.0,546
"I know it was our last fish, but they deserved it!",81.0,41.0,23.0,145.0,546
These two may be the toughest crowd we've ever worked,83.0,37.0,25.0,145.0,546
"It's either a brilliant commentary on man's loneliness, or payback for SeaWorld.",82.0,38.0,24.0,144.0,546
Well now they're just mocking us.,83.0,36.0,25.0,144.0,546
Nice. Now let's see your impression of a boat.,75.0,52.0,17.0,144.0,546
Gotta admit ... clever pod cast.,79.0,39.0,22.0,140.0,546
"Just think Bob, we'd have to pay for this back home...",74.0,48.0,17.0,139.0,546
"Probably bottlenoses, definitely smart-asses.",77.0,42.0,20.0,139.0,546
"You know, it was kind of funny the first day...",71.0,54.0,14.0,139.0,546
"I don't care if it's the last coconut, I'm hurling it.",81.0,34.0,24.0,139.0,546
"...not much, what do you see?",77.0,42.0,20.0,139.0,546
"I'll give them points for style, but, overall, I think they failed to capture our air of desperation mingled with hopelessness.",80.0,36.0,23.0,139.0,546
I know I shouldn't have doubted their intelligence but now they're just showing off,84.0,28.0,27.0,139.0,546
I admire their intelligence; it's their vanity that offends me.,71.0,54.0,14.0,139.0,546
"Next time you send a message in a bottle, avoid mentioning that we are talent scouts.",77.0,41.0,20.0,138.0,546
Looks like another round of layoffs at Sea World,74.0,49.0,16.0,139.0,546
That's really nice. Can you make a boat next?,76.0,41.0,19.0,136.0,546
That's great-- now can you do a lifeboat?,76.0,41.0,19.0,136.0,546
"They think they're so clever, let them come up with a caption.",84.0,24.0,27.0,135.0,546
"I knew dolphins were smart, but who knew they could be sarcastic?",78.0,36.0,21.0,135.0,546
Just when I thought my life was devoid of porpoise...,78.0,36.0,21.0,135.0,546
Do you think they can do a boat?,75.0,42.0,18.0,135.0,546
It was funny the first month.,70.0,52.0,13.0,135.0,546
If you see coconuts fall from the other palm tree don't eat them,79.0,34.0,22.0,135.0,546
"If a millennial witnesses something miraculous, but can’t post to social media, did it ever happen?",74.0,44.0,17.0,135.0,546
What's your guess -- empathy or mockery?,76.0,39.0,19.0,134.0,546
But is it art?,76.0,39.0,19.0,134.0,546
"Entertaining, but not as good as the seal act.",77.0,36.0,20.0,133.0,546
Remind me again about the difference between sarcasm and satire.,78.0,34.0,21.0,133.0,546
Do you have any more of those mushrooms?,78.0,34.0,21.0,133.0,546
I heard they were capable of human like feelings- but schadenfreude?,79.0,31.0,22.0,132.0,546
The irony would be if they get rescued before us.,76.0,37.0,19.0,132.0,546
"Bob, after 3,698 days, I hate to say it, but I'm no longer impressed with the dolphin show.",73.0,43.0,16.0,132.0,546
"Ted, I 'm thinking maybe we should lay off the fermented coconuts for awhile.",76.0,37.0,19.0,132.0,546
It may just be a coincidence.,79.0,31.0,22.0,132.0,546
I know what happened to that bottle of antidepressants you lost.,76.0,36.0,19.0,131.0,546
"Rough times. Abandoned at sea ... mocked by dolphins ... Trump got elected. I mean, what's next?",77.0,34.0,20.0,131.0,546
"They aren't just smart, they're smartasses.",78.0,32.0,21.0,131.0,546
"Every time you look, they stop.",79.0,29.0,22.0,130.0,546
"Well, the good news is we've been seen...",70.0,47.0,13.0,130.0,546
Do you think they know how to do a cell phone tower?,79.0,29.0,22.0,130.0,546
Whoa... what was in that coconut?,77.0,33.0,20.0,130.0,546
"Don't look now, Ron, but the locals are definitely mocking us.",78.0,30.0,21.0,129.0,546
Same show twice a day! It's making me crazy.,81.0,24.0,24.0,129.0,546
"Smart, maybe. Annoying, definitely.",75.0,35.0,18.0,128.0,546
This is the highlight of our stay so far.,73.0,39.0,16.0,128.0,546
"Oh look, dinner and a show.",73.0,37.0,16.0,126.0,546
I'd be happier if they imitated a rescue ship.,77.0,32.0,19.0,128.0,546
"I dunno, it seems derivative.",75.0,32.0,18.0,125.0,546
Now they're just rubbing it in.,74.0,34.0,17.0,125.0,546
You guys think you could do a sailboat?,69.0,44.0,12.0,125.0,546
Now I'm certain that they are mocking us on porpoise.,77.0,28.0,20.0,125.0,546
I guess the larger the brain the more biting the sarcasm,76.0,30.0,19.0,125.0,546
I heard dolphins were smart but who knew they were such jerks.,73.0,36.0,16.0,125.0,546
"The tree's off, but they captured your slouch perfectly.",75.0,35.0,17.0,127.0,546
"Alright guys, tomorrow we'll work on spelling HELP.",75.0,31.0,18.0,124.0,546
I can't help wishing we'd trained them to do something more useful.,74.0,33.0,17.0,124.0,546
"Hey Bob, check it out, these guys are getting good.",73.0,35.0,16.0,124.0,546
You sure that was dramamine ?,79.0,22.0,22.0,123.0,546
"What do you think, is that sympathy or shadenfreude?",77.0,26.0,20.0,123.0,546
Mocking the victims... that's human intelligence all right.,74.0,32.0,17.0,123.0,546
Are they being flippant?,74.0,32.0,17.0,123.0,546
I'd say it's more mockery than flattery.,68.0,44.0,11.0,123.0,546
"Don't look know, but I think we have a dolphinganger.",77.0,26.0,20.0,123.0,546
"No, Robert, I'm pretty sure it's not a coincidence.",74.0,32.0,17.0,123.0,546
"You always hear about dolphins being smart, but no one ever mentions how sarcastic the little creatures can be.",72.0,36.0,15.0,123.0,546
When do you suppose delirium sets in?,72.0,35.0,15.0,122.0,546
"Okay, now they're just showing off.",73.0,33.0,16.0,122.0,546
You really gotta look this time!,76.0,27.0,19.0,122.0,546
Could we just get them to spell 'help'?,72.0,34.0,15.0,121.0,546
"I knew they were smart, but that's just mean.",75.0,28.0,18.0,121.0,546
Do you think they're doing it on porpoise?,78.0,22.0,21.0,121.0,546
How much of the brownie did you say to eat?,73.0,32.0,16.0,121.0,546
Start doing jumping jacks - we will see how smart they are then.,74.0,30.0,17.0,121.0,546
"Initially I thought empathy, but now I'm only getting a sarcastic vibe.",68.0,42.0,11.0,121.0,546
Remember when you told me to look for signs of intelligent life?,73.0,32.0,16.0,121.0,546
I never thought I'd say it... but I miss the sharks.,69.0,40.0,12.0,121.0,546
Better than what they imitated us doing last night...,75.0,28.0,18.0,121.0,546
