caption,unfunny,somewhat_funny,funny,count,contest,target_id
This is the exact moment Susan realized she may be an accomplice and not a magician's assistant...,90,42,39,171,648,3368
"When I did this trick at my old accounting firm, they called it a felony.",88,50,34,172,648,3182
It's not magic. It's a Georgia ballot box.,98,40,37,175,648,3372
Here's a trick I learned from my lawyer.,95,53,29,177,648,1172
You folks may have seen this trick in the last Florida election.,92,44,30,166,648,2363
"And now, ladies and gentleman, I will turn my assistant into an accomplice.",90,39,28,157,648,2074
It's not obstruction if a magician does it.,87,50,22,159,648,3103
Watch as I transform this ordinary magician's assistant into an accomplice to a federal crime.,93,39,27,159,648,3108
I will now demonstrate the new Florida ballot box,102,52,26,180,648,110
And now for a trick I learned at the White House.,93,36,27,156,648,1612
And voila - a paper shredder has been transformed into perfectly functioning ballot box.,98,36,29,163,648,3972
"Relax, it's not obstruction if it's magic.",97,54,23,174,648,881
Now I'll try paper; I apologize about the rabbit.,115,39,33,187,648,1616
The monthly ritual at the New Yorker after receiving my caption contest submission.,98,32,29,159,648,3357
Watch while I attempt to assemble the IKEA furniture without the instructions!,80,41,19,140,648,800
Watch closely as I turn collusion into an illusion.,88,29,25,142,648,2132
The President says there’s not a ‘shred of evidence’ and yet ladies and gentlemen ‘here we are.’,97,40,25,162,648,64
"Ladies & Gentlemen, I call this one the ""Florida Ballot Box""",80,35,20,135,648,1652
I call this trick President Trump's suggestion box.,104,41,27,172,648,4049
"In DC, they call this trick the shred of decency.",94,35,25,154,648,105
And for my next trick I will provide a shred of evidence!,100,39,26,165,648,2865
"And now, I put my ballot in the Florida ballot box ...",101,46,24,171,648,3127
I learned this trick from a congressman in North Carolina,93,34,24,151,648,1408
"Ladies and gentlemen, here’s a little trick I learned while attending Trump University...",114,43,29,186,648,3119
"And now . . . due to new rules and regulations put forth by PETA . . . I will write the word ""rabbit"" on this piece of paper and make it disappear!!",110,35,30,175,648,3128
Well there goes the last shred of truth.,98,46,22,166,648,3175
And here's a little trick i learned from my accountant.,104,38,26,168,648,4203
"You know it's still in the cloud, right?",101,34,26,161,648,1297
"And last, your mother's string bean casserole recipe.",97,45,21,163,648,1885
People complained when I used rabbits.,85,34,18,137,648,1922
Next ballot please.,100,35,25,160,648,3988
This is how we vote in Georgia!,109,42,26,177,648,3499
It's jammed.  Must've been the rabbit.,116,39,29,184,648,2297
"Oh, a North Carolina ballot box.",116,42,26,184,648,3197
I don't get it. This trick kills at corporate events.,110,41,26,177,648,2239
See? The wand makes it feel less criminal.,102,50,20,172,648,2425
"It's magic: you put your ballot in here, and Republicans show up in Washington.",107,30,28,165,648,1723
And now for a trick I perfected while working in the White House.,91,37,20,148,648,1302
He better be good. Those are our Hamilton tickets.,113,33,29,175,648,310
My lawyer said if I shred it on stage we can call it artistic expression.,97,34,23,154,648,3864
Ask yourself--does this document spark joy?,94,23,25,142,648,4243
This shredder's been jamming since you made that cole slaw.,97,32,23,152,648,1635
We switched to paper after PETA called about the rabbits,106,39,21,166,648,4017
This is a classic trick that dates back to Watergate.,104,43,21,168,648,2632
Here's a classic trick I learned when I worked for the Trump administration.,105,47,20,172,648,1882
Of course your vote counts!,111,38,25,174,648,2183
I learned this trick when I was working at Enron.,123,46,25,194,648,3309
"It's a popular trick I learned in The White House... It's called,  'Permanent Redaction'",105,34,22,161,648,1543
Voila!  A shred of truth.,105,40,22,167,648,1771
"After I shred this subpoena, I'm going to pull a pardon out of my hat.",106,44,21,171,648,501
Allow me to demonstrate our new voting machines ~ just arrived from Moscow!,106,44,21,171,648,1979
Here's a little trick I learned at Trump Tower.,110,42,21,173,648,3009
And now... a little trick I learned at Trump University!,109,44,22,175,648,298
"And now, ladies and gentlemen, the translator's notes.",111,48,21,180,648,82
Ladies and gentlemen: how magic is used to count votes in North Carolina.”,102,33,23,158,648,210
"You're right,Sally. The magic is gone.",112,45,22,179,648,4129
Alabama voting booth,112,39,24,175,648,107
There's not a shred of evidence of collusion.,102,39,20,161,648,3383
Here's a trick I recently preformed at the White House..,101,31,23,155,648,2487
"Watch closely as I fix a North Carolina election, using only this common office appliance.",116,39,25,180,648,1632
Now you see it; Now it didn't happen.,106,42,20,168,648,3663
"This illusion was recently performed in Washington, D.C.",99,31,22,152,648,37
The real trick is going paperless,106,52,15,173,648,338
Now watch in amazement as I escape criminal liability!,106,43,20,169,648,3148
"And now, I'm going to amaze you with a little trick I learned when I was working at the Georgia Department of Voter Registration.",102,36,21,159,648,3527
I'm also available for birthday parties and cabinet meetings.,128,49,25,202,648,452
"It's called the Magic Southern States voting machine""",109,39,22,170,648,3023
Now I just say the magic words: Plausible deniability.,106,42,20,168,648,1798
And here goes my last shred of dignity.,112,44,21,177,648,4212
"Ta da!  And just like that, I've transformed Olga from assistant to accomplice!",110,36,23,169,648,3997
The White House Magician’s work is never done....,112,23,28,163,648,115
See what small hands can do: Constitution? What Constitution?,107,34,22,163,648,3492
The real magic is getting this thing not to jam.,97,50,12,159,648,3226
Anyone can make a live rabbit disappear. It's making the paper trail vanish that separates the amateurs from the pros.,95,45,15,155,648,479
"Now watch carefully, as before your very eyes I, The Sensational Trumpo, take this perfectly ordinary copy of the US Constitution ...",111,45,20,176,648,2076
Florida officially adopts the Banksy Ballot.,116,29,27,172,648,2448
I learned this trick while working for the Archdiocese of Boston.,108,36,22,166,648,2686
"I understand the shredder. But why the hat and wand, Mr. President?",104,32,22,158,648,1862
I learned this next trick while working at Enron...,95,44,15,154,648,86
At least this went down easier than the rabbit did.,118,36,25,179,648,258
For my next trick I'll need a volunteer and some scotch tape.,114,41,22,177,648,4076
This next trick I first saw performed as a government intern.,110,46,17,173,648,4177
"For this next trick, I will need a lawyer from the audience.",111,38,22,171,648,3853
We should probably just use the hat for the bunny.,124,47,23,194,648,3968
These are the facts. Now they aren't.,108,38,21,167,648,2328
"For my next trick, I'm going to demonstrate how the average American voting machine works.",106,30,23,159,648,1890
Another summons from a woman sawed in half.,111,37,22,170,648,3983
I learned this trick at the White House.,127,37,27,191,648,1087
"I’m pretty sure he said “shred the evidence,” but it could have been “there’s not a shred of evidence.”",110,36,22,168,648,1537
"It's what we accountants like to call ""magic"".",115,46,20,181,648,3078
Florida electronic voting machine.,107,24,25,156,648,623
"No, it's not tax fraud, it's magic.",114,39,22,175,648,101
"I saw the President do this trick once, with his tax returns.",97,38,17,152,648,2997
There goes the last shred of decency.,113,32,22,167,648,1905
"Yes, dear, I know. A real magician wouldn't have to plug this thing in.",100,37,18,155,648,1974
And now for the magic words: “HOCUS POTUS!”,113,37,22,172,648,3030
And let’s see what happens when we shred all sense of decency and compromise.,116,31,25,172,648,4151
And that's how we make votes disappear in Florida.,111,38,21,170,648,3080
Voting in Florida explained.,96,39,16,151,648,2215
Do not try this with a rabbit.,110,34,22,166,648,1577
"Now before I slice my lovely assistant Tiffany in half, I will do something really daring and shred her liability waiver.",116,42,21,179,648,4115
I would have never thought that our disappearing act would get us a gig at the White House.,115,44,20,179,648,4244
And now - the Trump defense.,108,29,23,160,648,2910
I learned this one when I was with the Trump Organization.,117,34,24,175,648,1539
"I tried this trick with a rabbit, but just once.",115,35,23,173,648,802
Abra cadabra... and the transcript of the meeting with Putin is gone.,101,37,18,156,648,426
It's my $1.4 Million check to Banksy,113,39,19,171,648,2666
No one charges Santini for drinks.,111,37,21,169,648,1348
Slightly less messy than with the rabbit.,108,43,18,169,648,4191
Due to the government shut down this cartoon has no caption.,109,35,21,165,648,565
"And now, I will magically double the value of this original work of art.",118,32,24,174,648,124
"Presto, the Florida vote is now counted!",115,37,22,174,648,3689
"But Mr. President, that's The Constitution.",120,35,24,179,648,775
"And for my next trick, a new election result!",105,39,18,162,648,1976
The real trick is making you wonder about the shredder instead of why Sheila isn’t wearing pants.,103,44,15,162,648,4245
"To honor our President, I will now shred the U.S. Constitution.""",119,33,23,175,648,167
"And for my next trick, I’ll unjam the copier.",110,43,18,171,648,1807
It's an old trick I learned from Richard Nixon.,120,45,19,184,648,1658
"Just slide your ballot into the machine and Presto!, Republicans win again!",98,28,17,143,648,2489
"And for my next trick, I will need some tape.",114,46,18,178,648,4089
"Ladies and Gentlemen! Now you see it, now you don't. The last shred of decency in the world.",101,32,19,152,648,2515
Due to  PETA protests I will now only make this picture of a rabbit disappear,104,41,16,161,648,149
Voila.  No collusion!,118,26,24,168,648,2732
"...and now, for my next trick, I will process the absentee ballots for North Carolina's 9th before your very eyes.",118,40,21,179,648,1274
I also work political parties.,113,47,17,177,648,3257
"Ah yes, I now realize my mistake with the rabbit.",111,30,21,162,648,327
I place the prenup into an ordinary Georgia ballot box . . .,111,25,24,160,648,2266
And now the magic words--PLAUSIBLE DENIABILITY!,110,44,17,171,648,157
"Before this job, I worked in voter registration.",113,40,18,171,648,3927
"And for my next trick, I will make all of these Florida ballots disappear.",117,47,18,182,648,2511
My next act I call Voter Suppression.,112,37,20,169,648,1191
"Not only will I restore this document to its original condition, it will also be heavily redacted.",109,44,16,169,648,2791
Abracadabra - and another absentee ballot is magically processed.,110,35,20,165,648,677
Tell the Rabbit Union this is what I think of their demands.,113,34,21,168,648,1582
And Presto! In three minutes I'm going to find I really needed this.,110,40,18,168,648,3830
"You're sure this is where I submit my absentee ballot?""",114,23,25,162,648,3034
And now I will turn a felony into a misdemeanor,115,52,15,182,648,1110
Georgia Democratic Voters! Step this way to cast your ballots in the midterm elections,117,48,17,182,648,3762
There’s nothing magical about it.  It’s the Republican recommendation for new ballot boxes in blue states.,122,35,23,180,648,1271
My lawyers hate this trick.,105,39,16,160,648,1684
Behold as I consider your request for Friday off.,106,50,13,169,648,914
Presto!  No collusion!,114,34,21,169,648,2348
"But, you'll need to be a real magician to get rid of the actual emails.",113,38,18,169,648,4097
"I am The Amazing Trumpini. First, I will shred the constitution. Then ... well, that's it.",121,34,23,178,648,227
Any now I will attempt to shred what's left of my dignity,116,45,17,178,648,901
This next trick is sponsored by Staples.,112,52,14,178,648,1564
When I used a rabbit kids were disturbed.,111,40,16,167,648,3730
"And for my next trick, observe how I can make democracy disappear with our new populist ballot box.",101,37,16,154,648,2922
"This isn't part of the show, I just needed this shredder to be a business expense.",106,41,16,163,648,2378
"Please do not attempt this at home, I am a highly trained White House note taker.",127,41,22,190,648,1370
"""Our new ballot box for blue precincts.",119,40,20,179,648,190
"I call this trick ""Avoiding Indictment""",112,45,16,173,648,1978
"As Joan watched Bert shred his Viagra prescription, she knew the magic was gone.",123,31,24,178,648,2175
The real trick is to empty it without getting little scraps all over the floor!,111,41,17,169,648,2537
"And just like that, I don't remember.",113,31,21,165,648,1983
I will now turn this piece of paper into many smaller pieces of paper.,104,35,17,156,648,3867
It's my no-collusion illusion.,101,30,16,147,648,1143
"And now, by order of President Trump, I make the Constitution disappear!",116,36,20,172,648,1747
And out comes Donald trump's tax return!,112,44,16,172,648,2296
"I must say it's an honor to join your legal team, Mr President",117,32,21,170,648,2480
And we would like to thank President Trump for volunteering the use of the Constitution.,111,29,21,161,648,2836
"For my next trick, I will jam the office shredder using a single sheet of paper!",114,36,18,168,648,857
And here's one of the many letters Carol and I received after last week's tragic performance with a rabbit!,115,43,17,175,648,1716
"Now you see their votes... 
Now you don't...",128,41,20,189,648,1377
One less tweet for mankind,105,46,13,164,648,4000
And for my next crime...,122,38,20,180,648,3667
"Now that I have written ‘Cheese’ on this piece of paper, I will, right before your eyes, turn it into shredded cheese.",101,37,15,153,648,2911
We put the Constitution in here...and voilà!,122,31,23,176,648,1743
The  Constitution: Now you see it; now you don't.,120,35,21,176,648,3723
So much for those translator´s notes.,112,37,18,167,648,2261
"And now Ladies and Gentlemen, a copy of the Mueller report should magically appear under your seat.",107,33,18,158,648,807
This can't go any worse than the bunny...,103,41,14,158,648,4160
"I call this next trick ""the Electoral College.""",104,36,16,156,648,3557
I learned this trick from interning at the White House.,108,40,15,163,648,3928
I usually handle workplace complaints with my magic wand... but I’ve found the shredder to be less finicky.,113,37,18,168,648,4186
I'm pretty sure it's not destroying evidence if you use magic.,118,38,19,175,648,2607
Now watch as I magically escape from liability.,113,48,14,175,648,4211
"And presto, there was no collusion.",101,36,15,152,648,1702
A ballot box that also shreds... what a brilliant idea!,123,39,20,182,648,2156
"For my next trick, I begin with this ordinary, everyday  United States Constitution...",109,31,19,159,648,25
"And now, the famous GOP trick, the disappearing absentee ballots!",110,29,20,159,648,2540
There's not a shred of magic in this trick.,123,50,16,189,648,2665
I came up with this routine when I was in the bookkeeping department at Enron.,110,40,16,166,648,2677
And voila! The truth has disappeared.,117,37,19,173,648,641
"This next illusion is called ""how to win an election in Florida"".",124,35,21,180,648,2057
I learned this trick in the government.,104,38,15,157,648,1673
"It's not destroying evidence.  The evidence is still all there, just in tiny pieces.",106,45,13,164,648,3363
Watch as I turn this single sheet of paper into forty-four slightly more narrow sheets of paper.,112,42,15,169,648,2021
Abracadabra! It's a Florida vote!,116,35,19,170,648,1848
After I shred this unwanted junk-mail watch in amazement as it magically reappears in my mailbox about every 3 days!,115,37,18,170,648,3441
This is actually how information gets into the cloud.,112,29,20,161,648,1569
Ta-Da! Another caption contest entry vanishes.,119,36,18,173,648,3584
"A good magician never reveals his taxes.""",108,42,14,164,648,698
"...And with a little “presto” , we now have 10,000 absentee ballots!...",92,32,12,136,648,3248
"Now, one final wave, and all the campaign promises disappear.",109,37,16,162,648,3586
"Now I say the magic words, “votus interruptus”",131,45,19,195,648,674
"And just like that, Bush is president.",117,32,18,167,648,141
"And if these reappear, I'm going away for a long time.",116,33,18,167,648,475
"And just like that, most of the caption contest entries are... gone.",104,33,16,153,648,161
I perfected this one during the Watergate era.,104,33,16,153,648,2024
"And now with the help of my lovely assistant - I shall shred this paper, wave my wand, and distract you from the three human toes in my chest pocket.",126,41,19,186,648,2341
And just like that 2018 never happened,116,39,17,172,648,165
"If this trick works, Carla, we'll get you that pair of pants.",108,33,17,158,648,3156
"For  my next  trick , I  am  going to make a small yellow paper  stick to the  wall .",128,34,22,184,648,2345
"Abracadabra, Hocus Hootin;
Unshread Trump's notes 
from his meeting with Putin.",146,39,25,210,648,830
Presto Obstructo!,109,36,16,161,648,528
And now we magically reduce the number of caption contest entries.,107,40,14,161,648,566
The GOP Voting Rights Act,109,36,16,161,648,1487
"Illusion, my dear. Illusion. Not COLLUSION.",120,41,17,178,648,3227
Vote counting in some American states has been made even easier.,120,41,15,176,648,1940
"And for my final act of evidence tampering, I shall saw the witness in half.",112,40,15,167,648,2972
Hocus Potus!,113,27,20,160,648,240
The year of magical voting.,112,30,18,160,648,2206
I learned this from the great ‘DickCheney’,122,36,19,177,648,774
And- poof!- plausible deniability.,97,37,12,146,648,3572
I now deliver the Mueller report.,103,33,15,151,648,1843
And for my final act at the White House....,111,44,13,168,648,257
"For my next trick, Wendy and I shall go completely paperless!",103,41,12,156,648,2959
"This is where the Republican poll watchers said I should put my ballot, right?",107,33,16,156,648,3603
The White House Magician.,122,30,21,173,648,3922
"After disbarment, there was only one job for one so skilled at making things disappear.",112,39,15,166,648,3529
"Thank you very much, ladies and gentlemen. 
Next up... my parents' hopes and dreams!",125,40,18,183,648,3111
"As the beautiful Marlene holds the shredder, I'll  tap it 3 times and Presto! She's now a subcontractor with no benefits!",135,55,15,205,648,560
And presto! No collusion.,110,40,14,164,648,1268
This trick didn't work with the rabbit.,126,35,20,181,648,1434
I specialize in Wall Street magic.,112,44,13,169,648,1186
"And for my next trick, I shall not leave any shred of evidence",108,41,13,162,648,2235
"I just put the check in the box, and presto, you never slept with the president.",105,36,14,155,648,608
"And now, ladies and gentleman, the Popular Vote!",110,26,19,155,648,1950
"In goes the constitution, and abracadabra, out comes...",128,44,17,189,648,3609
"Relax, it’s cleaner than shredding the rabbit!",123,35,19,177,648,3621
"You were right, Susan.  This fits much better than the rabbit did.",120,41,16,177,648,3940
And presto. No proof of collusion!,115,32,18,165,648,3303
