caption,unfunny,somewhat_funny,funny,count,contest
It's amazing to think he started out in the lobby.,282.0,324.0,416.0,1022.0,545
"Before we start, would anyone else like some water?",162.0,119.0,141.0,422.0,545
He got his start in the lobby.,122.0,136.0,87.0,345.0,545
...and I'll need an office with a window.,126.0,107.0,87.0,320.0,545
Ten bucks says he mentions 'sustainable growth',109.0,98.0,63.0,270.0,545
Don’t look so surprised people…this IS a hedge fund,111.0,90.0,64.0,265.0,545
I thought we were moving all of our plants to Mexico.,119.0,73.0,72.0,264.0,545
It looks like Millennials are out and Perennials are in...,113.0,80.0,65.0,258.0,545
I thought all our plants moved to Mexico.,109.0,69.0,59.0,237.0,545
"What I said was, ""We need a plan.""",99.0,62.0,46.0,207.0,545
I never thought I be happy to have a Bush in charge again.,102.0,51.0,49.0,202.0,545
They brought him in from the outside.,96.0,58.0,42.0,196.0,545
Keep tabs on the boss. I suspect he is a plant … a Manchurian Cannabis who's been rain-washed.,94.0,59.0,40.0,193.0,545
I bet he got the office with a window sill.,87.0,73.0,33.0,193.0,545
You're probably wondering how I called you all here.,99.0,51.0,44.0,194.0,545
You couldn't be any worse than the previous Bush.,97.0,46.0,42.0,185.0,545
I preferred the elder Bush.,98.0,42.0,43.0,183.0,545
Five years ago she was just a branch manager,91.0,55.0,36.0,182.0,545
"Finally, a CEO who doesn't suck all the oxygen out of the room.",90.0,55.0,35.0,180.0,545
I think he was more effective as a branch manager.,90.0,56.0,34.0,180.0,545
We hired him to appeal to perennials.,88.0,59.0,32.0,179.0,545
I hear she pollinated her way to the top.,93.0,41.0,38.0,172.0,545
These are not the paid leaves I was hoping for.,88.0,49.0,33.0,170.0,545
He worked his way from the ground up.,85.0,54.0,30.0,169.0,545
Be patient. He'll grow on you.,80.0,62.0,25.0,167.0,545
Before the election I would have said he was under-qualified.,96.0,33.0,40.0,169.0,545
He worked his way from the ground up.,86.0,53.0,30.0,169.0,545
Don't worry. He'll be out by the end of Autumn...,84.0,51.0,29.0,164.0,545
"Just a friendly reminder, no dogs allowed at the company picnic.",83.0,53.0,28.0,164.0,545
I thought we only hired Ivy League,83.0,53.0,28.0,164.0,545
