caption,unfunny,somewhat_funny,funny,count,contest
Long time no sea.,492.0,471.0,447.0,1410.0,552
Long time no sea.,360.0,273.0,280.0,913.0,552
"Noah, trust me. Its over.",166.0,69.0,70.0,305.0,552
Do I LOOK like I have any Grey Poupon?,170.0,80.0,63.0,313.0,552
I'm losing confidence in Google Maps too.,158.0,99.0,51.0,308.0,552
No thanks; I get seasick.,163.0,82.0,56.0,301.0,552
"Thanks, but I get sea sick.",151.0,87.0,45.0,283.0,552
Have you seen two guys and a drum majorette?,164.0,55.0,59.0,278.0,552
"You may not think so, but we're in the same boat.",146.0,86.0,41.0,273.0,552
"Thanks, but I'd just slow you down.",141.0,92.0,37.0,270.0,552
"Well, you do have to admit he was one heck of a salesman.",140.0,91.0,36.0,267.0,552
Are you nuts? I'm not getting in that thing without a life vest!,150.0,64.0,47.0,261.0,552
I see you're still denying climate change.,153.0,58.0,50.0,261.0,552
"Michael, you have completely misinterpreted the lyrics.",127.0,50.0,40.0,217.0,552
"Actually, we're in the same boat.",139.0,75.0,37.0,251.0,552
"The next time a genie offers us a wish, let me do the talking, O.K.?",146.0,67.0,42.0,255.0,552
Working on your heat stroke?,142.0,67.0,40.0,249.0,552
"Actually, I do think you're in the same boat that I'm in.",142.0,65.0,40.0,247.0,552
"Thanks, but we're already in the same boat.",141.0,67.0,39.0,247.0,552
"On your mark, get set...",143.0,61.0,41.0,245.0,552
Do you believe in climate change NOW?!,137.0,69.0,36.0,242.0,552
I don't think a dry run was a good idea.,136.0,71.0,35.0,242.0,552
"You're not from around here, are you?",132.0,76.0,31.0,239.0,552
"You're ashore, already Michael, you're ashore.",142.0,54.0,41.0,237.0,552
"Yeah, so water gets drawn out in a tsunami. So what?",147.0,44.0,46.0,237.0,552
I've had enough of your dry humor.,134.0,71.0,32.0,237.0,552
Let's consider this a dry run,131.0,79.0,28.0,238.0,552
This is what happens when you drain the swamp.,140.0,51.0,40.0,231.0,552
"I thought it was just going to be a problem for like, polar bears.",138.0,55.0,38.0,231.0,552
Now hallucinate some water.,133.0,58.0,34.0,225.0,552
"No, I didn't call for an Uber.",129.0,66.0,30.0,225.0,552
You do realize that throwing me overboard does not change our situation?,134.0,53.0,35.0,222.0,552
'We should go off season' you said. 'It's half the price and there's no crowds.',128.0,64.0,29.0,221.0,552
"After my dune buggy flipped, I never thought I'd be rescued.",123.0,68.0,25.0,216.0,552
I hope you realize you're completely neglecting your lower body.,126.0,60.0,28.0,214.0,552
It's not as deep as I thought,125.0,60.0,27.0,212.0,552
"Michael, you've already rowed the boat ashore.",128.0,50.0,31.0,209.0,552
It's not as deep as it looks.,120.0,66.0,23.0,209.0,552
"I said to get us an off road vehicle, not an oft rowed one!",127.0,50.0,30.0,207.0,552
"For God's sake, please stop yelling 'man overboard!'.",126.0,51.0,29.0,206.0,552
"Stop saying ""on your left.""",123.0,57.0,26.0,206.0,552
It's a lot warmer once you get in.,128.0,42.0,32.0,202.0,552
If you let me in the boat we can use the HOV lane.,122.0,60.0,24.0,206.0,552
"No, YOU'RE a mirage",110.0,40.0,26.0,176.0,552
One of us is in the wrong cartoon.,129.0,48.0,30.0,207.0,552
You have the whole desert...did you have to row right where I'm swimming?,117.0,51.0,24.0,192.0,552
"You say ""But it's a dry heat"" one more time...",127.0,43.0,30.0,200.0,552
I don't tell you how to row so stop telling me how to swim.,117.0,56.0,22.0,195.0,552
"You know we're in the same boat, figuratively speaking.",118.0,54.0,23.0,195.0,552
I am pretty sure the shark problem is behind us.,117.0,59.0,21.0,197.0,552
