caption,unfunny,somewhat_funny,funny,count,contest
Our timeshare presentation will begin in about 5 minutes.,955.0,798.0,600.0,2353.0,568
If you get a choice the East River is nice.,568.0,496.0,292.0,1356.0,568
"Grammatically, indeed it IS sleep with the fish, not 'fishes'.",816.0,498.0,454.0,1768.0,568
So Vito tells me you're leaving the organization.,1105.0,893.0,576.0,2574.0,568
How was your flight in on United?,1207.0,755.0,600.0,2562.0,568
Bob tells me you're reconsidering our offer.,577.0,485.0,237.0,1299.0,568
So when are you two taking the plunge?,957.0,698.0,412.0,2067.0,568
"Well, we did tell you it was your going away party!",671.0,484.0,286.0,1441.0,568
I'm taking the bridge home--I'd be happy to drop you off on my way.,388.0,249.0,170.0,807.0,568
"when you said you were tied up, I assumed you wouldn't be coming.",847.0,583.0,337.0,1767.0,568
Your first time in New Jersey?,749.0,500.0,287.0,1536.0,568
"On behalf of the airline, I offer our sincerest apologies for the inconvenience, and invite you to enjoy our hospitality suite while you await your re-accommodation.",633.0,366.0,252.0,1251.0,568
I know this isn't the kind of farewell party you were expecting.,860.0,686.0,293.0,1839.0,568
It's so nice to see couples that still do things together.,458.0,365.0,144.0,967.0,568
"I didn't want to come, either.",808.0,398.0,305.0,1511.0,568
"Ah, you're reporters from the N. Y. Times. Welcome to the White House. Feel free to wander around and ask the administration staff anything you'd like.",651.0,250.0,256.0,1157.0,568
I've arranged for you to be dropped off on your way home.,631.0,445.0,194.0,1270.0,568
The president would like to offer each member of the press a complimentary glass of wine.,273.0,136.0,98.0,507.0,568
"Yes, we're drunk and will probably regret this in the morning.",678.0,292.0,255.0,1225.0,568
"So, how do you two know the Corleones?",502.0,307.0,162.0,971.0,568
The condo board was unanimous,609.0,370.0,194.0,1173.0,568
"I was on that diet once, too.",658.0,277.0,241.0,1176.0,568
"Unfortunately, ' Let me go' does not qualify as a final request.",635.0,263.0,231.0,1129.0,568
"Here, this should help loosen you up a bit.",437.0,352.0,113.0,902.0,568
Typical. His bucket is 78% larger than yours.,480.0,253.0,156.0,889.0,568
"But enough about me, what have you two been up to?",515.0,324.0,152.0,991.0,568
That's nothing; let me tell you about my day.,433.0,244.0,134.0,811.0,568
You'll want the white wine. It goes better with fish.,492.0,259.0,157.0,908.0,568
"At first glance, the condo board rules may seem harsh.",467.0,290.0,135.0,892.0,568
"So I said to President Trump, lets invite a few TV reporters.",481.0,242.0,152.0,875.0,568
You must be the Snitches!,444.0,263.0,129.0,836.0,568
Try not to think about it.,535.0,150.0,200.0,885.0,568
You must be the hostages.,443.0,304.0,115.0,862.0,568
I'm so glad you'll be staying for my timeshare presentation.,441.0,250.0,127.0,818.0,568
It could be worse- it could be me.,469.0,186.0,155.0,810.0,568
"No, I wouldn't want to be in your shoes.",330.0,212.0,79.0,621.0,568
I'm getting notes of despair; a hint of foreboding.,306.0,155.0,85.0,546.0,568
