caption,unfunny,somewhat_funny,funny,count,contest,target_id
I'm not sure how many there are. Every time I start counting I fall asleep.,86,31,33,150,641,3460
"The new rug arrived, but there's some assembly required.",86,34,30,150,641,7730
Just tell Dad it’s a staff job with a leadership position.,86,47,25,158,641,8546
Hello? Is this 'single working woman with border collie wishes to meet ideal mate?',82,42,24,148,641,742
Bo Peep got the car and the house.,90,38,28,156,641,3569
The Trump Tower contract said they all had to be white.,101,38,32,171,641,5866
"Yes, we were just in that elevator.  Why?",88,38,26,152,641,5619
"I love the 'Make Your Own Sweater Kit"" you sent me, but it's kind of labor-intensive.",77,35,22,134,641,7811
I don't see how I could have roaming charges.,96,33,30,159,641,7357
Housekeeping? Can you send up a border collie?,84,33,25,142,641,2991
How quickly can I have a Border Collie delivered to Suite 1050?,88,45,23,156,641,8076
I’m just hanging out here at Trump Tower with the last remnants of the Trump base.,90,30,28,148,641,2932
"No Alexa, I said Cheap Hotel!",80,33,23,136,641,6076
...a shepherd. What are you going as?,88,44,23,155,641,897
"The dog called in sick, so I'm working from home.",90,40,25,155,641,8769
Check out channel 12. This idiot woman has a house full of cats.,119,35,38,192,641,2700
Tell Trump the Senate Republicans are all here.,96,22,32,150,641,3997
"I don't know how many.  Every time I start to count them, I fall  asleep.",103,40,29,172,641,3229
"Yes, I tried counting them. Could you just send up a bottle of Scotch?",103,40,29,172,641,8974
What exactly did we do after the bar?,95,46,24,165,641,3538
"No, the lease says ""no dogs or cats.""",94,48,23,165,641,9027
"Mr. President, I 've rounded up what's left of your base.",116,23,39,178,641,5479
"Yup, we're here watching the Rams game.",90,41,23,154,641,2835
"Well Mom, coming from someone with 6 cats, that seems a bit hypocritical!",98,34,28,160,641,4745
Room Service?  Can you send up more of those little shampoos?,96,40,25,161,641,5287
"They have names, Karen.",91,40,23,154,641,7742
What reason did the condo board give for my eviction?,92,50,20,162,641,1139
"I don't know how many, I keep falling asleep.",97,27,29,153,641,4437
We're just hanging out watching EweTube.,97,46,23,166,641,3896
Can I call you back?  I'm right in the middle of a staff meeting.,97,39,25,161,641,3966
Just say I'm in a meeting with my staff.,87,49,18,154,641,1688
And what's your policy on emotional support animals on this flight?,94,35,25,154,641,5900
Us? We’re watching Flocks News.,103,36,28,167,641,8598
"Medium pepperoni, and twelve mixed green salads...no dressing.",99,47,23,169,641,5449
"Judge all you want, but since I made the move I haven't lost a single one.",102,41,26,169,641,5837
I don't know how many there are. Every time I try to count them I fall asleep.,85,36,21,142,641,1723
I don’t know how many. I fall asleep after seven or eight.,92,38,23,153,641,1559
I find your ad about a timeshare with a pastoral scenic view to be misleading.,93,39,23,155,641,8684
Silence of the Lambs is on. You should see the looks I’m getting.,83,30,22,135,641,8439
I'm surrounded by Trump supporters.,95,22,29,146,641,3908
Hello Leader McConnell?  I found your Senators!  They're here in the Trump Hotel!,105,37,28,170,641,2172
"Yeah, I can talk. I'm working from home today.",93,35,24,152,641,6260
I'm looking for a sophisticated border collie that would enjoy working in an urban environment,93,38,23,154,641,8587
"... not alone, I’m with my staff.",89,33,23,145,641,5041
They’ll watch anything except Fox.,98,34,26,158,641,8344
I'm quite sure I said a dozen matching sheets.,92,33,24,149,641,5565
"No, Alexa. I said I need to get some 
S-L-E-E-P!",98,33,26,157,641,7889
"Where are you Mr. Trump, the Republican Leadership meeting is about to start.",109,30,31,170,641,5448
I'm looking for a border collie who's tired of country living.,96,43,22,161,641,5122
Fox News. What else would they be watching? They’re sheep!,94,31,25,150,641,6149
"I'm serious, Mary: Pick up.",93,36,23,152,641,2724
Technically they're free range.,84,44,17,145,641,3662
"Bad news, my landlord just told me to get the flock out of here.",92,31,24,147,641,202
"Siri, I said I wanted some SLEEP!",92,31,24,147,641,6663
"Hello, sleep disorders clinic.",93,38,22,153,641,770
"Yeah, sometimes my work follows me home too.",95,56,17,168,641,4206
"The Christmas sweaters said ""some assembly required.""",103,42,24,169,641,8639
"No, I want the hotel manger, not the hotel manager.",83,41,17,141,641,7145
Last thing I remember is doing shots with that animal rights activist we met.,87,36,20,143,641,7461
"As I explained at the front desk, they're service animals. I can't sleep without them!",102,34,26,162,641,6146
I'd like to report a lost dog,93,33,23,149,641,6579
"Hello, Room Service? I'd like one shepherd's pie and 15 salads. Hold the dressing.",94,34,23,151,641,9043
Don't know how many.  Each time I count them I fall asleep.,103,34,26,163,641,1770
"No, I haven't lost them. I'm working from home.",92,34,22,148,641,7845
Hi front desk? I asked for a fresh set of SHEETS.,107,41,25,173,641,6815
"Yes, a border collie and a large pot of coffee. Room 614.",83,33,19,135,641,3870
I have no idea how many. Every time I start counting them I fall asleep.,98,34,24,156,641,1625
