caption,unfunny,somewhat_funny,funny,count,contest
You ordered from the wrong Amazon.,848.0,810.0,602.0,2260.0,523
Then maybe you should just tell me what you want for your birthday instead of saying you don't care.,374.0,281.0,216.0,871.0,523
I think I ordered from the wrong Amazon.,273.0,180.0,157.0,610.0,523
I don't mind the monkey see as much as the monkey doo.,263.0,207.0,124.0,594.0,523
I'll tell you what could be more fun--a barrel of wine.,238.0,172.0,111.0,521.0,523
Can we have one argument without you bringing up the monkeys?,234.0,141.0,112.0,487.0,523
Why can't we just have an elephant in the room like everyone else?,192.0,126.0,84.0,402.0,523
Should I have gotten a half-barrel?,202.0,175.0,79.0,456.0,523
Apparently George was more than curious.,209.0,123.0,88.0,420.0,523
I feel like you've evolved and your friends haven't.,187.0,119.0,72.0,378.0,523
Do I complain about your spoon collection?,159.0,131.0,54.0,344.0,523
I miss the elephant in the room.,207.0,107.0,82.0,396.0,523
we might have ordered from the wrong amazon,161.0,94.0,60.0,315.0,523
No.... I'm pretty sure you left that off your dating profile.,155.0,110.0,53.0,318.0,523
I guess we both now know it was a banana in my pocket.,152.0,60.0,63.0,275.0,523
I believe you ordered from the wrong Amazon.,160.0,95.0,56.0,311.0,523
We can't get a refund without the original barrel.,85.0,57.0,28.0,170.0,523
You knew I was an uncle when you met me.,141.0,98.0,43.0,282.0,523
How long will they be observing us in our natural habitat?,128.0,84.0,40.0,252.0,523
Who can we regift?,147.0,108.0,42.0,297.0,523
Well...technically they were here before us.,120.0,80.0,35.0,235.0,523
Try not to think about where his hands have been.,78.0,28.0,29.0,135.0,523
Any side effects to your new prescription?,142.0,67.0,48.0,257.0,523
The zoo said I could work from home today.,135.0,72.0,43.0,250.0,523
I found them on ancestry.com.,111.0,79.0,30.0,220.0,523
How in the world could you forget to pick up bananas?!,162.0,95.0,49.0,306.0,523
Kiss our security deposit goodbye.,123.0,78.0,35.0,236.0,523
Still a fan of Airbnb?,115.0,60.0,35.0,210.0,523
Did I complain when you had your sisters for the weekend?,133.0,71.0,40.0,244.0,523
Now do you know what constant nit-picking feels like?,95.0,66.0,24.0,185.0,523
You said they were both girls!,117.0,70.0,32.0,219.0,523
I don’t mind the monkey see as much as I mind the monkey doo.,99.0,58.0,27.0,184.0,523
You knew I was an organ grinder when you married me.,120.0,58.0,36.0,214.0,523
Life was easier when you were a cat person.,116.0,69.0,31.0,216.0,523
I'm suddenly in the mood for rhesus pieces.,127.0,54.0,40.0,221.0,523
Good thing it's not the year of the Ox.,113.0,60.0,32.0,205.0,523
I was hoping for the other kind of monkey business.,94.0,62.0,23.0,179.0,523
Just be glad it's not the Year of the Snake.,115.0,80.0,26.0,221.0,523
Let me know if they bother you.,104.0,60.0,27.0,191.0,523
Looks like I ordered from the wrong Amazon.,108.0,55.0,30.0,193.0,523
Maybe AirBnB was a mistake.,106.0,53.0,29.0,188.0,523
At least it's not the Year of the Snake.,99.0,67.0,22.0,188.0,523
I liked it better when you were the cat lady.,97.0,57.0,24.0,178.0,523
You'll always be my prime mate.,123.0,53.0,36.0,212.0,523
No more Airbnb.,99.0,65.0,22.0,186.0,523
Turns out the box was from THE Amazon...,93.0,51.0,23.0,167.0,523
"Look on the bright side. No one will call you the Crazy Cat Lady.""",99.0,75.0,18.0,192.0,523
I need to go out for b-a-n-a-n-a-s.,94.0,54.0,22.0,170.0,523
I had better see no evil on my new carpets.,94.0,46.0,24.0,164.0,523
I'm furious George.,96.0,48.0,24.0,168.0,523
I said money. I wish we had a barrel of money.,95.0,46.0,24.0,165.0,523
Let's just agree that the situation is evolving.,91.0,58.0,18.0,167.0,523
Jane regret move to big city?,99.0,51.0,23.0,173.0,523
"The ""monkey see"" part is not what I'm worried about.",81.0,54.0,15.0,150.0,523
Are you having fun yet or should I open another barrel?,92.0,45.0,22.0,159.0,523
I ordered the home version of the Republican National Convention.,110.0,38.0,31.0,179.0,523
I'm their uncle.,95.0,41.0,24.0,160.0,523
Just while their barrel is being renovated.,94.0,46.0,22.0,162.0,523
I'm glad you're not one of those crazy cat ladies.,84.0,46.0,18.0,148.0,523
At least we finally got the elephant out of the room.,95.0,53.0,20.0,168.0,523
I told you not to go on eBay when you're drunk.,68.0,32.0,16.0,116.0,523
When do you think we should tell them we aren't their biological parents.,77.0,43.0,16.0,136.0,523
They're not the swinging partners I had in mind.,93.0,43.0,22.0,158.0,523
Surely you now regret saying Trump will be the nominee when monkeys fly out of my butt.,102.0,28.0,30.0,160.0,523
How much fun did you expect?,98.0,42.0,24.0,164.0,523
We'll see who's a moron once I get the typewriters.,88.0,36.0,22.0,146.0,523
Crazy that I've managed to stay single all these years.,107.0,59.0,22.0,188.0,523
I thought the ad said prime mates.,79.0,50.0,14.0,143.0,523
Thirty years and not one sonnet.,91.0,29.0,25.0,145.0,523
Are you sure he told you to let the chimps fall where they may?,83.0,32.0,21.0,136.0,523
Your body language is telling me there won't be a third date.,80.0,41.0,17.0,138.0,523
"How come they're only ""my"" monkeys when they're bad?",88.0,44.0,19.0,151.0,523
I'm done with airbnb.,70.0,32.0,16.0,118.0,523
Let the chimps fall where they may.,81.0,45.0,16.0,142.0,523
Now I understand why they never said 'smell no evil'.,87.0,33.0,22.0,142.0,523
I told you not to install Windows 10.,95.0,36.0,24.0,155.0,523
I see that Ancestry.com delivers.,108.0,51.0,24.0,183.0,523
But I got them for peanuts.,85.0,46.0,17.0,148.0,523
"It's not the ""monkey see"" that bothers me!",97.0,41.0,23.0,161.0,523
I like the way he does your hair.,85.0,51.0,15.0,151.0,523
The typewriters will be here tomorrow.,93.0,38.0,22.0,153.0,523
Enough small talk. Do you like monkeys?,81.0,43.0,16.0,140.0,523
That reminds me. We're out of bananas.,83.0,42.0,17.0,142.0,523
I want a paternity test.,89.0,36.0,21.0,146.0,523
Reese's? I thought you said Rhesus.,93.0,31.0,24.0,148.0,523
Do the other zookeepers bring their work home?,86.0,48.0,16.0,150.0,523
At least you won't be the crazy cat lady,92.0,39.0,21.0,152.0,523
