caption,unfunny,somewhat_funny,funny,count,contest,target_id
"If we time it right, I can get you in this house today.",65,48,27,140,645,672
"Sure, location is important, but timing is everything.",65,38,26,129,645,7229
"Location is important,
but here,
timing is everything",78,39,32,149,645,2661
"The previous owners were a sweet elderly couple, but a tad slow on their feet.",69,39,23,131,645,234
If you want to get into this property you will have to move fast.,77,45,25,147,645,6401
I'm afraid this IS the only retirement community you can afford that is on a golf course.,65,37,21,123,645,1756
Perhaps I misunderstood you when you said you don't want a long drive.,69,38,22,129,645,1149
Getting into a house like this is all about timing.,66,30,22,118,645,3325
"On the count of three, whaddya say we take a look inside?",63,24,22,109,645,4445
I'm afraid your offer didn't go through.,64,32,20,116,645,5872
"If we time this right, I can get you folks in here today.",76,41,22,139,645,3893
Can I show you something in a shoe?,75,46,20,141,645,3475
"Shall we go in and have a look... 
on the count of three.",74,47,19,140,645,5899
And it has five security speeds - off for kids to high for unwanted relatives.,74,36,22,132,645,7430
"Trust me, as your broker, this one is all about timing.",67,38,18,123,645,5713
It’s not your typical run of the mill house.,88,41,26,155,645,7009
"It's pricier than the clown's mouth, but you save on energy costs.",63,37,16,116,645,1675
"On the other hand, it really cuts down on door-to-door salesmen.",79,43,21,143,645,5426
The previous owner died of a stroke.,74,28,23,125,645,567
she's selling because she lost her husband in a terrible accident,82,36,24,142,645,211
Forget location. Timing is everything.,76,41,20,137,645,778
"Three words: rotation, rotation, rotation.",65,28,19,112,645,6339
You're going to want to move quickly on this one.,70,28,21,119,645,6033
"With this house, timing is everything.",93,39,27,159,645,3149
"Great, let’s go sign the papers now...no...now! Wait, ok now...",76,45,18,139,645,571
Timing is everything if you want to get into this unique property.,84,39,23,146,645,3486
"On my count of three, we can begin our walkthrough.",75,36,20,131,645,1081
This came on the market suddenly. The owner just peeked out  the door for the morning paper.,66,37,16,119,645,4190
"Geez, you've said no to the igloo, the lighthouse, the old woman's shoe and now this.  What ARE you looking for?",62,38,14,114,645,2007
I’ve got 17 others that I think you’ll love,76,37,20,133,645,4317
"Listen, we only have a short time to get our foot in the door on this one.",71,40,17,128,645,6065
"By far, the most important feature: Rotation. Rotation. Rotation.",65,35,16,116,645,5485
Act fast -- this kind of opening only presents itself every eight seconds.,69,37,17,123,645,6949
"Well, given your budget, this is what 'living on a golf course' looks like.",77,27,23,127,645,248
"I don’t show this to most people, but you look like a fun couple",71,39,17,127,645,4821
"You did say energy efficient, two story property on the golf course.",82,40,21,143,645,2485
"If you'll wait just a moment, we can have a look inside.",78,43,18,139,645,3457
You don’t want to get the newspaper until after you’ve had at least one cup of coffee.,67,38,15,120,645,4358
