caption,unfunny,somewhat_funny,funny,count,contest
You and your surfaris.,552.0,46.0,573.0,1171.0,535
I just couldn't 'catch and release because who would've believed such a whale of a tale?,261.0,87.0,191.0,539.0,535
Of course I knew I was marrying a mermaid. I just didn't expect to live with my mother-in-law too.,228.0,128.0,156.0,512.0,535
"I'll bet that last restaurant will never have ""All You Can Eat Shrimp"" on their lunch menu again.",228.0,69.0,151.0,448.0,535
"Yes, I love him. I'll always love him. I'm just saying I still think the hospital switched him at birth.",207.0,101.0,129.0,437.0,535
He wants to know if you can move your seat up,178.0,117.0,98.0,393.0,535
It's the only way he'll fall asleep.,169.0,109.0,87.0,365.0,535
He's not endangered. He's wearing a seatbelt.,163.0,99.0,81.0,343.0,535
"At least when we brought home the elephant, we had extra trunk room.",171.0,41.0,86.0,298.0,535
This is where the blubber meets the road.,143.0,70.0,60.0,273.0,535
It's the only way to get him to fall asleep.,133.0,89.0,50.0,272.0,535
They warned us not to feed him the growth hormone before we returned the rent-a-car.,162.0,29.0,79.0,270.0,535
Cop said he had to issue me a cetacean.,139.0,60.0,56.0,255.0,535
"I was with you on ""Save the Rainforests"" and ""Save the Monarch Butterfly"" but this is a bit too much.""",131.0,65.0,48.0,244.0,535
"He hates the interstate, but he loves the car wash.",120.0,80.0,38.0,238.0,535
"I swear the ad said ""single white male.""",129.0,62.0,47.0,238.0,535
It's the only way I get him to sleep.,125.0,65.0,43.0,233.0,535
"Since we're getting it all out, I never liked your cat.",126.0,63.0,44.0,233.0,535
So much for the new car smell.,129.0,47.0,47.0,223.0,535
"Why don't you just say what's really bothering you. And don't say ""the whale"" again.",119.0,67.0,37.0,223.0,535
At least the new car smell is gone.,118.0,60.0,37.0,215.0,535
Already? You would think he'd have a bigger bladder.,117.0,58.0,36.0,211.0,535
"Okay, we saved him - now what?",114.0,60.0,33.0,207.0,535
So I finally saved one. Now what should we do with it?,110.0,62.0,29.0,201.0,535
The one millionth visitor to Aquaworld. And you couldn't just take the cash prize?,112.0,54.0,32.0,198.0,535
We'll see what the Smiths and their stupid dolphin have to say now.,113.0,55.0,32.0,200.0,535
"Come on, we agreed; I catch them; you clean them.",120.0,41.0,39.0,200.0,535
He likes to listen to podcasts.,112.0,51.0,32.0,195.0,535
This is why I hate helping you move.,116.0,43.0,36.0,195.0,535
"When the trooper gets to the window, let me do the talking.",110.0,54.0,30.0,194.0,535
