caption,unfunny,somewhat_funny,funny,count,contest,target_id
My next selection sounds just like the last one.,177,66,57,300,644,1487
This next song is pretty much the same as the last one.,169,65,45,279,644,4127
You may have heard your children play this next piece.,179,76,41,296,644,2783
"And now, my musical interpretation of the Trump presidency...",192,51,52,295,644,2966
Anyone else forget to turn off their cellphone?,177,77,36,290,644,4131
I could have been a conductor.,181,68,39,288,644,4262
My next piece may sound a little bit like the last one.,206,75,44,325,644,3183
This next piece is dedicated to my ex-wife.,188,79,36,303,644,1676
They say dress for the job you want; not the job you have.,181,77,34,292,644,2940
That's right. I'm just that good.,166,55,36,257,644,3458
You may have heard this little number before...if you have a cat and a piano.,196,74,39,309,644,1792
"And now, I've got an old score to settle.",184,73,35,292,644,5049
This next piece was written by my cat.,194,56,43,293,644,4059
Hit it!,177,91,25,293,644,4363
And now Gershwin’s lesser-known ‘Rhapsody in Black and Blue’,184,71,34,289,644,2555
After a few drinks we agreed to swap jobs for the evening. I guarantee the pianist is NOT having fun.,187,55,40,282,644,25
And now the famous sonata for piano and concussion.,155,69,25,249,644,1288
I just play the hits.,183,73,32,288,644,2748
This next one’s dedicated to my ex-wife.,185,71,33,289,644,300
I will now play Trump's étude in diplomacy,178,41,41,260,644,2436
I'll conclude with Gershwin's Rhapsody in Black and Blue.,199,77,35,311,644,1724
I coulda been a contata.,173,62,32,267,644,4581
I’m just going to hit a few notes.,177,59,34,270,644,1033
I always hate this part of the dream.,180,67,32,279,644,2164
I will now play Sonata for Trump’s First Two Years.,199,54,42,295,644,951
I would like to dedicate this to my ex-wife.,177,57,34,268,644,1729
My final encore is for the gentleman asleep in Row 3.,187,68,33,288,644,5000
I'm gonna need a page turner.,182,75,29,286,644,3063
You don't understand.  I coulda had class.  I coulda been a conductor.,168,74,25,267,644,4623
"Alexa, play literally anything.",185,57,36,278,644,2647
"Ok, that's it!  Who forgot to silence their cell phone?",202,77,34,313,644,1658
"Every night it's the same dream.  I'm onstage, seated at a piano wearing box gloves, and no pants.",198,76,33,307,644,1645
Would the guy who booed please stand up?,182,76,28,286,644,659
"Oh, you said ""Bach's""",205,58,41,304,644,3045
To make it even more interesting my Assistant will now blindfold me.,201,74,34,309,644,2316
"Cough one more time, I dare you.",169,58,30,257,644,4615
Now a tribute to our current President,189,55,37,281,644,2670
"No, that was Für Elise. Now try to name this tune...",182,66,31,279,644,3518
"You may laugh, but the last time I had the lid drop on my hands I couldn’t play for a month.",190,69,32,291,644,4241
"After a month of Christmas songs,
 I'd like to play one for Boxing Day!",196,68,34,298,644,685
Someone stole my tip jar last night. That’ll never happen again.,176,65,29,270,644,1427
"Ladies and Gentlemen,.. Rhapsody in Black and Blue.",196,67,34,297,644,2462
"For my next selection, Gershwin's ""Rhapsody in Black and Blue""",177,62,30,269,644,940
"When we change to C sharp major, the gloves come off.",198,65,35,298,644,4781
"Sorry for the gloves, but some of the notes are sharp.",201,73,33,307,644,3131
The conductor and I have worked out our artistic differences.,193,86,26,305,644,4838
Please join me in the Julliard School fight song,208,70,36,314,644,5374
I wasn't joking about the cell phones,180,71,27,278,644,3965
And now here's something for those of you who slept through the Mozart.,181,66,29,276,644,4794
"If you think this looks difficult, wait till you see me play the harp.",206,69,35,310,644,3049
"Now, “Rhapsody in Black and Blue.”",183,75,26,284,644,925
"And now, here’s one that pretty much anybody can play.",200,66,34,300,644,4545
We'll have a brief intermission while I make a pretty big career decision.,185,62,31,278,644,1057
I find the piece goes quickly if I can hit a bunch of notes at the same time.,167,55,28,250,644,1015
I'm going to need someone to turn the pages for me.,201,68,33,302,644,5576
I play the anthem the way he runs the country,192,44,39,275,644,203
Please hold your applause until the final bell,197,78,28,303,644,2209
Please turn on your cell phones.,186,63,30,279,644,1126
"And now, because you're drunk and not listening anyway...",201,60,35,296,644,2660
Handel with care,179,62,28,269,644,5175
It hasn't been a smooth career transition,204,75,30,309,644,4340
My cat composed this next one.,194,56,34,284,644,3917
"Sir, would you mind not ringing that bell before every movement?",186,72,26,284,644,4906
"Finally, Ravel's Bolero is going to get what it deserves.",182,52,32,266,644,847
Sit back and relax -  tonight it's nothing but the hits!,190,74,26,290,644,3877
No need to turn off your cell phones.,194,66,30,290,644,4442
What it lacks in subtlety it gains in punch.,165,74,19,258,644,2079
"For my encore, Rhapsody in Black and Blue.",208,57,37,302,644,3498
I dedicate this song to my father and mother who had different plans for me.,190,68,28,286,644,1417
I've suffered for my art. Now it's your turn.,203,64,33,300,644,597
And this next piece is for my ex-wife.,186,62,29,277,644,4544
"And now, a request from the drunks at table three.",186,67,27,280,644,2326
"This next piece is forte. Very, very forte.",187,73,25,285,644,2862
And consider that a warning. Anyone else wanna answer their phone?,200,58,34,292,644,2639
I call it Requiem for a Heavyweight,207,77,29,313,644,2846
I trust the jurors will consider degree of difficulty.,188,65,28,281,644,4419
"If I hear one more cell phone ringing, the gloves come off!",190,61,30,281,644,5700
I'll be delighted to meet with the critics after the show.,194,86,22,302,644,585
Any other stupid requests?,183,61,28,272,644,831
And now a piece by Sugar Ray Leonard Bernstein.,185,68,26,279,644,1058
I’m just gonna knock out a few tunes for you.,197,63,31,291,644,4777
Can I get a page turner in here??,192,61,30,283,644,4283
I started out tickling the ivories ... now I like to beat the crap out of them!,211,69,32,312,644,5580
You think this was bad?  You should hear me play the violin.,204,61,33,298,644,2305
I shall say this only once. Cell phones off!,186,58,29,273,644,256
This next piece was written as a round...actually ten rounds.,192,54,32,278,644,3847
Beethoven’s going down in the 5th,212,66,33,311,644,2218
This is dedicated to the critics who thought my last performance lacked finesse.,208,74,29,311,644,4390
I was told to be careful - some of the keys are sharp.,178,60,26,264,644,3597
"You want to step up on the stage and say that, sir?",203,64,31,298,644,995
I'm not so much tickling the ivory as I am pounding them into submission.,205,79,26,310,644,4077
"This is Mozart's Concerto in G minor, A major, D minor and C#.",217,60,36,313,644,873
These stay on until the tip jar is full.,189,75,23,287,644,5226
This one's going out to my ex-wife and her attorney.,207,69,30,306,644,3291
And now a piece by Punchini.,195,65,28,288,644,2718
"Now, for the grand finale—my blindfold, please.",212,69,31,312,644,1772
I was told to expect a tough crowd.,187,75,22,284,644,1953
I guarantee: Beethoven is going down in the 5th.,188,62,27,277,644,1376
I composed my next piece after my divorce.,166,46,27,239,644,3398
What?  It’s FLIGHT of the Bumblebee?,189,54,30,273,644,4058
I coulda been a conductor.,200,67,28,295,644,524
Maim that tune.,204,56,33,293,644,3053
"Now for my take on Gershwin, “Rhapsody in Black and Blue”.",191,63,27,281,644,2415
Would the gentleman in the balcony care to repeat that remark?,191,63,27,281,644,2905
And now Rhapsody in Black and Blue.,207,82,24,313,644,498
"The next piece is a new work titled ""A day at the White House"".",191,57,29,277,644,3532
"This next piece features dense chords, unusual harmonies, and a pounding rhythm.",209,67,30,306,644,3817
I will now play a piece inspired by my visit to the White House,178,45,30,253,644,5062
"For my next piece, the gloves are coming off.",194,67,26,287,644,5418
Is there nothing atonal enough that you snobs wouldn't pretend to like?,191,59,28,278,644,2260
"Could you turn the page, please?",200,68,27,295,644,1250
One of my greatest hits...,208,70,28,306,644,1956
I will now perform Bach's little-know Golden Gloves Variations.,182,57,26,265,644,4137
"Go on, request Piano Man man again. I dare you.",197,62,28,287,644,1728
"And now, Mozart's Requiem for a Heavyweight.",198,60,29,287,644,5524
"I call this next number, ‘Rhapsody in Black and Blue’.",192,45,33,270,644,5111
It's Shostakovich.  You won't notice the difference.,201,59,30,290,644,1165
"No, Franz is my elder brother...I'm Pugi Liszt.",183,49,29,261,644,339
"Tonight, only hits.",207,76,25,308,644,5694
This next little number will knock you out.,176,57,24,257,644,1123
Who requested a fight song?,183,67,22,272,644,1899
This piece is called 'Flight of the Elephant.',199,51,32,282,644,3771
"You mean it isn't ""'Fight'"" of the Bumblebee?""",192,62,26,280,644,4141
Requiem for a Heavyweight,197,60,28,285,644,3362
"After all those Christmas carols, this one is for Boxing Day",207,64,29,300,644,2398
Just wait until after intermission; that’s when the gloves come off!,209,76,25,310,644,2360
I’ll be playing this in pugilissimo.,183,58,25,266,644,705
Anyone can play blindfolded.,194,60,27,281,644,429
Here’s the tricky part.,207,82,22,311,644,3243
I plan to take Beethoven in the Ninth.,192,61,26,279,644,4199
The ski boots are making it difficult to work the pedals.,198,57,29,284,644,1750
It'll be three rounds of Bach and then the gloves come off.,201,67,26,294,644,5087
"Tonight I'll be playing Chopin's Nocturne in C#, D, D#, E, and F Minor.",217,51,36,304,644,1180
For this next fugue I am going to take the gloves off.,196,58,28,282,644,2378
"It was at that moment,Ted realized he had put his boxing gloves on instead of his tuxedo pants. Again.",200,58,29,287,644,1869
And now for a little Rockymaninoff.,196,66,25,287,644,2605
You don't understand.  I could've played a cadenza.  I could've been somebody!,204,58,30,292,644,3844
"And now, a Chopin nocturne in C, D, E, F and very probably G.",223,60,34,317,644,3812
This next one goes out to all my critics,194,67,24,285,644,3290
I will only be playing my hits.,207,57,31,295,644,438
This one goes out to my ex wife.,185,58,25,268,644,3678
"This next piece is titled ""Ode To My Parents Who Could Not Agree On After School Activities""",191,62,25,278,644,530
And now a little piece I wrote watching the news.,199,54,30,283,644,1249
"And now, The Ill-Tempered Clavier.",202,56,30,288,644,196
Bach off.,204,60,29,293,644,4847
Could somebody scratch my nose?,205,71,25,301,644,1983
I'm sorry. All I know are fight songs.,186,66,22,274,644,3695
"The next selection is my own composition,'Rhapsody in Black and Blue'.",207,72,25,304,644,126
I am now going to play a piano interpretation of Donald Trump’s presidency.,204,43,35,282,644,2610
"And now the theme from Rocky, as it was meant to be played.",201,57,29,287,644,3762
I tend to fight Bach.,198,68,24,290,644,2413
Yeah. I’m that good.,207,63,28,298,644,1205
"Next, Gershwin's Rhapsody in Black and Blue",205,67,26,298,644,5045
Anyone can play with his bare hands.,192,69,22,283,644,3055
"The next piece is entitled, ""The Trump White House.""",197,51,30,278,644,3749
This last piece is from my boxed set.,192,61,25,278,644,3902
"And now, the hits.",176,45,27,248,644,3126
Any other hecklers out there?  I thought not.,201,72,23,296,644,1553
Next critic?,203,68,25,296,644,4388
Tonight I'll be performing some of my greatest hits.,194,54,28,276,644,1850
This next piece is for the critic who called me a 'lightweight.',207,81,21,309,644,183
This tune is dedicated to the President,203,65,26,294,644,2429
"And now, time to knock out a few classics.",205,61,28,294,644,3839
I dedicate this piece to the Times critic in the second row.,196,68,23,287,644,3225
It’s not like you can hear me over your phones anyhow.,187,46,29,262,644,138
The inspiration for my next piece comes from being bullied on my way to piano lessons.,192,73,20,285,644,3574
You'll find this next piece has a little extra punch.,177,55,23,255,644,1221
"And now, the 1812 Overture as it was meant to be played.",178,58,22,258,644,820
I'm done tickling them.,204,67,25,296,644,1864
"I coulda been a cadenza.""",176,46,26,248,644,2661
"I will now perform ""Dance of the Sugar Ray Plum Fairy"".",196,67,23,286,644,2624
I like to play this one Pugilisimo,197,62,25,284,644,135
"This next piece is called
A Presidential Press Conference.",205,59,28,292,644,3295
Let's see how many of youse remember dis one…,218,70,27,315,644,3082
"Let's have a clean fugue, and no hitting below middle C.",207,60,28,295,644,1801
I thought you said FIGHT of the bumblebee.,179,55,23,257,644,4848
"And now, my rendition of the crap these kids are listening to nowadays.",197,56,27,280,644,381
I coulda been a composer,214,67,27,308,644,1745
And now for a piece my two year old son wrote,194,62,24,280,644,4150
This next tune may ring a bell.,206,67,25,298,644,2431
"This next tune was written by Mike Tyson, who, I'm told, plays by ear.",235,75,29,339,644,1861
"And for my next piece, ""Requiem for a Heavyweight.""",211,70,25,306,644,3960
I was misled about how duelling pianos worked.,192,63,23,278,644,509
This next piece is dedicated to those critics who say I lacked a deft touch and attacked the piano with a pugilistic style.,195,49,29,273,644,2362
"Good evening and welcome to our first 
Mixed Musical Arts competition.",184,63,21,268,644,938
"Tonight, I've a score to settle with the piano.",212,65,27,304,644,3650
And now... a medley of big hits.,197,50,29,276,644,2037
"For my final piece, I'd like to play for you Mozart's 'Requiem for a Heavyweight.'",212,57,30,299,644,2968
The critic from the Times will not be joining us this evening.,194,48,29,271,644,5044
"And now, my latest composition:”Requiem For a Heavyweight.”",221,60,31,312,644,5248
"I will now play for you Mozart's little-known ""Requiem for a Heavyweight.""",205,55,29,289,644,2830
Could I have a volunteer from the audience to come scratch my nose?,203,64,25,292,644,167
"And now, my tribute to Philip Glass.",203,56,28,287,644,2695
"I call it ""Fur Ali.""",200,67,23,290,644,589
I call it pugilissimo.,200,67,23,290,644,664
"And now, Mozart's ""A Little Fight Music""",208,64,26,298,644,217
I will now perform 'Rhapsody in Black & Blue',219,71,26,316,644,4146
What would you have done if your teacher kept hitting your fingers?,204,64,25,293,644,4662
And now something for the critics,213,59,29,301,644,4135
"This next piece is called Sonata in C, D, E, F, G, and B Flat Minor.",176,46,25,247,644,2874
"Sorry sir, but ""My Way"" means my way.",202,65,24,291,644,4038
"And now, Beethoven in the 5th.",203,63,25,291,644,5278
I'd like to knock out a few tunes for you,209,56,29,294,644,5522
My father wanted me to box and my mother wanted me to play the piano. I call this piece The Regrettable Compromise.,216,63,28,307,644,220
"And now the Minuet in C, C sharp, D, D sharp, E, F, F sharp",206,54,29,289,644,1132
Give me a minute while I break in this new piano.,204,70,23,297,644,4672
Tonight I’d like to play a medley of my hits.,193,56,25,274,644,4207
Alex Ross wrote last week that I played as if wearing boxing gloves.  This next piece is for Alex.,218,77,23,318,644,5149
Can ANYONE name that tune ?? Anyone ?? Anyone ??,219,59,30,308,644,4839
