caption,unfunny,somewhat_funny,funny,count,contest
"I have to ask, do you feel that you could be a danger to others?",190.0,319.0,235.0,744.0,520
"Now that you've opened up, let's talk about what's eating you.",631.0,858.0,738.0,2227.0,520
It's normal to feel empty after a split.,272.0,285.0,228.0,785.0,520
You're right; some of us bruise easier than others.,73.0,104.0,58.0,235.0,520
Would you feel more comfortable on the floor ?,173.0,181.0,137.0,491.0,520
I am required to report those bruises.,112.0,104.0,73.0,289.0,520
You say you've been feeling empty since the split?,140.0,97.0,83.0,320.0,520
Maybe you'd be more comfortable on the floor.,92.0,80.0,52.0,224.0,520
I'm going to be brutally honest. You're an accident waiting to happen.,95.0,76.0,53.0,224.0,520
And you blame yourself for the split?,101.0,62.0,57.0,220.0,520
How was life after the split?,102.0,103.0,50.0,255.0,520
What I think isn't important. Do you think you're an accident waiting to happen?,81.0,77.0,39.0,197.0,520
Perhaps you're hanging around with the wrong bunch.,76.0,72.0,36.0,184.0,520
I can tell that something's been eating at you.,81.0,77.0,38.0,196.0,520
Do you need a moment to compost yourself?,68.0,51.0,34.0,153.0,520
You may have a split personality.,90.0,58.0,44.0,192.0,520
I'm so tired of people blaming me for their slip-ups.,60.0,54.0,26.0,140.0,520
So you feel the best part of you is gone.,60.0,59.0,25.0,144.0,520
I'd like to see you again next sundae.,85.0,55.0,39.0,179.0,520
You appear to be suffering from an Edible Complex.,41.0,30.0,18.0,89.0,520
You can't go on like this. You're an accident waiting to happen.,78.0,52.0,35.0,165.0,520
I think this results from an edible complex.,65.0,53.0,27.0,145.0,520
Success is not measured by the number of people you bring down.,64.0,59.0,25.0,148.0,520
This is fruitless.,75.0,52.0,32.0,159.0,520
So you caused a Freudian slip?,63.0,52.0,25.0,140.0,520
"So, was it a painful split?",76.0,57.0,31.0,164.0,520
So what's been eating you lately?,68.0,44.0,29.0,141.0,520
I've felt rotten since the split.,43.0,33.0,17.0,93.0,520
You need to stop blaming yourself for everyone else's slip-ups.,48.0,32.0,20.0,100.0,520
You think you're crazy? I'm talking to a banana.,75.0,37.0,33.0,145.0,520
Remind me what happened after the split,77.0,46.0,32.0,155.0,520
And how would you say you're handling the split?,66.0,53.0,24.0,143.0,520
"Okay, so it was a breach of professional ethics, but... I was hungry.",68.0,31.0,30.0,129.0,520
Tell me about your nana,76.0,45.0,31.0,152.0,520
So what's eating you this week?,63.0,51.0,22.0,136.0,520
We don’t use the term “going bananas” here.,53.0,48.0,17.0,118.0,520
Something's been eating you. Tell me about it.,49.0,36.0,17.0,102.0,520
I think you experienced a Freudian slip.,59.0,49.0,19.0,127.0,520
I was going to be a world famous computer logo....until that damn apple showed up.,58.0,17.0,26.0,101.0,520
Calm down. Try to compost yourself.,68.0,33.0,27.0,128.0,520
I agree. You're an accident waiting to happen.,58.0,40.0,20.0,118.0,520
What would you like to be able to say to those monkeys?,57.0,41.0,19.0,117.0,520
Somedays I feel like an accident just waiting to happen.,58.0,39.0,20.0,117.0,520
"It's ""Oedipal"", not ""Edible"".",57.0,36.0,20.0,113.0,520
Just tell me what's eating you,57.0,42.0,18.0,117.0,520
You are an accident waiting to happen!,63.0,38.0,22.0,123.0,520
I'm afraid you suffer from an Edible Complex.,59.0,34.0,21.0,114.0,520
So when did you first begin to feel like garbage?,56.0,32.0,20.0,108.0,520
So you feel like you're empty inside?,63.0,40.0,21.0,124.0,520
