caption,unfunny,somewhat_funny,funny,count,contest,target_id
My next selection sounds just like the last one.,139,42,40,221,643,1487
This next song is pretty much the same as the last one.,124,44,33,201,643,4127
I could have been a conductor.,128,49,32,209,643,4262
This next piece is dedicated to my ex-wife.,133,57,28,218,643,1676
My next piece may sound a little bit like the last one.,146,58,32,236,643,3183
Anyone else forget to turn off their cellphone?,123,60,22,205,643,4131
They say dress for the job you want; not the job you have.,133,54,27,214,643,2940
"And now, my musical interpretation of the Trump presidency...",145,39,36,220,643,2966
That's right. I'm just that good.,113,35,26,174,643,3458
And now Gershwin’s lesser-known ‘Rhapsody in Black and Blue’,134,56,25,215,643,2555
You don't understand.  I coulda had class.  I coulda been a conductor.,124,58,21,203,643,4623
My final encore is for the gentleman asleep in Row 3.,136,50,27,213,643,5000
You may have heard your children play this next piece.,136,49,27,212,643,2783
We'll have a brief intermission while I make a pretty big career decision.,131,50,24,205,643,1057
I wasn't joking about the cell phones,120,51,20,191,643,3965
"You may laugh, but the last time I had the lid drop on my hands I couldn’t play for a month.",133,51,24,208,643,4241
"Oh, you said ""Bach's""",159,46,33,238,643,3045
And now here's something for those of you who slept through the Mozart.,126,54,20,200,643,4794
"No, that was Für Elise. Now try to name this tune...",132,53,22,207,643,3518
"Ok, that's it!  Who forgot to silence their cell phone?",149,59,25,233,643,1658
Would the guy who booed please stand up?,126,56,19,201,643,659
I always hate this part of the dream.,128,49,22,199,643,2164
This next piece was written by my cat.,139,38,29,206,643,4059
I will now play Sonata for Trump’s First Two Years.,148,40,31,219,643,951
I would like to dedicate this to my ex-wife.,134,42,26,202,643,1729
"Every night it's the same dream.  I'm onstage, seated at a piano wearing box gloves, and no pants.",139,57,22,218,643,1645
I coulda been a contata.,133,46,24,203,643,4581
"And now, I've got an old score to settle.",137,55,22,214,643,5049
Hit it!,123,57,17,197,643,4363
You may have heard this little number before...if you have a cat and a piano.,150,60,24,234,643,1792
And now the famous sonata for piano and concussion.,111,52,15,178,643,1288
"For my next selection, Gershwin's ""Rhapsody in Black and Blue""",129,46,22,197,643,940
I will now play Trump's étude in diplomacy,128,28,28,184,643,2436
My cat composed this next one.,151,43,29,223,643,3917
After a few drinks we agreed to swap jobs for the evening. I guarantee the pianist is NOT having fun.,137,39,26,202,643,25
Someone stole my tip jar last night. That’ll never happen again.,124,48,19,191,643,1427
I’ll be playing this in pugilissimo.,128,45,21,194,643,705
I composed my next piece after my divorce.,118,34,22,174,643,3398
"After a month of Christmas songs,
 I'd like to play one for Boxing Day!",147,53,23,223,643,685
Now a tribute to our current President,138,40,25,203,643,2670
This next piece is dedicated to those critics who say I lacked a deft touch and attacked the piano with a pugilistic style.,139,32,28,199,643,2362
"I call this next number, ‘Rhapsody in Black and Blue’.",137,33,27,197,643,5111
And consider that a warning. Anyone else wanna answer their phone?,153,45,27,225,643,2639
"Finally, Ravel's Bolero is going to get what it deserves.",128,36,23,187,643,847
Sit back and relax -  tonight it's nothing but the hits!,143,53,21,217,643,3877
I trust the jurors will consider degree of difficulty.,137,48,21,206,643,4419
Please hold your applause until the final bell,151,53,23,227,643,2209
I will now play a piece inspired by my visit to the White House,126,28,25,179,643,5062
"No, Franz is my elder brother...I'm Pugi Liszt.",138,40,24,202,643,339
I'm gonna need a page turner.,140,52,20,212,643,3063
To make it even more interesting my Assistant will now blindfold me.,153,56,22,231,643,2316
"Now, “Rhapsody in Black and Blue.”",132,59,15,206,643,925
I'm going to need someone to turn the pages for me.,144,54,20,218,643,5576
Please join me in the Julliard School fight song,156,49,25,230,643,5374
This last piece is from my boxed set.,131,49,18,198,643,3902
It hasn't been a smooth career transition,156,54,23,233,643,4340
"Alexa, play literally anything.",143,44,23,210,643,2647
These stay on until the tip jar is full.,142,57,18,217,643,5226
I’m just going to hit a few notes.,132,41,21,194,643,1033
"I will now play The Boxer by Simon & Garfunkel, as it's never been played before.",156,56,22,234,643,2007
And now a piece by Punchini.,138,48,20,206,643,2718
"And now, because you're drunk and not listening anyway...",158,49,25,232,643,2660
You think this was bad?  You should hear me play the violin.,156,47,25,228,643,2305
Is there nothing atonal enough that you snobs wouldn't pretend to like?,139,45,21,205,643,2260
I've suffered for my art. Now it's your turn.,155,43,26,224,643,597
"And now, my tribute to Philip Glass.",138,44,21,203,643,2695
I'd like to knock out a few tunes for you,141,38,24,203,643,5522
"This next piece is forte. Very, very forte.",148,51,21,220,643,2862
It's Shostakovich.  You won't notice the difference.,145,46,22,213,643,1165
This next one’s dedicated to my ex-wife.,139,47,20,206,643,300
"And now, time to knock out a few classics.",143,39,24,206,643,3839
"And next, a piece written by President Trump.",127,30,23,180,643,3781
"This next piece features dense chords, unusual harmonies, and a pounding rhythm.",153,49,23,225,643,3817
"And now, a request from the drunks at table three.",133,48,18,199,643,2326
"And now, Mozart's Requiem for a Heavyweight.",144,45,22,211,643,5524
"Sorry for the gloves, but some of the notes are sharp.",146,49,21,216,643,3131
"And now, here’s one that pretty much anybody can play.",148,45,23,216,643,4545
And now a little piece I wrote watching the news.,144,42,23,209,643,1249
Would the gentleman in the balcony care to repeat that remark?,141,48,20,209,643,2905
I call it Requiem for a Heavyweight,145,59,17,221,643,2846
I coulda been a composer,151,55,20,226,643,1745
You don't understand.  I could've played a cadenza.  I could've been somebody!,143,41,23,207,643,3844
"When we change to C sharp major, the gloves come off.",160,56,22,238,643,4781
I play the anthem the way he runs the country,143,30,27,200,643,203
I find the piece goes quickly if I can hit a bunch of notes at the same time.,126,34,21,181,643,1015
I dedicate this song to my father and mother who had different plans for me.,138,48,19,205,643,1417
I'll be delighted to meet with the critics after the show.,137,58,15,210,643,585
"And now, Liszt's sonata in B minor, B major, A minor, C major... All of the keys, really.",142,48,20,210,643,2452
And now Rhapsody in Black and Blue.,155,60,19,234,643,498
"And now, my latest composition:”Requiem For a Heavyweight.”",161,48,25,234,643,5248
Please turn on your cell phones.,137,47,19,203,643,1126
"The next piece is entitled, ""The Trump White House.""",142,37,24,203,643,3749
"For my next piece, the gloves are coming off.",147,46,22,215,643,5418
I dedicate this piece to the Times critic in the second row.,143,51,19,213,643,3225
Tonight I'll be performing some of my greatest hits.,142,42,22,206,643,1850
This next piece was written as a round...actually ten rounds.,126,33,21,180,643,3847
This one's going out to my ex-wife and her attorney.,150,50,21,221,643,3291
Beethoven’s going down in the 5th,152,43,24,219,643,2218
Anyone can play blindfolded.,137,40,21,198,643,429
"Cough one more time, I dare you.",125,45,16,186,643,4615
Could I have a volunteer from the audience to come scratch my nose?,145,51,19,215,643,167
And this next piece is for my ex-wife.,139,44,20,203,643,4544
"The next selection is my own composition,'Rhapsody in Black and Blue'.",150,49,21,220,643,126
I shall say this only once. Cell phones off!,135,41,20,196,643,256
Let's see how many of youse remember dis one…,154,57,19,230,643,3082
What it lacks in subtlety it gains in punch.,124,52,13,189,643,2079
I was told to expect a tough crowd.,139,57,15,211,643,1953
I'll conclude with Gershwin's Rhapsody in Black and Blue.,144,55,17,216,643,1724
"If you think this looks difficult, wait till you see me play the harp.",155,49,22,226,643,3049
I am very happy to be back here in Madison Square Garden,155,49,22,226,643,5182
"It was at that moment,Ted realized he had put his boxing gloves on instead of his tuxedo pants. Again.",145,42,22,209,643,1869
I'm done tickling them.,142,45,20,207,643,1864
This is going to hurt you more than it hurts me.,151,43,23,217,643,4002
This next piece is a bit heavy-handed.,153,55,19,227,643,5368
"For my encore, Rhapsody in Black and Blue.",148,38,24,210,643,3498
"Tonight I'll be playing Chopin's Nocturne in C#, D, D#, E, and F Minor.",155,32,28,215,643,1180
I started out tickling the ivories ... now I like to beat the crap out of them!,163,51,23,237,643,5580
And now a piece by Sugar Ray Leonard Bernstein.,138,47,18,203,643,1058
"I will now play for you Mozart's little-known ""Requiem for a Heavyweight.""",140,43,20,203,643,2830
"I will now perform ""Dance of the Sugar Ray Plum Fairy"".",147,53,18,218,643,2624
And the hits just keep coming.,144,48,19,211,643,4183
"Before  I begin I want to thank my piano teacher, Mike Tyson.",128,45,16,189,643,1812
I just play the hits.,150,52,19,221,643,2748
The ski boots are making it difficult to work the pedals.,139,39,21,199,643,1750
Could somebody scratch my nose?,142,49,18,209,643,1983
Handel with care,127,44,16,187,643,5175
I'm not so much tickling the ivory as I am pounding them into submission.,155,55,19,229,643,4077
One of my greatest hits...,154,54,19,227,643,1956
Just wait until after intermission; that’s when the gloves come off!,157,56,19,232,643,2360
I was told to be careful - some of the keys are sharp.,134,43,18,195,643,3597
"And now, my rendition of the crap these kids are listening to nowadays.",145,37,23,205,643,381
"This is Mozart's Concerto in G minor, A major, D minor and C#.",159,41,25,225,643,873
For this next fugue I am going to take the gloves off.,146,40,22,208,643,2378
"The next piece is a new work titled ""A day at the White House"".",139,43,19,201,643,3532
"Sir, would you mind not ringing that bell before every movement?",143,51,17,211,643,4906
"Ladies and Gentlemen,.. Rhapsody in Black and Blue.",152,49,20,221,643,2462
Can somebody adjust my tie?,115,40,14,169,643,853
There are no white notes; there are no black notes; there are just... notes.,136,46,17,199,643,3806
"And now, Mozart's ""A Little Fight Music""",148,46,20,214,643,217
Can ANYONE name that tune ?? Anyone ?? Anyone ??,161,36,27,224,643,4839
This is dedicated to the critics who thought my last performance lacked finesse.,156,54,19,229,643,4390
Requiem for a Heavyweight,144,35,23,202,643,3362
"Howard had gravely misunderstood what the club manager meant by ""dueling pianos.""",132,32,21,185,643,1203
I guarantee: Beethoven is going down in the 5th.,133,46,16,195,643,1376
Anyone can play with his bare hands.,135,50,15,200,643,3055
What would you have done if your teacher kept hitting your fingers?,153,43,22,218,643,4662
Who requested a fight song?,130,49,14,193,643,1899
I thought you said FIGHT of the bumblebee.,134,41,18,193,643,4848
And now for a piece my two year old son wrote,152,50,19,221,643,4150
This piece is called 'Flight of the Elephant.',154,38,24,216,643,3771
"This next piece is titled ""Ode To My Parents Who Could Not Agree On After School Activities""",137,48,16,201,643,530
"Sorry sir, but ""My Way"" means my way.",146,51,17,214,643,4038
The inspiration for my next piece comes from being bullied on my way to piano lessons.,139,49,16,204,643,3574
Can I get a page turner in here??,141,45,18,204,643,4283
I’m just gonna knock out a few tunes for you.,138,43,18,199,643,4777
"I coulda been a cadenza.""",128,31,20,179,643,2661
Any other hecklers out there?  I thought not.,153,50,19,222,643,1553
My father wanted me to box and my mother wanted me to play the piano. I call this piece The Regrettable Compromise.,149,50,18,217,643,220
I call this number “Rhapsody in Black and Blue”,135,54,13,202,643,2005
I will only be playing my hits.,157,47,21,225,643,438
Maim that tune.,149,39,22,210,643,3053
I plan to take Beethoven in the Ninth.,146,45,19,210,643,4199
"You mean it isn't ""'Fight'"" of the Bumblebee?""",142,45,18,205,643,4141
I tend to fight Bach.,139,43,18,200,643,2413
And now for a little Rockymaninoff.,147,48,18,213,643,2605
"And now, my new arrangement of 'Hail to the Chief.'",133,28,22,183,643,4121
