caption,unfunny,somewhat_funny,funny,count,contest
"Three yea's, six ney's, and Anderson is still up in the air on this one.",1016.0,1274.0,1014.0,3304.0,569
He's been suspended indefinitely.,870.0,921.0,787.0,2578.0,569
"I think you fail to recognize the gravity of our situation, Atkins.",1043.0,1003.0,743.0,2789.0,569
"Reynolds, this is no time for levity!",941.0,851.0,515.0,2307.0,569
The memo said to 'expect incoming male' but we had assumed it was a typo,1033.0,882.0,560.0,2475.0,569
He doesn't seem to realize the gravity of the situation here.,719.0,692.0,344.0,1755.0,569
This is no time for levity.,1093.0,923.0,544.0,2560.0,569
"Davis, you idiot! It's not that kind of office pool!",965.0,709.0,465.0,2139.0,569
At this time I'd like to turn it over to Mr. Thompson from our satellite office.,1011.0,782.0,465.0,2258.0,569
I asked Ted to drop in on this meeting.,673.0,560.0,277.0,1510.0,569
"Apparently, you don't understand the gravity of the situation.",511.0,369.0,174.0,1054.0,569
You are suspended until further notice,770.0,468.0,281.0,1519.0,569
Not what I had in mind when I said feel free to jump in anytime ..,842.0,629.0,275.0,1746.0,569
"How high, Boss?",838.0,454.0,310.0,1602.0,569
"If he sticks the dismount, I say we have our new chairman!",670.0,404.0,229.0,1303.0,569
You said to jump right in.,536.0,202.0,174.0,912.0,569
"And with this simple technique, we can now re-accommodate our passengers into overhead compartments.",361.0,152.0,110.0,623.0,569
If I could just jump in here for a second....,335.0,216.0,80.0,631.0,569
Who knew you could order an executive from Amazon.,454.0,192.0,134.0,780.0,569
"Jack be nimble, Jack be quick, Jack be an idiot.",462.0,148.0,149.0,759.0,569
"No, no... the speakerphone button is on the left. That's the eject button.",394.0,189.0,106.0,689.0,569
If I may jump in for a second...,363.0,227.0,79.0,669.0,569
"Yes, sir. How high, sir?",164.0,94.0,38.0,296.0,569
The motion to limit Briggs to 3 cappuccinos is seconded.,336.0,184.0,78.0,598.0,569
"Yup, ANOTHER giant leap for man, kinda.",386.0,106.0,121.0,613.0,569
I’m from the oversight committee.,328.0,205.0,68.0,601.0,569
"How high, Boss?",359.0,141.0,99.0,599.0,569
There he goes. Jumping to conclusions again.,333.0,183.0,75.0,591.0,569
"""WOW !!! New bullet-speed escalator !!!",361.0,111.0,107.0,579.0,569
"Some of you may already know Bob, our vertical integration expert.",299.0,144.0,69.0,512.0,569
Everyone should feel free to jump right in if you have anything to add.,279.0,181.0,49.0,509.0,569
I should have told him it's not that kind of office pool.,289.0,154.0,61.0,504.0,569
I don't think any of you understand the gravity of this situation.,283.0,169.0,54.0,506.0,569
"I heard he bombed a presentation this morning, too.",286.0,129.0,66.0,481.0,569
And now we'll hear from one of the higher-ups.,281.0,122.0,66.0,469.0,569
You just don't understand the gravity of this situation!,240.0,151.0,38.0,429.0,569
"Not that far outside the box, Phil.",246.0,117.0,50.0,413.0,569
just jump in at any time is only a figure of speech,185.0,102.0,32.0,319.0,569
If I can jump in for one second.,224.0,120.0,39.0,383.0,569
Let the minutes show that we have two climate deniers and one gravity denier.,230.0,98.0,48.0,376.0,569
Wait until he finds out his chair is missing.,238.0,81.0,56.0,375.0,569
"Did anyone explain ""office pool"" to him?",232.0,93.0,50.0,375.0,569
Betcha he tries lengthwise next.,255.0,40.0,75.0,370.0,569
I thought white men couldn't jump.,230.0,85.0,51.0,366.0,569
His last resignation got 2.9 million views.,216.0,76.0,48.0,340.0,569
That's it....no more black bean burritos in the cafeteria.,212.0,71.0,47.0,330.0,569
"Baxter, apparently you're failing to comprehend the gravity of the situation.",194.0,104.0,30.0,328.0,569
When I said jump in if you have a better idea...,91.0,42.0,16.0,149.0,569
Peterson will now give the report from our satellite office.,201.0,74.0,41.0,316.0,569
One giant leap for a middle manager,192.0,78.0,36.0,306.0,569
"Paul, where do you land on this?",179.0,86.0,29.0,294.0,569
Trump just resigned!,151.0,47.0,33.0,231.0,569
I'd like to float this idea by you,179.0,100.0,24.0,303.0,569
Paul will now demonstrate our new economy class boarding process.,194.0,59.0,42.0,295.0,569
I don't believe you recognize the gravity of our situation,172.0,97.0,22.0,291.0,569
"Let the record show four yeas, five nays, and one cannonball.",183.0,74.0,33.0,290.0,569
Finally got his raise,167.0,67.0,28.0,262.0,569
Guess he didn't get the placebo.,170.0,61.0,31.0,262.0,569
"You said you wanted it in Power Point or Acrobat, right?",159.0,74.0,23.0,256.0,569
"If he sticks the landing, I say we go with Tom's proposal.",167.0,60.0,30.0,257.0,569
If I can just jump in here for a sec--,163.0,68.0,26.0,257.0,569
One giant leap for a hostile takeover.,160.0,68.0,25.0,253.0,569
A woman would have just leaned in.,160.0,64.0,26.0,250.0,569
He just closed the Cirque Du Soleil account,159.0,60.0,27.0,246.0,569
"'Lets dive right in' is just an expression, Bob.",155.0,70.0,22.0,247.0,569
He's our new head of disruptive technology.,158.0,64.0,25.0,247.0,569
I see that Jason got the Ritalin account,163.0,48.0,32.0,243.0,569
At least I'm not naked in this dream.,154.0,66.0,23.0,243.0,569
You must learn how to handle ejection.,148.0,63.0,21.0,232.0,569
I miss the old days when we just showed sales trends with a chart.,151.0,57.0,24.0,232.0,569
My United flight was over booked.,157.0,45.0,30.0,232.0,569
"Use your words, Carlson.",150.0,53.0,25.0,228.0,569
Just jump in when you're ready!,146.0,58.0,22.0,226.0,569
Looks like he didn't get that golden parachute after all.,140.0,56.0,20.0,216.0,569
The CEO's son in law has arrived.....let's start.,144.0,48.0,24.0,216.0,569
"It appears there are no strings attached, but that's all part of the illusion.",137.0,62.0,17.0,216.0,569
"See Miss Jones, no glass ceiling.",135.0,37.0,25.0,197.0,569
I guess he isn't aware of the gravity of the situation.,131.0,67.0,13.0,211.0,569
And now Jim will represent our quarterly profits through performance art.,141.0,47.0,23.0,211.0,569
Fred's jumping to conclusions again.,132.0,62.0,15.0,209.0,569
"Fighter Ejection Seats, Inc., welcomes a new Board member.",134.0,46.0,21.0,201.0,569
Is now a bad time to discuss a golden parachute?,137.0,51.0,20.0,208.0,569
"Actually, Higgins, ""Let's dive into the financials"" was just a figure of speech.",130.0,59.0,15.0,204.0,569
I hate it when you drop in on us like this.,98.0,34.0,15.0,147.0,569
I have an idea to bounce around.,80.0,31.0,11.0,122.0,569
"Yes Dave, we understand the gravity of the situation.",125.0,52.0,15.0,192.0,569
"Then we say, ""Ask your doctor if Levitate is right for you.""",131.0,40.0,21.0,192.0,569
I asked Jones to come in and brief us on our energy drink initiative,126.0,50.0,16.0,192.0,569
We weren't expecting you to just drop in.,121.0,56.0,12.0,189.0,569
