caption,unfunny,somewhat_funny,funny,count,contest
"Hold on, the Senate Committee on Women's Health is getting out.",1448.0,1760.0,2554.0,5762.0,584
"On second thought, bring the name tags.",1115.0,2506.0,2223.0,5844.0,584
"Sir, the President's Council on Women's Health has arrived.",1392.0,1591.0,2324.0,5307.0,584
The sperm bank class action lawsuit clients are here.,1538.0,1936.0,2510.0,5984.0,584
We may have a problem in the copy room.,874.0,1290.0,1257.0,3421.0,584
Remember when you wished we had a hundred just like him?,947.0,1760.0,1404.0,4111.0,584
"It's Mr. Wilson, sir. I think he's gone viral.",1149.0,1613.0,1476.0,4238.0,584
"That's correct, sir. The door to accounting was left open and now they're loose.",1364.0,1773.0,1707.0,4844.0,584
"Okay, describe him again.",1360.0,2044.0,1532.0,4936.0,584
Tell Jim to stop messing with the 3D printer.,1493.0,2097.0,1604.0,5194.0,584
"Sorry, but you never specified the gender of the 72 virgins.",707.0,520.0,734.0,1961.0,584
"Hey Jim, on second thought, we're going to need those name tags.",1167.0,2004.0,1217.0,4388.0,584
The diversity training seminar looks like it's wrapping up.,1469.0,1831.0,1490.0,4790.0,584
That's right. The Diversity Committee meeting is just breaking up.,173.0,177.0,172.0,522.0,584
We might have been too specific in our job description.,892.0,1291.0,859.0,3042.0,584
...and I'll be the one in high heels.,651.0,803.0,569.0,2023.0,584
Describe him.,1512.0,1766.0,1311.0,4589.0,584
"Yes, of course we can spare one.",1248.0,1653.0,1020.0,3921.0,584
Looks like the women's healthcare committee just got out.,204.0,182.0,169.0,555.0,584
The 3-D printer is stuck again.,287.0,325.0,233.0,845.0,584
I'm just not convinced they are as committed to diversity as they say.,1301.0,1743.0,1021.0,4065.0,584
I'm just not sure I'm going to fit in at this company.,1132.0,1528.0,883.0,3543.0,584
"Yes, this is the office of Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, and Haber.",1135.0,1158.0,846.0,3139.0,584
We're starting to see the effects of Trump's immigration restrictions.,1090.0,937.0,817.0,2844.0,584
"Clowns?? I thought you said ""send in the clones.""",351.0,400.0,253.0,1004.0,584
"There was a typo on his resume. Apparently he's ""one AND a million"".",1054.0,1150.0,762.0,2966.0,584
The President's council on diversity just arrived!,406.0,368.0,290.0,1064.0,584
I definitely stand out from the other applicants so I think I have a shot.,1207.0,1525.0,798.0,3530.0,584
I'm not sure... middle-aged white men all look the same to me.,519.0,557.0,341.0,1417.0,584
Scones! I clearly said two dozen scones!,597.0,562.0,391.0,1550.0,584
we've just figured out how he managed not to miss a day of work!,472.0,473.0,287.0,1232.0,584
"You were right. You've seen one accountant, you've seen em all.",945.0,975.0,562.0,2482.0,584
"No! I asked for copies of THE bill, not Bill.",1190.0,1144.0,710.0,3044.0,584
"We'll need 129 turkey-on-white, mayo only, and one Caesar salad, extra garlic.",1040.0,980.0,600.0,2620.0,584
This is Acme Cloning. Your Fred's are done.,297.0,229.0,177.0,703.0,584
I'm not sure we're hitting our diversity goals.,1120.0,1233.0,546.0,2899.0,584
Remember how I told Leonard I'd like to see more of him?,1054.0,1028.0,512.0,2594.0,584
"Yes, he blends right in.",971.0,1088.0,437.0,2496.0,584
"Frankly Mr. Prescott, all the job applicants look pretty much the same.",585.0,608.0,257.0,1450.0,584
"Trust me Sally, meeting somebody at work is not an option.",846.0,660.0,392.0,1898.0,584
There may be a problem with our random sample.,970.0,853.0,427.0,2250.0,584
