,target_id,mean,precision,count,score,caption,contest
0,5571,1.869047619047619,0.09086150100623851,84,1.869047619047619,"As senior squeegee-man during flight simulations, moving up didn’t pan out.",606
1,4160,1.8651685393258426,0.08780464438790574,89,1.8651685393258426,"Yep, we're lost. We passed this guy an hour ago.",606
2,5963,1.8620689655172413,0.08522563695015013,87,1.8620689655172413,"He's always had his head in the clouds, but THIS ???",606
3,4565,1.8059701492537314,0.0980100650415911,67,1.8059701492537314,"OK, but he is going to have to check that bag.",606
4,379,1.7936507936507937,0.10408632578257142,63,1.7936507936507937,It's the only way Delta lets you redeem their vouchers,606
5,6298,1.7936507936507937,0.10159690174812569,63,1.7936507936507937,"While stoned, he mistook a weather balloon for exhaust from a semi.",606
6,5650,1.7758620689655173,0.09851622573043134,58,1.7758620689655173,Jack had it all till the beanstalk died.,606
7,2725,1.7291666666666667,0.11431100778657333,48,1.7291666666666667,"Well, let me at least wipe your windshield.",606
8,2720,1.7234042553191489,0.12796755941380636,47,1.7234042553191489,"Same guy, same cloud. I think we're going in circles.",606
9,4155,1.7234042553191489,0.1243005506106974,47,1.7234042553191489,"For those seated on the right side of the plane, the Grand Canyon should be visible in a moment. And for those seated on the left, an excellent view of Bob.",606
10,155,1.711111111111111,0.13341748186385147,45,1.711111111111111,Don't make eye contact.,606
11,1005,1.711111111111111,0.10834951964030606,45,1.711111111111111,Keep going. He just wants to clean our windshield then charge us a fiver.,606
12,182,1.697674418604651,0.11781925700442378,43,1.697674418604651,Why do they always pick a spot where it's impossible to pull over...,606
13,5258,1.675,0.13581425853169032,40,1.675,I really don't understand cloud commuting.,606
14,252,1.6666666666666667,0.1290123038276248,39,1.6666666666666667,Either he is high or I am.,606
15,434,1.6666666666666667,0.12367152814449345,39,1.6666666666666667,"Damn, Sully, it’s always an adventure with you.",606
16,1411,1.6666666666666667,0.13801311186847084,36,1.6666666666666667,Remember when basic economy level still got you a seat on the plane?,606
17,4870,1.6666666666666667,0.14907119849998599,36,1.6666666666666667,Act like theres no room.,606
