caption,funny,somewhat_funny,unfunny,count,score,precision,rank
They only allow one carry-on.,3.0,1.0,0.0,4.0,2.75,0.2886751345948129,1
I'm a little worried about the revolving door in the lobby.,2.0,1.0,0.0,3.0,2.6666666666666665,0.40824829046386296,2
I want you off the case.,3.0,2.0,0.0,5.0,2.6,0.2449489742783181,3
I started off where you are. And look at me now!,3.0,0.0,1.0,4.0,2.5,0.5,4
I'm not sure it's worth it just to be able to ride the express elevator.,2.0,2.0,0.0,4.0,2.5,0.2886751345948129,4
This looks like it's going to be a long drawn-out case.,3.0,0.0,1.0,4.0,2.5,0.5,4
Big case today.,3.0,0.0,1.0,4.0,2.5,0.5,4
Looks like we're all working on the same case.,3.0,0.0,1.0,4.0,2.5,0.5,4
"Corporations are people too, but their coffins are more compact.",2.0,0.0,1.0,3.0,2.333333333333333,0.6666666666666669,9
I hope they don't cut out the middle man.,1.0,2.0,0.0,3.0,2.333333333333333,0.40824829046386296,9
Don't blame me for deal falling through... I'm just the middleman.,2.0,0.0,1.0,3.0,2.333333333333333,0.6666666666666669,9
The partners didn't think I could handle this case by myself,2.0,1.0,1.0,4.0,2.25,0.478713553878169,12
Wait. If you're here... who's in the briefcase?,1.0,3.0,0.0,4.0,2.25,0.2886751345948129,12
"It took only one lawyer and was called a ""briefcase""",2.0,1.0,1.0,4.0,2.25,0.478713553878169,12
Just think of yourself as the rudder.,1.0,3.0,0.0,4.0,2.25,0.2886751345948129,12
Is this your first big case?,1.0,3.0,0.0,4.0,2.25,0.2886751345948129,12
Bet it was hard for her not to ask us what this is.,2.0,1.0,1.0,4.0,2.25,0.478713553878169,12
You know the judge is going to throw this case out.,2.0,1.0,1.0,4.0,2.25,0.478713553878169,12
I knew the judge would think our brief was too long.,2.0,1.0,1.0,4.0,2.25,0.478713553878169,12
Are you sure they won't miss him at our next meeting?,2.0,1.0,1.0,4.0,2.25,0.478713553878169,12
First it was three to a cubicle,2.0,1.0,1.0,4.0,2.25,0.478713553878169,12
We forgot the myrrh.,2.0,1.0,1.0,4.0,2.25,0.478713553878169,12
Time to admit this is the worst case scenario.,2.0,2.0,1.0,5.0,2.2,0.37416573867739417,23
His last wishes were to be buried in paperwork.,1.0,4.0,0.0,5.0,2.2,0.22360679774997896,23
"After you've been with the firm about 5 years, you'll start seeing yourself on second handle too.",1.0,4.0,0.0,5.0,2.2,0.22360679774997896,23
This is so awesome. No one has any clue we're going golfing.,1.0,4.0,0.0,5.0,2.2,0.22360679774997896,23
It took me years to move up to middle management.,0.0,2.0,0.0,2.0,2.0,0.7071067811865476,27
You don't seem to be on our side.,0.0,4.0,0.0,4.0,2.0,0.2886751345948129,27
I don't know. I'm just the middle man.,1.0,2.0,1.0,4.0,2.0,0.40824829046386296,27
I use to lose my briefcase all the time until I hired you guys.,2.0,0.0,2.0,4.0,2.0,0.5773502691896257,27
The long form takes seven handlers.,1.0,1.0,1.0,3.0,2.0,0.5773502691896257,27
Act normal.,2.0,1.0,2.0,5.0,2.0,0.4472135954999579,27
Did you see that look on her face after I told her we work for ACME sex toys?,1.0,2.0,1.0,4.0,2.0,0.40824829046386296,27
I honestly thought that 'consolidating our workforce' meant getting laid off.,1.0,2.0,1.0,4.0,2.0,0.40824829046386296,27
"Don't worry, our presentation is too big to fail.",1.0,2.0,1.0,4.0,2.0,0.40824829046386296,27
"Because CPA's don't have roadies, thats why",1.0,2.0,1.0,4.0,2.0,0.40824829046386296,27
I told you we can handle this case.,1.0,1.0,1.0,3.0,2.0,0.5773502691896257,27
This is the worst case scenario.,0.0,3.0,0.0,3.0,2.0,0.40824829046386296,27
This is a big case; don't be on the wrong side,1.0,1.0,1.0,3.0,2.0,0.5773502691896257,27
Ever thought of getting your own briefcase?.,1.0,2.0,1.0,4.0,2.0,0.40824829046386296,27
Judge wants to move this case along.,2.0,0.0,2.0,4.0,2.0,0.5773502691896257,27
