rank,caption,score,precision,count,unfunny,somewhat_funny,funny,contest
1,"I went ahead and fixed the bagel setting, too. So with parts and labor, that actually comes out to two wishes.",1.9718353450943984,0.013134671832398104,3231.0,947.0,1428.0,856.0,585
2,"OK, your crumb tray is cleaned and the coffee is brewing. You have one left.",1.9493807215939687,0.012371078538173713,3714.0,1154.0,1594.0,966.0,585
3,It was the only way I could get into the country.,1.9180006533812481,0.014599345223475746,3061.0,1134.0,1044.0,883.0,585
4,"you have three wishes, as long as they're light, medium and dark..",1.909873417721519,0.01210564455470152,3950.0,1337.0,1632.0,981.0,585
5,Toasted sesame is way different than open sesame and you know it.,1.865709156193896,0.015056861452474419,2785.0,1091.0,977.0,717.0,585
6,"Thanks, kid, I've been in there since your parents' wedding.",1.8480565371024733,0.015541024450919328,2547.0,1006.0,922.0,619.0,585
7,"Listen, if you want to talk to my supervisor, rub the coffee maker.",1.8193430656934304,0.014443272860871537,2740.0,1075.0,1085.0,580.0,585
8,"Toast, Master?",1.8117897727272727,0.020800488053866004,1408.0,586.0,501.0,321.0,585
9,"Thanks, Master! For awhile there, I thought I was toast!",1.8074866310160431,0.01707998441752641,2057.0,853.0,747.0,457.0,585
10,"Rub all you like, kid. All you're gonna get is toast.",1.8042117245304496,0.012719834006731054,3514.0,1410.0,1382.0,722.0,585
11,World peace? When you so obviously need a blender?,1.7982944011865036,0.01478888085424879,2697.0,1122.0,997.0,578.0,585
12,"Hi, I'm the genie with the light brown hair. You may adjust the setting if you want it darker.",1.7787481804949057,0.029651972001035632,687.0,300.0,239.0,148.0,585
13,Could you please rub the coffee pot? I need to talk to my wife.,1.778014486578611,0.016100672403993096,2347.0,1032.0,804.0,511.0,585
14,"Oh, a Hamilton seat!! I thought you said a Hamilton-Beach.",1.7721984078383344,0.019652097742496568,1633.0,743.0,519.0,371.0,585
15,"Sorry, kid, if I could make America great, I wouldn't be living in a toaster.",1.7541218637992833,0.021037700956452483,1395.0,644.0,450.0,301.0,585
16,"The lamp was great, but the toaster has internet.",1.7532573289902282,0.015218662592544513,2456.0,1076.0,910.0,470.0,585
17,"Make a different wish, your bagel is really stuck.",1.75,0.014738844712115215,2652.0,1178.0,959.0,515.0,585
