rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1,447,471,492,1410,1.9680851063829787,0.02172377866595199,552,Long time no sea.
2,280,273,360,913,1.9123767798466593,0.027571834657055618,552,Long time no sea.
3,70,69,166,305,1.6852459016393442,0.04711060436860434,552,"Noah, trust me. Its over."
4,63,80,170,313,1.65814696485623,0.0448482286778924,552,Do I LOOK like I have any Grey Poupon?
5,51,99,158,308,1.6525974025974026,0.04262872301275552,552,I'm losing confidence in Google Maps too.
6,56,82,163,301,1.6445182724252492,0.04476633750900467,552,No thanks; I get seasick.
7,45,87,151,283,1.6254416961130742,0.04425448578015129,552,"Thanks, but I get sea sick."
8,59,55,164,278,1.6223021582733812,0.048794219553796286,552,Have you seen two guys and a drum majorette?
9,41,86,146,273,1.6153846153846154,0.04443487844500335,552,"You may not think so, but we're in the same boat."
10,37,92,141,270,1.614814814814815,0.043580103248576134,552,"Thanks, but I'd just slow you down."
11,36,91,140,267,1.6104868913857677,0.0436775422834854,552,"Well, you do have to admit he was one heck of a salesman."
12,47,64,150,261,1.6053639846743295,0.04800046824445204,552,Are you nuts? I'm not getting in that thing without a life vest!
12,50,58,153,261,1.6053639846743295,0.04891280283814544,552,I see you're still denying climate change.
14,40,50,127,217,1.599078341013825,0.05309177400240264,552,"Michael, you have completely misinterpreted the lyrics."
15,37,75,139,251,1.593625498007968,0.046305722465122344,552,"Actually, we're in the same boat."
16,42,67,146,255,1.592156862745098,0.047410042349383424,552,"The next time a genie offers us a wish, let me do the talking, O.K.?"
17,40,67,142,249,1.5903614457831325,0.047651284960428544,552,Working on your heat stroke?
18,40,65,142,247,1.5870445344129556,0.047979919949003504,552,"Actually, I do think you're in the same boat that I'm in."
18,39,67,141,247,1.5870445344129556,0.04763567370577024,552,"Thanks, but we're already in the same boat."
20,41,61,143,245,1.583673469387755,0.04865791547115959,552,"On your mark, get set..."
21,36,69,137,242,1.5826446280991735,0.04736590710659512,552,Do you believe in climate change NOW?!
21,35,71,136,242,1.5826446280991735,0.04700251886043941,552,I don't think a dry run was a good idea.
23,31,76,132,239,1.5774058577405858,0.045991530053651294,552,"You're not from around here, are you?"
24,41,54,142,237,1.5738396624472575,0.05002284501118641,552,"You're ashore, already Michael, you're ashore."
24,46,44,147,237,1.5738396624472575,0.051779084116476616,552,"Yeah, so water gets drawn out in a tsunami. So what?"
26,32,71,134,237,1.5696202531645569,0.04672291268392889,552,I've had enough of your dry humor.
27,28,79,131,238,1.5672268907563025,0.0450398165530463,552,Let's consider this a dry run
28,40,51,140,231,1.567099567099567,0.05072594715576588,552,This is what happens when you drain the swamp.
28,38,55,138,231,1.567099567099567,0.04997834213977872,552,"I thought it was just going to be a problem for like, polar bears."
30,30,66,129,225,1.56,0.047858919654294244,552,"No, I didn't call for an Uber."
30,34,58,133,225,1.56,0.049489456950004514,552,Now hallucinate some water.
32,35,53,134,222,1.554054054054054,0.05044568220564498,552,You do realize that throwing me overboard does not change our situation?
33,29,64,128,221,1.5520361990950227,0.04813502187964084,552,'We should go off season' you said. 'It's half the price and there's no crowds.'
34,25,68,123,216,1.5462962962962963,0.047217366455856453,552,"After my dune buggy flipped, I never thought I'd be rescued."
35,28,60,126,214,1.5420560747663552,0.048928112907650145,552,I hope you realize you're completely neglecting your lower body.
36,27,60,125,212,1.5377358490566038,0.048839275374336764,552,It's not as deep as I thought
37,31,50,128,209,1.5358851674641147,0.051204856875040415,552,"Michael, you've already rowed the boat ashore."
37,23,66,120,209,1.5358851674641147,0.04747509207954658,552,It's not as deep as it looks.
39,30,50,127,207,1.5314009661835748,0.05114556856101652,552,"I said to get us an off road vehicle, not an oft rowed one!"
40,26,57,123,206,1.529126213592233,0.049464392127325785,552,"Stop saying ""on your left."""
40,29,51,126,206,1.529126213592233,0.05088030246784769,552,"For God's sake, please stop yelling 'man overboard!'."
42,32,42,128,202,1.5247524752475248,0.05307551168836978,552,It's a lot warmer once you get in.
43,24,60,122,206,1.5242718446601942,0.048510526204699686,552,If you let me in the boat we can use the HOV lane.
44,26,40,110,176,1.5227272727272727,0.05580261215232162,552,"No, YOU'RE a mirage"
45,30,48,129,207,1.5217391304347827,0.05116992834045708,552,One of us is in the wrong cartoon.
46,24,51,117,192,1.515625,0.05115195816342596,552,You have the whole desert...did you have to row right where I'm swimming?
47,30,43,127,200,1.515,0.0525612827298864,552,"You say ""But it's a dry heat"" one more time..."
48,22,56,117,195,1.5128205128205128,0.049506672469790965,552,I don't tell you how to row so stop telling me how to swim.
48,23,54,118,195,1.5128205128205128,0.05003777286347152,552,"You know we're in the same boat, figuratively speaking."
50,21,59,117,197,1.5126903553299493,0.048604868972988303,552,I am pretty sure the shark problem is behind us.
51,31,40,128,199,1.5125628140703518,0.05324803617791773,552,You don't throw your navigator out for one little mistake!
52,23,43,108,174,1.5114942528735633,0.054520277727507775,552,I find your optimism disturbing.
53,26,47,121,194,1.5103092783505154,0.05180348258309737,552,I think this is a case of either oar
53,28,43,123,194,1.5103092783505154,0.052824546450893586,552,One of us is in the wrong cartoon.
53,25,49,120,194,1.5103092783505154,0.05128532789925986,552,Maybe we shouldn't have drained the swamp.
56,29,41,125,195,1.5076923076923077,0.053118071450592295,552,On your left!
57,23,48,115,186,1.5053763440860215,0.05184607795540711,552,I'm here to tell you an inconvenient truth.
