caption,funny,somewhat_funny,unfunny,count,score,precision,rank,contest
Tell me about your childhood very quickly.,7.0,13.0,7.0,27.0,2.0,0.14121975762272054,1,515
I think that’s all the time we have for today.,7.0,5.0,9.0,21.0,1.9047619047619049,0.19401475035679394,2,515
Looks like our time is up for today.,4.0,8.0,6.0,18.0,1.8888888888888888,0.17875548145329853,3,515
I'm afraid I'm still going to have to bill you for the full hour.,3.0,10.0,5.0,18.0,1.8888888888888888,0.15942890088431974,3,515
Let's not forget what happened the last time our session ran late.,5.0,6.0,7.0,18.0,1.8888888888888888,0.1961873335922044,3,515
I see that our time is about up,4.0,7.0,6.0,17.0,1.8823529411764703,0.1894720400988989,6,515
I see our time is almost up.,4.0,7.0,7.0,18.0,1.8333333333333333,0.1852396434087371,7,515
Now I want you to pay attention to how this makes you feel.,4.0,7.0,7.0,18.0,1.8333333333333333,0.1852396434087371,7,515
I believe our time is up.,4.0,6.0,7.0,17.0,1.8235294117647056,0.1962009421195049,9,515
So this is the part of the dream where you wake up?,5.0,3.0,8.0,16.0,1.8125,0.2276464729941289,10,515
I feel another breakthrough coming.,3.0,7.0,6.0,16.0,1.8125,0.1875,10,515
"Well, I see we're about out of time.",4.0,4.0,7.0,15.0,1.8,0.22253945610567472,12,515
This reminds me of getting your hopes up in the caption contest.,5.0,2.0,8.0,15.0,1.8,0.2429971585175824,12,515
"On the sunny side, we won't have to put up with the itching.",4.0,4.0,7.0,15.0,1.8,0.22253945610567472,12,515
Wait for it. Wait for it...,3.0,6.0,6.0,15.0,1.8,0.2,12,515
"Well, looks like we're all out of time for today.",2.0,8.0,5.0,15.0,1.8,0.17457431218879388,12,515
This will be our last session,3.0,6.0,6.0,15.0,1.8,0.2,12,515
Looks like our time is up.,3.0,5.0,6.0,14.0,1.7857142857142858,0.21428571428571425,18,515
This is the worst man cave ever.,4.0,3.0,8.0,15.0,1.7333333333333334,0.2281742581087797,19,515
"Well, it looks like our time is about up.",4.0,3.0,8.0,15.0,1.7333333333333334,0.2281742581087797,19,515
I think we're BOTH getting tired of you re-living this nightmare.,2.0,7.0,6.0,15.0,1.7333333333333334,0.1817027050317991,19,515
"Well, it appears our time is up.",3.0,5.0,7.0,15.0,1.7333333333333334,0.20625150312102586,19,515
"That last session was painful, but try to focus on the light at the end of the tunnel.",2.0,7.0,6.0,15.0,1.7333333333333334,0.1817027050317991,19,515
Just how much stronger do you think it'll make us this time?,3.0,5.0,7.0,15.0,1.7333333333333334,0.20625150312102586,19,515
That's all the time we have.,3.0,5.0,7.0,15.0,1.7333333333333334,0.20625150312102586,19,515
I'm having second thoughts about this train phobia therapy.,3.0,4.0,7.0,14.0,1.7142857142857142,0.2206028560426893,26,515
Sign my cast for good luck.,2.0,6.0,6.0,14.0,1.7142857142857142,0.1941046344247878,26,515
"Well, it looks as though our hour is just about up.",2.0,6.0,6.0,14.0,1.7142857142857142,0.1941046344247878,26,515
I see that our time is up.,3.0,4.0,7.0,14.0,1.7142857142857142,0.2206028560426893,26,515
Curing your fear of women was much less painful.,2.0,3.0,5.0,10.0,1.7,0.2603416558635552,30,515
Don't worry.. Insurance will pay for everything except the chairs,1.0,5.0,4.0,10.0,1.7,0.21343747458109505,30,515
"The good news is, you're about to meet your deductible.",1.0,5.0,4.0,10.0,1.7,0.21343747458109505,30,515
I think we're on the verge of a breakthrough.,2.0,3.0,5.0,10.0,1.7,0.2603416558635552,30,515
Do you ever get the feeling your life is just one giant metaphor?,3.0,1.0,6.0,10.0,1.7,0.30000000000000004,30,515
"After this, we transfer to the B at West 4th.",2.0,3.0,5.0,10.0,1.7,0.2603416558635552,30,515
I see our time is up.,4.0,1.0,8.0,13.0,1.6923076923076923,0.2627423273322973,36,515
"For the last time, sometimes a train really is just a train.",2.0,5.0,6.0,13.0,1.6923076923076923,0.20830867704194767,36,515
I don't like the new waiting room here at the VA.,3.0,3.0,7.0,13.0,1.6923076923076923,0.2370928462680375,36,515
How many 'likes' do you think will get on our Facebook page?,3.0,3.0,7.0,13.0,1.6923076923076923,0.2370928462680375,36,515
"Uh oh, looks like we're running over again.",2.0,5.0,6.0,13.0,1.6923076923076923,0.20830867704194767,36,515
Exposure therapy can be hit-or-miss.,3.0,3.0,7.0,13.0,1.6923076923076923,0.2370928462680375,36,515
I make terrible decisions when I'm plastered.,3.0,3.0,7.0,13.0,1.6923076923076923,0.2370928462680375,36,515
"Well, I see that our time has run out.",3.0,4.0,8.0,15.0,1.6666666666666667,0.210818510677892,43,515
And how did that impact you?,1.0,6.0,5.0,12.0,1.6666666666666667,0.1880253582725887,43,515
"Same time next week, but maybe a different location?",3.0,2.0,7.0,12.0,1.6666666666666667,0.2562353715952691,43,515
"Lets explore your ""impending sense of doom""... again.",3.0,2.0,7.0,12.0,1.6666666666666667,0.2562353715952691,43,515
I don't like these seats,3.0,2.0,7.0,12.0,1.6666666666666667,0.2562353715952691,43,515
I'm afraid that's all the time we have today.,2.0,4.0,6.0,12.0,1.6666666666666667,0.22473328748774726,43,515
Occupy Metro started off pretty strong.,2.0,4.0,6.0,12.0,1.6666666666666667,0.22473328748774726,43,515
I think this should be our last session.,2.0,4.0,6.0,12.0,1.6666666666666667,0.22473328748774726,43,515
Time's almost up.,3.0,2.0,7.0,12.0,1.6666666666666667,0.2562353715952691,43,515
This isn't what I meant by back on track,2.0,4.0,6.0,12.0,1.6666666666666667,0.22473328748774726,43,515
You're not insane if you're not expecting a different result.,2.0,4.0,6.0,12.0,1.6666666666666667,0.22473328748774726,43,515
Looks like we're out of time.,2.0,4.0,6.0,12.0,1.6666666666666667,0.22473328748774726,43,515
"Well, it looks like our time is up.",2.0,4.0,6.0,12.0,1.6666666666666667,0.22473328748774726,43,515
This isn't what I meant when I said we need to get our lives back on track.,2.0,4.0,6.0,12.0,1.6666666666666667,0.22473328748774726,43,515
You don't hear that?,2.0,4.0,6.0,12.0,1.6666666666666667,0.22473328748774726,43,515
"Not to brag, but I was a runner up for a Darwin Award last year.",1.0,4.0,4.0,9.0,1.6666666666666667,0.23570226039551584,43,515
There were more people at our last meeting.,3.0,2.0,7.0,12.0,1.6666666666666667,0.2562353715952691,43,515
I hope this is the end of the line.,2.0,5.0,7.0,14.0,1.6428571428571428,0.19909528496696088,60,515
I think reliving your trauma isn't doing either of us any good.,2.0,5.0,7.0,14.0,1.6428571428571428,0.19909528496696088,60,515
One more after this and we'll be able to meet our deductible.,3.0,1.0,7.0,11.0,1.6363636363636365,0.2787219948501071,62,515
Ah! the 3:42! This will be our last session!.,3.0,1.0,7.0,11.0,1.6363636363636365,0.2787219948501071,62,515
"Okay, train, best of three.",1.0,5.0,5.0,11.0,1.6363636363636365,0.20327890704543547,62,515
Wait. Maybe it's lightning that doesn't strike twice.,2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
Perhaps exposure therapy wasn't the best way to go in your case...,2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
"Nuts, the 6:10 is early again.",1.0,5.0,5.0,11.0,1.6363636363636365,0.20327890704543547,62,515
My anxiety seems to be getting worse.,2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
I hope this is just another one of your dreams.,2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
It's hit and miss.,2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
"Other than some minor loss of peripheral vision, my doctor says I'll make a complete recovery.",2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
Have you seen the remote?,3.0,1.0,7.0,11.0,1.6363636363636365,0.2787219948501071,62,515
Do you get the feeling we've reached the end of the line?,2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
And that's a wrap,2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
But the most hurtful part was being accused of lacking judgment.,1.0,5.0,5.0,11.0,1.6363636363636365,0.20327890704543547,62,515
Let's hold that thought for next week.,1.0,5.0,5.0,11.0,1.6363636363636365,0.20327890704543547,62,515
"Sure, the pay's ok, but the product testing is brutal.",2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
The menu on this train is offers duck or squash. Your choice.,3.0,1.0,7.0,11.0,1.6363636363636365,0.2787219948501071,62,515
"So, you're saying the key to accelerated rehabilitation is motivation?",2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
Maybe we'll reach our deductible now,2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
"OK, maybe they'll get it right this time.",1.0,5.0,5.0,11.0,1.6363636363636365,0.20327890704543547,62,515
"Frank, I'm starting to doubt that homeopathy is supposed to work this way.",2.0,3.0,6.0,11.0,1.6363636363636365,0.2439346884545225,62,515
You were right. The chaise was better over there.,1.0,3.0,4.0,8.0,1.625,0.26305214040457564,83,515
Waiting for Godot takes on new meaning on New York's subway tracks.,1.0,3.0,4.0,8.0,1.625,0.26305214040457564,83,515
"Relax, we've met the deductible.",2.0,1.0,5.0,8.0,1.625,0.3238992347717331,83,515
Looks like we’re out of time today ....,0.0,5.0,3.0,8.0,1.625,0.18298126367785,83,515
"Well, it looks like our time is about up again.",1.0,3.0,4.0,8.0,1.625,0.26305214040457564,83,515
"Sure, living here has its drawbacks, but you've got to love the raised ceilings.",2.0,2.0,6.0,10.0,1.6,0.26666666666666666,88,515
"Alright, last one, you have one second to live, what do you do?",1.0,4.0,5.0,10.0,1.6,0.22110831935702666,88,515
...and THAT'S when it hit me,1.0,4.0,5.0,10.0,1.6,0.22110831935702666,88,515
"But, you know how it ends.",2.0,2.0,6.0,10.0,1.6,0.26666666666666666,88,515
"I've tested a lot of products for a lot of purposes, but who's going to buy train proof outdoor furniture?",2.0,2.0,6.0,10.0,1.6,0.26666666666666666,88,515
Virtual reality - is that what the kids are calling it these days?,3.0,0.0,7.0,10.0,1.6,0.3055050463303893,88,515
I think we need to address your death wish first and maybe work on the train fetish later.,2.0,2.0,6.0,10.0,1.6,0.26666666666666666,88,515
"Since our last session, would you say your fear of trains has increased or decreased?",2.0,2.0,6.0,10.0,1.6,0.26666666666666666,88,515
I never said your fear of trains was irrational.,1.0,4.0,5.0,10.0,1.6,0.22110831935702666,88,515
