rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1,137,65,201,403,1.8411910669975187,0.04498450258899197,565,"Wow, you are literally a hot mess."
2,186,133,285,604,1.836092715231788,0.03533623677414701,565,"No, I recommended exorcism, not exercise."
3,186,169,293,648,1.8348765432098766,0.03317164798606023,565,""" I can only make out : ' ... is required IMMEDIATELY ' ."
4,149,85,226,460,1.8326086956521739,0.04141288840180232,565,"From the ashes, your bill will magically appear."
5,60,84,158,302,1.6754966887417218,0.0452586478077868,565,The good news is this disease will be named after you.
6,51,86,142,279,1.6738351254480286,0.04588744232734129,565,"As you can see, we take patient confidentiality very seriously."
7,54,89,150,293,1.6723549488054608,0.04490837148580733,565,Let's handle the burning questions first.
8,53,71,145,269,1.657992565055762,0.04806286283160859,565,I'm going to refer you an exorcist in your network.
9,57,52,144,253,1.6561264822134387,0.05180156762532456,565,Your wife said it's best if you don't know who the father is.
10,37,51,103,191,1.6544502617801047,0.0568275170378187,565,"Actually, this time, it is as bad as it looks."
11,50,52,133,235,1.646808510638298,0.05286570536592389,565,The tests do confirm you are a flaming asshole.
12,50,54,135,239,1.6443514644351465,0.052162186332727865,565,"So the labs all come back normal, but I’d still like to get you to an exorcist."
13,46,60,131,237,1.641350210970464,0.05118120731760316,565,We finally got a reply from your insurance.
13,46,60,131,237,1.641350210970464,0.05118120731760316,565,Any family history of spontaneous combustion?
15,23,76,99,198,1.6161616161616161,0.04878366786148894,565,"Damn it Jim, I’m a doctor, not an exorcist!"
15,41,40,117,198,1.6161616161616161,0.05746982845900348,565,I think there's a good chance this'll be named for you.
17,36,53,114,203,1.6157635467980296,0.05410288165073,565,I recommend plenty of liquids.
18,33,57,110,200,1.615,0.053367739111652907,565,"We still don't know what you have, but we're pretty sure it's biblical."
19,32,42,103,177,1.5988700564971752,0.05847525860023856,565,"Honestly, I wouldn't even bother putting your pants back on."
20,33,39,105,177,1.5932203389830508,0.059073881146451256,565,We found a match
21,21,61,92,174,1.5919540229885059,0.05283433416877828,565,"In this case, the best treatment is diet and exorcism."
21,23,57,94,174,1.5919540229885059,0.05407724478159635,565,Nothing that bed rest and an exorcism won't fix.
23,23,54,93,170,1.588235294117647,0.05508480649242788,565,"Well, it's definitely not a cold."
