rank,caption,score,precision,count,unfunny,somewhat_funny,funny,contest
1,It could work. We both like worms.,1.81404958677686,0.048401673333662285,242.0,95.0,97.0,50.0,562
2,One of us should look more concerned.,1.7275862068965515,0.0454962836776701,290.0,137.0,95.0,58.0,562
3,Where are the statues? I can't hold it in anymore.,1.7031914893617022,0.025147479831678185,940.0,460.0,299.0,181.0,562
4,I identify as fish,1.6976744186046508,0.06658605636670341,129.0,62.0,44.0,23.0,562
5,Will we raise the kids as birds or fish?,1.6969696969696968,0.029489069969656,759.0,400.0,189.0,170.0,562
6,Let's walk into a bar.,1.6903409090909092,0.04075807717634506,352.0,174.0,113.0,65.0,562
7,What am I doing here? I missed my flight.,1.6826424870466319,0.031623717211555755,772.0,459.0,99.0,214.0,562
8,What do you mean I'm adopted?,1.6822660098522169,0.03868012738973578,406.0,208.0,119.0,79.0,562
9,"No, you don't look like your profile photo.",1.6821705426356592,0.045940042499360616,258.0,124.0,92.0,42.0,562
10,It's not you. I've just...evolved.,1.6576576576576576,0.043058325999373766,333.0,179.0,89.0,65.0,562
11,I had a little work done.,1.651006711409396,0.03437374569950618,447.0,223.0,157.0,67.0,562
12,Disingenuous? ME ??? YOU described yourself as 'wingy ' !!!,1.6497277676951,0.03346548698617366,551.0,300.0,144.0,107.0,562
13,Be VERY afraid – we have bigger fish to fly.,1.6459510357815443,0.0340055235833646,531.0,290.0,139.0,102.0,562
14,You and me birdbrain.,1.6392785571142283,0.0379063373125085,499.0,301.0,77.0,121.0,562
15,"""I've had it with your Phishing scams""! ""Well, I've had it with your Tweets""!",1.637931034482759,0.07181158894264529,116.0,63.0,32.0,21.0,562
16,"Fish gotta swim, birds gotta swim.",1.6324786324786325,0.03758786535039748,468.0,272.0,96.0,100.0,562
17,"Well, one of us is right.",1.6311475409836065,0.06807076865340854,122.0,65.0,37.0,20.0,562
18,Let me guess...Pisces.,1.6229508196721312,0.04226637868662287,305.0,162.0,96.0,47.0,562
19,The inevitable face-off of Roe vs. Egg.,1.6185567010309283,0.04391245657389788,388.0,247.0,42.0,99.0,562
20,One bad tweet and they put you on the no-fly list.,1.6166666666666667,0.07019713471186248,120.0,67.0,32.0,21.0,562
21,Vito warned me if I sing like a bird I'm gonna swim with da fishes.,1.6072423398328692,0.04152569252859506,359.0,209.0,82.0,68.0,562
22,Either you're a flying fish or I'm a dead duck.,1.6026058631921825,0.04443887201053864,307.0,178.0,73.0,56.0,562
23,"Believe me, worms don't come with hooks.",1.6,0.06736330697086075,120.0,66.0,36.0,18.0,562
24,"Your brother is alive, in an aquarium in Queens.",1.598360655737705,0.06445065146399019,122.0,65.0,41.0,16.0,562
25,Sometimes it would be nice if we could stay at my place instead.,1.596875,0.04234006359822298,320.0,182.0,85.0,53.0,562
26,One of these things is not like the other...,1.5953079178885632,0.04237153133689589,341.0,201.0,77.0,63.0,562
27,"Without climate change, we never would have become friends",1.5905511811023625,0.06456601460755024,127.0,70.0,39.0,18.0,562
28,I told the genie that my first wish was for a perfect perch . . .,1.5853658536585369,0.05796078216148209,164.0,93.0,46.0,25.0,562
29,"Actually, I think it's, ""Fish gotta swim, Birds gotta fly.""",1.5833333333333333,0.0632713835304414,120.0,64.0,42.0,14.0,562
30,I don't see species.,1.5698924731182795,0.051592314017894964,186.0,103.0,60.0,23.0,562
31,Ten thousand eggs at once! Wow!,1.5583756345177664,0.0515427284812672,197.0,114.0,56.0,27.0,562
32,Let's call Escher - he'll know how to fix this.,1.5515463917525774,0.0546889402916793,194.0,119.0,43.0,32.0,562
33,The pig's right behind me.,1.55,0.08324890237616013,80.0,48.0,20.0,12.0,562
34,I was a stool pigeon and now I sleep with the fishes.,1.5495867768595042,0.04220869575600136,242.0,131.0,89.0,22.0,562
34,You'll be a real catch for someone else.,1.5495867768595042,0.046462782334613664,242.0,142.0,67.0,33.0,562
36,I know Mom will love you. Dad may eat you.,1.5491803278688523,0.04468850642521472,244.0,139.0,76.0,29.0,562
37,"After Trump was elected, I was SURE I'd see a pig flying up here",1.5483870967741935,0.0680888547896161,124.0,76.0,28.0,20.0,562
38,I believe you're out of water.,1.548148148148148,0.06014403066290251,135.0,77.0,42.0,16.0,562
39,"One of these things is not like the other, one of these things just doesn't belong...",1.5431034482758617,0.05387800416389563,232.0,155.0,28.0,49.0,562
40,"Maybe I'm wrong but I think Hammerstein said ""Fish gotta fly, birds gotta swim.""",1.536036036036036,0.05051843082072918,222.0,138.0,49.0,35.0,562
41,You look nothing like your Match profile.,1.5265700483091786,0.047842594599732176,207.0,121.0,63.0,23.0,562
41,Welcome to the witness protection program.,1.5265700483091786,0.04881309341360288,207.0,123.0,59.0,25.0,562
43,What pronoun do you prefer?,1.5163934426229508,0.06505092328234699,122.0,75.0,31.0,16.0,562
44,You don't look anything like your profile picture.,1.5154639175257731,0.050755103761698325,194.0,118.0,52.0,24.0,562
45,I'm looking for a perch.,1.5130890052356016,0.05397336572245664,191.0,122.0,40.0,29.0,562
46,"Well, one of us is screwed.",1.5128205128205128,0.05493599515681201,156.0,93.0,46.0,17.0,562
47,I think we should go back to long distance. I can't breath in this relationship.,1.5093167701863357,0.05650125900205046,161.0,100.0,40.0,21.0,562
48,"Seriously, ours come without hooks.",1.5081967213114753,0.061861453295133435,122.0,73.0,36.0,13.0,562
48,One of us is going to have to wake up.,1.5081967213114753,0.04953931312854558,183.0,108.0,57.0,18.0,562
50,Well we BOTH can't be right.,1.5055555555555555,0.05486693016935342,180.0,115.0,39.0,26.0,562
51,First time in the Cloud?,1.5054945054945057,0.04658663605510722,182.0,103.0,66.0,13.0,562
52,"whatever you do, don't look down.",1.5,0.052033271070081766,174.0,106.0,49.0,19.0,562
52,"Mom, am I adopted?",1.5,0.05452728097451516,174.0,110.0,41.0,23.0,562
52,No way! I like worms too!,1.5,0.05573244931441898,174.0,112.0,37.0,25.0,562
55,...and then they said 'youlz be swimmin with da fishes'....,1.4971098265895957,0.05947313003736121,173.0,118.0,24.0,31.0,562
56,Our parents will never understand.,1.4970760233918128,0.045713597427225326,171.0,95.0,67.0,9.0,562
57,And our offspring will be neither fish nor fowl,1.494047619047619,0.05339688957678987,168.0,104.0,45.0,19.0,562
58,"Are you in my dream, or am I in yours?",1.4910714285714286,0.06466866312265704,112.0,69.0,31.0,12.0,562
59,Our parents are gonna freak out.,1.4910179640718564,0.04943097571514305,167.0,98.0,56.0,13.0,562
59,"Dad, I've decided to come out as transspecies.",1.4910179640718564,0.05295418486403757,167.0,103.0,46.0,18.0,562
59,"Tell me the truth, Mom. Was I adopted?",1.4910179640718564,0.05363105967168079,167.0,104.0,44.0,19.0,562
62,I'm a little out of my comfort zone.,1.490909090909091,0.04678754944758078,165.0,93.0,63.0,9.0,562
63,Do you ever feel out of your element?,1.4876543209876545,0.05623303572866014,162.0,104.0,37.0,21.0,562
64,Is this where stool pigeons go to sleep with the fishes?,1.4868421052631582,0.04938347864583253,152.0,87.0,56.0,9.0,562
65,"They kept saying the sea was rising, I just didn't believe them.",1.4842767295597483,0.05416741843546321,159.0,99.0,43.0,17.0,562
65,One of us is seriously screwed.,1.4842767295597483,0.06172386633112549,159.0,110.0,21.0,28.0,562
67,I hear you have a good school system.,1.4771241830065358,0.057976549563595874,153.0,100.0,33.0,20.0,562
67,Of course you know our parents will never approve.,1.4771241830065358,0.04736337449156824,153.0,87.0,59.0,7.0,562
67,You look nothing like your tinder profile.,1.4771241830065358,0.05334120759100852,153.0,94.0,45.0,14.0,562
70,Great costume.,1.4727272727272729,0.06419981696700792,110.0,69.0,30.0,11.0,562
71,"Some weather we're having, eh?",1.47,0.06735253251633258,100.0,63.0,27.0,10.0,562
72,"""Do you ever feel like a fish out of water""?",1.4689655172413794,0.05626903459447959,145.0,92.0,38.0,15.0,562
