target_id,mean,precision,count,score,caption,contest,funny,somewhat_funny,unfunny,rank
1342,2.1204460251850428,0.007388997187772327,10403,2.1204460251850428,"You better hope that was rain I just felt.""",623,3656,4344,2403,1
1193,2.0435990002777005,0.009097510630363162,7202,2.0435990002777005,It's a park. He's on a leash. What's it to you?,623,2310,2896,1996,2
3735,1.9804672163329409,0.007823942822498122,10188,1.9804672163329409,"Okay, but if he starts sniffing their tails he has to leave.",623,3079,3831,3278,3
611,1.9321958291513328,0.008062178399402728,8968,1.9321958291513328,"Have you tried saying, ""Down, boy""?",623,2330,3700,2938,4
5314,1.9283391545224613,0.008748170555077563,8304,1.9283391545224613,"He's a beagle, but he claims the ""b"" is silent.",623,2362,2985,2957,5
5572,1.9239548602205687,0.008922017001228789,7798,1.9239548602205687,"Sir, are you suggesting that someone else's kite pooped on the lawn?",623,2146,2913,2739,6
2597,1.9114141949152543,0.008969453610830087,7552,1.9114141949152543,Skye terrier or Airedale?,623,1989,2905,2658,7
4688,1.9084558823529407,0.008648372848329203,8160,1.9084558823529407,Can I borrow that?  I’ve got to get a cat out of a tree.,623,2150,3112,2898,8
4949,1.88238834717708,0.008673838935636185,8307,1.88238834717708,I don't think you appreciate the gravity of the situation.,623,2165,3001,3141,9
5323,1.8675655241935485,0.008705883274794178,7936,1.8675655241935485,"Sir, did you leave a kite at the dog park by any chance?",623,1930,3024,2982,10
1061,1.838096994283607,0.010302362582858366,5424,1.838096994283607,Sticking his head out the car window just doesn't do the trick for him anymore.,623,1193,2160,2071,11
2685,1.8356968215158924,0.00837363703387521,8180,1.8356968215158924,But my dog IS on a leash,623,1784,3268,3128,12
469,1.8337535221711403,0.009480013856549835,6743,1.8337535221711403,He's a bird dog.,623,1575,2471,2697,13
1485,1.8322446555819485,0.013543997016490669,3368,1.8322446555819485,"Sorry, sir, dog days are in August",623,805,1193,1370,14
3659,1.82646331409728,0.016115805988669216,2426,1.82646331409728,"No no, it’s let sleeping dogs LIE",623,590,825,1011,15
