caption,funny,somewhat_funny,unfunny,count,score,precision,rank
Have you tried turning it off and back on again?,1008.0,1750.0,1439.0,4197.0,1.8973076006671432,0.011680626214285832,1
"""Yes sir, a martini for you and a screwdriver for the monster.""",542.0,863.0,1040.0,2445.0,1.7963190184049085,0.015740697803252584,2
"""Do you still need a hand, Sir?""",295.0,504.0,646.0,1445.0,1.7570934256055364,0.02025132034237844,3
"""Yes, my license says I'm an organ donor....why do you ask?""",247.0,533.0,606.0,1386.0,1.7409812409812409,0.019897742155832617,4
the mrs. requests you come upstairs and try creating life the old fashioned way,255.0,397.0,577.0,1229.0,1.7379983726606998,0.02225716398544896,5
He has your mother's eyes.,192.0,286.0,454.0,932.0,1.7188841201716738,0.025683082766807988,6
"""Will you be requiring anything else before I run like hell, sir?""",158.0,252.0,399.0,809.0,1.7021013597033374,0.027244781643095455,7
"""You said you needed a hand, sir?""",122.0,269.0,345.0,736.0,1.6970108695652173,0.0271731273917778,8
"""Alfred stop watching me like that ... Why don't you go feed """" The Birds"""".""",202.0,99.0,448.0,749.0,1.6715620827770359,0.03187442564335773,9
"""They have the spleen you ordered; unfortunately, they want an arm and a leg for it.""",98.0,197.0,302.0,597.0,1.6582914572864322,0.03046760911404755,10
"""Will the gentleman be alive for dinner, sir?""",91.0,165.0,280.0,536.0,1.6473880597014925,0.03257856065457944,11
"""Will you be needing any more of me, sir?""",70.0,137.0,234.0,441.0,1.6281179138321995,0.03538894657990628,12
"""You know, of course sir, that if he kills someone, they'll say the butler did it.""",60.0,136.0,216.0,412.0,1.6213592233009708,0.03579252442855422,13
"""There is a scarcity of brains, sir. It's an election year.""",61.0,130.0,219.0,410.0,1.6146341463414635,0.03614761869969423,14
"""Yes sir, I have a reasonably high IQ. Why do you ask?""",50.0,128.0,201.0,379.0,1.6015831134564644,0.036497920278669764,15
I'm sorry sir but it's an election year. Brains are impossible to find.,66.0,109.0,226.0,401.0,1.600997506234414,0.03771526750173721,16
"""He is polling well, sir, even without a brain.""",58.0,100.0,202.0,360.0,1.6,0.03957371114050808,17
I've assembled your guests.,61.0,100.0,209.0,370.0,1.6,0.039293549183010194,17
"""It’s the Republican Party sir, they need some advice on how to control a monster.""",69.0,119.0,245.0,433.0,1.5935334872979214,0.03600277073357205,19
The staff is concerned that your hobby is beginning to take on a life of its own.,37.0,125.0,183.0,345.0,1.5768115942028986,0.0365118940727092,20
The RNC says skip the brain and work on the hair.,52.0,70.0,181.0,303.0,1.5742574257425743,0.04411454679492867,21
Mr. Trump demands to know when his running mate will be ready.,52.0,59.0,175.0,286.0,1.56993006993007,0.0462163542465803,22
Did you need a hand sir?,37.0,95.0,166.0,298.0,1.5671140939597314,0.04077605118587421,23
May I borrow him for the carpool lane?,34.0,98.0,162.0,294.0,1.564625850340136,0.04035321931131505,24
"""I regret to be the bearer of bad news, sir, but the Republicans have already created one.""",56.0,60.0,189.0,305.0,1.5639344262295083,0.044909466821449216,25
"""Shall I give you a hand, sir?""",33.0,86.0,151.0,270.0,1.5629629629629629,0.04270065728838501,26
"""And if I may, Sir, good luck at the Science Fair.""",37.0,96.0,169.0,302.0,1.5629139072847682,0.040391561602405035,27
I`m sorry. We served the liver at lunch.,33.0,82.0,151.0,266.0,1.5563909774436093,0.04321688866307193,28
"""The Russian sports ministry on the phone, sir.""",30.0,86.0,147.0,263.0,1.5551330798479088,0.04258342622957284,29
"""I could shuffle my feet on the carpet, sir.""",35.0,76.0,153.0,264.0,1.5530303030303032,0.044136812106624485,30
I regret to inform you that the electric bill has arrived.,29.0,83.0,147.0,259.0,1.5444015444015444,0.04277064879590218,31
Good news--the torch and pitchfork crowd has left for a Trump rally,34.0,47.0,131.0,212.0,1.5424528301886793,0.0519274226555659,32
"""I think gender neutral is the right choice, sir.""",34.0,81.0,161.0,276.0,1.539855072463768,0.0424173371412771,33
"""I just talked to the bride-to-be, let's just say there's more than one set of cold feet here.""",29.0,71.0,141.0,241.0,1.5352697095435686,0.04515805336092934,34
"""Will the gentleman be alive in time for dinner, sir?""",29.0,64.0,135.0,228.0,1.5350877192982455,0.0470801555165843,35
"""I'll stay on until he's ready to take over, but I'm not training him.""",25.0,84.0,142.0,251.0,1.5338645418326693,0.04233468460057117,36
Im glad your sitting down sir....the electric bill just came.,32.0,78.0,157.0,267.0,1.531835205992509,0.042862206839534914,37
"""Tech support is here, sir. They said they can install more memory.""",21.0,71.0,121.0,213.0,1.5305164319248827,0.04587985982556822,38
Craig’s list has a used pancreas,26.0,55.0,121.0,202.0,1.5297029702970295,0.05020076490120074,39
Excuse me Sir. Which bathroom will it be using?,29.0,68.0,142.0,239.0,1.5271966527196652,0.04546390970317486,40
"""Your Big & Tall order has arrived, sir.""",24.0,79.0,138.0,241.0,1.5269709543568464,0.04322627924183816,41
"""I actually preferred it when you were growing weed, sir.""",35.0,59.0,154.0,248.0,1.5201612903225807,0.04640307415513757,42
"""Sir, shall I add another place setting for dinner?""",35.0,48.0,144.0,227.0,1.5198237885462555,0.049688278806075965,43
When he's old enough he will want to know who his cadavers are.,26.0,73.0,142.0,241.0,1.5186721991701244,0.044036868257978035,44
The creationists are at the door.,24.0,74.0,138.0,236.0,1.5169491525423728,0.04391008979850832,45
Will he be alive in time for dinner sir?,32.0,55.0,144.0,231.0,1.5151515151515151,0.04785970024093025,46
Will your guest be alive for dinner?,27.0,59.0,134.0,220.0,1.5136363636363637,0.04755523561058909,47
"""He won't love you like I do, sir.""",29.0,49.0,131.0,209.0,1.5119617224880382,0.05035302674605069,48
Tell me when it's safe to use the microwave.,26.0,62.0,135.0,223.0,1.5112107623318385,0.04664694766672775,49
"""No sir, I don't think this is what she meant by 'make new friends.'""",22.0,63.0,125.0,210.0,1.5095238095238095,0.0468854404807249,50
If you won't be needing me any more this evening sir I think I'll be running for my life now.,24.0,44.0,113.0,181.0,1.5082872928176796,0.05349583010455113,51
"""It's too late, sir. It's Clinton or Trump.""",29.0,53.0,137.0,219.0,1.5068493150684932,0.04859461921035615,52
"""Sir, the hardware store didn't know what I meant by """"neck"""" bolts.""",21.0,70.0,131.0,222.0,1.5045045045045045,0.044577904690032887,53
Let's hope this makes him act more presidential.,34.0,44.0,144.0,222.0,1.5045045045045045,0.050171020449717295,53
"""Sir, it's the power company. Again.""",17.0,62.0,112.0,191.0,1.5026178010471205,0.04746209669564403,55
I've prepared a guest room with all the creature comforts,21.0,64.0,126.0,211.0,1.5023696682464456,0.046241937128532584,56
"""Sir, should I set an extra place for dinner?""",26.0,56.0,133.0,215.0,1.5023255813953489,0.047941507233598926,57
"""Yes sir, good help is hard to make.""",17.0,77.0,127.0,221.0,1.502262443438914,0.04284438200128458,58
"""Sadly, sir, monster.com is already taken. Did you have a second choice?""",26.0,57.0,136.0,219.0,1.4977168949771689,0.04728586255187376,59
"""Sir, may I say, by using domestic parts you are making America Great Again""",25.0,56.0,132.0,213.0,1.4976525821596245,0.047817275716209584,60
"""Sir, I think this is taking pro-life too far.""",24.0,55.0,130.0,209.0,1.4928229665071768,0.048019104869861724,61
"""I'm giving my notice, sir. My heart's just not in it.""",21.0,59.0,125.0,205.0,1.4926829268292685,0.04721791935213387,62
"""You needed a hand, sir?""",20.0,60.0,123.0,203.0,1.4926108374384237,0.04704062575630339,63
"""If there's nothing else sir, I'll be retiring for the evening. Scream if you need me.""",21.0,57.0,123.0,201.0,1.492537313432836,0.047900915032481235,64
"""If he self-identifies as a monster, which restroom shall he be allowed to use?""",23.0,57.0,130.0,210.0,1.4904761904761905,0.04736890325617319,65
"""You have no idea what you're doing, do you?""",23.0,47.0,120.0,190.0,1.4894736842105265,0.051021027921102295,66
Are you quite sure this is what your personal trainer meant by 'bodybuilding'?,19.0,65.0,127.0,211.0,1.4881516587677726,0.04524822561845473,67
Mr. Trump is wondering when his Vice-Presidential candidate will be finished.,30.0,39.0,134.0,203.0,1.4876847290640394,0.05196223097924812,68
"""Congratulations, sir. You've been named Recycler of the Month.""",22.0,53.0,124.0,199.0,1.4874371859296482,0.04877011127982577,69
Will it know which bathroom it should use?,26.0,42.0,125.0,193.0,1.4870466321243525,0.05200472044250275,70
"""Would you like me to bring you another cold one before I retire for the night, Sir?""",23.0,54.0,129.0,206.0,1.4854368932038835,0.04803905356362605,71
Another credit card has been pre-approved for him.,21.0,52.0,121.0,194.0,1.4845360824742269,0.049151121125084726,72
Should I grab you another cold one Sir?,23.0,53.0,129.0,205.0,1.4829268292682931,0.04820802302560518,73
"""I checked, sir, and 'monster.com' has been taken.""",17.0,55.0,113.0,185.0,1.481081081081081,0.048534269509259216,74
Have you tried rebooting?,11.0,64.0,104.0,179.0,1.4804469273743015,0.04574739541206636,75
"""The electrical bill just arrived, sir. You might want to consider solar.""",25.0,48.0,131.0,204.0,1.4803921568627452,0.04936610850055559,76
"""Sir, will he make America great again?""",27.0,41.0,130.0,198.0,1.47979797979798,0.05149141918100785,77
"""Sir, your mother suggests that you """"make a friend"""" in a less literal manner.""",21.0,52.0,123.0,196.0,1.479591836734694,0.0487731126621852,78
"""The cook was wondering if she can use the microwave now, sir?""",19.0,53.0,118.0,190.0,1.4789473684210526,0.048770968178375236,79
I'll brew some coffee. He's going to be a real monster when he wakes up.,17.0,57.0,116.0,190.0,1.4789473684210526,0.04761531005865965,79
Are you sure Obamacare covers this?,17.0,56.0,115.0,188.0,1.4787234042553192,0.04797494724457002,81
Just don't give him any political ambition.,19.0,50.0,115.0,184.0,1.4782608695652173,0.04992065558772297,82
"""With which gender will it be self-identifying, sir?""",17.0,57.0,117.0,191.0,1.476439790575916,0.04743168981399416,83
It's Wednesday sir - Igor is always off on hump day,25.0,41.0,125.0,191.0,1.476439790575916,0.051871552960626,83
"""But sir, the Republicans have already created a monster.""",21.0,47.0,119.0,187.0,1.4759358288770053,0.050482608851983884,85
"""I certainly hope, sir, that you will offer him clear instruction on which restroom to use.""",23.0,39.0,117.0,179.0,1.4748603351955307,0.05333544668854096,86
"""There was an angry mob at the door, but they were looking for the Trump rally.""",23.0,46.0,125.0,194.0,1.4742268041237114,0.05020420189854982,87
Shall I set an extra place at the table?,19.0,43.0,110.0,172.0,1.4709302325581397,0.052431251627685804,88
"""No, there is no history of heart disease in my family. Why do you ask?""",15.0,59.0,115.0,189.0,1.4708994708994712,0.046578880586399495,89
"""Sir, Paul Ryan called and he said he'll take whatever you have.""",22.0,36.0,112.0,170.0,1.4705882352941178,0.054824004455605285,90
"""Well, I see we can bring the dead to life, but a raise for your butler is simply IMPOSSIBLE!""",19.0,46.0,114.0,179.0,1.4692737430167595,0.05091005507210103,91
There's a Mr. Trump at the door who asks how his running-mate is coming along.,25.0,47.0,135.0,207.0,1.4685990338164252,0.04879916604822919,92
"""It’s Mr. Trump’s campaign on the phone, sir. When will the Vice President be ready?""",23.0,36.0,116.0,175.0,1.4685714285714286,0.05423816083300174,93
do you need a hand?,14.0,46.0,98.0,158.0,1.4683544303797469,0.052103140472658176,94
"""Anything for the recycling bin, sir?""",17.0,50.0,113.0,180.0,1.4666666666666666,0.04945387658589629,95
"""Shall I reanimate the leftovers, sir?""",17.0,50.0,113.0,180.0,1.4666666666666666,0.04945387658589629,95
"""God's on the phone, and he sounds huffy.""",16.0,43.0,102.0,161.0,1.4658385093167705,0.0528908520285795,97
The cook would like to know what happened to the liver.,17.0,37.0,99.0,153.0,1.4640522875816993,0.055661688621747994,98
Your efforts to produce a Third Party candidate are admirable.,21.0,35.0,110.0,166.0,1.4638554216867468,0.055141999482950815,99
"""AC or DC, sir?""",14.0,46.0,100.0,160.0,1.4625,0.051615033035154835,100
"""Sir, I don’t think this is what your therapist meant by “revive an old friendship”.""",16.0,46.0,107.0,169.0,1.4615384615384617,0.051052600237239384,101
"""Need a hand, sir?""",17.0,44.0,108.0,169.0,1.4615384615384617,0.05173790070265764,101
"""If there will be nothing further this evening, sir, I’d like to run for my #@!$#%* life.""",25.0,39.0,129.0,193.0,1.4611398963730569,0.051415244266811766,103
"""Sir, Blue Cross has denied coverage for the operation.""",12.0,51.0,100.0,163.0,1.460122699386503,0.04941941093494713,104
"""Sir, Mr Trump is on the telephone again. He would like to know if his running mate is ready yet?""",20.0,31.0,104.0,155.0,1.4580645161290322,0.05733847619824994,105
"""Good news, sir. In hypothetical matchups he beats Trump and Clinton.""",14.0,40.0,95.0,149.0,1.4563758389261745,0.054277589550549565,106
"""Sorry sir, but he signed a DNR.""",13.0,36.0,87.0,136.0,1.4558823529411764,0.05703995375603474,107
"""His co pay was denied. How should we proceed, sir?""",14.0,49.0,106.0,169.0,1.4556213017751485,0.049624243098260856,108
"""He's leading in the polls, sir.""",20.0,42.0,118.0,180.0,1.4555555555555555,0.05125502638277135,109
Good new Sir! Obamacare handles the procedure!,19.0,38.0,110.0,167.0,1.4550898203592817,0.05352220493730691,110
"""Sir, the insurance company is on the line, they require prior authorization.""",14.0,48.0,105.0,167.0,1.4550898203592817,0.05003900565446397,110
"""It's Trump again, Doctor. Now he wants longer fingers.""",19.0,36.0,108.0,163.0,1.4539877300613495,0.054490440059199285,112
Will our guest be alive in time for dinner?,17.0,39.0,105.0,161.0,1.4534161490683233,0.053561300689955814,113
I believe the appropriate tweet should be -- it's alive.,16.0,53.0,119.0,188.0,1.452127659574468,0.04727442949822919,114
"""It's damned inflation, sir. An arm now costs an arm and a leg.""",16.0,41.0,105.0,162.0,1.4506172839506173,0.0525789682082622,115
"""Sir, Mr Trump is enquiring about the progress of his running mate.""",18.0,36.0,106.0,160.0,1.45,0.05451328382337234,116
"""There's a man at the door, sir. He's says you've stolen his daughter's heart.""",19.0,38.0,112.0,169.0,1.4497041420118344,0.05302304068331496,117
"""His package has arrived, sir.""",25.0,26.0,118.0,169.0,1.4497041420118344,0.056869122659951324,117
"""His insurance won't cover it, sir. Death is a pre-existing condition.""",12.0,50.0,103.0,165.0,1.4484848484848485,0.048940028919108224,119
"""Good news, sir. The Kickstarter has been funded.""",20.0,31.0,108.0,159.0,1.4465408805031446,0.05618203064151465,120
I was told you needed a hand to finish your project?,13.0,48.0,105.0,166.0,1.4457831325301205,0.049462997330165286,121
"""My hat size? Curious you should ask, Sir.""",15.0,43.0,106.0,164.0,1.445121951219512,0.05135675946277586,122
I take it you have no idea how the book ends?,13.0,42.0,98.0,153.0,1.4444444444444444,0.0523681439910219,123
"""It's a message from the Republicans, sir. They say, 'Never mind.'""",20.0,28.0,105.0,153.0,1.4444444444444444,0.057830940586358535,123
They found the missing part. Lorena Bobbitt had it.,19.0,33.0,108.0,160.0,1.44375,0.05519182884900728,125
"""Will the strapped-down gentleman be dining intravenously tonight,sir?""",13.0,36.0,91.0,140.0,1.4428571428571428,0.055777627576572016,126
"""Sure, I can be discrete. What happens in the dungeon stays in the dungeon.""",10.0,53.0,102.0,165.0,1.4424242424242424,0.0473632275643799,127
I had them put their torches in the umbrella stand.,11.0,47.0,98.0,156.0,1.4423076923076923,0.05001272345589651,128
Keep trying. The convention isn't until July.,21.0,34.0,117.0,172.0,1.4418604651162792,0.05357433710707733,129
"""Am I being replaced, sir?""",9.0,56.0,103.0,168.0,1.4404761904761905,0.04601482273824945,130
"""Yes sir, I do have a fully functioning spleen. Why do you ask?""",18.0,36.0,110.0,164.0,1.4390243902439024,0.05345683254388238,131
"""Sir, I must ask: Am I being replaced?""",15.0,37.0,101.0,153.0,1.4379084967320257,0.05393850522600959,132
"""You wanted to pick my brain about your recent project, sir?""",13.0,44.0,103.0,160.0,1.4375,0.050692918761683234,133
"""Sir, you really must find a new way to make friends""",12.0,35.0,88.0,135.0,1.4370370370370371,0.05623866008896599,134
That's nothing - my previous employer liked to run around in a bat costume.,13.0,43.0,102.0,158.0,1.4367088607594938,0.05113683365414494,135
"""Yes Jeeves, I am keeping a stiff upper lip. Its in a jar on that table over there.""",14.0,37.0,98.0,149.0,1.4362416107382547,0.0541428497741127,136
"""Sir, I would advise against Dancing with the Stars. You realize he's got two left feet.""",13.0,39.0,97.0,149.0,1.4362416107382547,0.05329871912246044,136
Should I set another plate for dinner?,18.0,29.0,102.0,149.0,1.4362416107382547,0.05739535754685176,136
If this doesn’t work you can always do a Diet Coke and Mentos volcano for the science fair.,11.0,43.0,95.0,149.0,1.4362416107382547,0.051569021873218816,136
"""Lunch is served, Sir: baby-back ribs, elbow macaroni, and lady fingers for dessert.""",11.0,46.0,99.0,156.0,1.4358974358974361,0.04996234080501922,140
"""Without brains, he could be a politician.""",18.0,35.0,110.0,163.0,1.4355828220858895,0.053674218636754006,141
"""He's got your eyes, sir.""",19.0,33.0,111.0,163.0,1.4355828220858895,0.05437519754727335,141
"""Do you know which bathroom it will prefer, sir?""",20.0,24.0,103.0,147.0,1.435374149659864,0.059560740437016736,143
