rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1,141,158,254,553,1.7956600361663653,0.034904914666469535,572,"""I'll catch it"", was the last I heard."
2,77,122,150,349,1.7908309455587392,0.04175317821515303,572,Yours is perfectly adequate.
3,60,109,145,314,1.7292993630573248,0.04303158091333743,572,It looked a lot smaller online.
4,350,256,794,1400,1.6828571428571428,0.02263176437261734,572,"Well, where do you think these little balls come from?"
5,38,62,104,204,1.6764705882352942,0.053975325100303104,572,If size didn't matter we'd all be swimming.
6,85,154,240,479,1.6764091858037578,0.03464662775416957,572,It was only a dollar more..
7,35,66,101,202,1.6732673267326732,0.0530892933595299,572,You should see his water noodle.
8,107,155,289,551,1.6696914700544465,0.03329181062231607,572,"This ""mine is bigger than yours"" thing between you and your brother has got to stop, Harry."
9,99,185,292,576,1.6649305555555556,0.03138950009558405,572,"No chance of us getting them mixed up, I initialed mine."
10,77,133,222,432,1.6643518518518519,0.03666712209683107,572,Costco. Why?
11,45,63,125,233,1.6566523605150214,0.05134929961101409,572,It keeps blowing over from Mar-a-Lago. You'd think they would build a wall.
12,37,45,105,187,1.6363636363636365,0.05806591007608841,572,Not Freudian. Trumpian.
13,208,174,548,930,1.6344086021505377,0.02703994086864254,572,"He has a bigger house, a bigger car, and now a bigger ball - need I go on?"
14,152,203,448,803,1.6313823163138232,0.027608751430360148,572,"The car, the house--it's always a competition with him."
15,27,50,91,168,1.619047619047619,0.05776559259274334,572,With a coupon it cost the same as the small one.
16,44,64,140,248,1.6129032258064515,0.04896051335035232,572,Just be patient. He goes back to Washington Sunday night and takes his ball with him.
17,48,100,172,320,1.6125,0.04104221200354826,572,It's right there on the label: May expand when wet.
18,157,183,477,817,1.6083231334149326,0.027622255522081588,572,"They've appeared out of nowhere , in pools all over the world."
19,69,126,239,434,1.608294930875576,0.03584172798027697,572,Thats the last time I send you to Costco
20,30,34,92,156,1.6025641025641026,0.06345412310153335,572,"In this neighborhood, size is everything."
21,32,48,106,186,1.6021505376344085,0.056168245774029395,572,You really blew that out of proportion didn't you?
22,62,110,219,391,1.5984654731457801,0.037806528417053696,572,That's inflation for you.
23,27,64,107,198,1.595959595959596,0.051055808455138935,572,That is not what B.Y.O.B. meant on the invitation.
24,135,100,398,633,1.584518167456556,0.0325449291129225,572,"THEIR BEACHBALL IS OUT OF ORDER. Ours goes pink, yellow, green, blue."
25,87,163,332,582,1.5790378006872852,0.03056333111185894,572,Are we in The New Yorker or one of those annoying adult coloring books?
26,40,91,166,297,1.5757575757575757,0.0416558072861495,572,Wait until you see the size of the seal.
27,47,93,186,326,1.5736196319018405,0.04049401505943036,572,"All I heard was, ""It's gonna be the biggest beach ball. The best. The greatest. Amazing. Yuge! Believ---OOF."""
28,126,51,357,534,1.5674157303370786,0.03668652337699684,572,I guess my 'fat fingered vulgarian' joke really pissed him off.
29,119,60,347,526,1.5665399239543727,0.03646378298191443,572,"If my neighbor asks for his ball back, just fucking give it to him."
30,23,35,85,143,1.5664335664335665,0.06320461423080645,572,Of course your Gay Pride is just as big as Ed's.
31,106,84,333,523,1.5659655831739963,0.0353147389352538,572,Last one on is a rotten egg.
32,78,108,289,475,1.5557894736842106,0.034838645162319805,572,"But don't you see! The proper order is red, yellow, green!"
33,72,109,278,459,1.55119825708061,0.03500169143348946,572,I only came here to drink anyways.
34,23,55,107,185,1.545945945945946,0.051947800864644136,572,It's what you do with it that counts.
35,73,75,263,411,1.5377128953771289,0.03837583338491548,572,"He had to have a bigger car than me, a bigger house than me. I tell you Helene, it never ends!"
36,20,34,84,138,1.536231884057971,0.06269741511111838,572,That's so sweet of you Bob...but we already have one.
37,20,39,90,149,1.5302013422818792,0.059134766764506304,572,"I can't put my finger on it, Carla, but this club makes me feel so inadequate."
38,42,76,184,302,1.5298013245033113,0.04185315161855322,572,"In Mar-a-Lago, size matters."
39,45,76,194,315,1.5269841269841269,0.04127684004645161,572,"Yes, but did you see how small his hands are?"
40,24,49,112,185,1.5243243243243243,0.05258883719301252,572,Do you think he's overcompensating for something?
41,81,30,256,367,1.5231607629427792,0.04344711227467096,572,I guess that's the hole-ball of wax.
42,25,27,97,149,1.516778523489933,0.06288604832531634,572,"'As you can see, the Trumps got here first.'"
43,20,33,90,143,1.5104895104895104,0.06107085759273786,572,Try rubbing it.
44,31,91,181,303,1.504950495049505,0.038797997603351904,572,"Bring a beach ball, you said. You'll make a good impression, you said."
45,43,53,181,277,1.5018050541516246,0.04506300162473549,572,Margaret was right....that bathing suit makes her butt look huge
46,32,70,173,275,1.4872727272727273,0.04196650077223997,572,"If it stays up for more than four hours, we're supposed to call a physician."
47,17,34,89,140,1.4857142857142858,0.059533743604063036,572,"Well, apparently more than his ego is inflated."
48,43,44,182,269,1.483271375464684,0.046094595927290094,572,Plenty of guys have one ball bigger than the other.
49,14,52,100,166,1.4819277108433735,0.05035318238926097,572,It's payback for my reporting that his inaugural ball wasn't as bigly as some others.
50,34,57,169,260,1.4807692307692308,0.044425489181422695,572,I think I mixed up the Viagra and Chlorine Tablet bottles
51,26,37,123,186,1.478494623655914,0.05347934237509403,572,I've found someone else.
52,28,58,153,239,1.4769874476987448,0.045085355364586265,572,"Is it just me, or has inflation gotten out of hand?"
53,27,62,155,244,1.4754098360655739,0.04401210080738572,572,"But compared to what you've seen at other pools, mine is about average, right?"
54,31,57,163,251,1.4741035856573705,0.04455743834267989,572,You must be new to Texas....
55,30,57,160,247,1.4736842105263157,0.04473146884244569,572,Just wait till you see the seal!
56,29,58,159,246,1.4715447154471544,0.04449089127159849,572,Maybe you should take yours over to the baby pool.
57,42,31,171,244,1.471311475409836,0.04941798141772382,572,"If this were a simulation, the colors would be in the same order!"
58,27,60,155,242,1.4710743801652892,0.04426925370021559,572,They were wrong. It wasn't an asteroid after all.
59,28,54,154,236,1.4661016949152543,0.04548270845177257,572,I don't think you've got the ball to compete.
60,31,45,155,231,1.4632034632034632,0.04741327475452462,572,"It's true, one of your balls is larger than the other."
