unfunny,funny,caption,score,precision,somewhat_funny,rank,count,contest
25,10,Welcome to Weight Watchers!,1.6428571428571428,0.13120290680572758,7,1,42,528
19,4,We're here today to discuss firing the architect.,1.625,0.10553587310872314,17,2,40,528
22,8,This meeting is getting away from me.,1.6216216216216215,0.1361821302507295,7,3,37,528
23,7,I am entertaining a motion to evacuate. Do I hear a second?,1.619047619047619,0.1178217957529481,12,4,42,528
23,7,The captain assures me it was a very small iceberg.,1.5897435897435896,0.1257525187645929,9,5,39,528
21,5,Welcome to orientation.,1.5897435897435896,0.11451917151728358,13,5,39,528
22,6,Many of you are concerned with the direction our company is heading.,1.5897435897435896,0.1202670707647033,11,5,39,528
21,5,Can someone straighten out that picture?,1.5897435897435896,0.11451917151728358,13,5,39,528
24,7,"Well, maybe now you will appreciate the gravity of the situation.",1.5641025641025639,0.12616459802990815,8,9,39,528
24,7,I don't think you understand the gravity of the situation.,1.5641025641025639,0.12616459802990815,8,9,39,528
23,7,I see we have reached the tipping point.,1.5555555555555556,0.13478050612923034,6,11,36,528
21,5,"As you may have guessed, I've highly leveraged the company.",1.5555555555555556,0.12243848111540882,10,11,36,528
22,6,"It can't be that bad, the band's still playing.",1.5555555555555556,0.12875745898840155,8,11,36,528
20,3,Can anyone bring something to the table?,1.5526315789473684,0.1046389744117146,15,14,38,528
23,6,"First, I'd like to thank you all for not joining the lawsuit against my brother's architectural firm...",1.5526315789473684,0.12335615220163265,9,14,38,528
23,6,This meeting of the Fox News editorial board will now come to order.,1.5526315789473684,0.12335615220163265,9,14,38,528
20,6,Everyone seated around this table has an equal vote.,1.5483870967741935,0.1454596694458998,5,17,31,528
22,6,The Architectural Standards Committee meeting will now come to order.,1.542857142857143,0.13184442794927856,7,18,35,528
19,3,"Obviously, we've reached a tipping point.",1.542857142857143,0.11108976719099656,13,18,35,528
21,4,"So, other than the wheels, we like the new chairs?",1.5405405405405406,0.1135992811974639,12,20,37,528
23,6,Now...Let's see what this button does.,1.5405405405405406,0.12612612612612614,8,20,37,528
23,6,"From where I'm sitting, it's all downhill from here.",1.5405405405405406,0.12612612612612614,8,20,37,528
22,6,I want to level with you all...,1.5294117647058822,0.1350730581851881,6,23,34,528
22,6,What's it going to take to bring you all to the table?,1.5294117647058822,0.1350730581851881,6,23,34,528
22,6,"Unless I get a volunteer, I’m going to let go of this table.",1.5294117647058822,0.1350730581851881,6,23,34,528
21,4,"OK, I'll level with you.",1.5277777777777777,0.1160604051202834,11,26,36,528
23,6,I see the weight of my argument has failed to move you in my direction.,1.5142857142857142,0.13202640792264095,6,27,35,528
23,6,We appear to have reached the tipping point.,1.5142857142857142,0.13202640792264095,6,27,35,528
22,5,The rumors are true. We are a sinking ship.,1.5142857142857142,0.12550019968130738,8,27,35,528
22,5,"Before we begin, I'd just like to point out that Mr. Gehry was very highly recommended.",1.5,0.12840721766021207,7,30,34,528
22,5,"On second thought, maybe rolling chairs were a bad idea.",1.5,0.12840721766021207,7,30,34,528
24,6,"So, then -- all in favor of removing the wheels from our chairs, say 'aye.'d",1.4857142857142858,0.13202640792264095,5,32,35,528
23,5,Welcome to the Pisa branch offices.,1.4857142857142858,0.12550019968130738,7,32,35,528
22,5,"Unlike you, I do appreciate the gravity of the situation.",1.4848484848484849,0.13143448161285967,6,34,33,528
21,4,So its unanimous?,1.4848484848484849,0.124020496543522,8,34,33,528
19,2,"Is it just me, or does that picture seem crooked?",1.4848484848484849,0.10767174548145378,12,34,33,528
23,5,I think I know which way the group is leaning.,1.4705882352941178,0.128305104548507,6,37,34,528
21,3,The motion to adjourn has been approved by a landslide.,1.4705882352941178,0.1135655646074615,10,37,34,528
23,5,Do I need to remind you what rolls downhill?,1.4705882352941178,0.128305104548507,6,37,34,528
22,4,"When the OSHA guy gets here, everyone look casual.",1.4705882352941178,0.12115968248104406,8,37,34,528
22,4,"Yes, it's unsinkable. Any other questions?",1.4705882352941178,0.12115968248104406,8,37,34,528
24,6,Red rover red rover send Sandi on over,1.4705882352941178,0.1350730581851881,4,37,34,528
23,6,It appears that the discussion has tilted in my favor.,1.46875,0.14187948515007945,3,43,32,528
20,3,"My name is John, I am an alcoholic...and an architect...",1.46875,0.11866507999271488,9,43,32,528
24,7,Welcome to New Balance.,1.46875,0.14881504406043655,1,43,32,528
19,3,"Well, Bill, it looks like you won because of a landslide.",1.4666666666666666,0.12441433680675687,8,46,30,528
22,4,Of course it's not a level playing field. Duh!,1.4545454545454546,0.12378889877551665,7,47,33,528
22,4,I'm here to assure you that fracking does not cause seismic events.,1.4545454545454546,0.12378889877551665,7,47,33,528
