,caption,funny,somewhat_funny,unfunny,count,score,precision,rank
0,"Rick, remember when you laughed at my shovel purchase in July?",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,0
1,"See, it's how you use it that really counts",1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,1843
2,I see that someone has already wiped the smirk off your face.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1841
3,When you're a little older you'll understand daddy's crazy.,1.0,3.0,9.0,13.0,1.3846153846153846,0.18040060614705497,1837
4,"From each according to his abilities, to each according to his needs.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1835
5,"Naw, I need the exercise!",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1834
6,"You know, Son, our old Mailman used to have a shovel just like that...",1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,1831
7,Want to trade shovels,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1830
8,"When you're older, you can use amphetamines like Daddy does.",0.0,2.0,8.0,10.0,1.2,0.13333333333333333,1829
9,I charge by the hour.,2.0,1.0,10.0,13.0,1.3846153846153846,0.2129903554594378,1828
10,It's just shrinkage.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1826
11,"You shovel, I'll scoop -- it's called division of labor.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1822
12,How the hell did I get the short end of the stick?,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1817
13,"No, I am not complaining.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1816
14,So you're telling me that size does matter.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1815
15,Do you think maybe your whining is why Mommy drinks so much?,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1844
16,You have a lot to learn son. Bah! Shoveling the lawn!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1813
17,"It's not about size, but keeping a healthy emotional connection with your shovel.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1808
18,"Call me a ""simpleton"" again and you'll be wearing my boots as well, young man.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1807
19,Now do you believe in ergonomics?,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1806
20,Hey Dad - last night I heard Mom say your tool isn't big enough.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1800
21,"And we use this little guy for smaller, non-fatal heart attacks, son.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1799
22,You'll understand when you have your own kids.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1798
23,"Hmm, should I tell him he's shoveling wrong? Nope, wait until he's done.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1795
24,I was hoping you would get the caption.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1792
25,At least you can use yours as a sled.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1791
26,"You know what they say, ""It's not the size of a man's shovel. but the size of the 'shovel' in a man""...or something like that.",0.0,2.0,7.0,9.0,1.2222222222222223,0.1469861839480328,1787
27,"shut up, I know I should of called heads",0.0,0.0,6.0,6.0,1.0,0.18257418583505536,1786
28,"Sydney, I have a better idea. Lets go buy a snowblower.",0.0,2.0,8.0,10.0,1.2,0.13333333333333333,1784
29,"Shoveling is a journey, son, not a destination.",1.0,8.0,9.0,18.0,1.5555555555555556,0.14512159026911448,1783
30,Thanks for your good deed! See ya around sometime!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1782
31,No ad hominem.,0.0,1.0,8.0,9.0,1.1111111111111112,0.11785113019775792,1811
32,Hey Dad. How can you still deny that Global Warming exists? This is August !!,1.0,3.0,9.0,13.0,1.3846153846153846,0.18040060614705497,1781
33,"S.O.S., you bet! Same old--same old snow!",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1846
34,I thought you garden gnomes worked just in the summer.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1848
35,"Oh, good. Finished building your 'Wall Against the Rising Tide of Stephanie' next door?",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1910
36,It's not the size of the tool that matters.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1908
37,"When I told you to shovel your own weight, I didn't mean for you to include the shovel.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1906
38,Snow again?! Interrupting the gerrymandering process.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1905
39,It's a myth: size does NOT matter!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1904
40,"Sorry kid, there's no app for this.",1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,1903
41,Just wait! I'll let you know when it's your turn.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1898
42,"No, I don't cur my lawn with scissors",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1895
43,"Learn from my mistakes, son, and never, ever forget your wedding anniversary.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1894
44,Ergonomics,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1892
45,"And, the far too late, it dawned on Mr. Friedman: ""Perhaps the market doesn't always efficiently allocate resources.""",0.0,1.0,9.0,10.0,1.1,0.10540925533894598,1891
46,That would have been helpful twelve hours ago.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1890
47,"Hey, low energy. Pick up the pace.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1889
48,"I want tone, not bulk.",1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,1887
49,Mine has GPS.,1.0,0.0,8.0,9.0,1.2222222222222223,0.2222222222222222,1847
50,Just sign the union agreement and this can be yours!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1886
51,"Where there's a will, there's a path.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1884
52,better clean up before I get my coffee,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1881
53,I use my toothbrush for the lighter stuff.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1880
54,"Good Lord, how many cats do you have?",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1879
55,Billionaires...,0.0,0.0,6.0,6.0,1.0,0.18257418583505536,1877
56,"No thanks Ed, I don’t need to borrow your shovel, I’m getting paid by the hour!",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1875
57,"Ah, the ambiguity of the paradox of scale.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1873
58,Don't worry son. I'll be back to help you after the big convention in Miami.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1872
59,This is better for my back.,1.0,6.0,9.0,16.0,1.5,0.15811388300841897,1870
60,It must be opposites day.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1868
61,It was uphill both ways when I was your age!,1.0,3.0,8.0,12.0,1.4166666666666667,0.19299604852813634,1866
62,But my one per cent is very important.,1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,1859
63,You tell your mother that's she not funny.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1858
64,Back in my day we had to shovel with our tongues.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1849
65,We moved here from Texas. All I have to work with is sand box toys.,1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,1885
66,What are you complaining about? I gave you the good shovel.,0.0,2.0,8.0,10.0,1.2,0.13333333333333333,1912
67,"Put that away, Son. We're getting paid by the hour.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1777
68,2 + 1 ? 1 + 2,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1772
69,Well you wanted to play in the snow. Why don’t you stay out a couple more hours and clean off the roof.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1709
70,"You'll always be Daddy's little helper, but right now I need you to get your ass in gear.",0.0,5.0,8.0,13.0,1.3846153846153846,0.14044168141158103,1708
71,"You'll grow into it, then out of it.",0.0,3.0,8.0,11.0,1.2727272727272727,0.14083575804390613,1707
72,"Compensating much, Larry?",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1703
73,"Think Big,you'll grow to love it",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1701
74,Take a lesson from me- don't dry your shovel on hot.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1699
75,Are political ideologies going on here?,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1694
76,I knew this weird combo-deal I got would make sense one day.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1693
77,What are you looking at? I only have a townhome.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1688
78,Every little bit helps,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1686
79,"Two out of three ain't bad is bull, Jeb!",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1684
80,But the flakes are so small!,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1683
81,Why don't you try with a smaller shovel instead?,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1681
82,The weird part is that I made it 43 years WITHOUT stepping on a crack .,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1680
83,Pick up the pace!,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1710
84,"Son, please don't question my mid-life crisis...",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1679
85,"Remember, son, your allowance will reflect your contribution.",1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,1677
86,See honey -- size doesn't matter.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1676
87,"Once again, there's no emoji to encapsulate this moment.",0.0,0.0,8.0,8.0,1.0,0.1336306209562122,1672
88,Compensating?,1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,1670
89,Hard work is the greatest tool.,0.0,3.0,8.0,11.0,1.2727272727272727,0.14083575804390613,1664
