caption,funny,somewhat_funny,unfunny,count,score,precision,rank,contest
He's not brave. It's deer season.,7.0,8.0,5.0,20.0,2.1,0.17621756887140216,1,519
We might be empty nesters sooner than we thought.,8.0,6.0,6.0,20.0,2.1,0.19056702094980707,1,519
This may be his final tweet.,8.0,4.0,7.0,19.0,2.0526315789473686,0.2090592155756664,3,519
I didn't realize that 'riding shotgun' was an actual thing.,6.0,8.0,6.0,20.0,2.0,0.17770466332772772,4,519
"Same decoy as last year. Honestly, I don't known why he bothers.",8.0,5.0,8.0,21.0,2.0,0.19518001458970666,4,519
"If I were a protected species, I would show off too.",7.0,6.0,8.0,21.0,1.9523809523809523,0.18868202624913288,6,519
"Admit it, Honey--we lack parenting skills.",5.0,9.0,6.0,20.0,1.95,0.1697521412933699,7,519
Endangered species are such show offs.,4.0,10.0,5.0,19.0,1.9473684210526316,0.1617463939875945,8,519
"I think we're safe, it's Dick Cheney.",8.0,5.0,10.0,23.0,1.9130434782608696,0.1876950208787947,9,519
She always insists on riding shotgun.,8.0,3.0,10.0,21.0,1.9047619047619049,0.20592141248037765,10,519
You have to love mocking birds,7.0,5.0,9.0,21.0,1.9047619047619049,0.19401475035679394,10,519
We'd get more members if we eased off on the hazing.,6.0,6.0,8.0,20.0,1.9,0.19056702094980707,12,519
It's genius actually.,7.0,4.0,9.0,20.0,1.9,0.2039091645032685,12,519
"Personally, I prefer not to ride shotgun if I can help it!",6.0,5.0,8.0,19.0,1.8947368421052635,0.2007986516185893,14,519
Now THAT'S a mocking-bird.,5.0,9.0,8.0,22.0,1.8636363636363635,0.1650849780577346,15,519
The kids call it ‘riding shotgun.’,3.0,12.0,6.0,21.0,1.8571428571428568,0.14285714285714285,16,519
I admire Steve for taking a stand on guns.,3.0,12.0,6.0,21.0,1.8571428571428568,0.14285714285714285,16,519
"That, my friend, is chutzpah.",4.0,10.0,7.0,21.0,1.8571428571428568,0.15865077379959694,16,519
Posttraumatic stress from a long career as coal mine canary.,6.0,6.0,9.0,21.0,1.8571428571428568,0.1862629258629328,16,519
Why must that boy ALWAYS go out on a limb?,6.0,5.0,9.0,20.0,1.85,0.1956769625791716,20,519
Who's that chick riding shotgun?,5.0,6.0,8.0,19.0,1.8421052631578947,0.19138091429185464,21,519
You're right. Stockholm Syndrome.,5.0,5.0,8.0,18.0,1.8333333333333333,0.20211302086361085,22,519
That's what we get for homeschooling.,6.0,2.0,9.0,17.0,1.8235294117647056,0.2306527520787959,23,519
Is he loaded?,6.0,6.0,10.0,22.0,1.8181818181818181,0.1818181818181818,24,519
He did call shotgun.,6.0,6.0,10.0,22.0,1.8181818181818181,0.1818181818181818,24,519
