unfunny,funny,caption,score,precision,somewhat_funny,rank,count
70,48,Of course I understand the gravity of the situation.,1.8728323699421965,0.06222190776983042,55,1,173
69,43,It's easy once you realize there's nothing to it.,1.843373493975904,0.06277265051980242,54,2,166
64,36,There's really nothing to it.,1.8205128205128205,0.06267221401223981,56,3,156
61,33,I'm virtually there.,1.808219178082192,0.06470387361334426,52,4,146
64,31,"Can't stop now, i'm virtually there.",1.7870967741935484,0.06070877053433048,60,5,155
67,35,"See, there's nothing to it.",1.7777777777777777,0.06788259183850409,42,6,144
68,34,I'm suspended by disbelief.,1.7763157894736843,0.06413035181132884,50,7,152
62,31,"If he's going to pretend he can build that wall, I'm going to pretend I can climb it.",1.7669172932330828,0.06989822537018522,40,8,133
63,31,There's nothing to it.,1.7664233576642336,0.06814632499566775,43,9,137
67,35,Because it's not there.,1.746031746031746,0.07720227641722105,24,10,126
61,26,"No, the hard part is knowing when you've reached the top.",1.7388059701492538,0.06609581846758031,47,11,134
61,29,I'm headed for an air B&B.,1.7377049180327868,0.07435153313422606,32,12,122
58,26,Can you lend me a few bucks? I have no visible means of support.,1.7377049180327868,0.07156606380651546,38,12,122
53,18,The ink is much thinner up here.,1.732824427480916,0.06016656024183885,60,14,131
64,28,"See, nothing to it!",1.7251908396946565,0.06943563714516487,39,15,131
61,27,Anyone can climb a mountain that's There.,1.7235772357723578,0.07237411965478882,35,16,123
64,29,"Why? Because it is not there, that's why.",1.7222222222222223,0.07271504627066272,33,17,126
62,28,It's mime over matter.,1.7190082644628102,0.07443371197763594,31,18,121
61,25,Are you the only person in the world without a cell phone camera!,1.7142857142857142,0.0693343798979097,40,19,126
56,21,The hard part is knowing when I've reached the top.,1.7107438016528926,0.06786595170391749,44,20,121
58,23,"Quick, call a cartoonist.",1.7083333333333333,0.07040880361515366,39,21,120
51,16,I just suspend disbelief.,1.7058823529411764,0.06354766126546511,52,22,119
49,18,This? This is nothing.,1.7047619047619047,0.07278324677895819,38,23,105
55,21,The hard part is knowing when I get to the top!,1.7043478260869565,0.0709249267837456,39,24,115
62,27,"Believe it or not, Jack, this is easier than winning the caption contest.",1.7033898305084745,0.07546209188644751,29,25,118
55,20,It's reality I don't have a grip on.,1.7033898305084745,0.06841400039735403,43,25,118
51,21,"It's your dream dude, you tell ME what it means.",1.6938775510204085,0.08129004477298174,26,27,98
57,22,The gravity of the situation hasn't hit me yet.,1.6875,0.07399177534383683,33,28,112
62,26,Because it isn't there.,1.6842105263157894,0.0771280301463898,26,29,114
59,20,Nothing to it.,1.677685950413223,0.06763912917229963,42,30,121
54,19,Mime every mountain.,1.6728971962616823,0.07366719825334422,34,31,107
52,20,Because it isn't there. That's why.,1.6701030927835052,0.08122987390771692,25,32,97
53,17,The tricky part is knowing when you've reached the summit.,1.6697247706422018,0.07025878801860272,39,33,109
59,19,My GPS says there is a mountain here!,1.6638655462184877,0.06780304314547941,41,34,119
59,22,I climb it because it's not there.,1.6605504587155964,0.07624845323123647,28,35,109
57,20,The Marcel Marceau School of Rock Climbing,1.6605504587155964,0.07398673725432847,32,35,109
55,19,Now do you appreciate the gravity of the situation?,1.660377358490566,0.07449957934820994,32,37,106
58,22,If you see the cartoonist have him drop me a line.,1.660377358490566,0.07803378038395753,26,37,106
