caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
No need to panic: a reptile dysfunction is common for men of your age.,232,63,0.05580435480041695,1,1.7715517241379308,53,5504,116,651
I usually don't say this to men.....How far apart are the contractions?,245,70,0.05543990195254615,2,1.7673469387755103,48,1032,127,651
You have a reptile dysfunction.,235,58,0.05397244487035719,3,1.748936170212766,60,483,117,651
I’m afraid you have a reptile dysfunction.,267,60,0.04936035883280646,4,1.7265917602996257,74,8191,133,651
What we have here is a reptile dysfuntion.,255,62,0.05201384783561939,5,1.7215686274509805,60,3975,133,651
"Oh, a REPTILE dysfunction...",271,63,0.05024315443161295,6,1.6826568265682658,59,6308,149,651
Reptile Disfunction is very common in men your age.,236,50,0.05220787982807723,7,1.6822033898305084,61,2399,125,651
I'm afraid it's a reptile dysfunction.,246,63,0.05459324853689085,8,1.6788617886178865,41,3539,142,651
How long between contractions?,209,44,0.05549398360020605,9,1.6746411483253592,53,2092,112,651
Looks like a reptile dysfunction,267,57,0.04944895318833087,10,1.6629213483146068,63,8528,147,651
I’m afraid you’ve got reptile dysfunction.,252,54,0.050970683515089335,11,1.6626984126984128,59,4851,139,651
Not to worry. Reptile dysfunction is highly treatable.,237,54,0.05365090751835129,12,1.662447257383966,49,7672,134,651
"Unfortunately, your insurance doesn't cover reptile dysfunction.",248,50,0.05044320603215706,13,1.6572580645161292,62,2086,135,651
Okay. Now YOU stick out your tongue.,239,44,0.04994038652671884,14,1.6569037656903771,69,5810,126,651
Reptile Dysfunction is common in men your age.,264,56,0.04971872951634111,15,1.6553030303030305,61,8001,147,651
"Relax, it's common for men of your age to have reptile dysfunction.",211,42,0.05452738526912517,16,1.6540284360189574,54,3261,115,651
Give the snake two viagra and it will straighten out in about fifteen minutes.,282,52,0.04611821625098228,17,1.6453900709219855,78,6176,152,651
Your wife was right. You have a reptile dysfunction.,274,60,0.04949275158164822,18,1.6386861313868613,55,1129,159,651
Oh! You're here to get treated for REPTILE dysfunction.,249,53,0.05145094517115237,19,1.6385542168674698,53,7981,143,651
