rank,caption,score,precision,count,unfunny,somewhat_funny,funny,contest
1,You shouldn't have opened that can of worms.,1.968568102444703,0.019225463195658,1718.0,573.0,626.0,519.0,570
2,You might want to rethink your ringtone,1.967373572593801,0.018170912279932245,1839.0,589.0,721.0,529.0,570
3,"Normally, one in the hand is sufficient.",1.9192913385826769,0.019877395518492692,1524.0,525.0,597.0,402.0,570
4,"It could be worse, squirrels would be after your nuts.",1.9001426533523536,0.02213089458703953,1402.0,558.0,426.0,418.0,570
5,THE St. Francis?,1.8638170974155068,0.025323304230396408,1006.0,402.0,339.0,265.0,570
6,You have got to stop tweeting.,1.8572428271518544,0.0208473860833048,1429.0,560.0,513.0,356.0,570
7,I think you're supposed to scatter it on the ground.,1.8469505178365937,0.026018936667281816,869.0,332.0,338.0,199.0,570
8,It's called a cluster flock.,1.8415147265077136,0.03097564540087957,713.0,309.0,208.0,196.0,570
9,Is that a new suet you're wearing?,1.7731225296442688,0.02239430355906772,1265.0,577.0,398.0,290.0,570
10,My favorite? Rear Window. You?,1.7607900512070227,0.021294883331497868,1367.0,626.0,442.0,299.0,570
11,"Dad, that's not what it means to have Twitter followers.",1.7553324968632371,0.027081710342741108,797.0,354.0,284.0,159.0,570
12,Maybe because they took down that Confederate statue.,1.7541638907395067,0.019952046394068758,1501.0,678.0,514.0,309.0,570
13,I didn't say you couldn't replicate their mating call. I said you shouldn't.,1.7435897435897436,0.03189459417192177,585.0,268.0,199.0,118.0,570
14,I ‘ve often wondered what happens if you exceed 140 characters,1.7141615986099044,0.02281445818096344,1151.0,556.0,368.0,227.0,570
15,Why do birds suddenly appear every time you are near?,1.7126546146527115,0.02444104315080672,1051.0,524.0,305.0,222.0,570
16,":What was it like, working for Hitchcock?""",1.692745376955903,0.02909050001709902,703.0,350.0,219.0,134.0,570
17,You need to establish a pecking order.,1.6908150064683054,0.02662720440151764,773.0,368.0,276.0,129.0,570
18,Awesome! Now do the mating call of the black-throated green warbler.,1.6749271137026238,0.028381190978406468,686.0,337.0,235.0,114.0,570
