rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1,1029,913,805,2747,2.081543502002184,0.015514813069772596,582,"Yes, I see the train but I think we can beat it."
2,603,810,494,1907,2.0571578395385424,0.017323265320302105,582,"Well technically, you ran the red light."
3,542,745,457,1744,2.0487385321100917,0.018090828028375527,582,I'll order. You pick up.
4,503,767,468,1738,2.0201380897583427,0.017927805785592138,582,We finished in first and third place.
5,629,927,649,2205,1.9909297052154196,0.016215282143527417,582,"You can knock off the heavy breathing back there, Gwendolyn. I know you're not pedaling."
6,570,664,666,1900,1.9494736842105262,0.018472093111190368,582,This would be a lot easier if you dropped the restraining order.
7,242,393,300,935,1.9379679144385027,0.02482985279182548,582,"I'll place the order, you pick up"
8,323,404,393,1120,1.9375,0.02382876552374889,582,"""I told you it was a long bike ride."" - Arman Roberts, age 6"
9,303,486,396,1185,1.9215189873417722,0.022203644171729535,582,"Yes, dear, I'll call you as soon as I get there."
10,451,634,603,1688,1.9099526066350712,0.01911341140369769,582,Your profile said you enjoy long bike rides.
11,407,640,588,1635,1.889296636085627,0.019103330698806643,582,I'm beginning to think you're running those yellow lights intentially.
12,219,334,321,874,1.8832951945080092,0.02630835212104851,582,"You can do whatever you want, but I'm taking the next right."
13,417,754,635,1806,1.8792912513842746,0.017738203392348207,582,Got any ideas for the upcoming traffic circle?
14,271,330,397,998,1.87374749498998,0.02560009917102085,582,We are not doing a wheelie. Don't call me again.
15,135,225,208,568,1.8714788732394365,0.03218540752450079,582,"Since you'll be home first, can you start dinner?"
16,310,641,497,1448,1.8708563535911602,0.019329506657708398,582,"When you say ""turn here,"" is that your ""here"" or my ""here""?"
17,193,288,301,782,1.8618925831202047,0.028007679036407232,582,What do you mean--a metaphor for our relationship?
18,201,481,358,1040,1.8490384615384616,0.02225736706675563,582,Pothole in 10 seconds.
19,69,101,124,294,1.8129251700680271,0.046054782375541496,582,You seem distant today.
20,60,115,122,297,1.7912457912457913,0.04385234335020321,582,"Hi, it's me. I'm running a little behind."
21,180,207,336,723,1.7842323651452283,0.030397579584703877,582,'For God Sakes Harry! Pull up your shorts!!'
22,295,434,601,1330,1.7699248120300752,0.0216120388796367,582,"If I remove beans from my diet, can we ride our old bike?"
23,205,384,453,1042,1.761996161228407,0.023498770581067384,582,"I'm going into a tunnel, I might lose you."
24,78,161,184,423,1.7494089834515367,0.03631710932080046,582,We're not gonna be late. You're gonna be late.
25,181,328,415,924,1.7467532467532467,0.025086798982689246,582,Where were you when I called a few minutes ago?
26,172,360,416,948,1.7426160337552743,0.02418702774128856,582,A trial separation was your idea.
27,141,297,347,785,1.737579617834395,0.026553555672477594,582,"I said, ""I THINK EXERCISE IS BRINGING US CLOSER TOGETHER."""
28,146,317,364,827,1.7363966142684402,0.025738489160935945,582,I'm way ahead of you on that.
29,165,341,414,920,1.7293478260869566,0.024598964627908042,582,Thanks for calling. I wasn’t sure you made it through that last intersection.
30,103,192,260,555,1.7171171171171171,0.032189402493658974,582,"Yes, I'll accept a long-distance call."
31,195,432,538,1165,1.7055793991416308,0.02158856646504869,582,I thought you said you enjoyed long bike rides.
32,125,264,355,744,1.6908602150537635,0.02719734676726704,582,"No, we're not there yet!"
33,138,265,382,785,1.689171974522293,0.026864320866939507,582,I think I can make the light.
34,110,345,373,828,1.682367149758454,0.024152946395121583,582,"When I arrive, I'll tell them you're coming."
35,145,327,441,913,1.6757940854326396,0.02425943957583789,582,"Remember, no more yellow lights."
36,126,190,343,659,1.6707132018209407,0.030278709775318678,582,"Next time, we go to the bike shop, not one of those big chain stores."
37,108,230,334,672,1.6636904761904763,0.028489912441575248,582,That's weird. I've got four bars.
38,162,212,435,809,1.6625463535228677,0.027791504519057004,582,Pull up your shorts.
39,98,189,295,582,1.661512027491409,0.031064965086255985,582,I got your text. What's up?
40,98,163,282,543,1.6611418047882136,0.03285299251381687,582,My wife and I hit a bump at 45 mph--I'd like to report four missing children.
41,107,248,353,708,1.652542372881356,0.027353588944062843,582,"Sorry, I'm going to lose you. I'm about to go into a tunnel."
42,102,221,329,652,1.651840490797546,0.02879633182330706,582,It was green when I went through it.
43,106,210,333,649,1.650231124807396,0.029241623354519426,582,We're screwed when we hit Lombard Street.
44,104,220,337,661,1.6475037821482603,0.02868104034030834,582,"You have reached the voicemail of Alicia Crandall. If you would like her to pedal faster, press 1 now."
45,100,234,339,673,1.6448736998514115,0.027982467706716307,582,"See honey, this way I can have the space I need, but you can still feel connected"
46,124,178,359,661,1.6444780635400909,0.03025936360385287,582,Now let go of the brake. The elastic will do the rest.
47,87,199,305,591,1.6311336717428089,0.029893035405356275,582,You said you wanted to go for a long bike ride.
48,73,215,285,573,1.6300174520069808,0.02920552814603845,582,I'll be home in ten...your mother in twelve.
49,81,193,291,565,1.6283185840707965,0.030371809574702424,582,You sound distant.
50,108,143,321,572,1.6276223776223777,0.03272062140937642,582,Was I there yet?
51,60,231,270,561,1.625668449197861,0.028287780810793327,582,I agree; we are drifting apart but at least we are doing it together.
52,28,66,103,197,1.619289340101523,0.05150955987796304,582,I told you that I just need some space.
53,70,168,260,498,1.6184738955823292,0.03225553261723576,582,"I'm gonna turn left at 11.28, your time."
54,30,57,103,190,1.6157894736842104,0.054061608568331296,582,It was green for me!
55,87,123,273,483,1.6149068322981366,0.03519491862300629,582,How did you get my number?
56,66,168,257,491,1.6109979633401221,0.03215138159991995,582,The race results were posted online. I took 3rd place; you finished 10th.
57,54,99,188,341,1.6070381231671553,0.04041179147632558,582,"""I know I'm always distant but have I ever steered you wrong""?"
58,62,141,239,442,1.5995475113122173,0.03435948675029213,582,I'm losing you.
59,49,127,202,378,1.5952380952380953,0.03642473306666677,582,It's clear we've grown further apart.
60,55,135,223,413,1.5932203389830508,0.03510227062559053,582,"Its on our way. How about, I order the pizza but you have to pick it up?"
61,56,137,227,420,1.5928571428571427,0.03482120090786717,582,"Wait a second, you'll see."
