,Unnamed: 0,unfunny,funny,caption,score,precision,somewhat_funny
0,0,114,66,Your overhead is going to kill you.,1.824175824175824,0.04806653318335127,93
1,1,99,46,The consensus of your wise men is: move the chair.,1.7675438596491229,0.0506316513591674,83
2,2,88,36,"According to the doctor, your longevity would improve dramatically if you'd get off the throne and walk more.",1.7636363636363637,0.04815161533686505,96
3,3,90,37,And the king lived happily severed after.,1.7225130890052356,0.05562669182265358,64
4,4,89,35,What's long and sharp and will make your nephew king?,1.71875,0.05447184636349147,68
5,5,87,33,"In castle news, the queen and the royal rope maker have disappeared.",1.7157894736842103,0.05398428754846117,70
6,6,94,36,"Yes, your majesty. So far we have 'Live by the sword'. Is there any more to it?",1.6963350785340314,0.0556500289744274,61
7,7,83,30,I'll be brief...,1.688235294117647,0.05794859232270976,57
8,8,88,33,The queen has agreed to split everything fifty-fifty.,1.6839080459770115,0.05866965298863101,53
9,9,77,25,The latest polls show you hanging on by a thread.,1.6809815950920246,0.056872943104611176,61
10,10,82,28,I'll read fast.,1.6804733727810648,0.057154256000266336,59
11,11,95,37,While I have your undivided attention...,1.6777777777777778,0.05930256538863408,48
12,12,90,35,The Queen wishes to express her best wishes to you and your mistress.,1.6764705882352942,0.061085972850678724,45
13,13,76,24,"Traditionally, you'd fall on the sword.",1.6601307189542485,0.059498100535983166,53
14,14,80,24,"After careful consideration, we've determined it would probably be easier to just move the throne.",1.656441717791411,0.056656018419032464,59
15,15,85,29,"Let us hope your majesty, that the cord is mightier than the sword.",1.6521739130434785,0.0605749302204512,47
16,16,87,29,I'll be quick,1.6506024096385543,0.05912065242251373,50
17,17,86,31,I'll just skip to the end.,1.6474358974358974,0.0635355401474395,39
18,18,74,22,"It will be 15 pounds to take it down and 50,000 to smelt it. Or we can move your chair.",1.6462585034013606,0.060132740043707014,51
19,19,90,35,"Nay, thy whole-life policy dost not cover halves.",1.6451612903225807,0.06647629706552134,30
20,20,83,26,The Queen says she wants half of everything.,1.6392405063291142,0.0597087413421304,49
21,21,76,24,"Sorry, Sire. You have been turned down for insurance because of what has been determined a preexisting condition.",1.6312056737588652,0.06398719755256715,41
22,22,69,16,"Frankly, I would just move your chair.",1.6293706293706294,0.05673259887292805,58
23,23,75,24,"Not afraid, sir - frayed!",1.6277372262773722,0.06553221954115243,38
24,24,82,25,A gift from the 99%.,1.6225165562913908,0.061433732386969524,44
25,25,74,20,"Your Majesty, a rocking chair will increase your chances by 50%",1.6142857142857143,0.061319605067578616,46
26,26,83,27,It's a notice from your insurance company. They're raising your premiums.,1.6137931034482758,0.06505686202549714,35
27,27,86,24,"You will succeed yourself your Majesty, but this time as Queen.",1.610062893081761,0.05844899063671916,49
28,28,73,21,Have you considered the overhead costs?,1.606060606060606,0.06520273527395268,38
29,29,79,23,"A king divided cannot stand, Your Majesty.",1.6028368794326242,0.06356468645517914,39
30,30,79,22,"Sire, this policy covers you for death and dismemberment, but excludes accidents that occur in the workplace.",1.6013986013986017,0.062088682108438924,42
31,31,70,16,It appears your character is getting cut from Season 7.,1.6,0.059665550264252964,49
32,32,68,18,"In conclusion, he who lives by the sword...um...the rest is kinda blurred.",1.5934959349593496,0.06615564341411563,37
33,33,78,21,"Greetings! Happy Birthday, from your brother, second in line to the throne.",1.5899280575539567,0.06278968909665114,40
34,34,65,12,We could also go with a chandelier.,1.5891472868217054,0.05783187329990998,52
35,35,75,23,"Troubling news my liege, your rival has apparently forged an enormous pen.",1.5873015873015872,0.0697112787393253,28
36,36,77,20,"The good news is, yes, it'd be work-related.",1.583941605839416,0.06271578102186412,40
37,37,72,19,"It says ""A king divided cannot stand""",1.5826771653543308,0.06560929840907846,36
38,38,76,21,"When your cardiologist recommended that you go under the knife, I don't think this is what he meant.",1.5801526717557253,0.06587787280165998,34
39,39,79,21,"Your Highness, the Council has decreed some very large cuts, one of which I'm sure you're not going to like!",1.579710144927536,0.06324521382789118,38
40,40,73,19,"Or, you could take what's behind the curtain.",1.578125,0.0652536832987619,36
41,41,75,18,Maybe I should skip ahead to the end.,1.5777777777777775,0.06172986915505434,42
42,42,67,15,May I suggest a higher thread count?,1.5772357723577235,0.06324147545047669,41
43,43,59,15,"Oh, wait - it says the rope is not suitable for overhead installation.",1.5769230769230769,0.07190503302112566,30
44,44,76,19,The Oracle says not to worry about a death of a thousand cuts.,1.5746268656716418,0.06300811025922047,39
45,45,74,18,Regarding your command to cut overhead....,1.5725190839694656,0.06321819010170394,39
46,46,79,23,"It's bad feng shui, your majesty.",1.5725190839694656,0.06770331321447039,29
47,47,71,20,Apparently you're killed in Act 1.,1.5714285714285714,0.07017124410828818,28
48,48,77,22,Wherefore I pronounce you King for a Day.,1.5703125,0.06809015285702125,29
49,49,71,16,"In summary, short live the king.",1.5703125,0.0624346053059885,41
50,50,69,12,Shall I speed read?,1.5681818181818181,0.057103723858705775,51
51,51,72,18,"... and finally, while the pen may be mightier than the sword, I suggest you move your chair, sire.",1.568,0.06558520682927448,35
52,52,71,17,"Well, it says here, someone ordered king size.",1.568,0.06459401749987527,37
53,53,71,15,The rumor is your reign will be cut short.,1.565891472868217,0.06112336739500063,43
54,54,75,19,The royal rope maker would like to know if Your Majesty will be renewing the maintenance contract.,1.565891472868217,0.06496585384442533,35
55,55,65,15,The queen has asked me to read this last part very... very... slowly.,1.565217391304348,0.06666335016457936,35
56,56,72,18,It's a recall notice from the rope company.,1.564516129032258,0.06602292344821778,34
57,57,99,24,May I suggest that we dispense with today's reading of the royal horoscope?,1.5639534883720931,0.05540809358653443,49
58,58,78,21,...and to conclude.. there is a penalty for early termination of your cell phone plan..,1.5615384615384615,0.06643116976615153,31
59,59,70,19,I really don't think which way it is pointing is the big issue here your highness,1.5603448275862069,0.0706457610458007,27
60,60,71,16,Perhaps I should give you the good news first.,1.56,0.06365228120991273,38
61,61,77,20,"Do you mind if I read the proclamation from here, Sire?",1.5581395348837208,0.06594844777974246,32
62,62,68,14,The polls say you're hanging on by a thread.,1.5573770491803278,0.06273491856885002,40
63,63,71,18,"Damocles writes, 'How's it hangin', Sire?'.",1.5546218487394958,0.06824292736953083,30
64,64,75,21,"...and last, but not least, is included a really big severance package.",1.5537190082644627,0.0703693651484562,25
65,65,73,18,...and we still don't know how they suprise attack will be carried out!,1.5528455284552845,0.06652315490825081,32
66,66,70,15,I'm guessing you would like the good news first?,1.5491803278688523,0.06386212775280428,37
67,67,69,18,It's a recall notice from the Acme Twine and Rope company.,1.5486725663716814,0.07110197983475505,26
68,68,75,19,The Queen says ‘happy birthday’ and ‘hold still.’,1.5483870967741935,0.06711901223200414,30
69,69,63,14,"Says here ""It slices, it dices, it juliennes ...""",1.5462962962962965,0.06884330794403777,31
70,70,72,17,"The guarantee is for the hardware, not the installation.",1.5454545454545454,0.06639061303092922,32
71,71,69,14,Worst piñata ever.,1.5454545454545454,0.06320198065034609,38
72,72,68,14,"Sire, keeping in mind that the simplest solution is usually the best, you could just move your throne.",1.5423728813559323,0.0644166906835671,36
73,73,73,18,"It replaces the cloud of suspicion, sir.",1.5416666666666667,0.06787679699643219,29
74,74,77,21,"That would be 32 feet per second per second, Your Highness.",1.540983606557377,0.06998126308121548,24
75,75,72,16,The Earl of Sandwich is requesting a favor.,1.540983606557377,0.06496123611834087,34
76,76,68,14,The Acme Cord and Rope company announces the recall of its sword suspension assembly...,1.5384615384615383,0.06484975669107383,35
77,77,73,18,"The pen had a good, long run.",1.5378151260504205,0.06833932192172841,28
78,78,71,16,"Sire, I think it would have been safer to have left it in the stone.",1.5378151260504205,0.06622237698940689,32
79,79,76,19,"The oracle says relations are frayed, cuts are coming, and best to move in another direction.",1.5365853658536586,0.06760569141553488,28
80,80,65,14,You know what you did. Signed: The Queen.,1.5363636363636364,0.06794649409347857,31
81,81,67,14,The installation carries a life-time guarantee.,1.5350877192982455,0.06614431038897703,33
82,82,60,11,"The people want to propose some cuts, your excellency",1.5333333333333334,0.06639137299238815,34
83,83,75,18,"It says, 'Helmet sold separately.'",1.5327868852459017,0.06705166303266588,29
84,84,64,13,You're not gonna like this next part.,1.5321100917431192,0.06718555373408391,32
85,85,65,14,"Sire, the Royal Physician reports this is not what he meant about you having to go under the knife.",1.5321100917431192,0.06843824439495058,30
