rank,caption,score,precision,count,unfunny,somewhat_funny,funny,contest
1,"Just for fun, let's send it back.",2.0998243559718968,0.00787048884273741,10248.0,2792.0,3641.0,3815.0,578
2,Did you order the pizza with extra paparazzi?,2.004786597526925,0.01547205229367581,2507.0,746.0,1003.0,758.0,578
3,"The food is ok, but the media coverage is excellent.",2.0026374518157843,0.0074932059000215,9858.0,2715.0,4402.0,2741.0,578
4,And only last week he was the press secretary.,2.000805315079525,0.008147383156156651,9934.0,3271.0,3384.0,3279.0,578
5,I ordered a large with paparazi.,1.9922178988326849,0.014910471952124575,2570.0,744.0,1102.0,724.0,578
6,"""Say, 'Cheese,' "" -Anna Ross, Santa Monica, CA (8 years old)",1.992145899893504,0.00893706221046468,7512.0,2283.0,3005.0,2224.0,578
7,Looks like paparazzi pizza wasn't a typo after all.,1.9782650142993328,0.0105502953959277,5245.0,1589.0,2181.0,1475.0,578
8,"Don't worry, your wife'll never find out. Nobody ever comes here.",1.9709739633558336,0.00773315220507112,10370.0,3370.0,3931.0,3069.0,578
9,I hope you don't mind that I ordered extra paparazzi.,1.9681378626332755,0.008561971545971877,8066.0,2517.0,3289.0,2260.0,578
10,This is the last time we dine at Scaramucci's.,1.966016831788644,0.008493637172418822,9387.0,3343.0,3020.0,3024.0,578
11,"Apparently ""pepperoni pizza"" autocorrects to ""paparazzi posse"".",1.9138264442832968,0.008710502971255571,8274.0,2984.0,3019.0,2271.0,578
12,If you don't like the paparazzis you can just pick them off.,1.9138082673702723,0.01627509961752998,2274.0,791.0,888.0,595.0,578
13,"The D.C. press are so excited to find someone, anyone, in this town who can deliver something.",1.8969964989865489,0.010845082001665816,5427.0,2040.0,1906.0,1481.0,578
14,Did you ask for extra paparazzi?,1.8794995610184373,0.011242173570903784,4556.0,1619.0,1867.0,1070.0,578
15,"Don't ask me how I know, but I think we're about to be served Luigi's one millionth pizza.",1.854041204437401,0.009304621927023013,6310.0,2251.0,2729.0,1330.0,578
16,"They said if it's not on the table before the next White House staff shakeup, it's free.",1.842466930080742,0.010636118796417586,5821.0,2447.0,1844.0,1530.0,578
17,"Apparently, your Italian is as not as good as you think.",1.8250879249706917,0.011798374779022056,4265.0,1704.0,1603.0,958.0,578
18,There are things you don’t know about me.,1.82334693877551,0.009892666201763269,6125.0,2472.0,2263.0,1390.0,578
19,It's his last shift before he becomes White House Chief of Staff.,1.8219034812490664,0.009868245893383329,6693.0,2883.0,2119.0,1691.0,578
20,"When I ordered my pizza served ""Trump style"" I imagined it would just be very cheesy and come with extra baloney...",1.8087787918296392,0.011842917893159612,4602.0,2009.0,1464.0,1129.0,578
21,"Pepperoni, paparazzi. He knew what I meant.",1.7920121848028432,0.009797940352692729,5909.0,2418.0,2302.0,1189.0,578
22,It's because we the last two people in New York who still eat gluten.,1.788265306122449,0.010625824681953793,5488.0,2404.0,1842.0,1242.0,578
23,You’ll never guess why they call it Papa Razzi’s Pizza.,1.7829457364341086,0.034575880934723954,516.0,227.0,174.0,115.0,578
24,I reserved the table as Mr. and Mrs. Clooney.,1.7743561030235162,0.010492883910576593,5358.0,2321.0,1925.0,1112.0,578
25,We probably should have asked more questions before ordering 'The Special'.,1.7474466109563602,0.015641508035197833,2154.0,908.0,882.0,364.0,578
26,"I thought ""world famous pizza"" was just....you know.",1.7422980849292256,0.015319470096281894,2402.0,1066.0,889.0,447.0,578
27,Remember when I told you that the pizza here is famous?,1.739808855080944,0.010178769646982009,5127.0,2202.0,2057.0,868.0,578
28,This is nothing. Wait until the cannolis are served.,1.7372881355932204,0.01066372823490394,4838.0,2133.0,1843.0,862.0,578
29,"Now remember, act surprised.",1.7275985663082438,0.011627465349884368,3906.0,1708.0,1554.0,644.0,578
30,Here comes our pizza with everyone on it.,1.7157223448614176,0.011981309519105338,4077.0,1937.0,1362.0,778.0,578
31,"The pizza chef is good, but the marketing director is a genius.",1.7146178436501016,0.0126016970471372,3441.0,1571.0,1281.0,589.0,578
32,Last time you may have over-tipped.,1.688123300090662,0.012873737636672437,3309.0,1584.0,1173.0,552.0,578
33,I just love this place. The pizza with paparazzi is to die for.,1.687326181962654,0.014464347161960175,2517.0,1179.0,946.0,392.0,578
34,It's all about the delivery,1.6829133204098587,0.011938451536261215,3611.0,1683.0,1390.0,538.0,578
35,they'll never find us here...,1.6744744744744744,0.01777708125161213,1665.0,797.0,613.0,255.0,578
36,Is this your first time eating at Paparazzi's?,1.6636363636363636,0.01408068479013365,2640.0,1284.0,960.0,396.0,578
37,"No, I don't think anyone knows about our affair.",1.6545866364665909,0.014471150497141318,2649.0,1350.0,864.0,435.0,578
38,I ordered half mushroom half paparazzi.,1.6522704339051464,0.010183981347873228,4955.0,2434.0,1810.0,711.0,578
