caption,funny,somewhat_funny,unfunny,count,score,precision,rank,contest
I have no concrete plans for the rest of the day.,9.0,5.0,7.0,21.0,2.095238095238096,0.19401475035679394,1,516
I told my ex I'll take her back if she drops some weight.,6.0,7.0,5.0,18.0,2.055555555555556,0.18911942870889265,2,516
"Don't worry, I will take it to the grave.",5.0,5.0,5.0,15.0,2.0,0.2182178902359924,3,516
You better give me the short version.,5.0,5.0,5.0,15.0,2.0,0.2182178902359924,3,516
Duck?! For lunch?,3.0,9.0,3.0,15.0,2.0,0.1690308509457033,3,516
I'm just waiting for the next big idea to hit me...,5.0,8.0,5.0,18.0,2.0,0.1807753815155468,3,516
The tragedy for me is the soul crushing predictability of my life.,5.0,4.0,6.0,15.0,1.9333333333333331,0.2281742581087797,7,516
"For once, I really feel like today is my day.",4.0,5.0,5.0,14.0,1.9285714285714288,0.2214905974807294,8,516
All I said was she could drop a few pounds.,4.0,5.0,5.0,14.0,1.9285714285714288,0.2214905974807294,8,516
"Here's the problem, nothing surprises me anymore.",4.0,5.0,5.0,14.0,1.9285714285714288,0.2214905974807294,8,516
"What you wanted to say was ""figuratively.""",6.0,1.0,7.0,14.0,1.9285714285714288,0.2665259963875803,8,516
"Could you explain the ""act of God"" clause again?",6.0,1.0,7.0,14.0,1.9285714285714288,0.2665259963875803,8,516
I'm pretty sure she doesn't know about Melissa.,5.0,3.0,6.0,14.0,1.9285714285714288,0.24504508924151386,8,516
Relax- it's only a metaphor.,3.0,6.0,4.0,13.0,1.9230769230769231,0.21066252211737152,14,516
I rarely leave a tip,4.0,4.0,5.0,13.0,1.9230769230769231,0.2391635654638157,14,516
What's the worst-case scenario?,3.0,6.0,4.0,13.0,1.9230769230769231,0.21066252211737152,14,516
At least today can't get any worse....,4.0,4.0,5.0,13.0,1.9230769230769231,0.2391635654638157,14,516
"Fortunately, she seems very amicable about the divorce.",3.0,6.0,4.0,13.0,1.9230769230769231,0.21066252211737152,14,516
I didn't order duck.,6.0,0.0,7.0,13.0,1.9230769230769231,0.28781979898261084,14,516
Very little surprises me anymore.,3.0,6.0,4.0,13.0,1.9230769230769231,0.21066252211737152,14,516
So I told them 'Who needs your silly witness protection program?',5.0,2.0,6.0,13.0,1.9230769230769231,0.2646124030839781,14,516
My ex keeps telling me I should try this place.,5.0,2.0,6.0,13.0,1.9230769230769231,0.2646124030839781,14,516
I'm certain my wife has no idea I'm cheating on her.,1.0,10.0,2.0,13.0,1.9230769230769231,0.13688561861578594,14,516
I'm just waiting for some kind of sign.,4.0,4.0,5.0,13.0,1.9230769230769231,0.2391635654638157,14,516
"Well, at least I've still got my health.",3.0,5.0,4.0,12.0,1.9166666666666667,0.2289082565111837,25,516
"Joe, do you understand the gravity of the situation?",3.0,4.0,4.0,11.0,1.9090909090909087,0.25061906821982216,26,516
Do we have to decide right this second?,3.0,3.0,4.0,10.0,1.9,0.2768874620972691,27,516
And then it struck me: Everything I said was becoming real.,3.0,6.0,5.0,14.0,1.8571428571428568,0.2058790548922549,28,516
It's the overhead that's gonna kill me,2.0,7.0,4.0,13.0,1.8461538461538465,0.19102133879168387,29,516
"....but how likely is that, really?",3.0,4.0,5.0,12.0,1.8333333333333333,0.2409996018270737,30,516
I'd rather die than vote in this election.,3.0,4.0,5.0,12.0,1.8333333333333333,0.2409996018270737,30,516
Nothing hurts more than stepping barefoot on a kid's Lego brick.,4.0,2.0,6.0,12.0,1.8333333333333333,0.27061471362866285,30,516
Can anything be worse than this coffee?,2.0,6.0,4.0,12.0,1.8333333333333333,0.207193853502687,30,516
Do you think I worry too much?,2.0,6.0,4.0,12.0,1.8333333333333333,0.207193853502687,30,516
"Stop telling me to 'look up', things never get better..",3.0,3.0,5.0,11.0,1.818181818181818,0.2634795772034443,35,516
"No really, I have the worst luck.",2.0,5.0,4.0,11.0,1.818181818181818,0.2263618108725224,35,516
I slept with your wife.,4.0,1.0,6.0,11.0,1.818181818181818,0.2959785562927219,35,516
We separated on amicable terms.,2.0,5.0,4.0,11.0,1.818181818181818,0.2263618108725224,35,516
I've always made sure I'm in the right place at the right time.,2.0,5.0,4.0,11.0,1.818181818181818,0.2263618108725224,35,516
Everything depends on being at the right place at the right time.,2.0,5.0,4.0,11.0,1.818181818181818,0.2263618108725224,35,516
…if it's the last thing I do!,3.0,3.0,5.0,11.0,1.818181818181818,0.2634795772034443,35,516
"If the boss asks why I didn't come back after lunch, make something up.",4.0,1.0,6.0,11.0,1.818181818181818,0.2959785562927219,35,516
"Just ask God to show you a sign, Bob, and He will.",3.0,3.0,5.0,11.0,1.818181818181818,0.2634795772034443,35,516
This place never fails to surprise you.,2.0,5.0,4.0,11.0,1.818181818181818,0.2263618108725224,35,516
"Materials to build a wall of that size don't just fall out of the sky, ya know?",3.0,3.0,5.0,11.0,1.818181818181818,0.2634795772034443,35,516
You will not believe the week I've had.,3.0,3.0,5.0,11.0,1.818181818181818,0.2634795772034443,35,516
So ...what are the chances of my ex-wife retaliating?,3.0,3.0,5.0,11.0,1.818181818181818,0.2634795772034443,35,516
I told the barista to surprise me,2.0,5.0,4.0,11.0,1.818181818181818,0.2263618108725224,35,516
You know that stuff's gonna kill ya.,2.0,5.0,4.0,11.0,1.818181818181818,0.2263618108725224,35,516
Have any ideas on how to get out of jury duty next week?,3.0,2.0,5.0,10.0,1.8,0.2905932629027116,50,516
I think everything's finally falling into place.,2.0,4.0,4.0,10.0,1.8,0.24944382578492946,50,516
There's nothing worse than a cold cup of coffee.,1.0,6.0,3.0,10.0,1.8,0.20000000000000004,50,516
Put yourself in my place.,1.0,6.0,3.0,10.0,1.8,0.20000000000000004,50,516
"Yes, I designed this building--but I don't consider it my best work.",2.0,4.0,4.0,10.0,1.8,0.24944382578492946,50,516
So I told her ‘Screw you and your Gypsy curse.’,2.0,4.0,4.0,10.0,1.8,0.24944382578492946,50,516
Maybe you're right. Maybe I should stop being so pessimistic.,2.0,4.0,4.0,10.0,1.8,0.24944382578492946,50,516
Last night I told Susan I want a divorce. She took it surprisingly well.,3.0,2.0,5.0,10.0,1.8,0.2905932629027116,50,516
