target_id,rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
65,1,1797,1956,1319,5072,2.094242902208202,0.010926978256274556,673,I take this myself.  There is one side effect I should mention.
922,2,3478,3967,3333,10778,2.0134533308591576,0.0076564104476452045,673,I'm sure it works. I was involved in the original research.
1319,3,3471,3599,3354,10424,2.011224098234843,0.007924939795273141,673,These should help with the hallucinations.
1936,4,2258,3113,2831,8202,1.9301389904901243,0.008663793477197115,673,Don't worry. I wouldn't prescribe anything I haven't tested on myself.
1220,5,2840,2866,3689,9395,1.9096327833954232,0.008550329931590687,673,"No, I said I was a rodent scholar."
890,6,2428,3123,3235,8786,1.9081493284771227,0.008509337995117371,673,I started in the lab and then went to medical school.
2127,7,990,1269,1500,3759,1.8643256185155626,0.013090777720731368,673,"Bring this up to the receptionist. You'll go down the hall and take a right, then another right, then a left, then a right again..."
541,8,2147,2374,3302,7823,1.8523584302697176,0.009287709473481098,673,We take Blue Cross or Blue Cheese.
3051,9,1209,1390,1919,4518,1.8428508189464365,0.01215760533604057,673,You came to the right place. I DO give a rat's ass about your problem.
442,10,1893,2877,3180,7950,1.8381132075471698,0.008773766307239588,673,Why do you keep asking about side effects?
329,11,1002,1238,1644,3884,1.8347064881565396,0.012977272587602963,673,My father dragged slices of pizza down the subway stairs to put me through medical school.
1965,12,853,1351,1611,3815,1.8013106159895151,0.012609188435969271,673,"Rest assured, I was first in my maze."
1044,13,1334,2200,2552,6086,1.7998685507722643,0.009917175714831734,673,I suggest more exercise.  Do you have a wheel at home?
3683,14,1539,2195,2979,6713,1.785490838671235,0.0096651962258036,673,Stop the medication right away if your cats take sudden interest in you.
2856,15,1311,2306,2657,6274,1.7854638189352885,0.00966871639814278,673,Most of us go into research
3961,16,251,379,501,1131,1.7789566755083996,0.023348801276168618,673,"No pressure, but a lot of my best friends died so you could take this drug."
3363,17,178,420,400,998,1.777555110220441,0.023049303651970676,673,"Don't worry, I've never prescribed anything I haven't tested on myself."
519,18,1674,2839,3482,7995,1.7738586616635397,0.008618358429268492,673,"Of course there are no side effects, I take it myself."
3598,19,1373,2565,2940,6878,1.7721721430648445,0.00914528407723832,673,Full disclosure: I participated in the clinical trials.
3963,20,471,929,1191,2591,1.7221150135082979,0.014759737462928973,673,"Don't worry, it was tested on people."
3971,21,947,1594,2303,4844,1.7200660611065235,0.011061464594009782,673,"Go back to your cube, hit the lever two times and call me in the morning."
2517,22,676,1078,1642,3396,1.715547703180212,0.01331231966843958,673,We're conducting tests on humans to determine if it's safe for rats.
1413,23,1043,1616,2546,5205,1.7112391930835735,0.010792452731461604,673,Usually you have to run a maze to get stuff this good.
7,24,1194,835,2572,4601,1.700499891327972,0.012587238175213835,673,I’m sending you to the lab. It’s going to be a dog.
2211,25,477,586,1146,2209,1.69714803078316,0.017065016844987263,673,Here’s a referral to a cartoonist who can fix your eyeball.
3402,26,950,2052,2667,5669,1.6971247133533252,0.009817476455873018,673,There are no side effects to worry about.  I take this myself.
1093,27,415,611,1042,2068,1.696808510638298,0.017215731480631352,673,We're not all lawyers.
89,28,388,496,1006,1890,1.673015873015873,0.0182716331280484,673,Here is your ID badge. welcome to the White House
1548,29,244,541,744,1529,1.6729888816219751,0.018785746002257724,673,Ask my secretary to show you out. This place is a maze.
3098,30,281,492,794,1567,1.6726228462029356,0.019225894650594443,673,Side effects include seeing people for who they really are
3692,31,591,1186,1750,3527,1.671392117947264,0.012554518056530045,673,My nurses will help you navigate the insurance maze.
2276,32,291,588,866,1745,1.670487106017192,0.01783040809885618,673,"Remember during open enrollment, you chose Plan B?"
706,33,237,461,699,1397,1.669291338582677,0.02004005550960035,673,"Wolves on Wall Street, sharks in law: health care was my only choice."
3136,34,652,1425,2023,4100,1.665609756097561,0.011484391108149168,673,It's totally safe. I've been on it for years.
2137,35,252,401,710,1363,1.6639765223771092,0.020863943925380133,673,You remember how the Republicans said they had a great alternative to Obamacare?
1693,36,524,1233,1716,3473,1.6567808810826374,0.012322193479969379,673,Of course it's safe.  I take it myself.
2154,37,245,453,741,1439,1.6553161917998611,0.01984626460456706,673,"Doctorate...Doctor Rat.  Same diff, right?"
3994,38,547,1273,1800,3620,1.6538674033149172,0.012084884071881333,673,This is for the hallucinations.
3852,39,190,366,586,1142,1.6532399299474605,0.02213944901053789,673,"It's just that, from my perspective, having three years to live is quite remarkable indeed."
2945,40,237,341,671,1249,1.6525220176140913,0.022040184690834966,673,"So, you’re a member at Mar-a-Lago? My family's been there for generations."
369,41,561,956,1677,3194,1.6505948653725735,0.013461441651288455,673,Be sure to take the pills with cheese.
1445,42,488,1130,1640,3258,1.6464088397790055,0.012733960214938765,673,Call me if you notice anything unusual.
112,43,277,507,874,1658,1.6399276236429432,0.018458352789474254,673,"Not a prescription, two tickets to ""Cats"". I hate that show."
965,44,213,503,736,1452,1.6398071625344353,0.0190005692369322,673,"I’m the first of my 1,500 siblings to graduate from college."
4309,45,233,406,732,1371,1.6360320933625092,0.020422421382690285,673,"Yes, it will cure your erectile disfunction but the major side effect is you end up with very small hands."
2225,46,218,509,762,1489,1.6346541302887845,0.018777886686989157,673,"Make your first right, your second left, go to the end, go right, then right, then left, then the second right, make the next left, then a left, then a left,  the next left, make a right, a right, and a left, and the pharmacy's right there."
1774,47,225,246,635,1106,1.6292947558770343,0.024069177742497925,673,I examined your stool sample. It was delicious.
2583,48,202,476,730,1408,1.625,0.01924862243535156,673,"Frankly, with your health plan coverage, I am all you can afford"
1108,49,221,262,644,1127,1.624667258207631,0.02359083073679347,673,What's the matter? Do you have a problem with my Trump University credentials?
242,50,320,539,1045,1904,1.6192226890756303,0.017335980162451147,673,You smell what?!
1839,51,161,352,583,1096,1.614963503649635,0.022012429308893806,673,I can both spread AND cure disease at the same time.
1294,52,256,503,893,1652,1.6144067796610169,0.018199354517983272,673,"I’m going to refer you to a specialist in Baltimore, the place is infested with doctors."
3240,53,60,134,222,416,1.6105769230769231,0.0356094708718002,673,Take two with a wedge of cheese every four hours.
2189,54,104,187,359,650,1.6076923076923078,0.02933264841899861,673,I'm sorry I bit you. You might want to get this filled immediately.
569,55,139,325,540,1004,1.600597609561753,0.022698609442375384,673,Twice a day until your eyes pop back into your head
4414,56,58,126,219,403,1.6004962779156326,0.036232447772985794,673,... and you'll be back in the rat race in ten days.
3261,57,251,615,1000,1866,1.5986066452304395,0.016525248878532187,673,It’s completely safe. I participated in the trials myself.
4276,58,130,329,526,985,1.597969543147208,0.02263984004346251,673,"I'm not an ANIMAL doctor, I'm an animal DOCTOR."
3664,59,253,583,986,1822,1.5976948408342482,0.016868723236107233,673,Side effects? You know I wouldn't give you anything I haven't tried myself.
3781,60,155,382,621,1158,1.5975820379965457,0.020957640983824466,673,Take two of these and the hallucinations will get even better.
1961,61,138,261,504,903,1.5946843853820598,0.02461865938485072,673,"Whatever you do, and I speak from experience, do not exceed the recommended dosage."
3619,62,216,452,820,1488,1.5940860215053763,0.018905321055854005,673,This would have saved my dad. Too bad he was in the control group.
3235,63,161,329,628,1118,1.5822898032200359,0.021808203994477783,673,"Little do people realize, the best way to trap a rat is 8 years of crippling medical school debt"
4396,64,183,314,671,1168,1.582191780821918,0.02183918546770433,673,"As the new head of the CDC, I'm one of the more credible Presidential appointments."
826,65,164,312,631,1107,1.5781391147244805,0.022100186457412862,673,"If you want a human doctor, you'll need private health insurance."
371,66,314,272,974,1560,1.5769230769230769,0.020366225906281118,673,I'm trying to get rid of some neighborhood cats.
2860,67,163,332,657,1152,1.5711805555555556,0.021416384992636723,673,"Well actually, I graduated from Ratcliffe. Why do you ask?"
4199,68,165,435,742,1342,1.5700447093889718,0.01913481699676104,673,"It's still in the trial-phase, but we're seeing positive results among humans"
2223,69,142,253,548,943,1.5694591728525982,0.024082790527880444,673,"'Has it been tested on animals'?  What the hell kind of question is that?!"""
26,70,128,284,538,950,1.568421052631579,0.02329071876018381,673,You look like you've never seen a prescription before.
4077,71,145,320,609,1074,1.5679702048417132,0.02191652963893805,673,This time we are having humans test it first.
4202,72,125,268,523,916,1.5655021834061136,0.023807865444149853,673,This’ll do the trick. My wife’s already produced four litters this year.
1408,73,87,174,356,617,1.5640194489465153,0.02927454111537835,673,I go to med school. My brother picks up a slice of pizza. And he's the famous one.
3487,74,61,240,343,644,1.562111801242236,0.026027354850645258,673,"Before I became a doctor, I was a lab assistant."
1717,75,107,253,473,833,1.56062424969988,0.024593509283172676,673,This should cure what plagues you.
1247,76,105,239,459,803,1.5591531755915318,0.025168266754233542,673,"We accept cash, credit or a nice gouda."
2328,77,137,364,641,1142,1.5586690017513134,0.020648722953046605,673,"You can fill this at the nearest pharmacy: turn left, right, right, left, right, left, left, then right."
591,78,158,334,672,1164,1.5584192439862543,0.021105818947218632,673,This will help with your hallucinations.
2512,79,113,179,442,734,1.5517711171662125,0.027522077428022016,673,Its the new Republican health care plan.  I'm the manager here.
31,80,118,192,470,780,1.5487179487179488,0.026575893794647094,673,Call me if the erection lasts longer than four generations.”
4575,81,113,263,516,892,1.548206278026906,0.023713577623417467,673,"Don't tell anyone, but I'm recommending a CAT scan."
3470,82,128,290,579,997,1.5476429287863591,0.022506145128467266,673,Side effects?  Maybe an enhanced sense of smell...
2058,83,116,279,540,935,1.546524064171123,0.023043666157947153,673,"Yep, worked my way up from the lab."
3339,84,84,207,400,691,1.5426917510853835,0.02668396139016397,673,"Here’s your prescription, and apologies in advance, our pharmacy is a bit of a hole in the wall"
460,85,112,222,489,823,1.5419198055893073,0.025161708141478376,673,"And here's a prescription for a rabies shot, with my sincerest apologies for what happened earlier."
1164,86,93,217,439,749,1.5380507343124166,0.025773676871345956,673,I swear to god Jim if you make one more joke about the rat race I will not hesitate to get HR involved.
2114,87,89,234,445,768,1.5364583333333333,0.02502779740824328,673,"No, it's not poison. Would you give me something with poison in it?"
1465,88,104,249,499,852,1.5363849765258215,0.02406433769840424,673,Take this until I stop looking like a rat
2802,89,119,232,527,878,1.5353075170842825,0.02434604185520527,673,"I've increased your dosage, but let me know if people begin to look like rodents."
759,90,59,135,279,473,1.5348837209302326,0.032490369654918264,673,"Actually, I’m the only one in my family who’s not a lawyer."
4274,91,78,182,373,633,1.5339652448657188,0.027994457514609074,673,Ratcliffe! Were'd you get your degree?
2539,92,100,249,492,841,1.5338882282996433,0.0240699307673362,673,"No, no side effects.  Why?"
2365,93,62,158,311,531,1.5310734463276836,0.030174214225400484,673,Why are you always so focused on side effects?
2605,94,109,189,469,767,1.530638852672751,0.02638551087464449,673,"Hey, we can't all work in the White House."
4512,95,74,179,364,617,1.5299837925445705,0.02817418318747115,673,"The bad news is I'm a rat.
The good news is there's no co-pay."
3777,96,99,210,461,770,1.5298701298701298,0.02565781205063062,673,Side effects? You could become much bigger and more intelligent.
4331,97,116,204,504,824,1.529126213592233,0.025393741676455188,673,What did you think the Ratification of Obamacare meant?
4438,98,100,230,484,814,1.5282555282555284,0.02467256347578172,673,"Call the office immediately if this makes you nauseous, jittery, or want to crawl into the walls and die."
4004,99,86,150,374,610,1.5278688524590165,0.029533608924756878,673,Don’t worry Mr.Smith we’re experts at burrowing. Your colonoscopy is going to go just fine.
3359,100,70,216,389,675,1.5274074074074073,0.02602943555803219,673,Now don't be giving me that physician assistant is not a doctor look.
2070,101,73,223,406,702,1.5256410256410255,0.025541768700166157,673,"Here, this should help with some of your psychotic symptoms. But I really am a giant rat."
2375,102,45,95,213,353,1.5240793201133145,0.037853549034442414,673,Does your insurance cover out-of-species providers?
2235,103,88,229,458,775,1.5225806451612902,0.02481421637253548,673,All my friends at the lab say it's safe and effective.
1369,104,38,94,194,326,1.521472392638037,0.03853740523420474,673,"If I'm not exterminated, I'll see you in two weeks."
4029,105,77,220,423,720,1.5194444444444444,0.025390162761342767,673,"Trust me, I wouldn't prescribe anything I hadn't first tried myself."
2294,106,85,197,425,707,1.5190947666195191,0.026347213262715833,673,Take 2 with either cheese or peanut butter...
2939,107,47,109,238,394,1.515228426395939,0.03525071147685969,673,We don't do CAT scans in our office
1672,108,92,190,445,727,1.514442916093535,0.026318831121057977,673,I take it myself and as far as I can tell there is only ONE side effect.
639,109,80,175,398,653,1.5130168453292496,0.027549551916490063,673,This might help with your hallucinations. I think we'll work on your trust issues later.
2054,110,79,200,420,699,1.5121602288984264,0.026111106136079188,673,"Try this, it worked for me."
3011,111,74,198,404,676,1.5118343195266273,0.0263535747838377,673,It's perfectly safe- I've tried it myself.
2452,112,87,146,393,626,1.511182108626198,0.029060770313594015,673,"That's DOCTOR Rat Bastard, to you!"
3480,113,65,164,347,576,1.5104166666666667,0.028759450242674487,673,"If you can't swallow pills, have your wife hide them in your food."
981,114,85,194,437,716,1.5083798882681565,0.02610789728794206,673,"Here, this should help with the hallucinations."
1010,115,96,143,420,659,1.5083459787556905,0.028681271113470904,673,Why would you think I'm from Baltimore?
1985,116,76,145,364,585,1.5076923076923077,0.02954477355188046,673,"I'm a new hybrid -- part doctor, part health insurance company."
3265,117,53,165,316,534,1.5074906367041199,0.02900623479012237,673,"If you don’t have insurance, I accept cheese."
3117,118,73,181,391,645,1.5069767441860464,0.027195745299651065,673,We tested it in humans.
3127,119,55,155,316,526,1.5038022813688212,0.029571898434688788,673,What did you say you smell?
388,120,82,172,413,667,1.5037481259370316,0.027286243028134687,673,This should take care of the hallucinations.
2271,121,65,165,358,588,1.501700680272109,0.02832897346803402,673,I’m a rat. What you need is an ophthalmologist.
