target_id,mean,precision,count,score,caption,contest,funny,somewhat_funny,unfunny,counts,rank
2926,1.885250917992656,0.01388365563450998,3268,1.885250917992656,I thought you said it wouldn't need much attention.,601,863,1167,1238,3268,1
240,1.811733128834356,0.01476664967168871,2608,1.811733128834356,"You know how they say that in the Spring, the desert comes alive?",601,542,1033,1033,2608,2
859,1.80949263502455,0.014055206722711449,3055,1.80949263502455,We'll lose him in the swimming and biking stages.,601,686,1101,1268,3055,3
467,1.8050900062073247,0.019326622653816624,1611,1.8050900062073247,Something tells me the peyote is staring to kick in.,601,358,581,672,1611,4
3780,1.7803308823529411,0.022382810650322518,1088,1.7803308823529411,I told you not to water it. Now it's going to follow us home.,601,203,443,442,1088,5
2504,1.7757788503729706,0.016341760962400892,2279,1.7757788503729706,Looks like we're not the only ones who want out before he builds that wall...,601,495,778,1006,2279,6
4843,1.7733175914994097,0.01862585892965551,1694,1.7733175914994097,"Hon, remember that little cactus we let die on the window sill?",601,349,612,733,1694,7
1474,1.7704644169729369,0.014486549345018078,2993,1.7704644169729369,Next time just relieve yourself against a rock.,601,675,956,1362,2993,8
3332,1.7660414610069102,0.02551805183303732,1013,1.7660414610069102,"Don't look now, but some prick is following us.",601,243,290,480,1013,9
1635,1.7563829787234042,0.01777755993391227,1880,1.7563829787234042,"Sorry, we only hug trees.",601,385,652,843,1880,10
364,1.7502453385672228,0.017113815206275796,2038,1.7502453385672228,He just wants to say aloe.,601,417,695,926,2038,11
3908,1.738284703801945,0.01652767080495662,2262,1.738284703801945,I'm pretty sure the peyote has kicked in.,601,480,710,1072,2262,12
56,1.7337164750957854,0.01979126102596361,1566,1.7337164750957854,I think the peyote is finally kicking in.,601,327,495,744,1566,13
1439,1.7252212389380532,0.01614256873098165,2260,1.7252212389380532,I'm telling you it's the SAME CACTUS.,601,440,759,1061,2260,14
1607,1.7037842540234884,0.016099084172170604,2299,1.7037842540234884,"The wall was dumb, but these border guard disguises are even worse.",601,445,728,1126,2299,15
4378,1.7015682656826567,0.016311018777952296,2168,1.7015682656826567,"Obviously, he's a deserter.",601,398,725,1045,2168,16
4429,1.700507614213198,0.01451776188070807,2758,1.700507614213198,Why couldn't you just pee behind a bush?,601,512,908,1338,2758,17
1525,1.694061757719715,0.016953569507499384,2105,1.694061757719715,How come it leaves footprints and we don't?,601,413,635,1057,2105,18
2788,1.6916322314049588,0.016907609114425532,1936,1.6916322314049588,Why couldn’t he just follow us on Twitter?,601,329,681,926,1936,19
2528,1.6898454746136866,0.024191500835088,906,1.6898454746136866,"OK, when we get to the border, just act natural.",601,143,339,424,906,20
759,1.6881275841701122,0.01847107874437053,1693,1.6881275841701122,"I’m pretty sure it’s a saguaro, but I think you’re missing the point.",601,307,551,835,1693,21
4562,1.663631189527604,0.017307576626325708,1757,1.663631189527604,The desert scenery is really moving.,601,266,634,857,1757,22
3426,1.6597724922440538,0.017092007166807734,1934,1.6597724922440538,Did you really have to call it spineless?,601,329,618,987,1934,23
2294,1.6540483701366981,0.017269761545660203,1902,1.6540483701366981,The good news is we've outrun the ficus.,601,324,596,982,1902,24
2532,1.6493399339933994,0.02155554885855291,1212,1.6493399339933994,He just wants to say aloe.,601,203,381,628,1212,25
3496,1.6442986881937436,0.016785286795302102,1982,1.6442986881937436,"Sure, he's keeping up now; wait 'til we get to the bike and the swim.",601,326,625,1031,1982,26
1603,1.6309729418537708,0.018359845465848297,1737,1.6309729418537708,"""Try some Peyote,"" You said, ""What Could It Hurt?"" You said......",601,306,484,947,1737,27
1232,1.6282919488337095,0.02037068297816669,1329,1.6282919488337095,We're 70% water. Run!,601,211,413,705,1329,28
1261,1.6270491803278688,0.021931310512154183,1220,1.6270491803278688,Honey I think this prick is following us.,601,215,335,670,1220,29
