caption,funny,somewhat_funny,unfunny,count,score,precision,rank
Hey! My eyes are down here.,45.0,47.0,81.0,173.0,1.7919075144508672,0.06310848986854366,1
"It autocorrected to ""hula"".",39.0,31.0,73.0,143.0,1.7622377622377623,0.07153674823941572,2
"Excuse me, Miss, my eyes are down here.",34.0,44.0,69.0,147.0,1.761904761904762,0.06641458257644059,3
Good Samaritan? I was a GREAT Samaritan.,29.0,57.0,65.0,151.0,1.7615894039735098,0.0614099310097688,4
My eyes are down here.,38.0,33.0,77.0,148.0,1.7364864864864864,0.06937954643913878,5
"Next time, wash it in cold water.",31.0,41.0,72.0,144.0,1.7152777777777777,0.06659611246505957,6
"I was cleaning the kitchen, without being asked, and that's all I remember.",31.0,34.0,71.0,136.0,1.7058823529411764,0.07010546603556363,7
It was autocorrected to 'hula.',39.0,20.0,82.0,141.0,1.6950354609929077,0.07392818225031382,8
It's only dangerous if it lasts longer than 4 hours.,25.0,40.0,66.0,131.0,1.6870229007633588,0.0677496422870509,9
"If it last longer than 4 hours, I'm supposed to contact my theologian right away.",23.0,43.0,64.0,130.0,1.6846153846153846,0.06645878326407736,10
You didn't see the bonus questions at the end?,27.0,28.0,68.0,123.0,1.6666666666666667,0.07362101738323103,11
If it lasts more than 4 hours I'm supposed to call a doctor.,23.0,38.0,66.0,127.0,1.6614173228346456,0.06820540710180807,12
Excuse me. My eyes are down here!,26.0,25.0,66.0,117.0,1.6581196581196582,0.07596747365226998,13
"Pleased to meet you, obviously.",21.0,37.0,63.0,121.0,1.6528925619834711,0.06914545673835333,14
Actually it's kind of embarrassing. I almost wish I hadn't cured cancer.,26.0,22.0,66.0,114.0,1.649122807017544,0.07779612221063721,15
"What I actually said before I died was "" I hope St Peter gives me a big hello!""",17.0,41.0,58.0,116.0,1.6465517241379308,0.06734893178379245,16
It's not funny. I've been dunked on twice today.,22.0,27.0,61.0,110.0,1.6454545454545455,0.07595526056436189,17
I let my mother-in-law move in with us.,22.0,31.0,64.0,117.0,1.641025641025641,0.07228894038567361,18
I taught my mother how to use a computer.,20.0,28.0,59.0,107.0,1.6355140186915889,0.07557750778761299,19
"If I hold my head just right, I can pick up basic cable.",15.0,37.0,54.0,106.0,1.6320754716981132,0.07007308685870156,20
I once won The New Yorker caption contest.,22.0,28.0,64.0,114.0,1.631578947368421,0.07399186112203117,21
"Thanks, I've been working out.",14.0,39.0,54.0,107.0,1.6261682242990654,0.06838872122114123,22
"Actually, I do think I'm too good for you.",17.0,32.0,57.0,106.0,1.6226415094339623,0.0727496540423711,23
Remember all those times you said I was wrong?,26.0,27.0,75.0,128.0,1.6171875,0.07112798101878792,24
"Still, I'd gladly give it up to have genitals again.",22.0,19.0,63.0,104.0,1.6057692307692308,0.08016304943157422,25
It's God's little joke with us atheists.,18.0,28.0,60.0,106.0,1.6037735849056605,0.07424885341973538,26
It's a little cumbersome but I get great Wi-Fi.,14.0,34.0,55.0,103.0,1.6019417475728157,0.07081130270752692,27
"Ironically, it's for being so humble.",16.0,28.0,56.0,100.0,1.6,0.0752101433090355,28
My face is down here.,21.0,18.0,63.0,102.0,1.5882352941176472,0.08046764547235495,29
It seems to happen when I'm spiritually aroused.,14.0,32.0,56.0,102.0,1.5882352941176472,0.07152679597542662,29
If it lasts more than 4 hours I am calling the doctor.,13.0,31.0,53.0,97.0,1.5876288659793814,0.07291279172755583,31
A disappointing reward for a life of abstinence.,13.0,32.0,54.0,99.0,1.585858585858586,0.07180291662121055,32
"My eyes are down here, Missy.",19.0,18.0,60.0,97.0,1.577319587628866,0.08137965672086052,33
I'm just glad to see you.,15.0,26.0,56.0,97.0,1.577319587628866,0.07591799522376418,33
"As a matter of fact, I am holier than thou.",15.0,28.0,58.0,101.0,1.5742574257425743,0.07358773931113681,35
I won the 'Holier Than Thou' contest.,15.0,24.0,56.0,95.0,1.568421052631579,0.07726082057667276,36
I'm the guy who always left the toilet seat down.,16.0,23.0,58.0,97.0,1.5670103092783505,0.07741975184471354,37
"Well, yeah . . . as a matter of fact I am holier than thou.",12.0,31.0,55.0,98.0,1.5612244897959184,0.07115755141972316,38
I liked God on Facebook.,12.0,28.0,53.0,93.0,1.5591397849462365,0.07405689660259941,39
"Yes, I am happy to see you. Why do you ask?",16.0,21.0,58.0,95.0,1.5578947368421052,0.07878669727256324,40
I won the cartoon caption contest.,14.0,21.0,53.0,88.0,1.556818181818182,0.08058361206408741,41
they thought it would be funny because I fell down a manhole,14.0,26.0,58.0,98.0,1.5510204081632653,0.07413495660187752,42
The downside is that I didn't have much fun.,11.0,28.0,52.0,91.0,1.5494505494505495,0.07373472609574289,43
I took out the trash AND made the bed.,15.0,21.0,57.0,93.0,1.5483870967741935,0.07872898850314831,44
Sometimes I regret being the virgin Larry.,15.0,18.0,55.0,88.0,1.5454545454545454,0.08226973963643078,45
I'm just happy to see you.,12.0,25.0,54.0,91.0,1.5384615384615383,0.07544364885981203,46
"I got God tickets to ""Hamilton"".",18.0,13.0,60.0,91.0,1.5384615384615383,0.08459873296027594,46
"I used to be humble, but what's the point.",10.0,30.0,53.0,93.0,1.5376344086021505,0.07098969725693105,48
"It was more expensive, but the WiFi connection is incomparable.",12.0,26.0,55.0,93.0,1.5376344086021505,0.07420946905903518,48
I never removed a mattress tag.,18.0,14.0,61.0,93.0,1.5376344086021505,0.08312382235077632,48
...and then I donated my Prius to an orphanage.,14.0,23.0,58.0,95.0,1.5368421052631578,0.07603047411043737,51
