target_id,rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1478,1,715,1141,1059,2915,1.8819897084048027,0.014285186067306863,598,I'm the fitness guru. The wisdom guru is one mountain over.
2863,2,707,1041,1054,2802,1.8761598857958601,0.01479532240193922,598,When I retired from Google they let me keep my chair.
1966,3,743,1084,1109,2936,1.875340599455041,0.014478442232125088,598,It's for my back. You have two more questions.
213,4,516,883,866,2265,1.8454746136865343,0.01609211050427771,598,"No, but I can show you the path to a tighter butt."
710,5,645,1081,1081,2807,1.8446740292126826,0.014509873084120143,598,"Before I settled here, I bounced around a lot."
2214,6,516,894,899,2309,1.834127327847553,0.015924780660002386,598,It turns out that inner peace is 95% core strength.
2051,7,647,1152,1187,2986,1.8191560616208975,0.013957281896861145,598,Enlightenment? I'm just trying to achieve alignment.
2494,8,582,1048,1138,2768,1.7991329479768785,0.014490999046322218,598,"The keys to a long life are balance and color, but mostly staying away from the edge."
1826,9,656,944,1248,2848,1.7921348314606742,0.014820449773524855,598,"You only get one question and you ask, ""What's that?""!"
2891,10,467,681,1004,2152,1.7504646840148699,0.016995122115150654,598,I think there's a misunderstanding. I'm the Bally Lama.
550,11,171,419,428,1018,1.7475442043222005,0.022713527727294135,598,It has nothing to do with the meaning of life. It's just more comfortable than sitting on rocks.
1758,12,531,873,1245,2649,1.7304643261608155,0.015025057075363075,598,"Forgot your question, didn’t you?"
1038,13,448,900,1146,2494,1.7201283079390537,0.0149984055496249,598,"Honestly, I stopped caring about the meaning of life after I got one of these."
649,14,430,805,1106,2341,1.7112345151644597,0.01564488876150788,598,Finally it dawned on me that I could sit on it INSTEAD of rolling it up the hill.
315,15,288,624,797,1709,1.7021650087770626,0.017882136125521645,598,I'm strengthening my core beliefs.
2408,16,244,625,730,1599,1.6960600375234522,0.017982594941760976,598,It’s not how far you fall. It’s how you bounce back.
2610,17,279,534,770,1583,1.689829437776374,0.018922625851043623,598,I am no longer between the rock and the hard place.
1948,18,419,766,1147,2332,1.6878216123499143,0.015693208997050432,598,Do you seek alignment?
802,19,377,652,1017,2046,1.6871945259042034,0.016891457869838054,598,"Absalom, Abs Salon, who wouldn't make that mistake?"
1078,20,353,712,1008,2073,1.6840328027013989,0.016391405114281648,598,You just roll with it.
1727,21,389,445,961,1795,1.6813370473537605,0.01904262453310239,598,"When the Geni asked me what I wanted, I told him ""Enough green to have a ball and sit on top of the world."""
1369,22,405,602,1072,2079,1.679172679172679,0.017098305200678527,598,Enlightenment takes balls.
