caption,funny,somewhat_funny,unfunny,count,score,precision,rank,contest
"I'm just saying, I can see why the 'brief'case is more popular.",3.0,4.0,2.0,9.0,2.1111111111111107,0.26057865332352376,1,513
He insisted on a contract no longer than one page.,5.0,2.0,4.0,11.0,2.090909090909091,0.2845904698636096,2,513
We're only allowed one carry on item.,4.0,3.0,4.0,11.0,2.0,0.26967994498529685,3,513
Don't ask me. I'm just the middle man.,4.0,3.0,4.0,11.0,2.0,0.26967994498529685,3,513
It's a merger case.,3.0,3.0,3.0,9.0,2.0,0.2886751345948129,3,513
Must you always take the opposing side of every case?,2.0,6.0,2.0,10.0,2.0,0.21081851067789195,3,513
Wanna share a cab?,4.0,2.0,4.0,10.0,2.0,0.298142396999972,3,513
Be alert. There's a revolving door up ahead.,5.0,1.0,5.0,11.0,2.0,0.30151134457776363,3,513
Act normal.,3.0,3.0,3.0,9.0,2.0,0.2886751345948129,3,513
"Remember, the success of this presentation depends on our finding three seats together.",2.0,5.0,3.0,10.0,1.9,0.2333333333333333,10,513
This would be a lot easier if we carpooled too.,3.0,2.0,4.0,9.0,1.8888888888888888,0.3093202423794456,11,513
I say that next time we try the cases separately.,1.0,6.0,2.0,9.0,1.8888888888888888,0.20030840419244367,11,513
This invention sounded better at the bar.,2.0,4.0,3.0,9.0,1.8888888888888888,0.26057865332352376,11,513
Share a cab?,2.0,4.0,3.0,9.0,1.8888888888888888,0.26057865332352376,11,513
This briefcase exchange is going to be much harder than we initially thought,2.0,4.0,3.0,9.0,1.8888888888888888,0.26057865332352376,11,513
"Try to remember to say 'xylophone', not 'secret nuclear device'.",2.0,4.0,3.0,9.0,1.8888888888888888,0.26057865332352376,11,513
I started off where you are. And look at me now!,2.0,4.0,3.0,9.0,1.8888888888888888,0.26057865332352376,11,513
And I thought sharing an office was bad.,1.0,6.0,2.0,9.0,1.8888888888888888,0.20030840419244367,11,513
I apparently didn’t read the fine print of the RideShare program.,2.0,3.0,3.0,8.0,1.875,0.2950484221760412,19,513
Wait till you see the file cabinets.,2.0,3.0,3.0,8.0,1.875,0.2950484221760412,19,513
It's a long brief.,3.0,1.0,4.0,8.0,1.875,0.35038244411336755,19,513
"So kid , how'd you like your first day in the ironing board business ?",2.0,3.0,3.0,8.0,1.875,0.2950484221760412,19,513
I think she's impressed.,3.0,1.0,4.0,8.0,1.875,0.35038244411336755,19,513
This job-share isn't as flexible as I thought it would be.,2.0,3.0,3.0,8.0,1.875,0.2950484221760412,19,513
This means we all get indicted together.,1.0,5.0,2.0,8.0,1.875,0.22658174179374144,19,513
I can't believe they're making us all wear the same suit!,2.0,2.0,3.0,7.0,1.8571428571428568,0.3400680204068024,26,513
I told you it wouldn't stop at carpooling...,0.0,6.0,1.0,7.0,1.8571428571428568,0.1543033499620919,26,513
Not now - I'm in the middle of a big case.,2.0,2.0,3.0,7.0,1.8571428571428568,0.3400680204068024,26,513
"At the end of the day, you are either on our side or you're not.",1.0,4.0,2.0,7.0,1.8571428571428568,0.26082026547865056,26,513
Mr. Trump's comb.,2.0,2.0,3.0,7.0,1.8571428571428568,0.3400680204068024,26,513
Our coffee mug has three handles too.,2.0,2.0,3.0,7.0,1.8571428571428568,0.3400680204068024,26,513
Can't believe TSA didn't blink,2.0,2.0,3.0,7.0,1.8571428571428568,0.3400680204068024,26,513
"What's today's strategy, Three Musketeers or Three Stooges?",2.0,2.0,3.0,7.0,1.8571428571428568,0.3400680204068024,26,513
Must you always speak in the third person?,2.0,2.0,3.0,7.0,1.8571428571428568,0.3400680204068024,26,513
