rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1,602,810,848,2260,1.891150442477876,0.016696450070818634,523,You ordered from the wrong Amazon.
2,216,281,374,871,1.8185993111366245,0.027217221332691346,523,Then maybe you should just tell me what you want for your birthday instead of saying you don't care.
3,157,180,273,610,1.8098360655737704,0.033137909346341414,523,I think I ordered from the wrong Amazon.
4,124,207,263,594,1.765993265993266,0.03172276619985102,523,I don't mind the monkey see as much as the monkey doo.
5,111,172,238,521,1.7562380038387715,0.03426272173115285,523,I'll tell you what could be more fun--a barrel of wine.
6,112,141,234,487,1.7494866529774127,0.03650681604502804,523,Can we have one argument without you bringing up the monkeys?
7,84,126,192,402,1.7313432835820894,0.039142642553759696,523,Why can't we just have an elephant in the room like everyone else?
8,79,175,202,456,1.730263157894737,0.03456066830685607,523,Should I have gotten a half-barrel?
9,88,123,209,420,1.7119047619047618,0.03859538569529096,523,Apparently George was more than curious.
10,72,119,187,378,1.6957671957671958,0.039647906143643254,523,I feel like you've evolved and your friends haven't.
11,54,131,159,344,1.694767441860465,0.039160994306981514,523,Do I complain about your spoon collection?
12,82,107,207,396,1.6843434343434343,0.03994169523971768,523,I miss the elephant in the room.
13,60,94,161,315,1.6793650793650794,0.04366857479222927,523,we might have ordered from the wrong amazon
14,53,110,155,318,1.679245283018868,0.041699104751331546,523,No.... I'm pretty sure you left that off your dating profile.
15,63,60,152,275,1.6763636363636363,0.049710023587547225,523,I guess we both now know it was a banana in my pocket.
16,56,95,160,311,1.6655948553054662,0.04335550570609584,523,I believe you ordered from the wrong Amazon.
17,28,57,85,170,1.6647058823529413,0.057165996069798324,523,We can't get a refund without the original barrel.
18,43,98,141,282,1.6524822695035462,0.04349965011902242,523,You knew I was an uncle when you met me.
19,40,84,128,252,1.6507936507936507,0.04658546497754278,523,How long will they be observing us in our natural habitat?
20,42,108,147,297,1.6464646464646464,0.04156468380421234,523,Who can we regift?
21,35,80,120,235,1.6382978723404256,0.047535233847882094,523,Well...technically they were here before us.
22,29,28,78,135,1.637037037037037,0.0702262059406526,523,Try not to think about where his hands have been.
23,48,67,142,257,1.6342412451361867,0.048634484298992656,523,Any side effects to your new prescription?
24,43,72,135,250,1.632,0.04812033109882185,523,The zoo said I could work from home today.
25,30,79,111,220,1.6318181818181818,0.04803685988037007,523,I found them on ancestry.com.
26,49,95,162,306,1.630718954248366,0.04258738337408756,523,How in the world could you forget to pick up bananas?!
27,35,78,123,236,1.6271186440677967,0.04751040288421904,523,Kiss our security deposit goodbye.
28,35,60,115,210,1.619047619047619,0.05218484801507145,523,Still a fan of Airbnb?
29,40,71,133,244,1.6188524590163935,0.04816564975836158,523,Did I complain when you had your sisters for the weekend?
30,24,66,95,185,1.6162162162162161,0.05191722354675282,523,Now do you know what constant nit-picking feels like?
31,32,70,117,219,1.6118721461187215,0.049294195735752756,523,You said they were both girls!
32,27,58,99,184,1.608695652173913,0.05390051126961573,523,I don’t mind the monkey see as much as I mind the monkey doo.
